hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\gadgets,popsci,776324,ivansychev,2023-11-25T07:02:55.000Z,3.4K,,3.4K,16,13,/ru/companies/inferit/articles/
D:\untitled3\.\hubs\gadgets,popsci,776222,divolko3,2023-11-24T13:51:06.000Z,6.2K,,6.2K,6,9,/ru/companies/ru_mts/articles/
D:\untitled3\.\hubs\gadgets,popsci,775830,divolko3,2023-11-23T07:16:33.000Z,3.1K,,3.1K,8,1,/ru/companies/ru_mts/articles/
D:\untitled3\.\hubs\gadgets,popsci,775716,divolko3,2023-11-22T16:00:02.000Z,4.3K,,4.3K,1,7,/ru/companies/ru_mts/articles/
D:\untitled3\.\hubs\gadgets,popsci,775706,DirtyHornet,2023-11-22T14:41:13.000Z,14K,,14K,40,47,/ru/hubs/electronics/
D:\untitled3\.\hubs\gadgets,popsci,775238,aaplpro,2023-11-21T01:48:32.000Z,959,,959,1,0,/ru/hubs/gadgets/
D:\untitled3\.\hubs\gadgets,popsci,775094,divolko3,2023-11-20T10:44:26.000Z,9.1K,,9.1K,15,24,/ru/companies/ru_mts/articles/
D:\untitled3\.\hubs\gadgets,popsci,774982,DRoman0v,2023-11-19T23:24:29.000Z,5.5K,,5.5K,4,25,/ru/companies/selectel/articles/
D:\untitled3\.\hubs\gadgets,popsci,774860,Mr_Volkula,2023-11-18T19:53:02.000Z,21K,,21K,88,97,/ru/hubs/programming/
D:\untitled3\.\hubs\gadgets,popsci,774810,555www555,2023-11-18T10:09:15.000Z,4.8K,,4.8K,9,30,/ru/hubs/netdev/
D:\untitled3\.\hubs\gadgets,popsci,774782,Seleditor,2023-11-18T02:29:24.000Z,13K,,13K,23,44,/ru/companies/selectel/articles/
D:\untitled3\.\hubs\gadgets,popsci,774698,k0mar0v,2023-11-17T13:50:33.000Z,3.7K,,3.7K,14,11,/ru/companies/ru_mts/articles/
D:\untitled3\.\hubs\gadgets,popsci,774556,Hanamime,2023-11-17T08:22:48.000Z,6.9K,,6.9K,9,38,/ru/companies/sberbank/articles/
D:\untitled3\.\hubs\gadgets,popsci,774542,zloiromantik,2023-11-17T07:37:12.000Z,12K,,12K,7,36,/ru/hubs/gadgets/
D:\untitled3\.\hubs\gadgets,popsci,774492,Ivan_NFCKEY,2023-11-16T19:43:03.000Z,4.2K,,4.2K,27,193,/ru/companies/nfckey/articles/
D:\untitled3\.\hubs\gadgets,popsci,774348,AlexeyNadezhin,2023-11-16T11:05:45.000Z,2.1K,,2.1K,15,21,/ru/companies/lamptest/articles/
D:\untitled3\.\hubs\gadgets,popsci,774140,divolko3,2023-11-15T16:00:01.000Z,11K,,11K,20,8,/ru/companies/ru_mts/articles/
D:\untitled3\.\hubs\gadgets,popsci,773880,BiktorSergeev,2023-11-14T16:30:01.000Z,5.4K,,5.4K,13,6,/ru/companies/ru_mts/articles/
D:\untitled3\.\hubs\gadgets,popsci,773872,divolko3,2023-11-14T13:24:31.000Z,5.5K,,5.5K,18,7,/ru/companies/ru_mts/articles/
D:\untitled3\.\hubs\gadgets,popsci,773662,divolko3,2023-11-13T18:00:01.000Z,5K,,5K,21,6,/ru/companies/ru_mts/articles/
D:\untitled3\.\hubs\gadgets,popsci,773682,aaplpro,2023-11-13T16:50:27.000Z,1.2K,,1.2K,2,0,/ru/hubs/gadgets/
D:\untitled3\.\hubs\gadgets,popsci,773438,DRoman0v,2023-11-12T21:26:41.000Z,12K,,12K,6,31,/ru/companies/selectel/articles/
D:\untitled3\.\hubs\gadgets,popsci,773286,divolko3,2023-11-12T10:00:02.000Z,6.6K,,6.6K,13,25,/ru/companies/ru_mts/articles/
D:\untitled3\.\hubs\gadgets,popsci,773338,Seleditor,2023-11-12T02:08:45.000Z,16K,,16K,39,14,/ru/companies/selectel/articles/
D:\untitled3\.\hubs\gadgets,popsci,773284,k0mar0v,2023-11-11T11:55:44.000Z,11K,,11K,23,7,/ru/companies/ru_mts/articles/
D:\untitled3\.\hubs\gadgets,popsci,773182,divolko3,2023-11-10T14:32:46.000Z,6.4K,,6.4K,19,8,/ru/companies/ru_mts/articles/
D:\untitled3\.\hubs\gadgets,popsci,773110,BiktorSergeev,2023-11-10T10:01:50.000Z,5.1K,,5.1K,22,5,/ru/companies/ru_mts/articles/
D:\untitled3\.\hubs\gadgets,popsci,773096,oleg_rico,2023-11-10T09:10:21.000Z,7.2K,,7.2K,17,28,/ru/hubs/gadgets/
D:\untitled3\.\hubs\gadgets,popsci,772852,divolko3,2023-11-09T13:30:01.000Z,3.4K,,3.4K,2,12,/ru/companies/ru_mts/articles/
D:\untitled3\.\hubs\gadgets,popsci,772656,IgnatChuker,2023-11-08T14:18:22.000Z,3.6K,,3.6K,5,13,/ru/hubs/gadgets/
