hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\gamedev,null,776372,MarkoffIN,2023-11-25T12:42:03.000Z,1.3K,,1.3K,9,1,without_company
D:\untitled3\.\hubs\gamedev,null,776064,Kallist,2023-11-25T08:26:03.000Z,1.1K,,1.1K,24,0,without_company
D:\untitled3\.\hubs\gamedev,null,776210,OldfagGamer,2023-11-25T08:03:42.000Z,1.6K,,1.6K,4,3,without_company
D:\untitled3\.\hubs\gamedev,null,776276,GeeksCat,2023-11-25T08:01:02.000Z,2K,,2K,10,0,without_company
D:\untitled3\.\hubs\gamedev,null,775872,A-G-B,2023-11-23T09:47:53.000Z,6.8K,,6.8K,10,2,without_company
D:\untitled3\.\hubs\gamedev,null,775588,olegchir,2023-11-22T08:03:54.000Z,1.5K,,1.5K,5,3,without_company
D:\untitled3\.\hubs\gamedev,null,775534,ValeryIvanov,2023-11-21T21:27:59.000Z,3K,,3K,29,2,without_company
D:\untitled3\.\hubs\gamedev,null,775228,xanderxanderfto,2023-11-20T20:55:03.000Z,2.8K,,2.8K,32,4,without_company
D:\untitled3\.\hubs\gamedev,null,772588,Weilard,2023-11-20T12:19:39.000Z,5.4K,,5.4K,99,33,without_company
D:\untitled3\.\hubs\gamedev,null,775090,Suvitruf,2023-11-20T10:41:06.000Z,2K,,2K,7,2,without_company
D:\untitled3\.\hubs\gamedev,null,774972,dalerank,2023-11-19T20:49:11.000Z,55K,,55K,220,209,without_company
D:\untitled3\.\hubs\gamedev,null,761834,Asya_Dyu,2023-11-19T06:10:34.000Z,3.6K,,3.6K,11,2,without_company
D:\untitled3\.\hubs\gamedev,null,774768,MarkoffIN,2023-11-17T21:06:08.000Z,2.5K,,2.5K,18,1,without_company
D:\untitled3\.\hubs\gamedev,null,774674,tntnkn,2023-11-17T13:03:00.000Z,2.7K,,2.7K,13,6,without_company
D:\untitled3\.\hubs\gamedev,null,774070,kesn,2023-11-17T08:01:01.000Z,34K,,34K,79,46,without_company
D:\untitled3\.\hubs\gamedev,null,774506,dalerank,2023-11-17T00:45:35.000Z,5.7K,,5.7K,32,9,without_company
D:\untitled3\.\hubs\gamedev,null,774322,tfkfan,2023-11-16T10:06:17.000Z,7.1K,,7.1K,81,5,without_company
D:\untitled3\.\hubs\gamedev,null,774318,Upitir,2023-11-16T09:59:20.000Z,7.6K,,7.6K,31,4,without_company
D:\untitled3\.\hubs\gamedev,null,774090,varlab,2023-11-15T11:40:27.000Z,6K,,6K,48,7,without_company
D:\untitled3\.\hubs\gamedev,null,774062,GoldAnd,2023-11-15T09:40:15.000Z,759,,759,8,0,without_company
D:\untitled3\.\hubs\gamedev,null,769850,TilekSamiev,2023-11-13T14:30:01.000Z,13K,,13K,34,10,without_company
D:\untitled3\.\hubs\gamedev,null,773340,Suvitruf,2023-11-13T07:00:21.000Z,1.7K,,1.7K,3,1,without_company
D:\untitled3\.\hubs\gamedev,null,773186,Kallist,2023-11-13T06:10:02.000Z,5.4K,,5.4K,33,5,without_company
D:\untitled3\.\hubs\gamedev,null,773226,GeeksCat,2023-11-11T08:01:02.000Z,5.4K,,5.4K,29,6,without_company
D:\untitled3\.\hubs\gamedev,null,772880,vasiliyovchinnikov,2023-11-11T07:00:01.000Z,1.3K,,1.3K,10,9,without_company
D:\untitled3\.\hubs\gamedev,null,773156,Firemoon,2023-11-10T14:50:46.000Z,5.3K,,5.3K,21,38,without_company
D:\untitled3\.\hubs\gamedev,null,749228,Paradox179,2023-11-09T16:26:42.000Z,6.1K,,6.1K,35,21,without_company
D:\untitled3\.\hubs\gamedev,null,772462,ASGAlex,2023-11-08T12:17:12.000Z,3.4K,,3.4K,24,10,without_company
D:\untitled3\.\hubs\gamedev,null,772592,rikki_tikki,2023-11-08T10:51:17.000Z,2.1K,,2.1K,9,2,without_company
D:\untitled3\.\hubs\gamedev,null,772452,phanerostroi_evidence,2023-11-08T08:05:01.000Z,3.7K,,3.7K,10,7,without_company
D:\untitled3\.\hubs\gamedev,null,772000,KRlZz,2023-11-07T16:19:02.000Z,3.4K,,3.4K,11,3,without_company
D:\untitled3\.\hubs\gamedev,null,772284,PatientZero,2023-11-07T13:37:25.000Z,28K,,28K,34,58,without_company
D:\untitled3\.\hubs\gamedev,null,772264,MrPandaLine,2023-11-07T09:36:29.000Z,2.9K,,2.9K,21,5,without_company
D:\untitled3\.\hubs\gamedev,null,772160,phanerostroi_evidence,2023-11-07T08:31:02.000Z,7.1K,,7.1K,23,22,without_company
D:\untitled3\.\hubs\gamedev,null,772214,gagarinten,2023-11-07T07:35:20.000Z,1K,,1K,10,14,without_company
D:\untitled3\.\hubs\gamedev,null,761832,Asya_Dyu,2023-11-06T18:39:54.000Z,2.2K,,2.2K,15,0,without_company
D:\untitled3\.\hubs\gamedev,null,772134,Suvitruf,2023-11-06T16:52:55.000Z,2.4K,,2.4K,8,3,without_company
D:\untitled3\.\hubs\gamedev,null,772082,PatientZero,2023-11-06T10:53:43.000Z,23K,,23K,25,21,without_company
D:\untitled3\.\hubs\gamedev,null,772066,BekhanCode,2023-11-06T08:31:22.000Z,3.7K,,3.7K,35,1,without_company
D:\untitled3\.\hubs\gamedev,null,772048,it_union,2023-11-06T06:00:02.000Z,21K,,21K,24,30,without_company
D:\untitled3\.\hubs\gamedev,null,771904,MarkoffIN,2023-11-04T12:01:04.000Z,2.5K,,2.5K,10,0,without_company
D:\untitled3\.\hubs\gamedev,null,770244,dalerank,2023-11-04T00:12:23.000Z,30K,,30K,242,89,without_company
D:\untitled3\.\hubs\gamedev,null,771782,mvideo,2023-11-03T18:02:01.000Z,1.9K,,1.9K,11,1,without_company
D:\untitled3\.\hubs\gamedev,null,771806,sokolovps,2023-11-03T14:52:12.000Z,2.8K,,2.8K,15,3,without_company
D:\untitled3\.\hubs\gamedev,null,771342,shai_hulud,2023-11-03T07:27:00.000Z,3.9K,,3.9K,24,5,without_company
D:\untitled3\.\hubs\gamedev,null,771630,tfkfan,2023-11-02T21:26:31.000Z,13K,,13K,104,7,without_company
D:\untitled3\.\hubs\gamedev,null,771302,EvgenyTFT,2023-11-01T11:58:01.000Z,1.7K,,1.7K,11,18,without_company
D:\untitled3\.\hubs\gamedev,null,768556,HannaBilova,2023-10-31T09:29:21.000Z,4.9K,,4.9K,23,1,without_company
D:\untitled3\.\hubs\gamedev,null,770770,Artsfactory,2023-10-30T12:23:37.000Z,7.2K,,7.2K,23,0,without_company
D:\untitled3\.\hubs\gamedev,null,770750,Suvitruf,2023-10-30T11:29:32.000Z,2.3K,,2.3K,7,1,without_company
D:\untitled3\.\hubs\gamedev,null,770614,Artsfactory,2023-10-29T19:22:55.000Z,1.8K,,1.8K,9,12,without_company
D:\untitled3\.\hubs\gamedev,null,770016,Bright_Translate,2023-10-29T10:00:01.000Z,6.2K,,6.2K,51,3,without_company
D:\untitled3\.\hubs\gamedev,null,770340,GeeksCat,2023-10-28T08:01:02.000Z,10K,,10K,29,4,without_company
D:\untitled3\.\hubs\gamedev,null,769684,Milfgard,2023-10-26T12:52:35.000Z,8.2K,,8.2K,30,70,without_company
D:\untitled3\.\hubs\gamedev,null,769894,MarkoffIN,2023-10-25T13:31:03.000Z,5.6K,,5.6K,43,1,without_company
D:\untitled3\.\hubs\gamedev,null,769696,dalerank,2023-10-24T19:00:20.000Z,6.7K,,6.7K,55,0,without_company
D:\untitled3\.\hubs\gamedev,null,768960,KRlZz,2023-10-24T16:24:02.000Z,6.1K,,6.1K,7,9,without_company
D:\untitled3\.\hubs\gamedev,null,769470,AlexLive27,2023-10-24T07:21:41.000Z,2.1K,,2.1K,20,5,without_company
D:\untitled3\.\hubs\gamedev,null,769306,Suvitruf,2023-10-23T11:10:52.000Z,2.1K,,2.1K,6,4,without_company
D:\untitled3\.\hubs\gamedev,null,769044,vangogih,2023-10-23T08:00:01.000Z,7.5K,,7.5K,64,18,without_company
D:\untitled3\.\hubs\gamedev,null,769050,Offensive,2023-10-21T20:01:43.000Z,12K,,12K,69,48,without_company
D:\untitled3\.\hubs\gamedev,null,768992,lartyom,2023-10-21T11:47:23.000Z,1.9K,,1.9K,8,2,without_company
D:\untitled3\.\hubs\gamedev,null,768958,Nigylam,2023-10-21T07:02:26.000Z,752,,752,4,0,without_company
D:\untitled3\.\hubs\gamedev,null,768870,ONSOUNDWAVES2013,2023-10-20T13:49:08.000Z,681,,681,12,8,without_company
D:\untitled3\.\hubs\gamedev,null,768750,PatientZero,2023-10-20T08:22:51.000Z,6K,,6K,14,2,without_company
D:\untitled3\.\hubs\gamedev,null,767342,prefrontalCortex,2023-10-19T11:55:06.000Z,3.9K,,3.9K,38,19,without_company
D:\untitled3\.\hubs\gamedev,null,768018,jasiejames,2023-10-18T08:05:01.000Z,1.9K,,1.9K,11,10,without_company
D:\untitled3\.\hubs\gamedev,null,768058,PatientZero,2023-10-18T07:30:08.000Z,8.7K,,8.7K,27,5,without_company
D:\untitled3\.\hubs\gamedev,null,767892,dalerank,2023-10-17T22:33:34.000Z,12K,,12K,86,56,without_company
D:\untitled3\.\hubs\gamedev,null,768144,AnimeSlave,2023-10-17T18:19:40.000Z,8.2K,,8.2K,45,26,without_company
D:\untitled3\.\hubs\gamedev,null,767944,Firensis,2023-10-17T07:54:28.000Z,1.6K,,1.6K,13,4,without_company
D:\untitled3\.\hubs\gamedev,null,767888,ilih,2023-10-17T04:23:02.000Z,1.4K,,1.4K,16,9,without_company
D:\untitled3\.\hubs\gamedev,null,767640,Suvitruf,2023-10-16T06:31:46.000Z,2K,,2K,4,0,without_company
D:\untitled3\.\hubs\gamedev,null,767346,GeeksCat,2023-10-14T08:01:01.000Z,4.2K,,4.2K,22,8,without_company
D:\untitled3\.\hubs\gamedev,null,767436,Nigylam,2023-10-14T07:40:10.000Z,970,,970,4,2,without_company
D:\untitled3\.\hubs\gamedev,null,767144,Swamp_Dok,2023-10-13T17:34:50.000Z,9.9K,,9.9K,53,22,without_company
D:\untitled3\.\hubs\gamedev,null,754296,StarKRE,2023-10-12T14:49:02.000Z,4.7K,,4.7K,29,7,without_company
D:\untitled3\.\hubs\gamedev,null,762132,Green21,2023-10-12T10:46:03.000Z,5.8K,,5.8K,50,14,without_company
D:\untitled3\.\hubs\gamedev,null,766882,quasilyte,2023-10-11T22:12:17.000Z,7K,,7K,70,33,without_company
D:\untitled3\.\hubs\gamedev,null,766748,phantasmik,2023-10-11T11:41:47.000Z,784,,784,4,1,without_company
D:\untitled3\.\hubs\gamedev,null,766400,shvez,2023-10-10T06:35:38.000Z,893,,893,7,0,without_company
D:\untitled3\.\hubs\gamedev,null,766308,gregyku,2023-10-09T16:00:02.000Z,3.5K,,3.5K,21,0,without_company
D:\untitled3\.\hubs\gamedev,null,766256,ONSOUNDWAVES2013,2023-10-09T11:42:36.000Z,833,,833,15,2,without_company
D:\untitled3\.\hubs\gamedev,null,766054,oWart,2023-10-09T08:01:12.000Z,4.4K,,4.4K,19,15,without_company
D:\untitled3\.\hubs\gamedev,null,761312,GeeksCat,2023-10-09T07:50:20.000Z,5.2K,,5.2K,18,8,without_company
D:\untitled3\.\hubs\gamedev,null,766150,Suvitruf,2023-10-09T07:31:23.000Z,2K,,2K,4,4,without_company
D:\untitled3\.\hubs\gamedev,null,766142,KRlZz,2023-10-09T07:00:14.000Z,7.2K,,7.2K,15,7,without_company
D:\untitled3\.\hubs\gamedev,null,765966,Pro_gamedev,2023-10-07T14:19:31.000Z,16K,,16K,23,20,without_company
D:\untitled3\.\hubs\gamedev,null,765900,GeeksCat,2023-10-07T08:01:01.000Z,5.5K,,5.5K,27,10,without_company
D:\untitled3\.\hubs\gamedev,null,765794,klimensky,2023-10-06T11:14:02.000Z,5.3K,,5.3K,18,18,without_company
D:\untitled3\.\hubs\gamedev,null,765718,BekhanCode,2023-10-06T10:02:46.000Z,5.9K,,5.9K,26,3,without_company
D:\untitled3\.\hubs\gamedev,null,765756,Andrey2008,2023-10-06T09:06:50.000Z,1.3K,,1.3K,13,0,without_company
D:\untitled3\.\hubs\gamedev,null,764526,bodyawm,2023-10-06T08:01:04.000Z,32K,,32K,151,55,without_company
D:\untitled3\.\hubs\gamedev,null,761824,Asya_Dyu,2023-10-04T18:08:59.000Z,1.9K,,1.9K,16,0,without_company
D:\untitled3\.\hubs\gamedev,null,764974,mur4ello,2023-10-03T14:54:20.000Z,2.8K,,2.8K,11,5,without_company
D:\untitled3\.\hubs\gamedev,null,765006,Pro_gamedev,2023-10-03T08:21:12.000Z,3.3K,,3.3K,10,2,without_company
D:\untitled3\.\hubs\gamedev,null,764658,StarKRE,2023-10-02T12:56:01.000Z,4.4K,,4.4K,40,18,without_company
D:\untitled3\.\hubs\gamedev,null,764750,Suvitruf,2023-10-02T08:06:33.000Z,2.2K,,2.2K,5,18,without_company
D:\untitled3\.\hubs\gamedev,null,760800,TilekSamiev,2023-10-01T08:01:02.000Z,8.7K,,8.7K,34,22,without_company
D:\untitled3\.\hubs\gamedev,null,764554,varlab,2023-09-30T11:11:54.000Z,8.6K,,8.6K,82,13,without_company
D:\untitled3\.\hubs\gamedev,null,764514,dalerank,2023-09-30T00:23:49.000Z,30K,,30K,61,88,without_company
D:\untitled3\.\hubs\gamedev,null,764368,Chufeng,2023-09-29T09:44:18.000Z,1.1K,,1.1K,7,0,without_company
D:\untitled3\.\hubs\gamedev,null,764366,ArcaneGamingcom,2023-09-29T09:32:52.000Z,1.9K,,1.9K,14,3,without_company
D:\untitled3\.\hubs\gamedev,null,764360,alexandrareznikova11,2023-09-29T09:15:14.000Z,1.1K,,1.1K,12,1,without_company
D:\untitled3\.\hubs\gamedev,null,764232,GeeksCat,2023-09-29T08:01:02.000Z,3.7K,,3.7K,23,3,without_company
D:\untitled3\.\hubs\gamedev,null,764066,Pro_gamedev,2023-09-28T08:18:04.000Z,2.4K,,2.4K,23,9,without_company
D:\untitled3\.\hubs\gamedev,null,764002,vasiliyovchinnikov,2023-09-28T06:15:01.000Z,8.8K,,8.8K,35,13,without_company
D:\untitled3\.\hubs\gamedev,null,763988,Sivchenko_translate,2023-09-27T22:04:11.000Z,21K,,21K,55,35,without_company
D:\untitled3\.\hubs\gamedev,null,763034,vavilichev,2023-09-26T08:00:06.000Z,3.3K,,3.3K,24,7,without_company
D:\untitled3\.\hubs\gamedev,null,758452,coyote_101,2023-09-25T20:20:27.000Z,7.6K,,7.6K,15,12,without_company
D:\untitled3\.\hubs\gamedev,null,763322,ArcaneGamingcom,2023-09-25T13:32:30.000Z,2.3K,,2.3K,12,4,without_company
D:\untitled3\.\hubs\gamedev,null,763290,Wanderality,2023-09-25T12:00:29.000Z,1.2K,,1.2K,14,0,without_company
D:\untitled3\.\hubs\gamedev,null,763168,Suvitruf,2023-09-25T06:12:34.000Z,2.1K,,2.1K,4,3,without_company
D:\untitled3\.\hubs\gamedev,null,762984,quasilyte,2023-09-23T10:53:12.000Z,4.5K,,4.5K,53,8,without_company
D:\untitled3\.\hubs\gamedev,null,762924,GeeksCat,2023-09-23T08:01:02.000Z,5.2K,,5.2K,24,4,without_company
D:\untitled3\.\hubs\gamedev,null,762894,mvideo,2023-09-22T15:41:55.000Z,16K,,16K,52,34,without_company
D:\untitled3\.\hubs\gamedev,null,762812,crazyponysc,2023-09-22T11:09:24.000Z,4.2K,,4.2K,44,2,without_company
D:\untitled3\.\hubs\gamedev,null,762250,dalerank,2023-09-21T22:29:55.000Z,19K,,19K,59,39,without_company
D:\untitled3\.\hubs\gamedev,null,762652,Sergey123Ovechkin,2023-09-21T15:36:39.000Z,1.3K,,1.3K,13,0,without_company
D:\untitled3\.\hubs\gamedev,null,762076,PatientZero,2023-09-21T08:05:19.000Z,22K,,22K,104,26,without_company
D:\untitled3\.\hubs\gamedev,null,762136,evilsadko,2023-09-21T07:21:01.000Z,3.5K,,3.5K,27,2,without_company
D:\untitled3\.\hubs\gamedev,null,762276,MaxRokatansky,2023-09-20T10:23:24.000Z,1.3K,,1.3K,15,0,without_company
D:\untitled3\.\hubs\gamedev,null,759958,Dmitry9192,2023-09-19T06:25:14.000Z,6.1K,,6.1K,33,18,without_company
D:\untitled3\.\hubs\gamedev,null,761742,Suvitruf,2023-09-18T11:48:56.000Z,2.4K,,2.4K,5,3,without_company
D:\untitled3\.\hubs\gamedev,null,761628,Asya_Dyu,2023-09-18T08:07:39.000Z,7.4K,,7.4K,35,3,without_company
D:\untitled3\.\hubs\gamedev,null,761644,Suvitruf,2023-09-18T05:36:03.000Z,15K,,15K,9,42,without_company
D:\untitled3\.\hubs\gamedev,null,761572,viruseg,2023-09-17T20:51:52.000Z,1.1K,,1.1K,6,1,without_company
D:\untitled3\.\hubs\gamedev,null,761454,yudeek,2023-09-16T09:07:22.000Z,3.3K,,3.3K,29,4,without_company
D:\untitled3\.\hubs\gamedev,null,761404,GeeksCat,2023-09-16T08:01:01.000Z,4K,,4K,30,4,without_company
D:\untitled3\.\hubs\gamedev,null,761244,SergioPrieto,2023-09-15T08:46:50.000Z,4.3K,,4.3K,14,18,without_company
D:\untitled3\.\hubs\gamedev,null,761030,haldagan,2023-09-14T09:56:59.000Z,10K,,10K,9,44,without_company
D:\untitled3\.\hubs\gamedev,null,760284,PatientZero,2023-09-13T10:05:59.000Z,1.9K,,1.9K,16,1,without_company
D:\untitled3\.\hubs\gamedev,null,758126,ph_piter,2023-09-12T13:38:55.000Z,6.5K,,6.5K,43,2,without_company
D:\untitled3\.\hubs\gamedev,null,760200,jin_x,2023-09-12T08:22:45.000Z,2.7K,,2.7K,32,13,without_company
D:\untitled3\.\hubs\gamedev,null,754588,bodyawm,2023-09-12T08:01:01.000Z,11K,,11K,83,87,without_company
D:\untitled3\.\hubs\gamedev,null,759994,Goerging,2023-09-11T16:48:20.000Z,7K,,7K,49,8,without_company
D:\untitled3\.\hubs\gamedev,null,760162,Suvitruf,2023-09-11T08:30:59.000Z,1.8K,,1.8K,4,2,without_company
D:\untitled3\.\hubs\gamedev,null,760032,xterminal86,2023-09-10T09:30:42.000Z,2.8K,,2.8K,5,14,without_company
D:\untitled3\.\hubs\gamedev,null,759956,Lendcore,2023-09-09T13:45:22.000Z,5.4K,,5.4K,37,13,without_company
D:\untitled3\.\hubs\gamedev,null,759830,GeeksCat,2023-09-09T08:01:01.000Z,18K,,18K,49,20,without_company
D:\untitled3\.\hubs\gamedev,null,759704,erbanovanastasia,2023-09-08T11:40:04.000Z,11K,,11K,100,3,without_company
D:\untitled3\.\hubs\gamedev,null,758708,Suvitruf,2023-09-04T06:48:58.000Z,2.4K,,2.4K,7,3,without_company
D:\untitled3\.\hubs\gamedev,null,758560,maisvendoo,2023-09-02T22:00:51.000Z,2.8K,,2.8K,28,13,without_company
D:\untitled3\.\hubs\gamedev,null,758398,tntnkn,2023-09-01T12:25:36.000Z,37K,,37K,62,33,without_company
D:\untitled3\.\hubs\gamedev,null,758116,PatientZero,2023-08-31T09:31:18.000Z,6.7K,,6.7K,18,32,without_company
D:\untitled3\.\hubs\gamedev,null,758004,5a5ha,2023-08-30T19:40:04.000Z,4.9K,,4.9K,47,9,without_company
D:\untitled3\.\hubs\gamedev,null,757728,phanerostroi_evidence,2023-08-30T08:04:01.000Z,2.6K,,2.6K,28,2,without_company
D:\untitled3\.\hubs\gamedev,null,757314,Suvitruf,2023-08-28T08:32:28.000Z,3K,,3K,4,3,without_company
D:\untitled3\.\hubs\gamedev,null,757034,GeeksCat,2023-08-26T08:01:01.000Z,4.5K,,4.5K,28,5,without_company
D:\untitled3\.\hubs\gamedev,null,757044,Zemalnin,2023-08-25T20:33:14.000Z,1.8K,,1.8K,5,5,without_company
D:\untitled3\.\hubs\gamedev,null,756264,kGalkin,2023-08-25T07:24:56.000Z,4.8K,,4.8K,13,4,without_company
D:\untitled3\.\hubs\gamedev,null,756492,PatientZero,2023-08-24T05:27:04.000Z,61K,,61K,62,75,without_company
D:\untitled3\.\hubs\gamedev,null,756494,maltsevda,2023-08-23T13:50:43.000Z,1.5K,,1.5K,12,10,without_company
D:\untitled3\.\hubs\gamedev,null,756398,seylanov,2023-08-23T09:27:01.000Z,4K,,4K,32,27,without_company
