hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\games,null,776064,Kallist,2023-11-25T08:26:03.000Z,1.1K,,1.1K,24,0,without_company
D:\untitled3\.\hubs\games,null,776210,OldfagGamer,2023-11-25T08:03:42.000Z,1.6K,,1.6K,4,3,without_company
D:\untitled3\.\hubs\games,null,776276,GeeksCat,2023-11-25T08:01:02.000Z,2K,,2K,10,0,without_company
D:\untitled3\.\hubs\games,null,775872,A-G-B,2023-11-23T09:47:53.000Z,6.8K,,6.8K,10,2,without_company
D:\untitled3\.\hubs\games,null,775200,shiru8bit,2023-11-23T09:00:02.000Z,6.9K,,6.9K,52,37,without_company
D:\untitled3\.\hubs\games,null,775738,Dantoskin,2023-11-22T16:16:59.000Z,2.3K,,2.3K,4,6,without_company
D:\untitled3\.\hubs\games,null,775732,Dantoskin,2023-11-22T16:03:31.000Z,1.4K,,1.4K,3,0,without_company
D:\untitled3\.\hubs\games,null,773454,MarkWatney,2023-11-20T07:27:00.000Z,2.7K,,2.7K,27,4,without_company
D:\untitled3\.\hubs\games,null,774972,dalerank,2023-11-19T20:49:11.000Z,55K,,55K,220,209,without_company
D:\untitled3\.\hubs\games,null,774764,OldfagGamer,2023-11-19T08:01:02.000Z,5.4K,,5.4K,17,25,without_company
D:\untitled3\.\hubs\games,null,761834,Asya_Dyu,2023-11-19T06:10:34.000Z,3.6K,,3.6K,11,2,without_company
D:\untitled3\.\hubs\games,null,774882,SergiiDia,2023-11-19T05:47:58.000Z,13K,,13K,16,96,without_company
D:\untitled3\.\hubs\games,null,774766,Albert_Wesker,2023-11-18T08:01:01.000Z,3.5K,,3.5K,30,16,without_company
D:\untitled3\.\hubs\games,null,770442,ktchf,2023-11-17T07:17:05.000Z,937,,937,7,0,without_company
D:\untitled3\.\hubs\games,null,774506,dalerank,2023-11-17T00:45:35.000Z,5.7K,,5.7K,32,9,without_company
D:\untitled3\.\hubs\games,null,774062,GoldAnd,2023-11-15T09:40:15.000Z,759,,759,8,0,without_company
D:\untitled3\.\hubs\games,null,769850,TilekSamiev,2023-11-13T14:30:01.000Z,13K,,13K,34,10,without_company
D:\untitled3\.\hubs\games,null,773040,Azya,2023-11-13T07:59:31.000Z,19K,,19K,80,98,without_company
D:\untitled3\.\hubs\games,null,773186,Kallist,2023-11-13T06:10:02.000Z,5.4K,,5.4K,33,5,without_company
D:\untitled3\.\hubs\games,null,773356,MountainGoat,2023-11-12T12:11:13.000Z,7.8K,,7.8K,47,30,without_company
D:\untitled3\.\hubs\games,null,773352,OldfagGamer,2023-11-12T08:00:01.000Z,9.2K,,9.2K,12,22,without_company
D:\untitled3\.\hubs\games,null,773226,GeeksCat,2023-11-11T08:01:02.000Z,5.4K,,5.4K,29,6,without_company
