hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\geo,null,775544,igor_suhorukov,2023-11-22T05:00:29.000Z,2.9K,,2.9K,20,2,without_company
D:\untitled3\.\hubs\geo,null,775236,fantast8,2023-11-21T01:01:31.000Z,14K,,14K,72,56,without_company
D:\untitled3\.\hubs\geo,null,775176,vasyaivanovpv,2023-11-20T17:47:01.000Z,1.7K,,1.7K,5,10,without_company
D:\untitled3\.\hubs\geo,null,774516,igor_suhorukov,2023-11-17T06:07:21.000Z,2.3K,,2.3K,26,16,without_company
D:\untitled3\.\hubs\geo,null,772736,igor_suhorukov,2023-11-15T06:03:51.000Z,3.6K,,3.6K,45,4,without_company
D:\untitled3\.\hubs\geo,null,773814,Danzino,2023-11-14T09:41:56.000Z,3.8K,,3.8K,31,12,without_company
D:\untitled3\.\hubs\geo,null,772926,Boomburum,2023-11-13T13:45:39.000Z,21K,,21K,38,87,without_company
D:\untitled3\.\hubs\geo,null,773424,igor_suhorukov,2023-11-13T05:46:24.000Z,7K,,7K,69,18,without_company
D:\untitled3\.\hubs\geo,null,771926,roman_deev,2023-11-04T16:30:02.000Z,1.2K,,1.2K,3,1,without_company
D:\untitled3\.\hubs\geo,null,771184,igor_suhorukov,2023-11-01T05:12:54.000Z,6.1K,,6.1K,21,32,without_company
D:\untitled3\.\hubs\geo,null,770044,igor_suhorukov,2023-10-26T18:14:51.000Z,8.6K,,8.6K,59,43,without_company
D:\untitled3\.\hubs\geo,null,770216,Dreamlone,2023-10-26T17:57:51.000Z,4.5K,,4.5K,77,0,without_company
D:\untitled3\.\hubs\geo,null,769552,kononovarseniy,2023-10-25T05:18:55.000Z,9.1K,,9.1K,41,22,without_company
D:\untitled3\.\hubs\geo,null,764984,igor_suhorukov,2023-10-03T06:47:55.000Z,4.9K,,4.9K,25,55,without_company
D:\untitled3\.\hubs\geo,null,764698,roman_deev,2023-10-01T20:40:45.000Z,4.2K,,4.2K,18,11,without_company
D:\untitled3\.\hubs\geo,null,763682,igor_suhorukov,2023-09-27T05:55:02.000Z,12K,,12K,20,27,without_company
D:\untitled3\.\hubs\geo,null,761600,igor_suhorukov,2023-09-21T05:00:22.000Z,27K,,27K,80,209,without_company
D:\untitled3\.\hubs\geo,null,762400,ne555,2023-09-20T17:22:28.000Z,31K,,31K,115,153,without_company
D:\untitled3\.\hubs\geo,null,761818,igor_suhorukov,2023-09-19T05:56:14.000Z,29K,,29K,83,78,without_company
D:\untitled3\.\hubs\geo,null,761482,igor_suhorukov,2023-09-18T05:44:40.000Z,8.8K,,8.8K,22,46,without_company
D:\untitled3\.\hubs\geo,null,760690,mbeloshitsky,2023-09-14T04:56:41.000Z,2K,,2K,6,0,without_company
D:\untitled3\.\hubs\geo,null,760562,igor_suhorukov,2023-09-13T17:19:05.000Z,19K,,19K,88,72,without_company
D:\untitled3\.\hubs\geo,null,760148,badcasedaily1,2023-09-11T09:49:52.000Z,2K,,2K,35,4,without_company
D:\untitled3\.\hubs\geo,null,759268,nornickel,2023-09-06T12:21:01.000Z,622,,622,2,4,without_company
D:\untitled3\.\hubs\geo,null,758688,kkalmutskiy,2023-09-05T05:11:23.000Z,6.2K,,6.2K,40,33,without_company
D:\untitled3\.\hubs\geo,null,758296,lapkin25,2023-09-01T07:42:15.000Z,957,,957,7,5,without_company
D:\untitled3\.\hubs\geo,null,757538,spovst,2023-08-30T09:07:12.000Z,4.6K,,4.6K,30,21,without_company
D:\untitled3\.\hubs\geo,null,756916,Usetech,2023-08-25T09:50:03.000Z,2K,,2K,21,2,without_company
D:\untitled3\.\hubs\geo,null,755620,vloboda,2023-08-22T05:35:39.000Z,5.6K,,5.6K,41,13,without_company
D:\untitled3\.\hubs\geo,null,753312,Avadon,2023-08-08T13:14:34.000Z,3.1K,,3.1K,17,0,without_company
D:\untitled3\.\hubs\geo,null,750756,DjMpegAlex,2023-07-27T08:31:42.000Z,1.3K,,1.3K,15,5,without_company
D:\untitled3\.\hubs\geo,null,742644,Elya_Snezhkova,2023-06-20T05:00:02.000Z,3.4K,,3.4K,11,6,without_company
D:\untitled3\.\hubs\geo,null,741384,Yachayai,2023-06-13T09:13:00.000Z,1.3K,,1.3K,7,0,without_company
D:\untitled3\.\hubs\geo,null,741210,aleksandrsopoev,2023-06-12T07:33:39.000Z,1.1K,,1.1K,9,3,without_company
D:\untitled3\.\hubs\geo,null,738094,AlexanderShakhov,2023-05-28T14:44:16.000Z,2.2K,,2.2K,12,37,without_company
D:\untitled3\.\hubs\geo,null,737592,webvarlamov,2023-05-25T12:56:31.000Z,4.8K,,4.8K,56,3,without_company
D:\untitled3\.\hubs\geo,null,735932,Cloud4Y,2023-05-18T06:54:46.000Z,4.5K,,4.5K,35,6,without_company
D:\untitled3\.\hubs\geo,null,735172,PolinaBel,2023-05-16T09:02:14.000Z,11K,,11K,24,53,without_company
D:\untitled3\.\hubs\geo,null,734688,Skyseek3r,2023-05-16T05:00:01.000Z,4.4K,,4.4K,15,18,without_company
D:\untitled3\.\hubs\geo,null,734556,gag_fenix,2023-05-12T11:26:10.000Z,13K,,13K,53,25,without_company
D:\untitled3\.\hubs\geo,null,734194,pythontoday,2023-05-11T12:55:53.000Z,20K,,20K,164,16,without_company
D:\untitled3\.\hubs\geo,null,733454,aectaan,2023-05-10T07:54:32.000Z,6K,,6K,34,7,without_company
D:\untitled3\.\hubs\geo,null,733076,ovchinkin,2023-05-04T10:00:40.000Z,43K,,43K,185,171,without_company
D:\untitled3\.\hubs\geo,null,733072,ru_vds,2023-05-03T13:00:01.000Z,7.7K,,7.7K,31,21,without_company
D:\untitled3\.\hubs\geo,null,729612,cohr,2023-04-17T15:34:21.000Z,1.9K,,1.9K,13,6,without_company
D:\untitled3\.\hubs\geo,null,726614,denis_afanasyev,2023-04-04T09:02:28.000Z,3K,,3K,32,15,without_company
D:\untitled3\.\hubs\geo,null,726550,missing_id,2023-04-04T07:17:19.000Z,2.2K,,2.2K,13,5,without_company
D:\untitled3\.\hubs\geo,null,724686,JoseLopez,2023-03-24T23:41:32.000Z,19K,,19K,19,15,without_company
D:\untitled3\.\hubs\geo,null,714038,OVedernikova,2023-03-22T14:06:13.000Z,2.2K,,2.2K,17,6,without_company
D:\untitled3\.\hubs\geo,null,721832,igor_suhorukov,2023-03-14T18:38:06.000Z,4.1K,,4.1K,21,0,without_company
D:\untitled3\.\hubs\geo,null,721452,aldoha,2023-03-10T05:29:25.000Z,3.4K,,3.4K,16,4,without_company
D:\untitled3\.\hubs\geo,null,721070,Basov2023,2023-03-07T19:50:54.000Z,8.9K,,8.9K,26,106,without_company
D:\untitled3\.\hubs\geo,null,721024,Andreygeo,2023-03-07T14:03:53.000Z,2.7K,,2.7K,15,3,without_company
D:\untitled3\.\hubs\geo,null,717266,TilekSamiev,2023-02-26T14:01:02.000Z,4.9K,,4.9K,19,27,without_company
D:\untitled3\.\hubs\geo,null,718590,Stormglass,2023-02-22T11:42:00.000Z,11K,,11K,90,23,without_company
D:\untitled3\.\hubs\geo,null,717738,mtsvideo,2023-02-18T07:00:02.000Z,1.8K,,1.8K,13,9,without_company
D:\untitled3\.\hubs\geo,null,717536,borisov_uv,2023-02-17T05:28:38.000Z,6.7K,,6.7K,41,10,without_company
