hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\geo_systems,null,765402,iliasam,2023-10-23T10:59:33.000Z,20K,,20K,80,37,without_company
D:\untitled3\.\hubs\geo_systems,null,766974,alizar,2023-10-16T09:00:01.000Z,28K,,28K,58,130,without_company
D:\untitled3\.\hubs\geo_systems,null,751342,GeorgeFilonenko,2023-08-01T15:46:59.000Z,2.1K,,2.1K,25,6,without_company
D:\untitled3\.\hubs\geo_systems,null,751236,GeorgeFilonenko,2023-07-29T12:31:35.000Z,3.4K,,3.4K,24,27,without_company
D:\untitled3\.\hubs\geo_systems,null,747634,Computer-Vision,2023-07-12T17:37:26.000Z,2.3K,,2.3K,35,19,without_company
D:\untitled3\.\hubs\geo_systems,null,726608,GeorgKDeft,2023-04-03T12:20:30.000Z,2.6K,,2.6K,14,10,without_company
D:\untitled3\.\hubs\geo_systems,null,708088,alexey_rybakov,2022-12-29T12:26:23.000Z,3K,,3K,21,0,without_company
D:\untitled3\.\hubs\geo_systems,null,705524,alexey_rybakov,2022-12-17T17:39:37.000Z,3K,,3K,21,4,without_company
D:\untitled3\.\hubs\geo_systems,null,697746,ivansychev,2022-11-07T07:14:33.000Z,3.2K,,3.2K,8,7,without_company
D:\untitled3\.\hubs\geo_systems,null,694984,KorDen32,2022-10-23T20:19:47.000Z,133K,,133K,200,337,without_company
D:\untitled3\.\hubs\geo_systems,null,693674,alexd88,2022-10-17T04:38:11.000Z,6.8K,,6.8K,22,17,without_company
D:\untitled3\.\hubs\geo_systems,null,691998,PatientZero,2022-10-07T10:35:41.000Z,20K,,20K,72,22,without_company
D:\untitled3\.\hubs\geo_systems,null,685928,atomlib,2022-09-01T14:41:54.000Z,52K,,52K,259,114,without_company
D:\untitled3\.\hubs\geo_systems,null,680304,Korogodin,2022-08-02T05:00:01.000Z,22K,,22K,83,45,without_company
D:\untitled3\.\hubs\geo_systems,null,679370,PatientZero,2022-07-27T13:49:50.000Z,18K,,18K,28,129,without_company
