hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\git,develop,776144,PatientZero,2023-11-24T09:37:38.000Z,3.7K,,3.7K,15,9,/ru/hubs/open_source/
D:\untitled3\.\hubs\git,develop,775776,YegorP,2023-11-22T19:29:43.000Z,5.9K,,5.9K,49,17,/ru/hubs/it_testing/
D:\untitled3\.\hubs\git,develop,774922,DrArgentum,2023-11-19T12:11:25.000Z,17K,,17K,179,42,/ru/hubs/programming/
D:\untitled3\.\hubs\git,develop,773626,Aquahawk,2023-11-13T13:52:50.000Z,7.7K,,7.7K,92,28,/ru/hubs/git/
D:\untitled3\.\hubs\git,develop,772090,aionin,2023-11-06T10:44:29.000Z,3.5K,,3.5K,6,0,/ru/hubs/open_source/
D:\untitled3\.\hubs\git,develop,771688,MiraclePtr,2023-11-03T08:10:06.000Z,39K,,39K,123,152,/ru/hubs/linux/
D:\untitled3\.\hubs\git,develop,771022,icq8680,2023-11-02T08:37:09.000Z,2.3K,,2.3K,23,13,/ru/companies/pt/articles/
D:\untitled3\.\hubs\git,develop,771430,Cloud4Y,2023-11-02T07:27:26.000Z,8.9K,,8.9K,105,2,/ru/companies/cloud4y/articles/
D:\untitled3\.\hubs\git,develop,770448,kodor,2023-10-28T06:01:23.000Z,3.8K,,3.8K,35,7,/ru/hubs/git/
D:\untitled3\.\hubs\git,develop,763086,akopyl,2023-10-19T13:29:58.000Z,8.2K,,8.2K,61,17,/ru/companies/selectel/articles/
D:\untitled3\.\hubs\git,develop,768492,Turkindv,2023-10-19T13:00:03.000Z,17K,,17K,233,6,/ru/companies/yandex_praktikum/articles/
D:\untitled3\.\hubs\git,develop,768150,aionin,2023-10-17T19:30:44.000Z,4.7K,,4.7K,19,1,/ru/hubs/open_source/
D:\untitled3\.\hubs\git,develop,767424,paulbuzakov,2023-10-14T06:27:16.000Z,11K,,11K,51,36,/ru/hubs/git/
D:\untitled3\.\hubs\git,develop,765264,webnetkz,2023-10-04T10:51:19.000Z,18K,,18K,171,24,/ru/hubs/programming/
D:\untitled3\.\hubs\git,develop,763342,bakhirev,2023-10-04T07:30:01.000Z,24K,,24K,130,50,/ru/hubs/git/
D:\untitled3\.\hubs\git,develop,762280,beeline_cloud,2023-09-20T10:52:28.000Z,15K,,15K,102,34,/ru/companies/beeline_cloud/articles/
D:\untitled3\.\hubs\git,develop,758068,Gacblk,2023-09-12T14:30:53.000Z,30K,,30K,187,3,/ru/companies/nixys/articles/
D:\untitled3\.\hubs\git,develop,759784,nurekeshka,2023-09-08T12:27:04.000Z,7.1K,,7.1K,63,18,/ru/hubs/python/
D:\untitled3\.\hubs\git,develop,756782,FFrontend,2023-08-24T18:52:54.000Z,8.2K,,8.2K,53,2,/ru/hubs/webdev/
D:\untitled3\.\hubs\git,develop,756282,artcore,2023-08-22T17:57:45.000Z,2K,,2K,14,2,/ru/hubs/git/
D:\untitled3\.\hubs\git,develop,756054,aionin,2023-08-22T06:53:13.000Z,1.9K,,1.9K,14,0,/ru/hubs/open_source/
D:\untitled3\.\hubs\git,develop,755908,DigitalTatarstan,2023-08-21T12:20:29.000Z,1.8K,,1.8K,4,5,/ru/companies/digital_tatarstan/articles/
D:\untitled3\.\hubs\git,develop,755036,Yu-Leo,2023-08-16T13:47:11.000Z,14K,,14K,48,15,/ru/hubs/infosecurity/
D:\untitled3\.\hubs\git,develop,754526,LittleRunaway,2023-08-15T12:43:14.000Z,11K,,11K,108,62,/ru/companies/ozontech/articles/
D:\untitled3\.\hubs\git,develop,754466,artcore,2023-08-14T12:02:40.000Z,3K,,3K,35,6,/ru/hubs/git/
D:\untitled3\.\hubs\git,develop,753984,vip777swag,2023-08-14T05:45:01.000Z,2.4K,,2.4K,24,1,/ru/companies/gazprommedia/articles/
D:\untitled3\.\hubs\git,develop,754128,Yu-Leo,2023-08-11T17:08:39.000Z,6.5K,,6.5K,73,19,/ru/hubs/infosecurity/
D:\untitled3\.\hubs\git,develop,751500,aionin,2023-07-31T11:58:44.000Z,4.5K,,4.5K,9,4,/ru/hubs/open_source/
D:\untitled3\.\hubs\git,develop,749736,enikeev_tg,2023-07-22T19:00:29.000Z,2.3K,,2.3K,20,5,/ru/hubs/git/
D:\untitled3\.\hubs\git,develop,747978,Stok1y,2023-07-14T09:00:02.000Z,5.4K,,5.4K,49,5,/ru/companies/ru_mts/articles/
D:\untitled3\.\hubs\git,develop,747292,maxdzyubak,2023-07-14T08:01:01.000Z,3.6K,,3.6K,25,26,/ru/companies/timeweb/articles/
D:\untitled3\.\hubs\git,develop,745312,ilyachalov,2023-07-01T21:15:22.000Z,5.8K,,5.8K,14,55,/ru/hubs/powershell/
D:\untitled3\.\hubs\git,develop,743982,Andrey_Biryukov,2023-06-27T13:47:37.000Z,2.8K,,2.8K,25,11,/ru/companies/otus/articles/
D:\untitled3\.\hubs\git,develop,744116,DigitalTatarstan,2023-06-27T07:35:00.000Z,2.3K,,2.3K,7,7,/ru/companies/digital_tatarstan/articles/
