hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\github,develop,776144,PatientZero,2023-11-24T09:37:38.000Z,3.7K,,3.7K,15,9,/ru/hubs/open_source/
D:\untitled3\.\hubs\github,develop,775776,YegorP,2023-11-22T19:29:43.000Z,5.9K,,5.9K,49,17,/ru/hubs/it_testing/
D:\untitled3\.\hubs\github,develop,774922,DrArgentum,2023-11-19T12:11:25.000Z,17K,,17K,179,42,/ru/hubs/programming/
D:\untitled3\.\hubs\github,develop,771688,MiraclePtr,2023-11-03T08:10:06.000Z,39K,,39K,123,152,/ru/hubs/linux/
D:\untitled3\.\hubs\github,develop,768770,rstp,2023-10-20T09:06:46.000Z,7K,,7K,100,2,/ru/hubs/github/
D:\untitled3\.\hubs\github,develop,767424,paulbuzakov,2023-10-14T06:27:16.000Z,11K,,11K,51,36,/ru/hubs/git/
D:\untitled3\.\hubs\github,develop,766294,Tituch,2023-10-10T08:00:01.000Z,2.4K,,2.4K,28,8,/ru/companies/kryptonite/articles/
D:\untitled3\.\hubs\github,develop,765264,webnetkz,2023-10-04T10:51:19.000Z,18K,,18K,171,24,/ru/hubs/programming/
D:\untitled3\.\hubs\github,develop,763342,bakhirev,2023-10-04T07:30:01.000Z,24K,,24K,130,50,/ru/hubs/git/
D:\untitled3\.\hubs\github,develop,761650,arzybek,2023-09-18T05:57:24.000Z,12K,,12K,166,25,/ru/hubs/programming/
D:\untitled3\.\hubs\github,develop,759418,ptsecurity,2023-09-13T09:30:01.000Z,2.6K,,2.6K,21,0,/ru/companies/pt/articles/
D:\untitled3\.\hubs\github,develop,760558,Sravni_ru,2023-09-12T14:48:54.000Z,7K,,7K,28,7,/ru/companies/sravni/articles/
D:\untitled3\.\hubs\github,develop,760292,sammnnz,2023-09-11T14:00:43.000Z,2.8K,,2.8K,45,3,/ru/hubs/python/
D:\untitled3\.\hubs\github,develop,755332,AlekseiOrekhov,2023-08-21T11:46:16.000Z,1.9K,,1.9K,39,2,/ru/hubs/java/
D:\untitled3\.\hubs\github,develop,755652,ilyamaycry,2023-08-19T16:31:07.000Z,9.7K,,9.7K,55,18,/ru/hubs/python/
D:\untitled3\.\hubs\github,develop,755110,AlekseiOrekhov,2023-08-16T21:25:24.000Z,5.1K,,5.1K,46,1,/ru/hubs/java/
D:\untitled3\.\hubs\github,develop,755036,Yu-Leo,2023-08-16T13:47:11.000Z,14K,,14K,48,15,/ru/hubs/infosecurity/
D:\untitled3\.\hubs\github,develop,754128,Yu-Leo,2023-08-11T17:08:39.000Z,6.5K,,6.5K,73,19,/ru/hubs/infosecurity/
D:\untitled3\.\hubs\github,develop,754058,Surf_Studio,2023-08-11T12:19:59.000Z,1.7K,,1.7K,17,0,/ru/companies/surfstudio/articles/
D:\untitled3\.\hubs\github,develop,749474,Anzorik_228,2023-08-10T09:00:03.000Z,8.7K,,8.7K,84,47,/ru/hubs/open_source/
D:\untitled3\.\hubs\github,develop,753350,ValeryV,2023-08-08T14:56:08.000Z,4.3K,,4.3K,45,12,/ru/hubs/latex/
D:\untitled3\.\hubs\github,develop,753220,BuxarNET,2023-08-08T07:45:32.000Z,1.4K,,1.4K,5,21,/ru/hubs/cms/
D:\untitled3\.\hubs\github,develop,749876,amateur80lvl,2023-07-24T07:06:59.000Z,9.5K,,9.5K,13,29,/ru/hubs/github/
D:\untitled3\.\hubs\github,develop,749236,Hanamime,2023-07-20T07:10:43.000Z,12K,,12K,32,52,/ru/companies/sberbank/articles/
D:\untitled3\.\hubs\github,develop,748700,defaro,2023-07-18T09:00:40.000Z,7.1K,,7.1K,44,19,/ru/hubs/open_source/
D:\untitled3\.\hubs\github,develop,747292,maxdzyubak,2023-07-14T08:01:01.000Z,3.6K,,3.6K,25,26,/ru/companies/timeweb/articles/
D:\untitled3\.\hubs\github,develop,745312,ilyachalov,2023-07-01T21:15:22.000Z,5.8K,,5.8K,14,55,/ru/hubs/powershell/
D:\untitled3\.\hubs\github,develop,742634,kobzev_knopka,2023-06-19T13:36:36.000Z,49K,,49K,47,249,/ru/hubs/github/
D:\untitled3\.\hubs\github,develop,741232,Anzorik_228,2023-06-12T10:37:42.000Z,8.7K,,8.7K,45,23,/ru/hubs/c/
D:\untitled3\.\hubs\github,develop,740860,ProductivityInside,2023-06-09T08:25:15.000Z,5.1K,,5.1K,26,6,/ru/companies/productivity_inside/articles/
D:\untitled3\.\hubs\github,develop,740700,azat-io,2023-06-08T11:57:41.000Z,3.1K,,3.1K,28,4,/ru/hubs/open_source/
D:\untitled3\.\hubs\github,develop,740174,maxdzyubak,2023-06-06T11:50:18.000Z,7.5K,,7.5K,112,23,/ru/hubs/open_source/
D:\untitled3\.\hubs\github,develop,739078,BosonBeard,2023-06-01T09:00:04.000Z,3K,,3K,39,2,/ru/companies/ru_mts/articles/
D:\untitled3\.\hubs\github,develop,737148,IlyaAlekseevich,2023-05-23T21:59:18.000Z,7.5K,,7.5K,99,4,/ru/hubs/java/
D:\untitled3\.\hubs\github,develop,733000,shpringer,2023-05-10T12:10:57.000Z,2.9K,,2.9K,42,0,/ru/companies/vk/articles/
D:\untitled3\.\hubs\github,develop,734062,ivlucky,2023-05-09T21:29:53.000Z,15K,,15K,185,23,/ru/hubs/python/
D:\untitled3\.\hubs\github,develop,732546,robzarel,2023-04-30T16:01:49.000Z,13K,,13K,103,6,/ru/hubs/git/
D:\untitled3\.\hubs\github,develop,731896,zenafey,2023-04-26T20:16:41.000Z,24K,,24K,88,7,/ru/hubs/instant_messaging/
D:\untitled3\.\hubs\github,develop,726826,axsapronov,2023-04-10T08:01:01.000Z,1.8K,,1.8K,25,0,/ru/companies/first/articles/
D:\untitled3\.\hubs\github,develop,727890,GlobalSign_admin,2023-04-09T14:31:43.000Z,5.3K,,5.3K,34,5,/ru/companies/globalsign/articles/
