hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\graph_design,null,776462,timonin,2023-11-26T12:45:34.000Z,984,,984,18,0,/ru/hubs/graph_design/
D:\untitled3\.\hubs\graph_design,null,775200,shiru8bit,2023-11-23T09:00:02.000Z,6.9K,,6.9K,52,37,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\graph_design,null,775780,ananiev_design,2023-11-22T19:50:46.000Z,1K,,1K,1,1,/ru/hubs/web_design/
D:\untitled3\.\hubs\graph_design,null,774908,timonin,2023-11-19T09:23:01.000Z,73K,,73K,419,182,/ru/hubs/graph_design/
D:\untitled3\.\hubs\graph_design,null,773870,AlexeyW100,2023-11-15T07:01:08.000Z,22K,,22K,160,20,/ru/companies/yandex/articles/
D:\untitled3\.\hubs\graph_design,null,772332,Ivan_Demenev,2023-11-07T11:42:40.000Z,1.2K,,1.2K,5,0,/ru/hubs/data_visualization/
D:\untitled3\.\hubs\graph_design,null,771500,itsalivestudio,2023-11-03T08:02:02.000Z,4.9K,,4.9K,38,8,/ru/hubs/image_processing/
D:\untitled3\.\hubs\graph_design,null,771160,Ivan006,2023-10-31T20:46:54.000Z,16K,,16K,43,21,/ru/hubs/web_design/
D:\untitled3\.\hubs\graph_design,null,771092,igorvarnavsky,2023-10-31T15:03:08.000Z,14K,,14K,64,55,/ru/hubs/web_design/
D:\untitled3\.\hubs\graph_design,null,771014,Mixiw,2023-10-31T12:09:55.000Z,6.2K,,6.2K,46,22,/ru/companies/X5Tech/articles/
D:\untitled3\.\hubs\graph_design,null,770064,ackedze,2023-10-31T07:14:35.000Z,2.6K,,2.6K,11,17,/ru/companies/alfa/articles/
D:\untitled3\.\hubs\graph_design,null,768706,Bright_Translate,2023-10-22T10:00:02.000Z,13K,,13K,89,25,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\graph_design,null,769002,pld,2023-10-21T12:45:28.000Z,13K,,13K,16,22,/ru/hubs/apps_design/
