hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\growthhacking,marketing,772458,DaniyarZhumabekov,2023-11-07T22:31:26.000Z,3.4K,,3.4K,3,4,without_company
D:\untitled3\.\hubs\growthhacking,marketing,767590,hack_less,2023-10-15T17:31:31.000Z,8K,,8K,98,1,without_company
D:\untitled3\.\hubs\growthhacking,marketing,761924,vontot-digital,2023-09-19T07:53:51.000Z,627,,627,3,2,without_company
D:\untitled3\.\hubs\growthhacking,marketing,760446,teplovden,2023-09-13T10:31:03.000Z,1.5K,,1.5K,15,0,without_company
D:\untitled3\.\hubs\growthhacking,marketing,754072,AffiToday,2023-08-11T13:16:02.000Z,771,,771,4,0,without_company
D:\untitled3\.\hubs\growthhacking,marketing,736854,sergeshagal,2023-05-23T02:06:01.000Z,4.3K,,4.3K,16,17,without_company
D:\untitled3\.\hubs\growthhacking,marketing,726062,vikdovnar,2023-03-31T07:58:00.000Z,2.3K,,2.3K,11,5,without_company
D:\untitled3\.\hubs\growthhacking,marketing,725220,Aliaksei_Rudak,2023-03-28T07:16:39.000Z,10K,,10K,45,37,without_company
D:\untitled3\.\hubs\growthhacking,marketing,711362,Artem_Chinakov,2023-01-18T09:38:29.000Z,1.9K,,1.9K,3,7,without_company
D:\untitled3\.\hubs\growthhacking,marketing,710586,Artem_Chinakov,2023-01-14T11:50:42.000Z,2.8K,,2.8K,12,5,without_company
D:\untitled3\.\hubs\growthhacking,marketing,708432,Jomei,2022-12-29T12:00:02.000Z,1.5K,,1.5K,5,0,without_company
D:\untitled3\.\hubs\growthhacking,marketing,706196,KarolAndruszkow,2022-12-18T11:27:05.000Z,707,,707,1,2,without_company
D:\untitled3\.\hubs\growthhacking,marketing,706060,AnnaAmbrozevich,2022-12-16T20:14:50.000Z,1.5K,,1.5K,5,8,without_company
D:\untitled3\.\hubs\growthhacking,marketing,702868,akimovpro,2022-12-01T11:02:28.000Z,5.6K,,5.6K,75,16,without_company
D:\untitled3\.\hubs\growthhacking,marketing,701330,Shevchenkobz,2022-11-24T11:33:28.000Z,601,,601,4,0,without_company
D:\untitled3\.\hubs\growthhacking,marketing,696670,business-incubat0r,2022-11-01T04:21:20.000Z,1.3K,,1.3K,6,2,without_company
D:\untitled3\.\hubs\growthhacking,marketing,690976,Minyaev_AI,2022-09-30T13:43:24.000Z,2.7K,,2.7K,35,8,without_company
D:\untitled3\.\hubs\growthhacking,marketing,686754,tw0face,2022-09-06T14:46:22.000Z,6.9K,,6.9K,79,5,without_company
D:\untitled3\.\hubs\growthhacking,marketing,686250,oma_marketer,2022-09-05T14:31:08.000Z,1.9K,,1.9K,8,0,without_company
D:\untitled3\.\hubs\growthhacking,marketing,672478,mitya_zhuravlev,2022-06-20T15:43:51.000Z,1.6K,,1.6K,9,0,without_company
D:\untitled3\.\hubs\growthhacking,marketing,665594,AlfaTeam,2022-05-14T08:40:03.000Z,7.6K,,7.6K,13,7,without_company
D:\untitled3\.\hubs\growthhacking,marketing,652809,teplovden,2022-02-22T09:45:44.000Z,4.5K,,4.5K,24,8,without_company
D:\untitled3\.\hubs\growthhacking,marketing,651345,Aliaksei_Rudak,2022-02-14T07:16:08.000Z,9.4K,,9.4K,38,30,without_company
D:\untitled3\.\hubs\growthhacking,marketing,651293,GrowthBuddy,2022-02-13T18:50:37.000Z,2.6K,,2.6K,17,3,without_company
D:\untitled3\.\hubs\growthhacking,marketing,647851,Ipukhov,2022-01-26T07:18:24.000Z,4.7K,,4.7K,34,1,without_company
D:\untitled3\.\hubs\growthhacking,marketing,646455,RetailRocket,2022-01-19T12:16:47.000Z,2.4K,,2.4K,10,0,without_company
D:\untitled3\.\hubs\growthhacking,marketing,646079,AccelSprint,2022-01-18T07:00:03.000Z,2.1K,,2.1K,14,3,without_company
D:\untitled3\.\hubs\growthhacking,marketing,599317,katrad,2022-01-04T15:11:09.000Z,9.9K,,9.9K,10,15,without_company
D:\untitled3\.\hubs\growthhacking,marketing,598549,NastyaMozhevitina,2021-12-29T08:40:22.000Z,2K,,2K,11,2,without_company
D:\untitled3\.\hubs\growthhacking,marketing,595989,ritis,2021-12-16T12:55:10.000Z,3.2K,,3.2K,16,4,without_company
