hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\hackathons,null,775002,rvnikita,2023-11-20T07:03:04.000Z,598,,598,0,0,/ru/hubs/hackathons/
D:\untitled3\.\hubs\hackathons,null,774840,pestich,2023-11-18T14:10:04.000Z,1.5K,,1.5K,32,0,/ru/hubs/python/
D:\untitled3\.\hubs\hackathons,null,771414,Doctor_IT,2023-11-14T07:55:11.000Z,6.4K,,6.4K,9,76,/ru/companies/selectel/articles/
D:\untitled3\.\hubs\hackathons,null,773458,rvnikita,2023-11-13T07:00:52.000Z,732,,732,0,0,/ru/hubs/hackathons/
D:\untitled3\.\hubs\hackathons,null,772990,AngaraSecurity,2023-11-09T19:06:46.000Z,2.5K,,2.5K,20,2,/ru/companies/angarasecurity/articles/
D:\untitled3\.\hubs\hackathons,null,772740,masian,2023-11-09T11:56:08.000Z,27K,,27K,102,16,/ru/companies/it-guide/articles/
D:\untitled3\.\hubs\hackathons,null,772524,m_cherepovsky,2023-11-08T09:59:38.000Z,1.1K,,1.1K,2,1,/ru/companies/vk/articles/
D:\untitled3\.\hubs\hackathons,null,772364,koch,2023-11-07T13:01:42.000Z,1.3K,,1.3K,15,0,/ru/hubs/hackathons/
D:\untitled3\.\hubs\hackathons,null,772184,rvnikita,2023-11-07T07:02:05.000Z,426,,426,1,0,/ru/hubs/hackathons/
D:\untitled3\.\hubs\hackathons,null,772180,rvnikita,2023-11-07T07:01:15.000Z,462,,462,0,0,/ru/hubs/hackathons/
D:\untitled3\.\hubs\hackathons,null,770666,rvnikita,2023-10-30T07:01:04.000Z,542,,542,0,0,/ru/hubs/hackathons/
D:\untitled3\.\hubs\hackathons,null,770664,rvnikita,2023-10-30T07:00:47.000Z,512,,512,2,0,/ru/hubs/hackathons/
D:\untitled3\.\hubs\hackathons,null,770538,KeepError,2023-10-29T07:20:04.000Z,2.5K,,2.5K,20,1,/ru/hubs/hackathons/
D:\untitled3\.\hubs\hackathons,null,769876,IgnatChuker,2023-10-25T12:07:03.000Z,907,,907,4,3,/ru/hubs/sport_programming/
D:\untitled3\.\hubs\hackathons,null,769194,rvnikita,2023-10-23T07:05:08.000Z,625,,625,0,1,/ru/hubs/hackathons/
D:\untitled3\.\hubs\hackathons,null,769088,beszedin,2023-10-22T09:30:54.000Z,5K,,5K,22,0,/ru/hubs/python/
D:\untitled3\.\hubs\hackathons,null,767630,rvnikita,2023-10-16T07:01:22.000Z,536,,536,1,0,/ru/hubs/hackathons/
D:\untitled3\.\hubs\hackathons,null,767384,Selishcheva,2023-10-13T16:40:11.000Z,942,,942,6,0,/ru/companies/misis/articles/
D:\untitled3\.\hubs\hackathons,null,767026,Abejorro,2023-10-13T08:24:33.000Z,2.4K,,2.4K,18,6,/ru/companies/roskomsvoboda/articles/
D:\untitled3\.\hubs\hackathons,null,766296,XOR2048,2023-10-09T14:21:13.000Z,4.4K,,4.4K,29,36,/ru/companies/privacyaccelerator/articles/
D:\untitled3\.\hubs\hackathons,null,766136,rvnikita,2023-10-09T07:11:26.000Z,683,,683,0,0,/ru/hubs/hackathons/
D:\untitled3\.\hubs\hackathons,null,765530,inspirensty,2023-10-05T11:01:45.000Z,7.4K,,7.4K,26,9,/ru/companies/lamoda/articles/
D:\untitled3\.\hubs\hackathons,null,765472,sevaksargsyan,2023-10-05T07:00:57.000Z,2.7K,,2.7K,23,13,/ru/hubs/infosecurity/
D:\untitled3\.\hubs\hackathons,null,765230,heinrich_wirth,2023-10-04T08:51:09.000Z,2.5K,,2.5K,30,3,/ru/hubs/python/
D:\untitled3\.\hubs\hackathons,null,764672,rvnikita,2023-10-02T07:01:17.000Z,583,,583,0,0,/ru/hubs/hackathons/
D:\untitled3\.\hubs\hackathons,null,764418,datacompboy,2023-09-29T12:09:49.000Z,444,,444,3,2,/ru/hubs/hackathons/
D:\untitled3\.\hubs\hackathons,null,764172,Saul_G,2023-09-28T12:30:52.000Z,2.7K,,2.7K,27,5,/ru/hubs/hackathons/
D:\untitled3\.\hubs\hackathons,null,763842,igor_besschastnyi,2023-09-27T12:47:24.000Z,913,,913,10,0,/ru/companies/vtb/articles/
D:\untitled3\.\hubs\hackathons,null,763180,rvnikita,2023-09-25T07:01:59.000Z,659,,659,0,1,/ru/hubs/hackathons/
D:\untitled3\.\hubs\hackathons,null,762054,vvroschin,2023-09-19T13:11:08.000Z,2K,,2K,6,0,/ru/companies/ru_mts/articles/
D:\untitled3\.\hubs\hackathons,null,761660,rvnikita,2023-09-18T07:02:11.000Z,434,,434,0,0,/ru/hubs/hackathons/
D:\untitled3\.\hubs\hackathons,null,761206,Vasilenko_Ilia,2023-09-15T07:00:32.000Z,961,,961,11,0,/ru/hubs/hackathons/
D:\untitled3\.\hubs\hackathons,null,761038,Abejorro,2023-09-14T10:02:48.000Z,23K,,23K,109,20,/ru/companies/roskomsvoboda/articles/
D:\untitled3\.\hubs\hackathons,null,760130,rvnikita,2023-09-11T07:10:08.000Z,572,,572,2,0,/ru/hubs/hackathons/
D:\untitled3\.\hubs\hackathons,null,758396,SPetruk,2023-09-01T12:20:35.000Z,1.1K,,1.1K,15,1,/ru/companies/qiwi/articles/
D:\untitled3\.\hubs\hackathons,null,757272,rvnikita,2023-08-28T07:11:16.000Z,612,,612,1,0,/ru/hubs/hackathons/
D:\untitled3\.\hubs\hackathons,null,757240,dimabelousov1,2023-08-27T21:12:11.000Z,1.6K,,1.6K,6,1,/ru/hubs/video/
D:\untitled3\.\hubs\hackathons,null,755796,rvnikita,2023-08-21T07:00:44.000Z,515,,515,1,0,/ru/hubs/hackathons/
D:\untitled3\.\hubs\hackathons,null,754390,rvnikita,2023-08-14T07:02:39.000Z,477,,477,0,0,/ru/hubs/hackathons/
D:\untitled3\.\hubs\hackathons,null,752916,rvnikita,2023-08-07T07:03:32.000Z,463,,463,0,0,/ru/hubs/hackathons/
D:\untitled3\.\hubs\hackathons,null,752914,rvnikita,2023-08-07T07:00:33.000Z,413,,413,0,0,/ru/hubs/hackathons/
D:\untitled3\.\hubs\hackathons,null,752470,Dmitrii12655,2023-08-04T09:00:57.000Z,2.1K,,2.1K,4,5,/ru/hubs/hackathons/
D:\untitled3\.\hubs\hackathons,null,752400,Number571,2023-08-04T05:17:28.000Z,1.8K,,1.8K,8,1,/ru/hubs/p2p/
D:\untitled3\.\hubs\hackathons,null,751410,rvnikita,2023-07-31T07:02:14.000Z,567,,567,1,1,/ru/hubs/hackathons/
D:\untitled3\.\hubs\hackathons,null,749874,rvnikita,2023-07-24T07:01:21.000Z,520,,520,0,0,/ru/hubs/hackathons/
D:\untitled3\.\hubs\hackathons,null,748754,kateAlfa,2023-07-21T14:07:50.000Z,2.3K,,2.3K,14,1,/ru/companies/alfa/articles/
D:\untitled3\.\hubs\hackathons,null,746156,vasiliyovchinnikov,2023-07-10T13:01:56.000Z,3.1K,,3.1K,6,16,/ru/hubs/gamedev/
D:\untitled3\.\hubs\hackathons,null,746976,rvnikita,2023-07-10T07:39:30.000Z,538,,538,0,0,/ru/hubs/hackathons/
D:\untitled3\.\hubs\hackathons,null,746416,honsour72,2023-07-06T17:05:06.000Z,38K,,38K,45,15,/ru/hubs/programming/
D:\untitled3\.\hubs\hackathons,null,745438,rvnikita,2023-07-03T07:12:26.000Z,482,,482,0,0,/ru/hubs/hackathons/
D:\untitled3\.\hubs\hackathons,null,743724,rvnikita,2023-06-26T07:09:56.000Z,521,,521,0,0,/ru/hubs/hackathons/
D:\untitled3\.\hubs\hackathons,null,742544,ElGalaxy,2023-06-19T10:12:01.000Z,33K,,33K,63,7,/ru/companies/tinkoff/articles/
D:\untitled3\.\hubs\hackathons,null,741244,rvnikita,2023-06-19T06:56:05.000Z,504,,504,0,0,/ru/hubs/hackathons/
D:\untitled3\.\hubs\hackathons,null,741242,rvnikita,2023-06-13T07:16:09.000Z,579,,579,0,0,/ru/hubs/hackathons/
D:\untitled3\.\hubs\hackathons,null,739782,rvnikita,2023-06-05T07:00:58.000Z,437,,437,0,0,/ru/hubs/hackathons/
D:\untitled3\.\hubs\hackathons,null,739264,digitalsibur,2023-06-01T13:53:51.000Z,2.1K,,2.1K,11,1,/ru/companies/sibur_official/articles/
D:\untitled3\.\hubs\hackathons,null,738180,rvnikita,2023-05-29T07:07:07.000Z,426,,426,1,0,/ru/hubs/hackathons/
D:\untitled3\.\hubs\hackathons,null,738170,rvnikita,2023-05-29T07:02:36.000Z,408,,408,0,0,/ru/hubs/hackathons/
D:\untitled3\.\hubs\hackathons,null,736626,rvnikita,2023-05-22T07:01:56.000Z,635,,635,0,0,/ru/hubs/hackathons/
D:\untitled3\.\hubs\hackathons,null,736628,rvnikita,2023-05-22T07:01:38.000Z,404,,404,0,0,/ru/hubs/hackathons/
D:\untitled3\.\hubs\hackathons,null,735072,rvnikita,2023-05-15T07:31:15.000Z,792,,792,0,0,/ru/hubs/hackathons/
D:\untitled3\.\hubs\hackathons,null,734104,arinarabaeva,2023-05-10T17:31:55.000Z,2.5K,,2.5K,15,3,/ru/companies/alfa/articles/
D:\untitled3\.\hubs\hackathons,null,733922,smthshere,2023-05-08T11:15:08.000Z,12K,,12K,25,26,/ru/hubs/python/
D:\untitled3\.\hubs\hackathons,null,733232,EVRAZ,2023-05-04T08:55:02.000Z,5.6K,,5.6K,15,12,/ru/companies/evraz/articles/
D:\untitled3\.\hubs\hackathons,null,733090,yuliatsareva,2023-05-03T16:51:09.000Z,3.6K,,3.6K,16,15,/ru/companies/tinkoff/articles/
D:\untitled3\.\hubs\hackathons,null,732254,DigitalTatarstan,2023-04-28T10:45:01.000Z,418,,418,1,0,/ru/companies/digital_tatarstan/articles/
D:\untitled3\.\hubs\hackathons,null,731196,maria4koval,2023-04-24T10:50:48.000Z,102K,,102K,125,169,/ru/hubs/hackathons/
