hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\hadoop,develop,776398,Falcon_eye,2023-11-25T20:11:57.000Z,960,,960,8,7,/ru/hubs/sql/
D:\untitled3\.\hubs\hadoop,develop,763864,sle_mary,2023-09-29T14:51:12.000Z,2.2K,,2.2K,35,0,/ru/companies/megafon/articles/
D:\untitled3\.\hubs\hadoop,develop,762862,PastorGL,2023-09-22T13:36:50.000Z,2.6K,,2.6K,18,0,/ru/hubs/open_source/
D:\untitled3\.\hubs\hadoop,develop,761760,PastorGL,2023-09-18T13:34:54.000Z,1.5K,,1.5K,21,0,/ru/hubs/open_source/
D:\untitled3\.\hubs\hadoop,develop,761328,PastorGL,2023-09-15T13:16:42.000Z,1.3K,,1.3K,23,0,/ru/hubs/open_source/
D:\untitled3\.\hubs\hadoop,develop,761094,PastorGL,2023-09-14T14:00:48.000Z,1.3K,,1.3K,23,7,/ru/hubs/open_source/
D:\untitled3\.\hubs\hadoop,develop,760778,PastorGL,2023-09-13T11:50:46.000Z,1.3K,,1.3K,22,2,/ru/hubs/open_source/
D:\untitled3\.\hubs\hadoop,develop,760504,PastorGL,2023-09-12T13:40:45.000Z,4.9K,,4.9K,62,10,/ru/hubs/open_source/
D:\untitled3\.\hubs\hadoop,develop,742084,shveenkov,2023-06-20T08:04:03.000Z,9.6K,,9.6K,53,2,/ru/companies/vk/articles/
D:\untitled3\.\hubs\hadoop,develop,740348,BioQwer,2023-06-07T08:09:47.000Z,3.2K,,3.2K,11,3,/ru/hubs/sql/
D:\untitled3\.\hubs\hadoop,develop,732454,alexeyAP1,2023-04-29T19:07:13.000Z,9.2K,,9.2K,26,16,/ru/hubs/bigdata/
D:\untitled3\.\hubs\hadoop,develop,720050,Toor3-14,2023-03-02T13:36:17.000Z,16K,,16K,54,7,/ru/hubs/java/
D:\untitled3\.\hubs\hadoop,develop,712246,NewTechAudit,2023-01-23T11:31:09.000Z,4.1K,,4.1K,25,11,/ru/hubs/programming/
D:\untitled3\.\hubs\hadoop,develop,710338,rufous86,2023-01-12T19:27:05.000Z,1.9K,,1.9K,15,1,/ru/hubs/python/
D:\untitled3\.\hubs\hadoop,develop,708468,rufous86,2022-12-29T12:27:22.000Z,18K,,18K,78,4,/ru/hubs/python/
D:\untitled3\.\hubs\hadoop,develop,703608,Sber,2022-12-05T13:40:59.000Z,1.4K,,1.4K,19,0,/ru/companies/sberbank/articles/
D:\untitled3\.\hubs\hadoop,develop,698758,bmurashin,2022-11-11T14:48:59.000Z,4.2K,,4.2K,19,7,/ru/companies/X5Tech/articles/
