hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\hardware,null,776488,RadioCaroline,2023-11-26T15:22:37.000Z,619,,619,6,0,/ru/hubs/hardware/
D:\untitled3\.\hubs\hardware,null,776412,Seleditor,2023-11-26T01:22:54.000Z,9.9K,,9.9K,13,15,/ru/companies/selectel/articles/
D:\untitled3\.\hubs\hardware,null,776404,jarkevithwlad,2023-11-25T21:39:30.000Z,5.3K,,5.3K,18,37,/ru/hubs/hardware/
D:\untitled3\.\hubs\hardware,null,776292,omyhosts,2023-11-24T21:17:28.000Z,42K,,42K,55,159,/ru/companies/ispsystem/articles/
D:\untitled3\.\hubs\hardware,null,776016,xanderxanderfto,2023-11-23T15:22:30.000Z,19K,,19K,49,94,/ru/hubs/hardware/
D:\untitled3\.\hubs\hardware,null,775830,divolko3,2023-11-23T07:16:33.000Z,3.1K,,3.1K,8,1,/ru/companies/ru_mts/articles/
D:\untitled3\.\hubs\hardware,null,775488,rcl,2023-11-21T19:03:15.000Z,12K,,12K,43,29,/ru/hubs/linux/
D:\untitled3\.\hubs\hardware,null,773946,Tirarex,2023-11-21T13:00:01.000Z,55K,,55K,259,205,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\hardware,null,775240,TVExpert,2023-11-21T05:45:26.000Z,18K,,18K,73,79,/ru/hubs/hardware/
D:\untitled3\.\hubs\hardware,null,775238,aaplpro,2023-11-21T01:48:32.000Z,959,,959,1,0,/ru/hubs/gadgets/
D:\untitled3\.\hubs\hardware,null,774882,SergiiDia,2023-11-19T05:47:58.000Z,13K,,13K,16,96,/ru/hubs/hardware/
D:\untitled3\.\hubs\hardware,null,774624,aabzel,2023-11-19T00:21:44.000Z,5.5K,,5.5K,35,33,/ru/hubs/c/
D:\untitled3\.\hubs\hardware,null,774860,Mr_Volkula,2023-11-18T19:53:02.000Z,21K,,21K,88,97,/ru/hubs/programming/
D:\untitled3\.\hubs\hardware,null,774834,mdmitry1,2023-11-18T13:49:51.000Z,8.9K,,8.9K,19,48,/ru/hubs/hardware/
D:\untitled3\.\hubs\hardware,null,774748,divolko3,2023-11-18T09:00:01.000Z,4.6K,,4.6K,12,2,/ru/companies/ru_mts/articles/
D:\untitled3\.\hubs\hardware,null,774766,Albert_Wesker,2023-11-18T08:01:01.000Z,3.5K,,3.5K,30,16,/ru/companies/timeweb/articles/
D:\untitled3\.\hubs\hardware,null,774782,Seleditor,2023-11-18T02:29:24.000Z,13K,,13K,23,44,/ru/companies/selectel/articles/
D:\untitled3\.\hubs\hardware,null,774248,rcl,2023-11-16T11:37:07.000Z,3.2K,,3.2K,18,2,/ru/hubs/nix/
D:\untitled3\.\hubs\hardware,null,774310,divolko3,2023-11-16T09:49:46.000Z,6.8K,,6.8K,12,26,/ru/companies/ru_mts/articles/
D:\untitled3\.\hubs\hardware,null,773852,rcl,2023-11-15T17:13:15.000Z,3.8K,,3.8K,20,8,/ru/hubs/linux_dev/
D:\untitled3\.\hubs\hardware,null,774140,divolko3,2023-11-15T16:00:01.000Z,11K,,11K,20,8,/ru/companies/ru_mts/articles/
D:\untitled3\.\hubs\hardware,null,773880,BiktorSergeev,2023-11-14T16:30:01.000Z,5.4K,,5.4K,13,6,/ru/companies/ru_mts/articles/
D:\untitled3\.\hubs\hardware,null,773662,divolko3,2023-11-13T18:00:01.000Z,5K,,5K,21,6,/ru/companies/ru_mts/articles/
D:\untitled3\.\hubs\hardware,null,773682,aaplpro,2023-11-13T16:50:27.000Z,1.2K,,1.2K,2,0,/ru/hubs/gadgets/
D:\untitled3\.\hubs\hardware,null,773438,DRoman0v,2023-11-12T21:26:41.000Z,12K,,12K,6,31,/ru/companies/selectel/articles/
D:\untitled3\.\hubs\hardware,null,773286,divolko3,2023-11-12T10:00:02.000Z,6.6K,,6.6K,13,25,/ru/companies/ru_mts/articles/
D:\untitled3\.\hubs\hardware,null,773338,Seleditor,2023-11-12T02:08:45.000Z,16K,,16K,39,14,/ru/companies/selectel/articles/
D:\untitled3\.\hubs\hardware,null,769942,SergeyNovak,2023-11-11T14:00:02.000Z,12K,,12K,110,30,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\hardware,null,772968,CyberPaul,2023-11-10T12:40:10.000Z,59K,,59K,117,236,/ru/companies/serverspace/articles/
D:\untitled3\.\hubs\hardware,null,773110,BiktorSergeev,2023-11-10T10:01:50.000Z,5.1K,,5.1K,22,5,/ru/companies/ru_mts/articles/
D:\untitled3\.\hubs\hardware,null,772970,Seleditor,2023-11-09T16:30:03.000Z,27K,,27K,20,52,/ru/companies/selectel/articles/
D:\untitled3\.\hubs\hardware,null,772546,skovalev,2023-11-08T12:37:55.000Z,8.3K,,8.3K,9,6,/ru/companies/selectel/articles/
D:\untitled3\.\hubs\hardware,null,770724,bodyawm,2023-11-08T08:01:01.000Z,11K,,11K,30,147,/ru/companies/timeweb/articles/
D:\untitled3\.\hubs\hardware,null,772406,aaplpro,2023-11-07T15:49:02.000Z,1.1K,,1.1K,3,1,/ru/hubs/gadgets/
D:\untitled3\.\hubs\hardware,null,771968,Lexus08,2023-11-06T12:26:58.000Z,7.6K,,7.6K,20,23,/ru/hubs/hardware/
D:\untitled3\.\hubs\hardware,null,770106,AvramovMax,2023-11-06T10:31:01.000Z,9.9K,,9.9K,51,14,/ru/companies/first/articles/
D:\untitled3\.\hubs\hardware,null,772062,Seleditor,2023-11-06T01:58:12.000Z,22K,,22K,24,58,/ru/companies/selectel/articles/
D:\untitled3\.\hubs\hardware,null,772038,SergiiDia,2023-11-05T16:04:51.000Z,34K,,34K,23,144,/ru/hubs/hardware/
D:\untitled3\.\hubs\hardware,null,771960,Seleditor,2023-11-05T01:44:24.000Z,25K,,25K,29,29,/ru/companies/selectel/articles/
D:\untitled3\.\hubs\hardware,null,771478,Mixail_Sviridov,2023-11-02T09:40:12.000Z,3.2K,,3.2K,3,9,/ru/companies/ru_mts/articles/
