hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\haskell,develop,774536,Ilya_Novarchuk,2023-11-17T07:31:10.000Z,1.9K,,1.9K,18,10,without_company
D:\untitled3\.\hubs\haskell,develop,772984,KirillBelovTest,2023-11-13T19:25:56.000Z,15K,,15K,58,94,without_company
D:\untitled3\.\hubs\haskell,develop,760672,includedlibrary,2023-10-14T13:56:25.000Z,2.4K,,2.4K,31,0,without_company
D:\untitled3\.\hubs\haskell,develop,765446,mojojojo,2023-10-05T05:59:56.000Z,4.6K,,4.6K,12,12,without_company
D:\untitled3\.\hubs\haskell,develop,739578,orenty7,2023-06-02T17:47:23.000Z,9.6K,,9.6K,61,17,without_company
D:\untitled3\.\hubs\haskell,develop,709622,goosedb,2023-01-09T14:51:55.000Z,5.4K,,5.4K,29,19,without_company
D:\untitled3\.\hubs\haskell,develop,706874,itmo,2022-12-21T12:35:53.000Z,1.8K,,1.8K,14,0,without_company
D:\untitled3\.\hubs\haskell,develop,694944,DeniLarks,2022-10-23T10:37:07.000Z,2.7K,,2.7K,10,4,without_company
D:\untitled3\.\hubs\haskell,develop,690992,Tituch,2022-10-03T09:13:36.000Z,8.2K,,8.2K,24,14,without_company
D:\untitled3\.\hubs\haskell,develop,680254,RomanShtykh,2022-08-01T13:10:41.000Z,1.4K,,1.4K,1,0,without_company
D:\untitled3\.\hubs\haskell,develop,677892,RomanShtykh,2022-07-20T09:30:11.000Z,1.6K,,1.6K,6,3,without_company
D:\untitled3\.\hubs\haskell,develop,676534,RomanShtykh,2022-07-12T13:03:59.000Z,4.8K,,4.8K,19,10,without_company
D:\untitled3\.\hubs\haskell,develop,675638,NewTechAudit,2022-07-07T10:24:08.000Z,4.2K,,4.2K,21,0,without_company
D:\untitled3\.\hubs\haskell,develop,667058,includedlibrary,2022-05-28T17:06:55.000Z,3.8K,,3.8K,28,2,without_company
D:\untitled3\.\hubs\haskell,develop,666280,igor720,2022-05-26T07:13:34.000Z,4.2K,,4.2K,11,2,without_company
D:\untitled3\.\hubs\haskell,develop,663284,igor720,2022-04-27T13:29:35.000Z,3K,,3K,8,7,without_company
D:\untitled3\.\hubs\haskell,develop,647575,iokasimov,2022-01-25T14:09:37.000Z,2.8K,,2.8K,13,3,without_company
D:\untitled3\.\hubs\haskell,develop,646143,samsergey,2022-01-24T15:08:22.000Z,4.3K,,4.3K,26,1,without_company
D:\untitled3\.\hubs\haskell,develop,598363,aleksey-makarov,2021-12-28T10:43:23.000Z,2.7K,,2.7K,17,5,without_company
D:\untitled3\.\hubs\haskell,develop,595567,pythonMyLife,2021-12-14T15:04:12.000Z,2.9K,,2.9K,6,16,without_company
D:\untitled3\.\hubs\haskell,develop,595289,fierce-katie,2021-12-13T15:07:00.000Z,22K,,22K,51,27,without_company
D:\untitled3\.\hubs\haskell,develop,591949,samsergey,2021-11-29T11:53:02.000Z,5.7K,,5.7K,20,15,without_company
D:\untitled3\.\hubs\haskell,develop,584328,Absolute_Nikola,2021-10-19T12:50:17.000Z,8.7K,,8.7K,41,34,without_company
D:\untitled3\.\hubs\haskell,develop,581234,VoidDruid,2021-10-06T20:13:47.000Z,7.5K,,7.5K,61,2,without_company
D:\untitled3\.\hubs\haskell,develop,578070,goosedb,2021-09-15T11:19:02.000Z,4.5K,,4.5K,24,3,without_company
D:\untitled3\.\hubs\haskell,develop,570922,fierce-katie,2021-08-02T15:04:37.000Z,3.6K,,3.6K,24,1,without_company
D:\untitled3\.\hubs\haskell,develop,563550,anisimoffnikita,2021-06-18T15:01:42.000Z,2.6K,,2.6K,28,0,without_company
D:\untitled3\.\hubs\haskell,develop,561176,iokasimov,2021-06-09T07:01:33.000Z,8.5K,,8.5K,19,7,without_company
D:\untitled3\.\hubs\haskell,develop,560286,fierce-katie,2021-05-31T15:20:58.000Z,8.2K,,8.2K,33,60,without_company
D:\untitled3\.\hubs\haskell,develop,557852,anisimoffnikita,2021-05-17T15:05:20.000Z,2.2K,,2.2K,24,0,without_company
D:\untitled3\.\hubs\haskell,develop,554516,denisredozubov,2021-04-26T14:49:48.000Z,7.4K,,7.4K,18,12,without_company
D:\untitled3\.\hubs\haskell,develop,551504,letovs,2021-04-08T15:31:17.000Z,6.1K,,6.1K,29,20,without_company
D:\untitled3\.\hubs\haskell,develop,549542,anisimoffnikita,2021-03-29T13:54:12.000Z,2.5K,,2.5K,27,2,without_company
D:\untitled3\.\hubs\haskell,develop,548574,denisredozubov,2021-03-23T14:19:09.000Z,6.3K,,6.3K,25,13,without_company
D:\untitled3\.\hubs\haskell,develop,547204,vkni,2021-03-15T17:34:27.000Z,2.9K,,2.9K,20,7,without_company
D:\untitled3\.\hubs\haskell,develop,544848,klntsky,2021-03-02T13:48:23.000Z,3.6K,,3.6K,18,2,without_company
D:\untitled3\.\hubs\haskell,develop,543998,anisimoffnikita,2021-02-24T15:53:52.000Z,8.1K,,8.1K,55,2,without_company
D:\untitled3\.\hubs\haskell,develop,542724,tw_community,2021-02-16T15:41:18.000Z,2.2K,,2.2K,17,2,without_company
D:\untitled3\.\hubs\haskell,develop,536088,iokasimov,2021-01-04T18:50:58.000Z,5K,,5K,33,0,without_company
D:\untitled3\.\hubs\haskell,develop,522870,iokasimov,2020-10-18T16:44:12.000Z,8.2K,,8.2K,51,17,without_company
D:\untitled3\.\hubs\haskell,develop,520428,ru_vds,2020-09-25T13:16:01.000Z,96K,,96K,39,273,without_company
D:\untitled3\.\hubs\haskell,develop,517422,catstail1954,2020-09-02T07:53:05.000Z,4.8K,,4.8K,20,6,without_company
D:\untitled3\.\hubs\haskell,develop,515442,goosedb,2020-08-17T11:29:12.000Z,3.3K,,3.3K,26,2,without_company
D:\untitled3\.\hubs\haskell,develop,513464,iokasimov,2020-08-02T12:57:15.000Z,11K,,11K,48,4,without_company
D:\untitled3\.\hubs\haskell,develop,510648,easimonenko,2020-07-12T21:02:52.000Z,3.9K,,3.9K,24,3,without_company
D:\untitled3\.\hubs\haskell,develop,508828,VoidDruid,2020-06-29T17:47:07.000Z,5.6K,,5.6K,44,9,without_company
D:\untitled3\.\hubs\haskell,develop,507674,dempfi,2020-06-22T11:00:10.000Z,5K,,5K,26,20,without_company
D:\untitled3\.\hubs\haskell,develop,497980,iokasimov,2020-04-19T15:06:33.000Z,7.7K,,7.7K,35,51,without_company
D:\untitled3\.\hubs\haskell,develop,496370,0xd34df00d,2020-04-09T15:30:08.000Z,6.8K,,6.8K,34,34,without_company
D:\untitled3\.\hubs\haskell,develop,490458,technic93,2020-02-28T19:20:35.000Z,17K,,17K,61,142,without_company
D:\untitled3\.\hubs\haskell,develop,490416,avsmal,2020-02-28T15:09:21.000Z,5K,,5K,78,3,without_company
D:\untitled3\.\hubs\haskell,develop,489958,yleo,2020-02-26T06:02:50.000Z,29K,,29K,69,158,without_company
D:\untitled3\.\hubs\haskell,develop,489136,0xd34df00d,2020-02-20T15:15:34.000Z,18K,,18K,56,116,without_company
D:\untitled3\.\hubs\haskell,develop,474908,0xd34df00d,2020-02-14T07:18:56.000Z,7.1K,,7.1K,77,2,without_company
D:\untitled3\.\hubs\haskell,develop,486604,nlinker,2020-02-02T18:09:58.000Z,25K,,25K,96,440,without_company
D:\untitled3\.\hubs\haskell,develop,486130,hse_spb,2020-01-31T14:30:00.000Z,4.3K,,4.3K,21,2,without_company
