hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\hi,null,776500,antonkurakin,2023-11-26T16:34:28.000Z,318,,318,3,2,/ru/hubs/java/
D:\untitled3\.\hubs\hi,null,775868,Bright_Translate,2023-11-26T10:00:02.000Z,2.3K,,2.3K,30,4,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\hi,null,776412,Seleditor,2023-11-26T01:22:54.000Z,10K,,10K,13,15,/ru/companies/selectel/articles/
D:\untitled3\.\hubs\hi,null,776132,antonaleks605,2023-11-24T12:28:56.000Z,1.7K,,1.7K,27,6,/ru/companies/selectel/articles/
D:\untitled3\.\hubs\hi,null,775934,Rombneromb,2023-11-24T08:55:15.000Z,1.1K,,1.1K,5,2,/ru/companies/oleg-bunin/articles/
D:\untitled3\.\hubs\hi,null,775604,Rombneromb,2023-11-22T09:02:04.000Z,1.3K,,1.3K,16,0,/ru/companies/oleg-bunin/articles/
D:\untitled3\.\hubs\hi,null,771712,splarv,2023-11-21T08:00:02.000Z,5.9K,,5.9K,72,7,/ru/companies/domclick/articles/
D:\untitled3\.\hubs\hi,null,774712,napit_ok,2023-11-20T10:41:49.000Z,18K,,18K,175,16,/ru/companies/ozontech/articles/
D:\untitled3\.\hubs\hi,null,774998,Rombneromb,2023-11-20T08:58:02.000Z,1.6K,,1.6K,18,0,/ru/companies/oleg-bunin/articles/
D:\untitled3\.\hubs\hi,null,774958,AlexChroot,2023-11-19T18:22:52.000Z,5K,,5K,7,8,/ru/hubs/hi/
D:\untitled3\.\hubs\hi,null,774754,rebuilder,2023-11-19T13:17:35.000Z,3.4K,,3.4K,34,38,/ru/hubs/hi/
D:\untitled3\.\hubs\hi,null,774316,vanellopka,2023-11-16T14:08:17.000Z,640,,640,8,2,/ru/companies/selectel/articles/
D:\untitled3\.\hubs\hi,null,774322,tfkfan,2023-11-16T10:06:17.000Z,7.1K,,7.1K,81,5,/ru/hubs/hi/
D:\untitled3\.\hubs\hi,null,773948,AndreyDmitriev,2023-11-15T16:24:29.000Z,3.1K,,3.1K,37,12,/ru/hubs/hi/
D:\untitled3\.\hubs\hi,null,773680,BinCat,2023-11-14T09:59:01.000Z,7.6K,,7.6K,48,28,/ru/hubs/hi/
D:\untitled3\.\hubs\hi,null,773584,Rombneromb,2023-11-13T12:32:09.000Z,6.8K,,6.8K,23,2,/ru/companies/oleg-bunin/articles/
D:\untitled3\.\hubs\hi,null,773516,koloskovv,2023-11-13T09:55:56.000Z,4.3K,,4.3K,23,0,/ru/companies/softpoint/articles/
D:\untitled3\.\hubs\hi,null,773376,lebron32rus,2023-11-12T14:04:18.000Z,17K,,17K,158,7,/ru/hubs/hi/
D:\untitled3\.\hubs\hi,null,773038,Aconitum_napellus,2023-11-10T11:06:56.000Z,22K,,22K,176,81,/ru/companies/ozontech/articles/
D:\untitled3\.\hubs\hi,null,764512,n27051538,2023-11-10T10:21:20.000Z,726,,726,17,0,/ru/companies/bercut/articles/
D:\untitled3\.\hubs\hi,null,772706,EntityFX,2023-11-08T18:38:40.000Z,1.6K,,1.6K,13,0,/ru/companies/icl_group/articles/
D:\untitled3\.\hubs\hi,null,772476,VadimLunin,2023-11-08T06:00:02.000Z,2.8K,,2.8K,37,1,/ru/hubs/hi/
D:\untitled3\.\hubs\hi,null,770120,Rider_GT,2023-11-05T16:07:15.000Z,55K,,55K,55,80,/ru/companies/selectel/articles/
D:\untitled3\.\hubs\hi,null,771406,Kilor,2023-11-02T06:45:32.000Z,13K,,13K,92,13,/ru/companies/tensor/articles/
D:\untitled3\.\hubs\hi,null,770938,Rombneromb,2023-10-31T09:39:38.000Z,4.4K,,4.4K,19,7,/ru/companies/oleg-bunin/articles/
D:\untitled3\.\hubs\hi,null,769808,Bright_Translate,2023-10-27T13:00:02.000Z,16K,,16K,109,12,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\hi,null,769508,anton_esh,2023-10-27T10:08:55.000Z,2K,,2K,18,0,/ru/companies/vk/articles/
D:\untitled3\.\hubs\hi,null,768266,amas1ov,2023-10-25T08:43:56.000Z,4.3K,,4.3K,49,4,/ru/companies/cloud_mts/articles/
