hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\history,null,776494,DrArgentum,2023-11-26T15:42:41.000Z,1.1K,,1.1K,2,0,without_company
D:\untitled3\.\hubs\history,null,776488,RadioCaroline,2023-11-26T15:22:37.000Z,627,,627,6,0,without_company
D:\untitled3\.\hubs\history,null,776468,AKlimenkov,2023-11-26T14:12:05.000Z,1.8K,,1.8K,13,8,without_company
D:\untitled3\.\hubs\history,null,776324,ivansychev,2023-11-25T07:02:55.000Z,3.4K,,3.4K,16,13,without_company
D:\untitled3\.\hubs\history,null,776246,mvideo,2023-11-24T15:25:47.000Z,6K,,6K,18,30,without_company
D:\untitled3\.\hubs\history,null,776226,Oksana_Nedvigina,2023-11-24T13:53:02.000Z,1.3K,,1.3K,19,3,without_company
D:\untitled3\.\hubs\history,null,776184,DrArgentum,2023-11-24T11:58:25.000Z,8.6K,,8.6K,38,47,without_company
D:\untitled3\.\hubs\history,null,776108,RoboForm,2023-11-24T07:24:58.000Z,40K,,40K,94,90,without_company
D:\untitled3\.\hubs\history,null,775200,shiru8bit,2023-11-23T09:00:02.000Z,6.9K,,6.9K,52,37,without_company
D:\untitled3\.\hubs\history,null,775660,klimensky,2023-11-22T11:44:04.000Z,3.6K,,3.6K,25,7,without_company
D:\untitled3\.\hubs\history,null,774402,Krotesk,2023-11-21T10:20:45.000Z,4.6K,,4.6K,12,39,without_company
D:\untitled3\.\hubs\history,null,775080,DrArgentum,2023-11-20T10:10:14.000Z,9.1K,,9.1K,9,99,without_company
D:\untitled3\.\hubs\history,null,775014,jasiejames,2023-11-20T08:23:02.000Z,1.3K,,1.3K,12,0,without_company
D:\untitled3\.\hubs\history,null,774982,DRoman0v,2023-11-19T23:24:29.000Z,5.5K,,5.5K,4,25,without_company
D:\untitled3\.\hubs\history,null,774692,gregyku,2023-11-17T13:31:54.000Z,2.5K,,2.5K,18,6,without_company
D:\untitled3\.\hubs\history,null,774634,klimensky,2023-11-17T11:14:02.000Z,6.6K,,6.6K,40,32,without_company
D:\untitled3\.\hubs\history,null,774114,CyberPaul,2023-11-16T10:30:46.000Z,6.8K,,6.8K,36,21,without_company
D:\untitled3\.\hubs\history,null,774198,Exilon,2023-11-15T22:30:25.000Z,4.6K,,4.6K,48,31,without_company
D:\untitled3\.\hubs\history,null,774122,Oksana_Nedvigina,2023-11-15T13:34:58.000Z,8.4K,,8.4K,41,65,without_company
D:\untitled3\.\hubs\history,null,774086,IgnatChuker,2023-11-15T11:36:11.000Z,2.6K,,2.6K,13,5,without_company
D:\untitled3\.\hubs\history,null,773880,BiktorSergeev,2023-11-14T16:30:01.000Z,5.4K,,5.4K,13,6,without_company
D:\untitled3\.\hubs\history,null,772440,ereinion,2023-11-14T08:01:02.000Z,4.2K,,4.2K,14,8,without_company
D:\untitled3\.\hubs\history,null,771414,Doctor_IT,2023-11-14T07:55:11.000Z,6.4K,,6.4K,9,76,without_company
D:\untitled3\.\hubs\history,null,773662,divolko3,2023-11-13T18:00:01.000Z,5K,,5K,21,6,without_company
D:\untitled3\.\hubs\history,null,773438,DRoman0v,2023-11-12T21:26:41.000Z,12K,,12K,6,31,without_company
D:\untitled3\.\hubs\history,null,773156,Firemoon,2023-11-10T14:50:46.000Z,5.3K,,5.3K,21,38,without_company
D:\untitled3\.\hubs\history,null,773184,gregyku,2023-11-10T14:33:49.000Z,1.4K,,1.4K,20,0,without_company
D:\untitled3\.\hubs\history,null,773140,IgnatChuker,2023-11-10T11:52:49.000Z,2K,,2K,11,1,without_company
D:\untitled3\.\hubs\history,null,768412,iloveradio,2023-11-10T08:07:01.000Z,11K,,11K,31,10,without_company
D:\untitled3\.\hubs\history,null,772866,fursovairina,2023-11-09T10:51:49.000Z,16K,,16K,22,29,without_company
D:\untitled3\.\hubs\history,null,772520,FreightOne,2023-11-08T11:31:24.000Z,3.8K,,3.8K,25,11,without_company
D:\untitled3\.\hubs\history,null,772078,AlexanderByndyu,2023-11-06T07:39:12.000Z,5.7K,,5.7K,47,39,without_company
D:\untitled3\.\hubs\history,null,772062,Seleditor,2023-11-06T01:58:12.000Z,22K,,22K,24,58,without_company
D:\untitled3\.\hubs\history,null,771816,divolko3,2023-11-05T09:00:02.000Z,9.7K,,9.7K,21,48,without_company
D:\untitled3\.\hubs\history,null,771510,JustJeremy,2023-11-02T11:32:44.000Z,4.6K,,4.6K,12,5,without_company
D:\untitled3\.\hubs\history,null,771294,klimensky,2023-11-01T11:27:31.000Z,8.6K,,8.6K,26,30,without_company
D:\untitled3\.\hubs\history,null,771174,YarIkGU,2023-11-01T03:35:04.000Z,4.1K,,4.1K,8,37,without_company
D:\untitled3\.\hubs\history,null,770968,knyazevay,2023-10-31T09:53:03.000Z,4.3K,,4.3K,27,19,without_company
D:\untitled3\.\hubs\history,null,768556,HannaBilova,2023-10-31T09:29:21.000Z,4.9K,,4.9K,23,1,without_company
D:\untitled3\.\hubs\history,null,769934,wwakabobik,2023-10-31T08:34:02.000Z,6K,,6K,24,17,without_company
D:\untitled3\.\hubs\history,null,770818,BiktorSergeev,2023-10-30T14:56:32.000Z,7.1K,,7.1K,11,8,without_company
D:\untitled3\.\hubs\history,null,770752,klimensky,2023-10-30T11:31:40.000Z,2.1K,,2.1K,10,3,without_company
D:\untitled3\.\hubs\history,null,767864,SergioShpadi,2023-10-29T22:49:01.000Z,34K,,34K,196,103,without_company
D:\untitled3\.\hubs\history,null,770630,DRoman0v,2023-10-29T20:38:17.000Z,9.8K,,9.8K,10,30,without_company
D:\untitled3\.\hubs\history,null,770608,GlobalSign_admin,2023-10-29T18:13:55.000Z,4.2K,,4.2K,17,10,without_company
D:\untitled3\.\hubs\history,null,770092,CyberPaul,2023-10-26T11:30:59.000Z,12K,,12K,38,11,without_company
D:\untitled3\.\hubs\history,null,769324,shiru8bit,2023-10-26T09:00:02.000Z,11K,,11K,57,13,without_company
D:\untitled3\.\hubs\history,null,770060,Cloud4Y,2023-10-26T08:52:21.000Z,3.4K,,3.4K,30,18,without_company
D:\untitled3\.\hubs\history,null,769830,Qisvis,2023-10-25T10:30:48.000Z,5.1K,,5.1K,19,16,without_company
D:\untitled3\.\hubs\history,null,769302,BiktorSergeev,2023-10-23T15:00:02.000Z,12K,,12K,16,36,without_company
D:\untitled3\.\hubs\history,null,768074,CyberPaul,2023-10-20T10:20:59.000Z,6.9K,,6.9K,41,8,without_company
D:\untitled3\.\hubs\history,null,768718,ivansychev,2023-10-20T08:00:01.000Z,17K,,17K,47,45,without_company
D:\untitled3\.\hubs\history,null,767602,shiru8bit,2023-10-19T09:00:02.000Z,7.2K,,7.2K,34,10,without_company
D:\untitled3\.\hubs\history,null,768302,nadzhim,2023-10-18T12:14:45.000Z,1.5K,,1.5K,12,1,without_company
D:\untitled3\.\hubs\history,null,754516,suburg,2023-10-18T11:58:23.000Z,16K,,16K,40,84,without_company
D:\untitled3\.\hubs\history,null,767910,ru_vds,2023-10-18T09:00:01.000Z,8.7K,,8.7K,100,8,without_company
D:\untitled3\.\hubs\history,null,768018,jasiejames,2023-10-18T08:05:01.000Z,1.9K,,1.9K,11,10,without_company
D:\untitled3\.\hubs\history,null,766138,TilekSamiev,2023-10-17T08:01:02.000Z,8.3K,,8.3K,38,19,without_company
D:\untitled3\.\hubs\history,null,766220,Krotesk,2023-10-17T07:30:58.000Z,4.2K,,4.2K,18,24,without_company
D:\untitled3\.\hubs\history,null,767388,Kekovsky,2023-10-13T17:07:13.000Z,14K,,14K,17,69,without_company
D:\untitled3\.\hubs\history,null,766630,Bright_Translate,2023-10-13T13:00:01.000Z,9.8K,,9.8K,30,31,without_company
D:\untitled3\.\hubs\history,null,765936,klimensky,2023-10-13T10:48:24.000Z,4.5K,,4.5K,34,9,without_company
D:\untitled3\.\hubs\history,null,765458,Holmogorov,2023-10-13T09:00:01.000Z,7.6K,,7.6K,37,11,without_company
D:\untitled3\.\hubs\history,null,767042,quorcs,2023-10-12T12:13:14.000Z,4.3K,,4.3K,22,18,without_company
D:\untitled3\.\hubs\history,null,766434,jasiejames,2023-10-11T08:15:02.000Z,1.2K,,1.2K,8,0,without_company
D:\untitled3\.\hubs\history,null,765934,klimensky,2023-10-10T09:12:02.000Z,12K,,12K,43,7,without_company
D:\untitled3\.\hubs\history,null,766300,BiktorSergeev,2023-10-09T14:24:30.000Z,11K,,11K,29,16,without_company
D:\untitled3\.\hubs\history,null,765980,yuryweiland,2023-10-07T17:21:51.000Z,3.9K,,3.9K,12,9,without_company
D:\untitled3\.\hubs\history,null,765794,klimensky,2023-10-06T11:14:02.000Z,5.3K,,5.3K,18,18,without_company
D:\untitled3\.\hubs\history,null,764594,Krotesk,2023-10-06T11:02:20.000Z,3K,,3K,32,8,without_company
D:\untitled3\.\hubs\history,null,765614,YandexCloudEditor,2023-10-06T09:00:04.000Z,1.7K,,1.7K,8,3,without_company
D:\untitled3\.\hubs\history,null,764988,ptsecurity,2023-10-05T08:16:21.000Z,1.8K,,1.8K,12,1,without_company
D:\untitled3\.\hubs\history,null,765348,gregyku,2023-10-04T16:00:02.000Z,2.9K,,2.9K,23,2,without_company
D:\untitled3\.\hubs\history,null,765016,saipr,2023-10-03T16:32:08.000Z,3.3K,,3.3K,13,12,without_company
D:\untitled3\.\hubs\history,null,764886,gregyku,2023-10-02T16:00:01.000Z,4.5K,,4.5K,26,14,without_company
