hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\home_automation,null,775772,Dmitrii43,2023-11-23T07:00:02.000Z,8.2K,,8.2K,30,35,/ru/companies/wirenboard/articles/
D:\untitled3\.\hubs\home_automation,null,775226,Dmitrii43,2023-11-21T07:00:02.000Z,2K,,2K,18,8,/ru/companies/wirenboard/articles/
D:\untitled3\.\hubs\home_automation,null,774492,Ivan_NFCKEY,2023-11-16T19:43:03.000Z,4.2K,,4.2K,27,193,/ru/companies/nfckey/articles/
D:\untitled3\.\hubs\home_automation,null,774212,BarakAdama,2023-11-16T09:00:03.000Z,17K,,17K,42,70,/ru/companies/yandex/articles/
D:\untitled3\.\hubs\home_automation,null,773620,empenoso,2023-11-14T10:02:13.000Z,3.2K,,3.2K,46,15,/ru/hubs/open_source/
D:\untitled3\.\hubs\home_automation,null,773714,Dmitrii43,2023-11-14T07:00:02.000Z,4.6K,,4.6K,20,11,/ru/companies/wirenboard/articles/
D:\untitled3\.\hubs\home_automation,null,772122,Dmitrii43,2023-11-07T07:00:02.000Z,4.5K,,4.5K,25,15,/ru/companies/wirenboard/articles/
D:\untitled3\.\hubs\home_automation,null,770722,RyabovA,2023-11-06T11:46:12.000Z,6.2K,,6.2K,67,21,/ru/hubs/python/
D:\untitled3\.\hubs\home_automation,null,771886,belokobylskiy,2023-11-06T07:18:41.000Z,14K,,14K,60,15,/ru/hubs/controllers/
D:\untitled3\.\hubs\home_automation,null,772006,iMonin,2023-11-05T11:15:40.000Z,19K,,19K,96,109,/ru/hubs/popular_science/
D:\untitled3\.\hubs\home_automation,null,770882,Dmitrii43,2023-10-31T07:00:01.000Z,14K,,14K,89,28,/ru/companies/wirenboard/articles/
D:\untitled3\.\hubs\home_automation,null,770624,GenkaOk,2023-10-30T07:56:10.000Z,17K,,17K,67,21,/ru/hubs/home_automation/
D:\untitled3\.\hubs\home_automation,null,769966,Dmitrii43,2023-10-26T07:00:03.000Z,1.7K,,1.7K,10,7,/ru/companies/wirenboard/articles/
D:\untitled3\.\hubs\home_automation,null,769142,CyberexTech,2023-10-23T14:01:01.000Z,21K,,21K,118,86,/ru/companies/timeweb/articles/
D:\untitled3\.\hubs\home_automation,null,768864,mpei_iot,2023-10-21T09:00:04.000Z,31K,,31K,67,51,/ru/companies/samsung/articles/
D:\untitled3\.\hubs\home_automation,null,764646,smart_alex,2023-10-19T08:01:03.000Z,8.2K,,8.2K,40,21,/ru/companies/timeweb/articles/
D:\untitled3\.\hubs\home_automation,null,767886,belokobylskiy,2023-10-17T08:48:28.000Z,47K,,47K,184,134,/ru/hubs/home_automation/
D:\untitled3\.\hubs\home_automation,null,767094,CyberexTech,2023-10-16T08:01:02.000Z,7.6K,,7.6K,57,30,/ru/companies/timeweb/articles/
D:\untitled3\.\hubs\home_automation,null,764180,Tirarex,2023-10-15T14:00:02.000Z,17K,,17K,96,59,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\home_automation,null,766876,Dmitrii43,2023-10-12T07:00:04.000Z,10K,,10K,91,60,/ru/companies/wirenboard/articles/
D:\untitled3\.\hubs\home_automation,null,765232,wofs,2023-10-10T07:00:01.000Z,15K,,15K,106,14,/ru/companies/wirenboard/articles/
D:\untitled3\.\hubs\home_automation,null,764880,AlexxIT,2023-10-09T06:00:19.000Z,14K,,14K,35,12,/ru/hubs/yandex_api/
D:\untitled3\.\hubs\home_automation,null,765804,Viktor-235,2023-10-06T11:24:59.000Z,23K,,23K,184,59,/ru/companies/banki/articles/
D:\untitled3\.\hubs\home_automation,null,764778,wofs,2023-10-03T07:00:02.000Z,26K,,26K,183,35,/ru/companies/wirenboard/articles/
D:\untitled3\.\hubs\home_automation,null,764696,stalinets,2023-10-01T19:50:09.000Z,4.7K,,4.7K,10,26,/ru/hubs/gadgets/
D:\untitled3\.\hubs\home_automation,null,762730,LazyDev,2023-09-30T17:27:55.000Z,26K,,26K,164,98,/ru/hubs/home_automation/
D:\untitled3\.\hubs\home_automation,null,763412,Dmitrii43,2023-09-26T07:00:03.000Z,4K,,4K,14,18,/ru/companies/wirenboard/articles/
D:\untitled3\.\hubs\home_automation,null,762422,Dmitrii43,2023-09-21T07:00:01.000Z,8.8K,,8.8K,31,35,/ru/companies/wirenboard/articles/
D:\untitled3\.\hubs\home_automation,null,762252,MarkParker5,2023-09-20T09:27:41.000Z,6.6K,,6.6K,71,10,/ru/hubs/python/
D:\untitled3\.\hubs\home_automation,null,746822,Lexus08,2023-09-19T14:14:34.000Z,14K,,14K,36,20,/ru/hubs/home_automation/
D:\untitled3\.\hubs\home_automation,null,759858,AlexxIT,2023-09-19T06:04:55.000Z,17K,,17K,67,21,/ru/hubs/yandex_api/
D:\untitled3\.\hubs\home_automation,null,761128,Berkseo,2023-09-14T16:15:15.000Z,15K,,15K,72,59,/ru/hubs/wireless/
D:\untitled3\.\hubs\home_automation,null,760488,voznemozhno,2023-09-12T11:16:14.000Z,9K,,9K,59,40,/ru/hubs/cpp/
D:\untitled3\.\hubs\home_automation,null,759964,lenz1986,2023-09-11T06:58:31.000Z,17K,,17K,117,22,/ru/hubs/home_automation/
D:\untitled3\.\hubs\home_automation,null,760048,tmv002,2023-09-10T12:11:24.000Z,13K,,13K,71,29,/ru/hubs/python/
D:\untitled3\.\hubs\home_automation,null,758180,KasDim,2023-09-01T07:32:14.000Z,14K,,14K,28,65,/ru/hubs/home_automation/
D:\untitled3\.\hubs\home_automation,null,756036,denis-19,2023-08-22T08:01:28.000Z,10K,,10K,6,14,/ru/hubs/electronics/
D:\untitled3\.\hubs\home_automation,null,755594,lucius,2023-08-21T18:47:54.000Z,10K,,10K,11,35,/ru/hubs/home_automation/
D:\untitled3\.\hubs\home_automation,null,754804,VulkanCyberSecurity,2023-08-21T06:55:01.000Z,1.7K,,1.7K,18,0,/ru/companies/ntc-vulkan/articles/
D:\untitled3\.\hubs\home_automation,null,752816,sergeyvass,2023-08-19T14:00:01.000Z,8.7K,,8.7K,82,14,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\home_automation,null,753948,smart_alex,2023-08-17T08:01:01.000Z,2.1K,,2.1K,12,8,/ru/companies/timeweb/articles/
D:\untitled3\.\hubs\home_automation,null,754172,andreybold,2023-08-12T07:00:09.000Z,3.8K,,3.8K,15,6,/ru/hubs/home_automation/
D:\untitled3\.\hubs\home_automation,null,752132,Dmitrii43,2023-08-03T07:00:02.000Z,18K,,18K,68,97,/ru/companies/wirenboard/articles/
D:\untitled3\.\hubs\home_automation,null,752098,Berkseo,2023-08-03T02:35:44.000Z,14K,,14K,109,49,/ru/hubs/wireless/
D:\untitled3\.\hubs\home_automation,null,751606,CyberBot,2023-08-02T08:01:01.000Z,9K,,9K,57,21,/ru/companies/timeweb/articles/
D:\untitled3\.\hubs\home_automation,null,751180,smart_alex,2023-08-01T08:01:01.000Z,1.7K,,1.7K,14,4,/ru/companies/timeweb/articles/
D:\untitled3\.\hubs\home_automation,null,751040,robofreak,2023-07-28T10:41:54.000Z,2.6K,,2.6K,21,7,/ru/companies/samsung/articles/
D:\untitled3\.\hubs\home_automation,null,750640,Dmitrii43,2023-07-27T07:00:01.000Z,4.3K,,4.3K,28,0,/ru/companies/wirenboard/articles/
D:\untitled3\.\hubs\home_automation,null,750148,Bulin_Vova,2023-07-25T07:35:15.000Z,2.5K,,2.5K,7,28,/ru/hubs/home_automation/
D:\untitled3\.\hubs\home_automation,null,748700,defaro,2023-07-18T09:00:40.000Z,7.1K,,7.1K,44,19,/ru/hubs/open_source/
D:\untitled3\.\hubs\home_automation,null,748358,foxyrus,2023-07-16T19:29:45.000Z,25K,,25K,102,55,/ru/hubs/home_automation/
D:\untitled3\.\hubs\home_automation,null,747394,nikolz,2023-07-12T04:17:32.000Z,1.9K,,1.9K,12,9,/ru/hubs/home_automation/
D:\untitled3\.\hubs\home_automation,null,746842,Mazepov,2023-07-09T08:59:51.000Z,6.2K,,6.2K,66,10,/ru/hubs/python/
D:\untitled3\.\hubs\home_automation,null,746826,nikolz,2023-07-09T06:23:41.000Z,3.5K,,3.5K,16,10,/ru/hubs/robot/
D:\untitled3\.\hubs\home_automation,null,746346,tmv002,2023-07-06T11:52:43.000Z,10K,,10K,81,18,/ru/hubs/home_automation/
D:\untitled3\.\hubs\home_automation,null,744070,FirstJohn,2023-06-30T08:00:01.000Z,4.6K,,4.6K,32,9,/ru/companies/first/articles/
D:\untitled3\.\hubs\home_automation,null,744638,Dmitrii43,2023-06-29T07:00:01.000Z,1.2K,,1.2K,6,2,/ru/companies/wirenboard/articles/
D:\untitled3\.\hubs\home_automation,null,744398,sergeygals,2023-06-28T07:40:29.000Z,6.7K,,6.7K,34,37,/ru/hubs/home_automation/
D:\untitled3\.\hubs\home_automation,null,743424,AMV007,2023-06-22T18:20:07.000Z,12K,,12K,82,19,/ru/hubs/python/
D:\untitled3\.\hubs\home_automation,null,742454,foxyrus,2023-06-18T19:17:32.000Z,16K,,16K,92,54,/ru/hubs/home_automation/
D:\untitled3\.\hubs\home_automation,null,742248,SmartLockMaster,2023-06-16T15:52:41.000Z,7.5K,,7.5K,11,27,/ru/hubs/gadgets/
D:\untitled3\.\hubs\home_automation,null,739552,ebogdanov,2023-06-06T07:03:03.000Z,12K,,12K,35,28,/ru/hubs/home_automation/
D:\untitled3\.\hubs\home_automation,null,739892,Blck-1,2023-06-05T11:25:31.000Z,2.1K,,2.1K,11,2,/ru/hubs/linux/
D:\untitled3\.\hubs\home_automation,null,739454,Dmitrii43,2023-06-02T10:29:08.000Z,18K,,18K,47,67,/ru/companies/wirenboard/articles/
D:\untitled3\.\hubs\home_automation,null,739422,Cloud4Y,2023-06-02T09:24:41.000Z,14K,,14K,58,19,/ru/companies/cloud4y/articles/
D:\untitled3\.\hubs\home_automation,null,739282,MarkParker5,2023-06-01T14:59:26.000Z,3.3K,,3.3K,11,2,/ru/hubs/python/
D:\untitled3\.\hubs\home_automation,null,736428,smart_alex,2023-05-26T08:01:03.000Z,4.1K,,4.1K,17,5,/ru/companies/timeweb/articles/
D:\untitled3\.\hubs\home_automation,null,737724,MarkParker5,2023-05-26T06:02:40.000Z,2.5K,,2.5K,10,1,/ru/hubs/arduino/
D:\untitled3\.\hubs\home_automation,null,734266,jehy,2023-05-24T07:45:43.000Z,3.3K,,3.3K,18,8,/ru/hubs/arduino/
D:\untitled3\.\hubs\home_automation,null,733744,smart_alex,2023-05-17T14:01:07.000Z,2.3K,,2.3K,25,0,/ru/companies/timeweb/articles/
D:\untitled3\.\hubs\home_automation,null,735306,Dmitrii43,2023-05-16T07:00:01.000Z,19K,,19K,91,79,/ru/companies/wirenboard/articles/
D:\untitled3\.\hubs\home_automation,null,734950,Lonsdaleite,2023-05-14T13:20:42.000Z,10K,,10K,28,21,/ru/hubs/gadgets/
D:\untitled3\.\hubs\home_automation,null,733506,smart_alex,2023-05-10T08:01:06.000Z,11K,,11K,32,17,/ru/companies/timeweb/articles/
D:\untitled3\.\hubs\home_automation,null,733242,udvnl,2023-05-05T07:01:26.000Z,3.3K,,3.3K,25,4,/ru/hubs/raspberrypi/
D:\untitled3\.\hubs\home_automation,null,732822,Cloud4Y,2023-05-04T11:02:18.000Z,6.2K,,6.2K,20,4,/ru/companies/cloud4y/articles/
D:\untitled3\.\hubs\home_automation,null,732686,Alex_Trusk,2023-05-03T11:02:30.000Z,2.7K,,2.7K,16,3,/ru/hubs/reverse-engineering/
D:\untitled3\.\hubs\home_automation,null,730036,smart_alex,2023-05-02T08:01:10.000Z,2.3K,,2.3K,28,0,/ru/companies/timeweb/articles/
D:\untitled3\.\hubs\home_automation,null,732682,Dmitrii43,2023-05-02T07:00:02.000Z,16K,,16K,52,21,/ru/companies/wirenboard/articles/
D:\untitled3\.\hubs\home_automation,null,732276,andrey_stepanov1,2023-04-28T12:19:58.000Z,6.8K,,6.8K,57,5,/ru/hubs/nodejs/
D:\untitled3\.\hubs\home_automation,null,732018,Dmitrii43,2023-04-27T11:32:37.000Z,5K,,5K,15,23,/ru/companies/wirenboard/articles/
D:\untitled3\.\hubs\home_automation,null,731882,Dmitrii43,2023-04-27T07:00:01.000Z,2.2K,,2.2K,4,1,/ru/companies/wirenboard/articles/
D:\untitled3\.\hubs\home_automation,null,729702,smart_alex,2023-04-24T08:01:14.000Z,3.7K,,3.7K,23,25,/ru/companies/timeweb/articles/
D:\untitled3\.\hubs\home_automation,null,731110,k0te1k4,2023-04-24T06:53:08.000Z,31K,,31K,102,32,/ru/hubs/home_automation/
D:\untitled3\.\hubs\home_automation,null,729800,Cloud4Y,2023-04-18T10:32:04.000Z,5.4K,,5.4K,49,13,/ru/companies/cloud4y/articles/
D:\untitled3\.\hubs\home_automation,null,729554,MaprapuH,2023-04-18T08:01:42.000Z,15K,,15K,36,40,/ru/companies/yandex/articles/
D:\untitled3\.\hubs\home_automation,null,729472,kerenskiy,2023-04-17T14:11:56.000Z,2.9K,,2.9K,17,2,/ru/hubs/soft/
