hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\hosting,admin,776272,Artur_M,2023-11-24T18:30:47.000Z,3.9K,,3.9K,11,15,without_company
D:\untitled3\.\hubs\hosting,admin,776066,xeovo,2023-11-24T09:36:09.000Z,86K,,86K,72,258,without_company
D:\untitled3\.\hubs\hosting,admin,775802,TVExpert,2023-11-22T23:56:11.000Z,4.5K,,4.5K,8,11,without_company
D:\untitled3\.\hubs\hosting,admin,773304,alice_berd,2023-11-11T14:37:18.000Z,16K,,16K,13,66,without_company
D:\untitled3\.\hubs\hosting,admin,772442,All3,2023-11-08T16:46:09.000Z,2.4K,,2.4K,11,24,without_company
D:\untitled3\.\hubs\hosting,admin,771566,dasafyev,2023-11-03T09:00:01.000Z,6.8K,,6.8K,39,10,without_company
D:\untitled3\.\hubs\hosting,admin,769498,Maxilect,2023-10-24T08:26:10.000Z,3.6K,,3.6K,11,4,without_company
D:\untitled3\.\hubs\hosting,admin,768340,miheych,2023-10-20T06:30:02.000Z,1.1K,,1.1K,6,2,without_company
D:\untitled3\.\hubs\hosting,admin,766518,ru_vds,2023-10-11T09:00:02.000Z,31K,,31K,182,56,without_company
D:\untitled3\.\hubs\hosting,admin,765894,dasafyev,2023-10-09T07:23:01.000Z,6.2K,,6.2K,30,9,without_company
D:\untitled3\.\hubs\hosting,admin,765660,cyber_ok,2023-10-06T08:00:02.000Z,2.8K,,2.8K,5,0,without_company
D:\untitled3\.\hubs\hosting,admin,763866,Digital_League,2023-09-27T12:51:45.000Z,5K,,5K,43,0,without_company
D:\untitled3\.\hubs\hosting,admin,758462,dasafyev,2023-09-15T09:15:02.000Z,8.9K,,8.9K,72,4,without_company
D:\untitled3\.\hubs\hosting,admin,759966,Alkash-kolyadun,2023-09-10T08:01:02.000Z,6.3K,,6.3K,97,13,without_company
D:\untitled3\.\hubs\hosting,admin,758970,oleggmakarov,2023-09-07T09:57:26.000Z,4.9K,,4.9K,12,20,without_company
D:\untitled3\.\hubs\hosting,admin,758680,ru_vds,2023-09-06T09:00:02.000Z,15K,,15K,76,14,without_company
D:\untitled3\.\hubs\hosting,admin,758272,Ave_Ls,2023-09-01T12:33:02.000Z,3.5K,,3.5K,26,9,without_company
D:\untitled3\.\hubs\hosting,admin,756322,Iron_Butterfly,2023-08-23T07:07:27.000Z,1.2K,,1.2K,14,4,without_company
D:\untitled3\.\hubs\hosting,admin,756058,kail0,2023-08-22T07:00:06.000Z,6.9K,,6.9K,89,14,without_company
D:\untitled3\.\hubs\hosting,admin,754440,ru_vds,2023-08-16T09:00:01.000Z,20K,,20K,85,14,without_company
D:\untitled3\.\hubs\hosting,admin,753232,ispmanager,2023-08-08T13:00:01.000Z,7.3K,,7.3K,23,47,without_company
D:\untitled3\.\hubs\hosting,admin,750684,dasafyev,2023-08-02T10:57:38.000Z,2.5K,,2.5K,18,4,without_company
D:\untitled3\.\hubs\hosting,admin,749482,dasafyev,2023-07-24T08:02:02.000Z,2.2K,,2.2K,15,0,without_company
D:\untitled3\.\hubs\hosting,admin,749262,5kull_h4ck3r,2023-07-20T09:05:25.000Z,13K,,13K,31,37,without_company
D:\untitled3\.\hubs\hosting,admin,748664,5kull_h4ck3r,2023-07-18T11:05:16.000Z,38K,,38K,69,89,without_company
D:\untitled3\.\hubs\hosting,admin,748078,burkovie,2023-07-14T11:54:49.000Z,6K,,6K,20,37,without_company
D:\untitled3\.\hubs\hosting,admin,745960,ru_vds,2023-07-05T09:00:02.000Z,34K,,34K,263,92,without_company
D:\untitled3\.\hubs\hosting,admin,744958,ntsaplin,2023-07-04T11:01:01.000Z,14K,,14K,63,42,without_company
D:\untitled3\.\hubs\hosting,admin,743826,ntsaplin,2023-06-26T07:01:02.000Z,33K,,33K,49,81,without_company
D:\untitled3\.\hubs\hosting,admin,742880,ntsaplin,2023-06-20T13:45:53.000Z,51K,,51K,91,292,without_company
D:\untitled3\.\hubs\hosting,admin,741450,dasafyev,2023-06-20T07:31:01.000Z,3K,,3K,6,5,without_company
D:\untitled3\.\hubs\hosting,admin,741728,Qusi,2023-06-14T12:40:38.000Z,40K,,40K,106,97,without_company
D:\untitled3\.\hubs\hosting,admin,739586,dasafyev,2023-06-09T08:04:01.000Z,6K,,6K,8,16,without_company
D:\untitled3\.\hubs\hosting,admin,740642,xeovo,2023-06-08T15:20:32.000Z,35K,,35K,62,107,without_company
D:\untitled3\.\hubs\hosting,admin,739402,oldadmin,2023-06-02T09:40:44.000Z,8.7K,,8.7K,40,11,without_company
D:\untitled3\.\hubs\hosting,admin,738604,miheych,2023-05-31T13:32:39.000Z,3.1K,,3.1K,9,5,without_company
