hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\hr_management,null,776388,Lendcore,2023-11-25T16:46:59.000Z,1.2K,,1.2K,9,0,without_company
D:\untitled3\.\hubs\hr_management,null,776366,Selivans,2023-11-25T12:00:53.000Z,1.3K,,1.3K,14,2,without_company
D:\untitled3\.\hubs\hr_management,null,776158,habr_career,2023-11-24T10:28:29.000Z,13K,,13K,25,9,without_company
D:\untitled3\.\hubs\hr_management,null,776036,t0rsym,2023-11-24T09:36:24.000Z,1.1K,,1.1K,3,3,without_company
D:\untitled3\.\hubs\hr_management,null,775838,Papkin,2023-11-23T08:02:40.000Z,3.9K,,3.9K,5,9,without_company
D:\untitled3\.\hubs\hr_management,null,775756,sanReal,2023-11-23T06:33:37.000Z,2.3K,,2.3K,28,11,without_company
D:\untitled3\.\hubs\hr_management,null,775806,sashadzen,2023-11-23T04:57:10.000Z,25K,,25K,92,162,without_company
D:\untitled3\.\hubs\hr_management,null,775612,SofiyaFitil,2023-11-22T09:26:32.000Z,2K,,2K,9,15,without_company
D:\untitled3\.\hubs\hr_management,null,775434,MaxRokatansky,2023-11-22T08:38:34.000Z,1.1K,,1.1K,17,1,without_company
D:\untitled3\.\hubs\hr_management,null,774264,kak_tam_enot,2023-11-22T08:00:01.000Z,52K,,52K,82,542,without_company
D:\untitled3\.\hubs\hr_management,null,775420,Clickru,2023-11-21T12:59:00.000Z,3.5K,,3.5K,36,1,without_company
D:\untitled3\.\hubs\hr_management,null,775390,kirmish98,2023-11-21T11:51:11.000Z,14K,,14K,32,14,without_company
D:\untitled3\.\hubs\hr_management,null,775360,ArtemPaderin,2023-11-21T10:38:22.000Z,1.1K,,1.1K,6,1,without_company
D:\untitled3\.\hubs\hr_management,null,775342,habr_career,2023-11-21T10:23:22.000Z,4.1K,,4.1K,6,10,without_company
D:\untitled3\.\hubs\hr_management,null,774416,DimKol,2023-11-20T08:06:01.000Z,6.3K,,6.3K,37,13,without_company
D:\untitled3\.\hubs\hr_management,null,774240,kak_tam_enot,2023-11-20T06:14:57.000Z,12K,,12K,26,28,without_company
D:\untitled3\.\hubs\hr_management,null,773900,it_union,2023-11-20T06:06:51.000Z,8.9K,,8.9K,26,37,without_company
D:\untitled3\.\hubs\hr_management,null,774590,motaev,2023-11-17T09:37:35.000Z,13K,,13K,14,21,without_company
D:\untitled3\.\hubs\hr_management,null,774292,kirmish98,2023-11-16T13:53:56.000Z,2.7K,,2.7K,20,21,without_company
D:\untitled3\.\hubs\hr_management,null,774342,dblmokk,2023-11-16T11:19:37.000Z,2.4K,,2.4K,39,2,without_company
D:\untitled3\.\hubs\hr_management,null,773868,dmitriyabr,2023-11-16T07:00:39.000Z,5.2K,,5.2K,31,5,without_company
D:\untitled3\.\hubs\hr_management,null,773534,ArtemLoginov1,2023-11-15T13:45:31.000Z,4.5K,,4.5K,35,11,without_company
D:\untitled3\.\hubs\hr_management,null,773874,kolkoni,2023-11-14T13:25:51.000Z,3.5K,,3.5K,29,30,without_company
D:\untitled3\.\hubs\hr_management,null,773394,SeekerOfTruth,2023-11-14T08:00:01.000Z,9.8K,,9.8K,39,37,without_company
D:\untitled3\.\hubs\hr_management,null,773570,ph_piter,2023-11-13T17:59:10.000Z,3.5K,,3.5K,44,6,without_company
D:\untitled3\.\hubs\hr_management,null,773588,Free_Mic_RS,2023-11-13T12:24:26.000Z,6.3K,,6.3K,22,26,without_company
D:\untitled3\.\hubs\hr_management,null,773392,vvvphoenix,2023-11-12T13:29:23.000Z,8.8K,,8.8K,28,38,without_company
D:\untitled3\.\hubs\hr_management,null,773292,dalerank,2023-11-11T12:47:24.000Z,10K,,10K,36,40,without_company
D:\untitled3\.\hubs\hr_management,null,773224,biz-l,2023-11-10T19:19:26.000Z,2.3K,,2.3K,8,21,without_company
D:\untitled3\.\hubs\hr_management,null,773104,motaev,2023-11-10T09:34:11.000Z,2K,,2K,15,2,without_company
D:\untitled3\.\hubs\hr_management,null,772320,bapxat,2023-11-08T11:14:01.000Z,32K,,32K,100,24,without_company
D:\untitled3\.\hubs\hr_management,null,772454,e_lysenko,2023-11-07T21:52:35.000Z,1.5K,,1.5K,9,1,without_company
