hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\i_am_advertising,null,774512,gerasimovich,2023-11-17T05:46:08.000Z,669,,669,0,0,/ru/hubs/i_am_advertising/
D:\untitled3\.\hubs\i_am_advertising,null,773418,site3d,2023-11-13T07:00:01.000Z,2.6K,,2.6K,15,3,/ru/hubs/i_am_advertising/
D:\untitled3\.\hubs\i_am_advertising,null,771620,Parfois,2023-11-02T19:45:55.000Z,4.7K,,4.7K,29,5,/ru/hubs/i_am_advertising/
D:\untitled3\.\hubs\i_am_advertising,null,770708,Mexbass,2023-10-30T09:58:26.000Z,3.8K,,3.8K,6,12,/ru/hubs/i_am_advertising/
D:\untitled3\.\hubs\i_am_advertising,null,770696,tomleto,2023-10-30T09:29:29.000Z,3.4K,,3.4K,16,8,/ru/hubs/i_am_advertising/
D:\untitled3\.\hubs\i_am_advertising,null,767588,janvarev,2023-10-18T11:19:45.000Z,8.3K,,8.3K,43,21,/ru/hubs/i_am_advertising/
D:\untitled3\.\hubs\i_am_advertising,null,768152,honsour72,2023-10-18T09:00:04.000Z,1.7K,,1.7K,19,2,/ru/hubs/i_am_advertising/
D:\untitled3\.\hubs\i_am_advertising,null,767694,fettgesicht,2023-10-17T05:35:26.000Z,14K,,14K,136,48,/ru/hubs/i_am_advertising/
D:\untitled3\.\hubs\i_am_advertising,null,766972,maxgammer,2023-10-12T09:37:41.000Z,1.1K,,1.1K,7,10,/ru/hubs/i_am_advertising/
D:\untitled3\.\hubs\i_am_advertising,null,765790,spoot1986,2023-10-06T10:50:03.000Z,1.7K,,1.7K,15,10,/ru/hubs/i_am_advertising/
D:\untitled3\.\hubs\i_am_advertising,null,765310,staskin1,2023-10-04T12:57:39.000Z,908,,908,3,6,/ru/hubs/i_am_advertising/
D:\untitled3\.\hubs\i_am_advertising,null,765132,Hidadmin,2023-10-04T09:47:33.000Z,588,,588,5,8,/ru/hubs/i_am_advertising/
D:\untitled3\.\hubs\i_am_advertising,null,763948,gorcer,2023-09-27T17:23:18.000Z,2.3K,,2.3K,17,6,/ru/hubs/i_am_advertising/
D:\untitled3\.\hubs\i_am_advertising,null,763338,staskin1,2023-09-26T18:12:13.000Z,937,,937,10,3,/ru/hubs/i_am_advertising/
D:\untitled3\.\hubs\i_am_advertising,null,762248,janvarev,2023-09-20T10:30:18.000Z,17K,,17K,76,32,/ru/hubs/i_am_advertising/
D:\untitled3\.\hubs\i_am_advertising,null,760924,AndrewYaremko,2023-09-13T23:32:59.000Z,6.9K,,6.9K,37,23,/ru/hubs/i_am_advertising/
D:\untitled3\.\hubs\i_am_advertising,null,760310,RostislavDugin,2023-09-11T15:09:42.000Z,7.3K,,7.3K,43,3,/ru/hubs/i_am_advertising/
D:\untitled3\.\hubs\i_am_advertising,null,759354,gerasimovich,2023-09-07T08:48:17.000Z,1.1K,,1.1K,6,2,/ru/hubs/i_am_advertising/
D:\untitled3\.\hubs\i_am_advertising,null,758644,Demerit,2023-09-05T11:59:39.000Z,1.7K,,1.7K,18,2,/ru/hubs/i_am_advertising/
D:\untitled3\.\hubs\i_am_advertising,null,752462,old-school-geek,2023-09-04T05:12:58.000Z,2.3K,,2.3K,12,4,/ru/hubs/i_am_advertising/
D:\untitled3\.\hubs\i_am_advertising,null,758454,anvos,2023-09-04T02:10:01.000Z,3.7K,,3.7K,37,13,/ru/hubs/i_am_advertising/
D:\untitled3\.\hubs\i_am_advertising,null,758446,alizar,2023-09-01T15:48:20.000Z,3K,,3K,15,7,/ru/hubs/i_am_advertising/
D:\untitled3\.\hubs\i_am_advertising,null,756960,itNews,2023-08-25T12:56:45.000Z,2.6K,,2.6K,9,5,/ru/hubs/i_am_advertising/
D:\untitled3\.\hubs\i_am_advertising,null,756760,madbrains,2023-08-24T16:19:25.000Z,8.8K,,8.8K,27,8,/ru/hubs/i_am_advertising/
D:\untitled3\.\hubs\i_am_advertising,null,754568,Lexus08,2023-08-16T13:28:18.000Z,4.9K,,4.9K,11,20,/ru/hubs/i_am_advertising/
D:\untitled3\.\hubs\i_am_advertising,null,752372,DuhaTheBest,2023-08-03T17:39:21.000Z,1.7K,,1.7K,3,15,/ru/hubs/i_am_advertising/
D:\untitled3\.\hubs\i_am_advertising,null,749106,evgeniitorchinskii,2023-08-01T09:39:10.000Z,1.5K,,1.5K,3,1,/ru/hubs/i_am_advertising/
D:\untitled3\.\hubs\i_am_advertising,null,751664,Aliaksei_Rudak,2023-08-01T06:57:01.000Z,3.2K,,3.2K,8,19,/ru/hubs/i_am_advertising/
D:\untitled3\.\hubs\i_am_advertising,null,749964,Wert1go,2023-07-24T10:51:09.000Z,1.5K,,1.5K,1,1,/ru/hubs/i_am_advertising/
D:\untitled3\.\hubs\i_am_advertising,null,749010,TamSa,2023-07-19T10:31:02.000Z,2.9K,,2.9K,13,3,/ru/hubs/i_am_advertising/
D:\untitled3\.\hubs\i_am_advertising,null,748898,RRakhmetov,2023-07-18T16:59:58.000Z,1.4K,,1.4K,7,0,/ru/hubs/i_am_advertising/
D:\untitled3\.\hubs\i_am_advertising,null,745674,taluyev,2023-07-03T20:00:53.000Z,3K,,3K,39,35,/ru/hubs/i_am_advertising/
D:\untitled3\.\hubs\i_am_advertising,null,745254,site3d,2023-07-03T07:55:36.000Z,1.4K,,1.4K,9,2,/ru/hubs/i_am_advertising/
D:\untitled3\.\hubs\i_am_advertising,null,744082,alizar,2023-06-30T09:23:47.000Z,15K,,15K,32,15,/ru/hubs/i_am_advertising/
D:\untitled3\.\hubs\i_am_advertising,null,744746,itNews,2023-06-29T08:47:20.000Z,1.2K,,1.2K,9,2,/ru/hubs/i_am_advertising/
D:\untitled3\.\hubs\i_am_advertising,null,743542,itNews,2023-06-23T12:08:24.000Z,626,,626,7,1,/ru/hubs/i_am_advertising/
D:\untitled3\.\hubs\i_am_advertising,null,742184,ushim,2023-06-18T12:28:51.000Z,4.5K,,4.5K,15,5,/ru/hubs/i_am_advertising/
D:\untitled3\.\hubs\i_am_advertising,null,741764,gerasimovich,2023-06-14T13:43:42.000Z,1.9K,,1.9K,3,6,/ru/hubs/i_am_advertising/
D:\untitled3\.\hubs\i_am_advertising,null,740872,s_mihnov,2023-06-09T08:51:59.000Z,1.4K,,1.4K,3,0,/ru/hubs/i_am_advertising/
D:\untitled3\.\hubs\i_am_advertising,null,740800,xpic99,2023-06-08T21:34:15.000Z,18K,,18K,11,1,/ru/hubs/i_am_advertising/
D:\untitled3\.\hubs\i_am_advertising,null,738438,ushim,2023-05-31T06:17:01.000Z,91K,,91K,211,2,/ru/hubs/i_am_advertising/
D:\untitled3\.\hubs\i_am_advertising,null,738102,OLEG_MYWAYAPP,2023-05-28T14:09:43.000Z,3.4K,,3.4K,24,6,/ru/hubs/i_am_advertising/
D:\untitled3\.\hubs\i_am_advertising,null,734962,d1g1,2023-05-24T02:00:02.000Z,1.6K,,1.6K,7,1,/ru/hubs/i_am_advertising/
D:\untitled3\.\hubs\i_am_advertising,null,736608,RationalAnswer,2023-05-22T04:58:45.000Z,9.5K,,9.5K,9,31,/ru/hubs/i_am_advertising/
D:\untitled3\.\hubs\i_am_advertising,null,735128,TeleHub_ru,2023-05-15T10:02:33.000Z,3.4K,,3.4K,22,4,/ru/hubs/i_am_advertising/
D:\untitled3\.\hubs\i_am_advertising,null,734864,ushim,2023-05-13T10:34:10.000Z,9.1K,,9.1K,28,9,/ru/hubs/i_am_advertising/
D:\untitled3\.\hubs\i_am_advertising,null,732886,qmzik,2023-05-02T16:35:26.000Z,6K,,6K,15,0,/ru/hubs/i_am_advertising/
D:\untitled3\.\hubs\i_am_advertising,null,732112,doshamisha,2023-04-27T16:44:45.000Z,5.7K,,5.7K,24,3,/ru/hubs/i_am_advertising/
D:\untitled3\.\hubs\i_am_advertising,null,731206,mmpravdin,2023-04-26T10:23:51.000Z,7.9K,,7.9K,17,1,/ru/hubs/i_am_advertising/
D:\untitled3\.\hubs\i_am_advertising,null,730692,makeagency,2023-04-21T09:44:29.000Z,2.4K,,2.4K,8,4,/ru/hubs/i_am_advertising/
D:\untitled3\.\hubs\i_am_advertising,null,730446,baubaubau,2023-04-21T05:00:01.000Z,3.2K,,3.2K,12,22,/ru/hubs/i_am_advertising/
D:\untitled3\.\hubs\i_am_advertising,null,725986,BosonBeard,2023-03-30T19:56:30.000Z,924,,924,6,0,/ru/hubs/i_am_advertising/
D:\untitled3\.\hubs\i_am_advertising,null,725562,itNews,2023-03-29T09:20:42.000Z,1.4K,,1.4K,4,0,/ru/hubs/i_am_advertising/
D:\untitled3\.\hubs\i_am_advertising,null,724306,svetadanilchenko,2023-03-24T08:12:40.000Z,947,,947,2,4,/ru/hubs/i_am_advertising/
D:\untitled3\.\hubs\i_am_advertising,null,724060,dze,2023-03-22T12:52:47.000Z,12K,,12K,24,5,/ru/hubs/i_am_advertising/
D:\untitled3\.\hubs\i_am_advertising,null,723878,TypeType,2023-03-21T15:10:39.000Z,2K,,2K,12,15,/ru/hubs/i_am_advertising/
D:\untitled3\.\hubs\i_am_advertising,null,720900,inframan,2023-03-20T06:15:41.000Z,1.4K,,1.4K,4,4,/ru/hubs/i_am_advertising/
D:\untitled3\.\hubs\i_am_advertising,null,723470,RationalAnswer,2023-03-20T05:26:54.000Z,6.2K,,6.2K,5,8,/ru/hubs/i_am_advertising/
D:\untitled3\.\hubs\i_am_advertising,null,723314,kapxapot,2023-03-19T12:08:46.000Z,2.1K,,2.1K,12,27,/ru/hubs/i_am_advertising/
D:\untitled3\.\hubs\i_am_advertising,null,723274,seregafill,2023-03-18T12:07:06.000Z,9.1K,,9.1K,27,6,/ru/hubs/i_am_advertising/
D:\untitled3\.\hubs\i_am_advertising,null,712230,LuchS-lynx,2023-03-09T10:20:00.000Z,1.4K,,1.4K,11,6,/ru/hubs/i_am_advertising/
D:\untitled3\.\hubs\i_am_advertising,null,721014,lignoran,2023-03-07T13:38:44.000Z,3.2K,,3.2K,16,4,/ru/hubs/i_am_advertising/
D:\untitled3\.\hubs\i_am_advertising,null,718594,Zyryanek,2023-02-22T12:04:03.000Z,976,,976,4,0,/ru/hubs/i_am_advertising/
D:\untitled3\.\hubs\i_am_advertising,null,706442,little-brother,2023-02-16T06:48:48.000Z,2K,,2K,13,8,/ru/hubs/i_am_advertising/
D:\untitled3\.\hubs\i_am_advertising,null,715652,Zyryanek,2023-02-08T13:13:01.000Z,12K,,12K,31,42,/ru/hubs/i_am_advertising/
D:\untitled3\.\hubs\i_am_advertising,null,704686,LuchS-lynx,2023-02-07T07:21:15.000Z,6.4K,,6.4K,15,1,/ru/hubs/i_am_advertising/
D:\untitled3\.\hubs\i_am_advertising,null,712668,SmirkinDA,2023-01-25T08:22:26.000Z,4.7K,,4.7K,9,14,/ru/hubs/i_am_advertising/
D:\untitled3\.\hubs\i_am_advertising,null,710762,RationalAnswer,2023-01-16T05:39:54.000Z,3.4K,,3.4K,10,3,/ru/hubs/i_am_advertising/
D:\untitled3\.\hubs\i_am_advertising,null,710628,Nurked,2023-01-14T21:08:01.000Z,70K,,70K,374,173,/ru/hubs/i_am_advertising/
D:\untitled3\.\hubs\i_am_advertising,null,710330,zarytskiy,2023-01-12T18:04:07.000Z,105K,,105K,80,74,/ru/hubs/i_am_advertising/
D:\untitled3\.\hubs\i_am_advertising,null,709540,alexanderskulikov,2023-01-11T09:21:03.000Z,11K,,11K,51,29,/ru/hubs/i_am_advertising/
D:\untitled3\.\hubs\i_am_advertising,null,709426,dreatrio,2023-01-07T19:31:45.000Z,13K,,13K,51,51,/ru/hubs/i_am_advertising/
D:\untitled3\.\hubs\i_am_advertising,null,707336,Allront,2022-12-28T07:00:02.000Z,3.1K,,3.1K,11,11,/ru/hubs/i_am_advertising/
D:\untitled3\.\hubs\i_am_advertising,null,707430,akdengi,2022-12-23T19:17:48.000Z,3K,,3K,12,30,/ru/hubs/i_am_advertising/
D:\untitled3\.\hubs\i_am_advertising,null,706224,Ioanna,2022-12-19T09:04:48.000Z,5.1K,,5.1K,23,10,/ru/hubs/i_am_advertising/
D:\untitled3\.\hubs\i_am_advertising,null,704186,RRakhmetov,2022-12-08T07:35:14.000Z,1.3K,,1.3K,8,0,/ru/hubs/i_am_advertising/
D:\untitled3\.\hubs\i_am_advertising,null,704074,ushim,2022-12-07T12:19:38.000Z,36K,,36K,157,114,/ru/hubs/i_am_advertising/
D:\untitled3\.\hubs\i_am_advertising,null,703704,ternaus,2022-12-05T23:57:02.000Z,5.8K,,5.8K,29,24,/ru/hubs/i_am_advertising/
D:\untitled3\.\hubs\i_am_advertising,null,703656,globeit,2022-12-05T15:28:02.000Z,5.8K,,5.8K,4,7,/ru/hubs/i_am_advertising/
D:\untitled3\.\hubs\i_am_advertising,null,703228,pokupo,2022-12-02T17:02:46.000Z,5.4K,,5.4K,37,4,/ru/hubs/i_am_advertising/
