hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\industrial_control_system,null,776454,Azavr,2023-11-26T10:31:25.000Z,767,,767,12,0,without_company
D:\untitled3\.\hubs\industrial_control_system,null,776438,Alexander554,2023-11-26T08:31:12.000Z,4.2K,,4.2K,23,18,without_company
D:\untitled3\.\hubs\industrial_control_system,null,775540,dbalabolin,2023-11-22T09:00:03.000Z,1.3K,,1.3K,18,10,without_company
D:\untitled3\.\hubs\industrial_control_system,null,774624,aabzel,2023-11-19T00:21:44.000Z,5.5K,,5.5K,35,33,without_company
D:\untitled3\.\hubs\industrial_control_system,null,757000,aabzel,2023-11-15T23:12:09.000Z,8.2K,,8.2K,91,26,without_company
D:\untitled3\.\hubs\industrial_control_system,null,771684,NikolayProklov,2023-11-08T07:00:28.000Z,4.6K,,4.6K,22,40,without_company
D:\untitled3\.\hubs\industrial_control_system,null,754858,aabzel,2023-11-05T12:09:43.000Z,12K,,12K,62,44,without_company
D:\untitled3\.\hubs\industrial_control_system,null,765066,aabzel,2023-11-04T20:18:22.000Z,3.5K,,3.5K,25,123,without_company
D:\untitled3\.\hubs\industrial_control_system,null,771942,GoogleTan,2023-11-04T18:36:56.000Z,14K,,14K,26,38,without_company
D:\untitled3\.\hubs\industrial_control_system,null,770786,mikerosoft,2023-10-31T07:01:10.000Z,129K,,129K,247,273,without_company
D:\untitled3\.\hubs\industrial_control_system,null,744212,petuhoff,2023-10-29T18:50:50.000Z,3.2K,,3.2K,50,13,without_company
D:\untitled3\.\hubs\industrial_control_system,null,769392,Sashapuchkov,2023-10-24T08:49:52.000Z,677,,677,4,0,without_company
D:\untitled3\.\hubs\industrial_control_system,null,766488,DrEmmettBrown,2023-10-17T07:01:06.000Z,5.5K,,5.5K,40,38,without_company
D:\untitled3\.\hubs\industrial_control_system,null,765424,aabzel,2023-10-14T22:41:20.000Z,2.9K,,2.9K,30,46,without_company
D:\untitled3\.\hubs\industrial_control_system,null,764196,BlackBeard_S,2023-09-28T13:36:57.000Z,1.6K,,1.6K,16,2,without_company
D:\untitled3\.\hubs\industrial_control_system,null,762142,aabzel,2023-09-23T14:45:52.000Z,4.3K,,4.3K,53,152,without_company
D:\untitled3\.\hubs\industrial_control_system,null,761424,rukhi7,2023-09-19T06:17:01.000Z,12K,,12K,100,19,without_company
D:\untitled3\.\hubs\industrial_control_system,null,761582,printrobot,2023-09-17T16:42:11.000Z,1.6K,,1.6K,7,2,without_company
D:\untitled3\.\hubs\industrial_control_system,null,760088,aabzel,2023-09-12T21:06:40.000Z,5.1K,,5.1K,66,83,without_company
D:\untitled3\.\hubs\industrial_control_system,null,760364,petuhoff,2023-09-11T21:44:34.000Z,4.8K,,4.8K,52,9,without_company
D:\untitled3\.\hubs\industrial_control_system,null,758416,VLebedev_22,2023-09-04T07:00:01.000Z,4K,,4K,44,8,without_company
D:\untitled3\.\hubs\industrial_control_system,null,757216,aabzel,2023-09-02T23:06:40.000Z,3.9K,,3.9K,33,20,without_company
D:\untitled3\.\hubs\industrial_control_system,null,758140,aabzel,2023-08-31T10:43:52.000Z,2.2K,,2.2K,13,12,without_company
D:\untitled3\.\hubs\industrial_control_system,null,757122,aabzel,2023-08-26T22:07:25.000Z,3.8K,,3.8K,46,85,without_company
D:\untitled3\.\hubs\industrial_control_system,null,756572,aabzel,2023-08-24T22:07:00.000Z,3.2K,,3.2K,44,36,without_company
