hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\infosecurity,null,776402,Stanner,2023-11-25T20:35:18.000Z,3.1K,,3.1K,45,10,/ru/hubs/linux/
D:\untitled3\.\hubs\infosecurity,null,776400,antonkurakin,2023-11-25T20:25:22.000Z,1.6K,,1.6K,24,0,/ru/hubs/infosecurity/
D:\untitled3\.\hubs\infosecurity,null,776288,xeovo,2023-11-25T13:23:53.000Z,12K,,12K,48,11,/ru/companies/xeovo/articles/
D:\untitled3\.\hubs\infosecurity,null,775994,badcasedaily1,2023-11-25T09:14:39.000Z,1.5K,,1.5K,24,6,/ru/companies/otus/articles/
D:\untitled3\.\hubs\infosecurity,null,776272,Artur_M,2023-11-24T18:30:47.000Z,3.8K,,3.8K,11,15,/ru/hubs/hosting/
D:\untitled3\.\hubs\infosecurity,null,776256,MiraclePtr,2023-11-24T17:24:25.000Z,71K,,71K,719,144,/ru/hubs/linux/
D:\untitled3\.\hubs\infosecurity,null,776170,badcasedaily1,2023-11-24T16:03:15.000Z,4.1K,,4.1K,77,2,/ru/companies/otus/articles/
D:\untitled3\.\hubs\infosecurity,null,775940,CyberPaul,2023-11-24T11:35:09.000Z,770,,770,18,0,/ru/companies/serverspace/articles/
D:\untitled3\.\hubs\infosecurity,null,774724,Dmitry89,2023-11-24T10:40:49.000Z,2.3K,,2.3K,25,3,/ru/companies/otus/articles/
D:\untitled3\.\hubs\infosecurity,null,772578,shpringer,2023-11-24T09:45:54.000Z,954,,954,11,0,/ru/companies/vk/articles/
D:\untitled3\.\hubs\infosecurity,null,776066,xeovo,2023-11-24T09:36:09.000Z,86K,,86K,72,257,/ru/companies/xeovo/articles/
D:\untitled3\.\hubs\infosecurity,null,776050,AngaraSecurity,2023-11-23T20:57:45.000Z,4.7K,,4.7K,53,5,/ru/companies/angarasecurity/articles/
D:\untitled3\.\hubs\infosecurity,null,775972,ru_vds,2023-11-23T14:04:19.000Z,3.5K,,3.5K,24,0,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\infosecurity,null,775680,Vadim_Shepelev,2023-11-23T11:29:18.000Z,1.5K,,1.5K,15,1,/ru/companies/webmonitorx/articles/
D:\untitled3\.\hubs\infosecurity,null,775840,Sber,2023-11-23T10:10:13.000Z,3.3K,,3.3K,36,1,/ru/companies/sberbank/articles/
D:\untitled3\.\hubs\infosecurity,null,775844,DigitalTatarstan,2023-11-23T08:27:26.000Z,1.6K,,1.6K,14,1,/ru/companies/digital_tatarstan/articles/
D:\untitled3\.\hubs\infosecurity,null,775814,ap_security,2023-11-23T06:10:36.000Z,787,,787,5,0,/ru/hubs/infosecurity/
D:\untitled3\.\hubs\infosecurity,null,775752,IgnatChuker,2023-11-22T17:40:31.000Z,6.3K,,6.3K,19,67,/ru/hubs/infosecurity/
D:\untitled3\.\hubs\infosecurity,null,775584,USSCLTD,2023-11-22T07:53:29.000Z,8.3K,,8.3K,30,4,/ru/hubs/infosecurity/
D:\untitled3\.\hubs\infosecurity,null,774676,Capcha01,2023-11-22T06:00:02.000Z,3.9K,,3.9K,20,3,/ru/companies/gaz-is/articles/
D:\untitled3\.\hubs\infosecurity,null,775452,alumnibmstu,2023-11-21T15:03:24.000Z,3.9K,,3.9K,17,18,/ru/companies/alumnibmstu/articles/
D:\untitled3\.\hubs\infosecurity,null,775414,exc3pti0n,2023-11-21T12:42:00.000Z,414,,414,8,0,/ru/hubs/infosecurity/
D:\untitled3\.\hubs\infosecurity,null,771290,Gacblk,2023-11-21T12:24:59.000Z,1.7K,,1.7K,17,0,/ru/companies/nixys/articles/
D:\untitled3\.\hubs\infosecurity,null,775332,Andrey2008,2023-11-21T09:33:46.000Z,1.8K,,1.8K,7,12,/ru/companies/pvs-studio/articles/
