hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\instant_messaging,null,774962,GlobalSign_admin,2023-11-19T19:10:29.000Z,2.6K,,2.6K,11,2,without_company
D:\untitled3\.\hubs\instant_messaging,null,774818,willdiealone,2023-11-18T11:48:54.000Z,11K,,11K,72,25,without_company
D:\untitled3\.\hubs\instant_messaging,null,773540,badcasedaily1,2023-11-15T11:56:39.000Z,4.6K,,4.6K,77,10,without_company
D:\untitled3\.\hubs\instant_messaging,null,772664,GrayHoax,2023-11-08T14:40:22.000Z,655,,655,4,9,without_company
D:\untitled3\.\hubs\instant_messaging,null,772628,willdiealone,2023-11-08T12:46:20.000Z,2.9K,,2.9K,45,27,without_company
D:\untitled3\.\hubs\instant_messaging,null,772616,Ch_Kvanet,2023-11-08T12:15:01.000Z,1.6K,,1.6K,15,2,without_company
D:\untitled3\.\hubs\instant_messaging,null,770606,badcasedaily1,2023-11-07T14:26:38.000Z,4.7K,,4.7K,64,6,without_company
D:\untitled3\.\hubs\instant_messaging,null,772132,zheldak,2023-11-06T16:51:58.000Z,3.9K,,3.9K,33,14,without_company
D:\untitled3\.\hubs\instant_messaging,null,771874,akurilov,2023-11-04T12:34:30.000Z,426,,426,3,0,without_company
D:\untitled3\.\hubs\instant_messaging,null,771496,Firemoon,2023-11-02T14:19:45.000Z,5.7K,,5.7K,51,9,without_company
D:\untitled3\.\hubs\instant_messaging,null,771110,badcasedaily1,2023-11-01T15:41:13.000Z,15K,,15K,147,12,without_company
D:\untitled3\.\hubs\instant_messaging,null,770428,AshotD,2023-10-30T05:02:59.000Z,4.7K,,4.7K,56,1,without_company
D:\untitled3\.\hubs\instant_messaging,null,770596,SergiiDia,2023-10-29T16:42:01.000Z,5.8K,,5.8K,19,23,without_company
D:\untitled3\.\hubs\instant_messaging,null,769940,NeGoy,2023-10-25T16:50:11.000Z,4.8K,,4.8K,10,13,without_company
D:\untitled3\.\hubs\instant_messaging,null,769418,ptsecurity,2023-10-25T09:05:59.000Z,5.3K,,5.3K,24,14,without_company
D:\untitled3\.\hubs\instant_messaging,null,769140,Pavelgram,2023-10-22T16:20:08.000Z,6.2K,,6.2K,8,28,without_company
D:\untitled3\.\hubs\instant_messaging,null,768220,badcasedaily1,2023-10-20T15:23:02.000Z,2.6K,,2.6K,50,2,without_company
D:\untitled3\.\hubs\instant_messaging,null,768230,badcasedaily1,2023-10-18T12:01:40.000Z,1.6K,,1.6K,35,2,without_company
D:\untitled3\.\hubs\instant_messaging,null,767748,ptsecurity,2023-10-17T08:18:03.000Z,3.5K,,3.5K,17,3,without_company
D:\untitled3\.\hubs\instant_messaging,null,767662,akurilov,2023-10-16T08:02:35.000Z,470,,470,1,13,without_company
D:\untitled3\.\hubs\instant_messaging,null,767422,akurilov,2023-10-14T19:45:23.000Z,2.7K,,2.7K,19,14,without_company
D:\untitled3\.\hubs\instant_messaging,null,765362,VTB,2023-10-13T13:05:44.000Z,1.1K,,1.1K,14,6,without_company
