hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\internet_of_things,null,776212,RyabovA,2023-11-26T15:37:37.000Z,303,,303,9,0,/ru/hubs/python/
D:\untitled3\.\hubs\internet_of_things,null,775772,Dmitrii43,2023-11-23T07:00:02.000Z,8.2K,,8.2K,30,35,/ru/companies/wirenboard/articles/
D:\untitled3\.\hubs\internet_of_things,null,775226,Dmitrii43,2023-11-21T07:00:02.000Z,2K,,2K,18,8,/ru/companies/wirenboard/articles/
D:\untitled3\.\hubs\internet_of_things,null,774926,antex_dom,2023-11-20T08:03:00.000Z,9.7K,,9.7K,44,34,/ru/hubs/raspberrypi/
D:\untitled3\.\hubs\internet_of_things,null,774436,quanttelecom_ru,2023-11-16T15:14:16.000Z,5K,,5K,46,1,/ru/companies/quanttelecom/articles/
D:\untitled3\.\hubs\internet_of_things,null,773714,Dmitrii43,2023-11-14T07:00:02.000Z,4.6K,,4.6K,20,11,/ru/companies/wirenboard/articles/
D:\untitled3\.\hubs\internet_of_things,null,772080,CyberexTech,2023-11-12T08:01:01.000Z,19K,,19K,141,29,/ru/companies/timeweb/articles/
D:\untitled3\.\hubs\internet_of_things,null,772122,Dmitrii43,2023-11-07T07:00:02.000Z,4.5K,,4.5K,25,15,/ru/companies/wirenboard/articles/
D:\untitled3\.\hubs\internet_of_things,null,770882,Dmitrii43,2023-10-31T07:00:01.000Z,14K,,14K,89,28,/ru/companies/wirenboard/articles/
D:\untitled3\.\hubs\internet_of_things,null,762212,Sellatonys,2023-10-26T14:14:15.000Z,8.8K,,8.8K,64,22,/ru/companies/selectel/articles/
D:\untitled3\.\hubs\internet_of_things,null,769966,Dmitrii43,2023-10-26T07:00:03.000Z,1.7K,,1.7K,10,7,/ru/companies/wirenboard/articles/
D:\untitled3\.\hubs\internet_of_things,null,769112,nikolz,2023-10-22T12:41:11.000Z,3.6K,,3.6K,43,12,/ru/hubs/wireless/
D:\untitled3\.\hubs\internet_of_things,null,764180,Tirarex,2023-10-15T14:00:02.000Z,17K,,17K,96,59,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\internet_of_things,null,766876,Dmitrii43,2023-10-12T07:00:04.000Z,10K,,10K,91,60,/ru/companies/wirenboard/articles/
D:\untitled3\.\hubs\internet_of_things,null,765232,wofs,2023-10-10T07:00:01.000Z,15K,,15K,106,14,/ru/companies/wirenboard/articles/
D:\untitled3\.\hubs\internet_of_things,null,765628,faruk_yussuf,2023-10-06T08:58:29.000Z,4K,,4K,40,23,/ru/companies/whoosh/articles/
D:\untitled3\.\hubs\internet_of_things,null,765404,Sertik13,2023-10-04T19:36:21.000Z,8.1K,,8.1K,39,26,/ru/hubs/lua/
D:\untitled3\.\hubs\internet_of_things,null,764778,wofs,2023-10-03T07:00:02.000Z,26K,,26K,183,35,/ru/companies/wirenboard/articles/
D:\untitled3\.\hubs\internet_of_things,null,762730,LazyDev,2023-09-30T17:27:55.000Z,26K,,26K,164,98,/ru/hubs/home_automation/
D:\untitled3\.\hubs\internet_of_things,null,763412,Dmitrii43,2023-09-26T07:00:03.000Z,4K,,4K,14,18,/ru/companies/wirenboard/articles/
D:\untitled3\.\hubs\internet_of_things,null,762662,jasiejames,2023-09-22T09:08:02.000Z,1.6K,,1.6K,11,3,/ru/companies/first/articles/
D:\untitled3\.\hubs\internet_of_things,null,762422,Dmitrii43,2023-09-21T07:00:01.000Z,8.8K,,8.8K,31,35,/ru/companies/wirenboard/articles/
D:\untitled3\.\hubs\internet_of_things,null,759860,GlobalSign_admin,2023-09-08T18:46:58.000Z,31K,,31K,136,304,/ru/companies/globalsign/articles/
D:\untitled3\.\hubs\internet_of_things,null,759478,Dmitrii43,2023-09-07T09:07:43.000Z,3.1K,,3.1K,20,3,/ru/companies/wirenboard/articles/
D:\untitled3\.\hubs\internet_of_things,null,758180,KasDim,2023-09-01T07:32:14.000Z,14K,,14K,28,65,/ru/hubs/home_automation/
D:\untitled3\.\hubs\internet_of_things,null,754804,VulkanCyberSecurity,2023-08-21T06:55:01.000Z,1.7K,,1.7K,18,0,/ru/companies/ntc-vulkan/articles/
D:\untitled3\.\hubs\internet_of_things,null,752050,SantrY,2023-08-15T09:45:50.000Z,14K,,14K,69,15,/ru/companies/bastion/articles/
D:\untitled3\.\hubs\internet_of_things,null,754522,ivansychev,2023-08-15T09:00:02.000Z,2.8K,,2.8K,16,22,/ru/companies/inferit/articles/
D:\untitled3\.\hubs\internet_of_things,null,752402,Bright_Translate,2023-08-05T10:00:01.000Z,3.7K,,3.7K,34,11,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\internet_of_things,null,752132,Dmitrii43,2023-08-03T07:00:02.000Z,18K,,18K,68,97,/ru/companies/wirenboard/articles/
D:\untitled3\.\hubs\internet_of_things,null,751786,ogun,2023-08-01T12:59:12.000Z,867,,867,2,6,/ru/companies/siblink/articles/
D:\untitled3\.\hubs\internet_of_things,null,750866,nikolz,2023-07-27T14:15:51.000Z,3.4K,,3.4K,31,68,/ru/hubs/internet_of_things/
D:\untitled3\.\hubs\internet_of_things,null,750640,Dmitrii43,2023-07-27T07:00:01.000Z,4.3K,,4.3K,28,0,/ru/companies/wirenboard/articles/
D:\untitled3\.\hubs\internet_of_things,null,749472,injirtech,2023-07-21T05:00:01.000Z,3K,,3K,16,27,/ru/companies/samsung/articles/
D:\untitled3\.\hubs\internet_of_things,null,748700,defaro,2023-07-18T09:00:40.000Z,7.1K,,7.1K,44,19,/ru/hubs/open_source/
D:\untitled3\.\hubs\internet_of_things,null,748326,ogun,2023-07-16T11:16:39.000Z,856,,856,4,0,/ru/companies/siblink/articles/
D:\untitled3\.\hubs\internet_of_things,null,748198,sav13,2023-07-15T05:19:25.000Z,5K,,5K,50,14,/ru/hubs/controllers/
D:\untitled3\.\hubs\internet_of_things,null,747056,SnezhSh,2023-07-10T11:50:37.000Z,1.7K,,1.7K,17,11,/ru/companies/glowbyte/articles/
D:\untitled3\.\hubs\internet_of_things,null,746770,ogun,2023-07-08T14:28:58.000Z,1.6K,,1.6K,5,3,/ru/companies/siblink/articles/
D:\untitled3\.\hubs\internet_of_things,null,746158,ogun,2023-07-05T18:19:51.000Z,1.2K,,1.2K,2,3,/ru/companies/siblink/articles/
D:\untitled3\.\hubs\internet_of_things,null,745110,sokolovps,2023-06-30T12:11:06.000Z,4.9K,,4.9K,22,5,/ru/companies/onlinepatent/articles/
