hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\it_bigraphy,null,776494,DrArgentum,2023-11-26T15:42:41.000Z,1.2K,,1.2K,4,0,without_company
D:\untitled3\.\hubs\it_bigraphy,null,776226,Oksana_Nedvigina,2023-11-24T13:53:02.000Z,1.3K,,1.3K,19,3,without_company
D:\untitled3\.\hubs\it_bigraphy,null,774936,saipr,2023-11-19T14:43:14.000Z,5.4K,,5.4K,33,11,without_company
D:\untitled3\.\hubs\it_bigraphy,null,774692,gregyku,2023-11-17T13:31:54.000Z,2.5K,,2.5K,18,6,without_company
D:\untitled3\.\hubs\it_bigraphy,null,774114,CyberPaul,2023-11-16T10:30:46.000Z,6.8K,,6.8K,36,21,without_company
D:\untitled3\.\hubs\it_bigraphy,null,770556,alizar,2023-11-13T09:00:01.000Z,4.4K,,4.4K,36,1,without_company
D:\untitled3\.\hubs\it_bigraphy,null,771764,ispmanager,2023-11-03T12:03:28.000Z,6K,,6K,23,27,without_company
D:\untitled3\.\hubs\it_bigraphy,null,771278,itglobalcom,2023-11-01T12:00:02.000Z,3K,,3K,21,3,without_company
D:\untitled3\.\hubs\it_bigraphy,null,769910,Oksana_Nedvigina,2023-10-25T13:58:39.000Z,2.1K,,2.1K,16,5,without_company
D:\untitled3\.\hubs\it_bigraphy,null,768074,CyberPaul,2023-10-20T10:20:59.000Z,6.9K,,6.9K,41,8,without_company
D:\untitled3\.\hubs\it_bigraphy,null,766644,itglobalcom,2023-10-11T09:00:05.000Z,4.7K,,4.7K,27,1,without_company
D:\untitled3\.\hubs\it_bigraphy,null,766434,jasiejames,2023-10-11T08:15:02.000Z,1.2K,,1.2K,8,0,without_company
D:\untitled3\.\hubs\it_bigraphy,null,765016,saipr,2023-10-03T16:32:08.000Z,3.3K,,3.3K,13,12,without_company
D:\untitled3\.\hubs\it_bigraphy,null,764618,anastasiy_y,2023-10-02T08:00:03.000Z,3.8K,,3.8K,70,13,without_company
D:\untitled3\.\hubs\it_bigraphy,null,764016,popski_ruvds,2023-10-01T14:00:01.000Z,16K,,16K,77,8,without_company
D:\untitled3\.\hubs\it_bigraphy,null,764026,CyberPaul,2023-09-28T11:05:02.000Z,3K,,3K,27,3,without_company
D:\untitled3\.\hubs\it_bigraphy,null,763920,andreybrylb,2023-09-28T08:01:01.000Z,7.5K,,7.5K,23,5,without_company
D:\untitled3\.\hubs\it_bigraphy,null,763734,itglobalcom,2023-09-27T09:00:03.000Z,2.4K,,2.4K,13,5,without_company
D:\untitled3\.\hubs\it_bigraphy,null,763334,divolko3,2023-09-25T14:03:55.000Z,2.2K,,2.2K,13,3,without_company
D:\untitled3\.\hubs\it_bigraphy,null,762236,itglobalcom,2023-09-20T09:00:05.000Z,3.8K,,3.8K,22,5,without_company
D:\untitled3\.\hubs\it_bigraphy,null,760316,itglobalcom,2023-09-12T12:00:02.000Z,4.8K,,4.8K,24,9,without_company
D:\untitled3\.\hubs\it_bigraphy,null,760070,popski_ruvds,2023-09-10T16:00:10.000Z,14K,,14K,67,10,without_company
D:\untitled3\.\hubs\it_bigraphy,null,758998,klimensky,2023-09-05T10:03:43.000Z,2.4K,,2.4K,13,3,without_company
D:\untitled3\.\hubs\it_bigraphy,null,758112,alizar,2023-09-04T09:00:02.000Z,13K,,13K,51,1,without_company
D:\untitled3\.\hubs\it_bigraphy,null,757800,popski_ruvds,2023-08-31T13:00:01.000Z,17K,,17K,75,10,without_company
D:\untitled3\.\hubs\it_bigraphy,null,756256,andreybrylb,2023-08-31T08:01:01.000Z,13K,,13K,33,10,without_company
D:\untitled3\.\hubs\it_bigraphy,null,757894,itglobalcom,2023-08-30T11:10:43.000Z,3.4K,,3.4K,26,5,without_company
D:\untitled3\.\hubs\it_bigraphy,null,757482,lock87,2023-08-28T18:33:08.000Z,21K,,21K,53,174,without_company
D:\untitled3\.\hubs\it_bigraphy,null,753970,Kate_two,2023-08-24T07:44:01.000Z,3.5K,,3.5K,23,10,without_company
D:\untitled3\.\hubs\it_bigraphy,null,754330,itglobalcom,2023-08-17T10:00:01.000Z,3.6K,,3.6K,19,12,without_company
D:\untitled3\.\hubs\it_bigraphy,null,753928,itglobalcom,2023-08-15T10:00:01.000Z,6.3K,,6.3K,24,18,without_company
D:\untitled3\.\hubs\it_bigraphy,null,753200,itglobalcom,2023-08-09T11:00:02.000Z,5.3K,,5.3K,29,8,without_company
D:\untitled3\.\hubs\it_bigraphy,null,752206,alizar,2023-08-07T09:00:01.000Z,8.1K,,8.1K,37,12,without_company
D:\untitled3\.\hubs\it_bigraphy,null,747220,AeroHabr,2023-08-03T08:05:02.000Z,5.7K,,5.7K,29,4,without_company
D:\untitled3\.\hubs\it_bigraphy,null,751676,itglobalcom,2023-08-01T11:00:01.000Z,7.3K,,7.3K,29,25,without_company
D:\untitled3\.\hubs\it_bigraphy,null,751336,popski_ruvds,2023-07-30T14:00:02.000Z,26K,,26K,110,33,without_company
D:\untitled3\.\hubs\it_bigraphy,null,751130,Alkash-kolyadun,2023-07-29T08:01:01.000Z,3K,,3K,18,8,without_company
D:\untitled3\.\hubs\it_bigraphy,null,750988,klimensky,2023-07-28T08:46:17.000Z,1.5K,,1.5K,6,4,without_company
