hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\it_immigration,null,775462,Startup_visa_Spain,2023-11-21T15:17:58.000Z,2.9K,,2.9K,21,5,without_company
D:\untitled3\.\hubs\it_immigration,null,775442,YBCase,2023-11-21T14:17:05.000Z,734,,734,1,0,without_company
D:\untitled3\.\hubs\it_immigration,null,774134,Svetlana_headz,2023-11-17T07:22:29.000Z,1.7K,,1.7K,17,1,without_company
D:\untitled3\.\hubs\it_immigration,null,767698,SergLens,2023-11-14T22:45:36.000Z,2.4K,,2.4K,18,12,without_company
D:\untitled3\.\hubs\it_immigration,null,773506,Mak2023Es,2023-11-13T08:30:50.000Z,3.1K,,3.1K,8,42,without_company
D:\untitled3\.\hubs\it_immigration,null,765616,shpringer,2023-11-09T16:01:47.000Z,3.6K,,3.6K,9,4,without_company
D:\untitled3\.\hubs\it_immigration,null,772218,Deian-Edigarov,2023-11-07T12:21:02.000Z,1.3K,,1.3K,11,17,without_company
D:\untitled3\.\hubs\it_immigration,null,770650,YBCase,2023-10-30T04:48:09.000Z,617,,617,5,0,without_company
D:\untitled3\.\hubs\it_immigration,null,770278,ITMan82,2023-10-27T07:38:20.000Z,37K,,37K,71,394,without_company
D:\untitled3\.\hubs\it_immigration,null,769868,titanium007,2023-10-26T15:41:50.000Z,5K,,5K,54,13,without_company
D:\untitled3\.\hubs\it_immigration,null,769420,EasyFirm,2023-10-23T19:06:54.000Z,8.8K,,8.8K,61,47,without_company
D:\untitled3\.\hubs\it_immigration,null,768332,krumpans,2023-10-21T08:07:05.000Z,8.5K,,8.5K,38,20,without_company
D:\untitled3\.\hubs\it_immigration,null,768676,lol_wat,2023-10-19T17:50:08.000Z,3.6K,,3.6K,16,0,without_company
D:\untitled3\.\hubs\it_immigration,null,768586,YBCase,2023-10-19T12:20:36.000Z,649,,649,3,4,without_company
D:\untitled3\.\hubs\it_immigration,null,768318,Deian-Edigarov,2023-10-18T13:00:07.000Z,2.4K,,2.4K,29,1,without_company
D:\untitled3\.\hubs\it_immigration,null,767740,Deian-Edigarov,2023-10-16T11:13:52.000Z,3K,,3K,24,2,without_company
D:\untitled3\.\hubs\it_immigration,null,767180,English_IT,2023-10-13T07:35:44.000Z,7K,,7K,62,2,without_company
D:\untitled3\.\hubs\it_immigration,null,766834,Deian-Edigarov,2023-10-11T16:26:58.000Z,14K,,14K,44,40,without_company
D:\untitled3\.\hubs\it_immigration,null,765674,Perlovich,2023-10-09T06:50:01.000Z,12K,,12K,38,39,without_company
D:\untitled3\.\hubs\it_immigration,null,765706,xyli0o,2023-10-06T06:08:44.000Z,1.1K,,1.1K,0,3,without_company
D:\untitled3\.\hubs\it_immigration,null,763120,YBCase,2023-09-24T19:33:07.000Z,2.6K,,2.6K,36,4,without_company
D:\untitled3\.\hubs\it_immigration,null,760360,krumpans,2023-09-12T14:28:17.000Z,3.6K,,3.6K,10,11,without_company
D:\untitled3\.\hubs\it_immigration,null,760388,RationalAnswer,2023-09-12T05:02:48.000Z,4.3K,,4.3K,18,15,without_company
D:\untitled3\.\hubs\it_immigration,null,759318,headscode,2023-09-06T14:41:51.000Z,12K,,12K,74,25,without_company
D:\untitled3\.\hubs\it_immigration,null,758852,YBCase,2023-09-04T15:25:00.000Z,1.2K,,1.2K,8,3,without_company
D:\untitled3\.\hubs\it_immigration,null,758548,sergzah,2023-09-02T14:07:01.000Z,32K,,32K,233,83,without_company
D:\untitled3\.\hubs\it_immigration,null,756648,Denis_Chernobaev,2023-08-24T09:50:01.000Z,2.5K,,2.5K,14,32,without_company
D:\untitled3\.\hubs\it_immigration,null,756134,Denis_Chernobaev,2023-08-22T10:22:39.000Z,3.3K,,3.3K,23,13,without_company
D:\untitled3\.\hubs\it_immigration,null,755640,SergeiRivlin,2023-08-19T13:23:53.000Z,34K,,34K,146,38,without_company
D:\untitled3\.\hubs\it_immigration,null,755308,YBCase,2023-08-17T15:04:53.000Z,2.1K,,2.1K,6,6,without_company
D:\untitled3\.\hubs\it_immigration,null,755256,aposnov,2023-08-17T12:37:06.000Z,13K,,13K,11,75,without_company
D:\untitled3\.\hubs\it_immigration,null,755024,YBCase,2023-08-16T13:06:51.000Z,2K,,2K,8,7,without_company
D:\untitled3\.\hubs\it_immigration,null,753698,SmartLockMaster,2023-08-10T06:41:38.000Z,2K,,2K,6,3,without_company
D:\untitled3\.\hubs\it_immigration,null,752192,lesallaydialog,2023-08-04T09:30:01.000Z,975,,975,5,1,without_company
D:\untitled3\.\hubs\it_immigration,null,752396,titanium007,2023-08-03T21:11:35.000Z,35K,,35K,56,453,without_company
D:\untitled3\.\hubs\it_immigration,null,751200,mircarecom,2023-07-29T08:43:16.000Z,9.7K,,9.7K,37,36,without_company
D:\untitled3\.\hubs\it_immigration,null,750840,tim_saf,2023-07-28T10:46:51.000Z,3K,,3K,14,3,without_company
D:\untitled3\.\hubs\it_immigration,null,750926,xpic99,2023-07-27T23:55:39.000Z,38K,,38K,54,170,without_company
D:\untitled3\.\hubs\it_immigration,null,750708,RationalAnswer,2023-07-27T05:13:51.000Z,36K,,36K,104,85,without_company
D:\untitled3\.\hubs\it_immigration,null,750100,Deian-Edigarov,2023-07-24T20:09:39.000Z,11K,,11K,22,12,without_company
D:\untitled3\.\hubs\it_immigration,null,745634,lesallaydialog,2023-07-10T08:03:08.000Z,3.1K,,3.1K,5,3,without_company
D:\untitled3\.\hubs\it_immigration,null,744850,Perlovich,2023-07-03T06:45:01.000Z,26K,,26K,64,42,without_company
D:\untitled3\.\hubs\it_immigration,null,745378,DeBovuar,2023-07-02T15:51:12.000Z,3.3K,,3.3K,17,9,without_company
D:\untitled3\.\hubs\it_immigration,null,744650,alexovs,2023-06-29T01:50:13.000Z,6.7K,,6.7K,23,13,without_company
D:\untitled3\.\hubs\it_immigration,null,744272,VladimirBrejcha,2023-06-27T14:17:09.000Z,5.8K,,5.8K,39,11,without_company
D:\untitled3\.\hubs\it_immigration,null,743966,MayaFinexpert,2023-06-26T13:10:33.000Z,4.9K,,4.9K,21,41,without_company
D:\untitled3\.\hubs\it_immigration,null,743092,lesallaydialog,2023-06-22T12:03:55.000Z,4.2K,,4.2K,12,15,without_company
D:\untitled3\.\hubs\it_immigration,null,743262,SmartLockMaster,2023-06-22T08:07:01.000Z,10K,,10K,5,7,without_company
D:\untitled3\.\hubs\it_immigration,null,743214,alexovs,2023-06-22T00:27:12.000Z,8.4K,,8.4K,76,24,without_company
D:\untitled3\.\hubs\it_immigration,null,742534,ffest,2023-06-19T09:44:13.000Z,3.7K,,3.7K,11,9,without_company
D:\untitled3\.\hubs\it_immigration,null,741802,ghoniq,2023-06-14T17:04:16.000Z,4.4K,,4.4K,13,3,without_company
D:\untitled3\.\hubs\it_immigration,null,740930,aposnov,2023-06-09T10:54:58.000Z,11K,,11K,25,33,without_company
D:\untitled3\.\hubs\it_immigration,null,740198,narisuemvse,2023-06-06T12:50:56.000Z,6.2K,,6.2K,27,9,without_company
D:\untitled3\.\hubs\it_immigration,null,740034,xpic99,2023-06-05T21:34:41.000Z,24K,,24K,28,3,without_company
D:\untitled3\.\hubs\it_immigration,null,739532,NyanNyanGringo,2023-06-02T13:43:57.000Z,24K,,24K,55,16,without_company
D:\untitled3\.\hubs\it_immigration,null,738148,xpic99,2023-05-28T23:16:03.000Z,10K,,10K,15,6,without_company
D:\untitled3\.\hubs\it_immigration,null,737874,lesallaydialog,2023-05-26T13:21:37.000Z,2.5K,,2.5K,9,2,without_company
D:\untitled3\.\hubs\it_immigration,null,737736,blognetology,2023-05-26T07:34:04.000Z,5.9K,,5.9K,35,3,without_company
D:\untitled3\.\hubs\it_immigration,null,737308,aposnov,2023-05-24T13:28:24.000Z,9.6K,,9.6K,29,18,without_company
D:\untitled3\.\hubs\it_immigration,null,736702,Acsour,2023-05-22T10:21:10.000Z,1.4K,,1.4K,7,1,without_company
D:\untitled3\.\hubs\it_immigration,null,736592,aposnov,2023-05-21T21:35:16.000Z,5.1K,,5.1K,38,13,without_company
D:\untitled3\.\hubs\it_immigration,null,736012,akargina,2023-05-18T10:29:55.000Z,11K,,11K,31,16,without_company
D:\untitled3\.\hubs\it_immigration,null,735928,Zav,2023-05-18T09:26:49.000Z,28K,,28K,129,147,without_company
D:\untitled3\.\hubs\it_immigration,null,734808,Ninil,2023-05-18T08:25:05.000Z,7.4K,,7.4K,39,19,without_company
D:\untitled3\.\hubs\it_immigration,null,734234,RecruitMeNow,2023-05-18T07:00:01.000Z,3.3K,,3.3K,14,2,without_company
D:\untitled3\.\hubs\it_immigration,null,735886,Ildar92,2023-05-18T05:53:02.000Z,21K,,21K,66,287,without_company
D:\untitled3\.\hubs\it_immigration,null,735134,ffest,2023-05-15T10:12:19.000Z,124K,,124K,131,588,without_company
D:\untitled3\.\hubs\it_immigration,null,733638,lesallaydialog,2023-05-12T09:11:20.000Z,7.3K,,7.3K,11,8,without_company
D:\untitled3\.\hubs\it_immigration,null,731592,ushim,2023-05-05T09:18:54.000Z,8.2K,,8.2K,18,6,without_company
D:\untitled3\.\hubs\it_immigration,null,733276,QuantumCross,2023-05-04T08:55:36.000Z,4K,,4K,43,2,without_company
D:\untitled3\.\hubs\it_immigration,null,732428,gerasimovich,2023-04-29T12:43:39.000Z,3.6K,,3.6K,15,4,without_company
D:\untitled3\.\hubs\it_immigration,null,731848,RecruitMeNow,2023-04-28T07:17:48.000Z,6.6K,,6.6K,11,6,without_company
D:\untitled3\.\hubs\it_immigration,null,732110,nomadbird,2023-04-27T16:39:57.000Z,4.3K,,4.3K,9,10,without_company
D:\untitled3\.\hubs\it_immigration,null,731480,RationalAnswer,2023-04-26T04:54:32.000Z,115K,,115K,292,281,without_company
D:\untitled3\.\hubs\it_immigration,null,728734,ivanuzzo,2023-04-21T22:28:45.000Z,27K,,27K,43,166,without_company
D:\untitled3\.\hubs\it_immigration,null,730280,RationalAnswer,2023-04-20T04:54:02.000Z,10K,,10K,47,8,without_company
D:\untitled3\.\hubs\it_immigration,null,729060,RationalAnswer,2023-04-14T04:30:07.000Z,218K,,218K,366,616,without_company
D:\untitled3\.\hubs\it_immigration,null,725914,SergLens,2023-04-11T18:15:43.000Z,7.3K,,7.3K,14,15,without_company
D:\untitled3\.\hubs\it_immigration,null,727940,ghoniq,2023-04-09T22:38:42.000Z,12K,,12K,23,20,without_company
D:\untitled3\.\hubs\it_immigration,null,727772,daryaperevazhu,2023-04-08T09:28:59.000Z,1.3K,,1.3K,5,5,without_company
D:\untitled3\.\hubs\it_immigration,null,727380,vityoha,2023-04-06T10:29:54.000Z,14K,,14K,42,58,without_company
D:\untitled3\.\hubs\it_immigration,null,726424,krumpans,2023-04-02T16:54:20.000Z,54K,,54K,160,156,without_company
D:\untitled3\.\hubs\it_immigration,null,726272,Perlovich,2023-04-01T06:50:01.000Z,13K,,13K,23,35,without_company
D:\untitled3\.\hubs\it_immigration,null,725892,lesallaydialog,2023-03-31T13:44:42.000Z,1.7K,,1.7K,12,0,without_company
D:\untitled3\.\hubs\it_immigration,null,726000,xpic99,2023-03-30T22:32:23.000Z,6.9K,,6.9K,13,0,without_company
D:\untitled3\.\hubs\it_immigration,null,725550,winfox_tech,2023-03-30T06:11:01.000Z,2.1K,,2.1K,12,4,without_company
D:\untitled3\.\hubs\it_immigration,null,725286,AlexIsaev,2023-03-28T09:52:56.000Z,17K,,17K,62,56,without_company
D:\untitled3\.\hubs\it_immigration,null,725084,AgileFluent,2023-03-27T16:45:02.000Z,11K,,11K,26,2,without_company
D:\untitled3\.\hubs\it_immigration,null,722662,SergLens,2023-03-27T08:37:52.000Z,11K,,11K,34,17,without_company
D:\untitled3\.\hubs\it_immigration,null,724954,daryaperevazhu,2023-03-27T08:02:44.000Z,3.4K,,3.4K,11,9,without_company
D:\untitled3\.\hubs\it_immigration,null,724636,AgileFluent,2023-03-24T14:52:46.000Z,5.1K,,5.1K,23,2,without_company
D:\untitled3\.\hubs\it_immigration,null,562470,DS28,2023-03-21T14:21:58.000Z,19K,,19K,41,22,without_company
D:\untitled3\.\hubs\it_immigration,null,723276,aposnov,2023-03-18T12:49:08.000Z,10K,,10K,24,14,without_company
D:\untitled3\.\hubs\it_immigration,null,723108,Lika_Chernigo,2023-03-17T15:01:02.000Z,11K,,11K,31,27,without_company
D:\untitled3\.\hubs\it_immigration,null,722702,BeyondTheHype,2023-03-16T05:25:35.000Z,1.7K,,1.7K,15,2,without_company
D:\untitled3\.\hubs\it_immigration,null,720378,RecruitMeNow,2023-03-15T07:50:02.000Z,4.8K,,4.8K,12,5,without_company
D:\untitled3\.\hubs\it_immigration,null,721918,hngivan,2023-03-13T07:00:44.000Z,4.6K,,4.6K,20,12,without_company
D:\untitled3\.\hubs\it_immigration,null,721666,VladimirBrejcha,2023-03-11T04:16:04.000Z,5.5K,,5.5K,18,16,without_company
D:\untitled3\.\hubs\it_immigration,null,720250,lesallaydialog,2023-03-03T11:50:15.000Z,3.1K,,3.1K,16,2,without_company
D:\untitled3\.\hubs\it_immigration,null,719356,denis_v_l,2023-02-27T23:22:07.000Z,13K,,13K,83,5,without_company
D:\untitled3\.\hubs\it_immigration,null,719170,AgileFluent,2023-02-27T10:58:28.000Z,6.3K,,6.3K,68,3,without_company
D:\untitled3\.\hubs\it_immigration,null,719074,BeyondTheHype,2023-02-27T06:27:23.000Z,11K,,11K,47,7,without_company
D:\untitled3\.\hubs\it_immigration,null,717202,SergLens,2023-02-21T08:59:52.000Z,12K,,12K,50,12,without_company
D:\untitled3\.\hubs\it_immigration,null,718184,denis_v_l,2023-02-20T21:08:57.000Z,9.9K,,9.9K,53,8,without_company
D:\untitled3\.\hubs\it_immigration,null,717616,lesallaydialog,2023-02-20T11:54:24.000Z,8.3K,,8.3K,24,0,without_company
D:\untitled3\.\hubs\it_immigration,null,717564,MegaplanCEO,2023-02-17T11:00:42.000Z,4.2K,,4.2K,6,12,without_company
D:\untitled3\.\hubs\it_immigration,null,717530,shpringer,2023-02-17T09:59:12.000Z,20K,,20K,66,32,without_company
D:\untitled3\.\hubs\it_immigration,null,717252,VladimirBrejcha,2023-02-16T09:35:41.000Z,4.4K,,4.4K,21,12,without_company
D:\untitled3\.\hubs\it_immigration,null,716598,svetadanilchenko,2023-02-13T11:49:45.000Z,7.7K,,7.7K,19,14,without_company
D:\untitled3\.\hubs\it_immigration,null,716348,vsantonov,2023-02-13T05:49:59.000Z,40K,,40K,136,201,without_company
D:\untitled3\.\hubs\it_immigration,null,716144,lesallaydialog,2023-02-10T12:27:39.000Z,4.1K,,4.1K,5,6,without_company
D:\untitled3\.\hubs\it_immigration,null,715176,SergLens,2023-02-06T13:25:35.000Z,12K,,12K,49,35,without_company
D:\untitled3\.\hubs\it_immigration,null,714856,Nurked,2023-02-04T14:54:27.000Z,48K,,48K,96,270,without_company
D:\untitled3\.\hubs\it_immigration,null,714274,shpringer,2023-02-02T10:02:20.000Z,26K,,26K,66,189,without_company
D:\untitled3\.\hubs\it_immigration,null,713932,lesallaydialog,2023-02-02T08:33:04.000Z,2.6K,,2.6K,6,0,without_company
D:\untitled3\.\hubs\it_immigration,null,714180,ms_causa,2023-02-01T14:55:11.000Z,8.9K,,8.9K,81,55,without_company
D:\untitled3\.\hubs\it_immigration,null,713564,jandevel,2023-01-30T05:30:40.000Z,53K,,53K,107,790,without_company
D:\untitled3\.\hubs\it_immigration,null,712712,Househusband,2023-01-26T06:04:31.000Z,9.1K,,9.1K,6,13,without_company
D:\untitled3\.\hubs\it_immigration,null,711328,Fedor_Andreev,2023-01-23T09:04:18.000Z,33K,,33K,23,4,without_company
D:\untitled3\.\hubs\it_immigration,null,710756,shpringer,2023-01-17T08:06:31.000Z,9.6K,,9.6K,40,19,without_company
D:\untitled3\.\hubs\it_immigration,null,711044,BeyondTheHype,2023-01-17T06:22:35.000Z,5.3K,,5.3K,21,17,without_company
D:\untitled3\.\hubs\it_immigration,null,710638,Perlovich,2023-01-16T06:50:02.000Z,62K,,62K,125,103,without_company
D:\untitled3\.\hubs\it_immigration,null,709878,evgeni_fis,2023-01-10T11:17:25.000Z,58K,,58K,31,14,without_company
D:\untitled3\.\hubs\it_immigration,null,709266,mvs,2023-01-06T13:04:05.000Z,1.8K,,1.8K,16,1,without_company
D:\untitled3\.\hubs\it_immigration,null,708702,Fedor_Andreev,2023-01-04T14:36:15.000Z,11K,,11K,23,43,without_company
D:\untitled3\.\hubs\it_immigration,null,708994,mr-powerlifter,2023-01-03T10:51:58.000Z,54K,,54K,47,225,without_company
D:\untitled3\.\hubs\it_immigration,null,708382,semolina_channel,2022-12-29T07:48:33.000Z,5.4K,,5.4K,20,12,without_company
D:\untitled3\.\hubs\it_immigration,null,708344,Vasjen,2022-12-28T23:03:44.000Z,16K,,16K,49,19,without_company
D:\untitled3\.\hubs\it_immigration,null,707978,RecruitMeNow,2022-12-28T07:14:32.000Z,24K,,24K,47,86,without_company
D:\untitled3\.\hubs\it_immigration,null,707728,Househusband,2022-12-26T12:06:50.000Z,8.2K,,8.2K,27,13,without_company
D:\untitled3\.\hubs\it_immigration,null,707682,MiraclePtr,2022-12-26T10:14:47.000Z,154K,,154K,396,395,without_company
D:\untitled3\.\hubs\it_immigration,null,707458,BeyondTheHype,2022-12-24T08:20:49.000Z,900,,900,11,1,without_company
D:\untitled3\.\hubs\it_immigration,null,707420,lesallaydialog,2022-12-23T16:32:36.000Z,2.7K,,2.7K,10,11,without_company
D:\untitled3\.\hubs\it_immigration,null,704516,aabzel,2022-12-17T20:06:01.000Z,14K,,14K,65,123,without_company
D:\untitled3\.\hubs\it_immigration,null,705842,xpic99,2022-12-15T19:26:03.000Z,31K,,31K,41,1,without_company
D:\untitled3\.\hubs\it_immigration,null,705284,Apatic,2022-12-14T09:20:02.000Z,17K,,17K,30,20,without_company
D:\untitled3\.\hubs\it_immigration,null,705418,lingua_strategy,2022-12-14T09:19:53.000Z,35K,,35K,158,22,without_company
D:\untitled3\.\hubs\it_immigration,null,705206,winfox_tech,2022-12-13T11:52:40.000Z,23K,,23K,38,39,without_company
D:\untitled3\.\hubs\it_immigration,null,704934,xpic99,2022-12-12T11:43:26.000Z,25K,,25K,15,7,without_company
D:\untitled3\.\hubs\it_immigration,null,704860,AgileFluent,2022-12-12T08:27:42.000Z,7.9K,,7.9K,62,2,without_company
D:\untitled3\.\hubs\it_immigration,null,704808,BeyondTheHype,2022-12-12T04:29:54.000Z,1.3K,,1.3K,14,0,without_company
D:\untitled3\.\hubs\it_immigration,null,704694,berlicon,2022-12-10T18:07:08.000Z,13K,,13K,21,64,without_company
D:\untitled3\.\hubs\it_immigration,null,704662,ghoniq,2022-12-10T14:18:56.000Z,47K,,47K,17,9,without_company
D:\untitled3\.\hubs\it_immigration,null,704178,uwriter,2022-12-08T10:09:46.000Z,7K,,7K,18,20,without_company
D:\untitled3\.\hubs\it_immigration,null,704128,Ibragim_bad,2022-12-08T08:38:53.000Z,14K,,14K,107,6,without_company
D:\untitled3\.\hubs\it_immigration,null,703934,Fedor_Andreev,2022-12-06T20:58:13.000Z,25K,,25K,158,47,without_company
D:\untitled3\.\hubs\it_immigration,null,703736,BeyondTheHype,2022-12-06T07:40:00.000Z,5.6K,,5.6K,25,0,without_company
D:\untitled3\.\hubs\it_immigration,null,701896,AgileFluent,2022-11-27T20:01:40.000Z,47K,,47K,124,150,without_company
D:\untitled3\.\hubs\it_immigration,null,701856,ghoniq,2022-11-27T15:06:45.000Z,55K,,55K,34,15,without_company
D:\untitled3\.\hubs\it_immigration,null,701424,fiexagon,2022-11-25T07:44:38.000Z,26K,,26K,34,12,without_company
D:\untitled3\.\hubs\it_immigration,null,701486,timur860,2022-11-24T21:20:52.000Z,48K,,48K,74,123,without_company
D:\untitled3\.\hubs\it_immigration,null,700730,webzest,2022-11-21T19:39:25.000Z,12K,,12K,39,39,without_company
D:\untitled3\.\hubs\it_immigration,null,699866,RationalAnswer,2022-11-17T06:35:20.000Z,8.4K,,8.4K,44,7,without_company
D:\untitled3\.\hubs\it_immigration,null,699668,igor_suhorukov,2022-11-16T18:21:48.000Z,35K,,35K,77,72,without_company
D:\untitled3\.\hubs\it_immigration,null,699378,Househusband,2022-11-15T04:20:08.000Z,11K,,11K,26,18,without_company
