hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\javascript,develop,776300,GragertVD,2023-11-24T21:50:59.000Z,7.5K,,7.5K,28,19,without_company
D:\untitled3\.\hubs\javascript,develop,775476,vital_pavlenko,2023-11-22T08:05:05.000Z,3.7K,,3.7K,19,5,without_company
D:\untitled3\.\hubs\javascript,develop,775550,gmtd,2023-11-22T06:54:38.000Z,2.2K,,2.2K,22,0,without_company
D:\untitled3\.\hubs\javascript,develop,775524,danila_egorenko,2023-11-22T06:15:02.000Z,11K,,11K,137,9,without_company
D:\untitled3\.\hubs\javascript,develop,775168,badcasedaily1,2023-11-21T18:16:01.000Z,2.5K,,2.5K,22,3,without_company
D:\untitled3\.\hubs\javascript,develop,771388,alizar,2023-11-20T09:00:01.000Z,13K,,13K,109,5,without_company
D:\untitled3\.\hubs\javascript,develop,774874,thousandsofraccoons,2023-11-18T22:15:32.000Z,3K,,3K,9,11,without_company
D:\untitled3\.\hubs\javascript,develop,774776,scorpion1574,2023-11-18T01:11:57.000Z,186,,186,3,2,without_company
D:\untitled3\.\hubs\javascript,develop,774606,jenesius,2023-11-17T09:58:15.000Z,5.9K,,5.9K,53,5,without_company
D:\untitled3\.\hubs\javascript,develop,774548,Parker0,2023-11-17T08:04:12.000Z,12K,,12K,132,25,without_company
D:\untitled3\.\hubs\javascript,develop,774090,varlab,2023-11-15T11:40:27.000Z,6K,,6K,48,7,without_company
D:\untitled3\.\hubs\javascript,develop,772736,igor_suhorukov,2023-11-15T06:03:51.000Z,3.6K,,3.6K,45,4,without_company
D:\untitled3\.\hubs\javascript,develop,773912,u4aew,2023-11-14T15:40:49.000Z,4.2K,,4.2K,70,1,without_company
D:\untitled3\.\hubs\javascript,develop,773330,Hardelele,2023-11-11T20:47:19.000Z,1.9K,,1.9K,11,2,without_company
D:\untitled3\.\hubs\javascript,develop,773310,Hardelele,2023-11-11T15:31:27.000Z,4.3K,,4.3K,45,2,without_company
D:\untitled3\.\hubs\javascript,develop,773236,DmitryKazakov8,2023-11-11T13:40:53.000Z,8K,,8K,64,26,without_company
D:\untitled3\.\hubs\javascript,develop,773270,dudaevfrontend,2023-11-11T09:45:58.000Z,10K,,10K,37,19,without_company
D:\untitled3\.\hubs\javascript,develop,773260,senaev,2023-11-11T07:48:50.000Z,5.4K,,5.4K,32,16,without_company
D:\untitled3\.\hubs\javascript,develop,773242,Dktr_Zlo,2023-11-11T05:45:40.000Z,3.7K,,3.7K,32,0,without_company
D:\untitled3\.\hubs\javascript,develop,773092,CyberLight,2023-11-10T09:02:23.000Z,3.2K,,3.2K,14,0,without_company
D:\untitled3\.\hubs\javascript,develop,772648,AlgoRhythm,2023-11-08T13:46:25.000Z,9.7K,,9.7K,90,11,without_company
D:\untitled3\.\hubs\javascript,develop,772100,ranquild,2023-11-06T11:22:00.000Z,1.3K,,1.3K,21,0,without_company
D:\untitled3\.\hubs\javascript,develop,772008,Dragonek,2023-11-05T14:25:23.000Z,21K,,21K,200,19,without_company
D:\untitled3\.\hubs\javascript,develop,770522,splincodewd,2023-11-04T10:45:01.000Z,4.3K,,4.3K,11,16,without_company
D:\untitled3\.\hubs\javascript,develop,771472,Bright_Translate,2023-11-03T13:00:02.000Z,22K,,22K,62,18,without_company
D:\untitled3\.\hubs\javascript,develop,771660,hdbdbeben,2023-11-03T06:27:51.000Z,4.1K,,4.1K,32,5,without_company
D:\untitled3\.\hubs\javascript,develop,771630,tfkfan,2023-11-02T21:26:31.000Z,13K,,13K,104,7,without_company
D:\untitled3\.\hubs\javascript,develop,771586,ahmoleg,2023-11-02T16:00:56.000Z,8.7K,,8.7K,13,11,without_company
D:\untitled3\.\hubs\javascript,develop,771554,krakotay,2023-11-02T13:55:46.000Z,110K,,110K,52,156,without_company
D:\untitled3\.\hubs\javascript,develop,771220,qmzik,2023-11-01T08:39:50.000Z,5.7K,,5.7K,8,3,without_company
D:\untitled3\.\hubs\javascript,develop,771178,useapi,2023-11-01T05:25:36.000Z,1.2K,,1.2K,17,2,without_company
D:\untitled3\.\hubs\javascript,develop,765600,pomazkovjs,2023-10-30T13:59:59.000Z,6.1K,,6.1K,76,3,without_company
D:\untitled3\.\hubs\javascript,develop,770066,sahsAGU,2023-10-30T04:32:02.000Z,3.9K,,3.9K,61,0,without_company
D:\untitled3\.\hubs\javascript,develop,770646,fafnur,2023-10-30T03:06:26.000Z,9.6K,,9.6K,62,31,without_company
D:\untitled3\.\hubs\javascript,develop,770360,artydev,2023-10-27T12:42:05.000Z,2K,,2K,16,6,without_company
