hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\kubernetes,develop,776132,antonaleks605,2023-11-24T12:28:56.000Z,1.7K,,1.7K,28,6,without_company
D:\untitled3\.\hubs\kubernetes,develop,775984,Albert_Wesker,2023-11-24T08:01:02.000Z,20K,,20K,114,13,without_company
D:\untitled3\.\hubs\kubernetes,develop,775542,FirstJohn,2023-11-23T08:18:02.000Z,859,,859,16,0,without_company
D:\untitled3\.\hubs\kubernetes,develop,772530,shpringer,2023-11-22T06:24:57.000Z,1.7K,,1.7K,26,0,without_company
D:\untitled3\.\hubs\kubernetes,develop,774858,Tyazhik,2023-11-18T19:51:06.000Z,2.7K,,2.7K,8,7,without_company
D:\untitled3\.\hubs\kubernetes,develop,774592,MaxRokatansky,2023-11-17T09:38:58.000Z,2.9K,,2.9K,47,5,without_company
D:\untitled3\.\hubs\kubernetes,develop,772574,shpringer,2023-11-14T10:45:36.000Z,5.4K,,5.4K,49,1,without_company
D:\untitled3\.\hubs\kubernetes,develop,773648,m4tr1x,2023-11-14T09:33:42.000Z,4.3K,,4.3K,72,0,without_company
D:\untitled3\.\hubs\kubernetes,develop,773198,Quillis,2023-11-10T15:00:04.000Z,13K,,13K,89,12,without_company
D:\untitled3\.\hubs\kubernetes,develop,771136,kksudo,2023-11-10T13:31:00.000Z,3.2K,,3.2K,68,0,without_company
D:\untitled3\.\hubs\kubernetes,develop,772346,avvolkov,2023-11-08T13:04:57.000Z,2.1K,,2.1K,24,4,without_company
D:\untitled3\.\hubs\kubernetes,develop,772316,ArtemBor93,2023-11-07T13:46:57.000Z,4.6K,,4.6K,58,7,without_company
D:\untitled3\.\hubs\kubernetes,develop,770048,LeoGV,2023-10-27T10:03:15.000Z,3.9K,,3.9K,31,1,without_company
D:\untitled3\.\hubs\kubernetes,develop,770036,TimurTukaev,2023-10-26T07:23:12.000Z,18K,,18K,134,0,without_company
D:\untitled3\.\hubs\kubernetes,develop,769622,kvaps,2023-10-24T13:20:19.000Z,2.6K,,2.6K,37,3,without_company
D:\untitled3\.\hubs\kubernetes,develop,769528,mshalenko,2023-10-24T09:59:48.000Z,5.5K,,5.5K,47,18,without_company
D:\untitled3\.\hubs\kubernetes,develop,769098,SiplatovKirill,2023-10-22T10:30:59.000Z,5.9K,,5.9K,72,8,without_company
D:\untitled3\.\hubs\kubernetes,develop,769034,beeline_cloud,2023-10-22T08:03:30.000Z,5.4K,,5.4K,61,0,without_company
D:\untitled3\.\hubs\kubernetes,develop,769046,AzamatKomaev,2023-10-22T04:35:02.000Z,9.2K,,9.2K,108,8,without_company
D:\untitled3\.\hubs\kubernetes,develop,768224,chudnovskiy,2023-10-20T07:00:01.000Z,3.3K,,3.3K,22,2,without_company
D:\untitled3\.\hubs\kubernetes,develop,768596,devops_ht,2023-10-19T12:43:28.000Z,1.4K,,1.4K,15,2,without_company
D:\untitled3\.\hubs\kubernetes,develop,767056,Striker2k18,2023-10-19T12:01:18.000Z,7K,,7K,88,6,without_company
D:\untitled3\.\hubs\kubernetes,develop,767658,Sermalenk,2023-10-18T10:06:55.000Z,7.8K,,7.8K,48,4,without_company
D:\untitled3\.\hubs\kubernetes,develop,768196,Liloon21,2023-10-18T09:00:07.000Z,654,,654,9,0,without_company
D:\untitled3\.\hubs\kubernetes,develop,767872,Zhbert,2023-10-17T07:18:11.000Z,4.6K,,4.6K,46,18,without_company
D:\untitled3\.\hubs\kubernetes,develop,766736,podsyp,2023-10-17T07:01:24.000Z,2.4K,,2.4K,31,5,without_company
D:\untitled3\.\hubs\kubernetes,develop,766944,FirstJohn,2023-10-16T08:36:01.000Z,862,,862,20,0,without_company
D:\untitled3\.\hubs\kubernetes,develop,766898,samoxbal,2023-10-12T08:58:02.000Z,4.4K,,4.4K,48,1,without_company
D:\untitled3\.\hubs\kubernetes,develop,766102,AzamatKomaev,2023-10-09T04:12:01.000Z,5.2K,,5.2K,68,5,without_company
D:\untitled3\.\hubs\kubernetes,develop,765692,TimurTukaev,2023-10-06T06:31:28.000Z,1K,,1K,7,2,without_company
D:\untitled3\.\hubs\kubernetes,develop,765560,MaxRokatansky,2023-10-05T11:35:41.000Z,1.5K,,1.5K,25,4,without_company
D:\untitled3\.\hubs\kubernetes,develop,765536,ToomIm,2023-10-05T10:27:13.000Z,4.1K,,4.1K,38,14,without_company
D:\untitled3\.\hubs\kubernetes,develop,765520,dbraincloud,2023-10-05T10:00:02.000Z,754,,754,4,1,without_company
D:\untitled3\.\hubs\kubernetes,develop,764772,itmo,2023-10-02T15:09:02.000Z,5.4K,,5.4K,74,2,without_company
D:\untitled3\.\hubs\kubernetes,develop,764376,shpringer,2023-10-02T11:29:41.000Z,2.1K,,2.1K,24,0,without_company
D:\untitled3\.\hubs\kubernetes,develop,764740,Liloon21,2023-10-02T07:15:52.000Z,3K,,3K,34,2,without_company
D:\untitled3\.\hubs\kubernetes,develop,764390,Albert_Wesker,2023-09-30T08:01:02.000Z,2.2K,,2.2K,37,2,without_company
D:\untitled3\.\hubs\kubernetes,develop,762160,digwnews,2023-09-29T09:28:51.000Z,8.7K,,8.7K,12,2,without_company
D:\untitled3\.\hubs\kubernetes,develop,763282,avvolkov,2023-09-27T12:38:21.000Z,4.7K,,4.7K,44,0,without_company
D:\untitled3\.\hubs\kubernetes,develop,763062,Albert_Wesker,2023-09-24T14:01:01.000Z,3.5K,,3.5K,26,9,without_company
D:\untitled3\.\hubs\kubernetes,develop,762742,FreZZZeR,2023-09-22T08:10:28.000Z,4.8K,,4.8K,28,6,without_company
D:\untitled3\.\hubs\kubernetes,develop,761662,chudnovskiy,2023-09-19T13:06:05.000Z,3.2K,,3.2K,36,0,without_company
D:\untitled3\.\hubs\kubernetes,develop,761476,Moisey777,2023-09-16T11:35:26.000Z,4.5K,,4.5K,24,6,without_company
D:\untitled3\.\hubs\kubernetes,develop,761186,kksudo,2023-09-15T10:01:17.000Z,5.1K,,5.1K,84,1,without_company
D:\untitled3\.\hubs\kubernetes,develop,760806,devops-off,2023-09-13T13:02:43.000Z,3K,,3K,10,24,without_company
D:\untitled3\.\hubs\kubernetes,develop,758068,Gacblk,2023-09-12T14:30:53.000Z,30K,,30K,187,3,without_company
