hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\laravel,develop,774832,Cutcode,2023-11-22T06:30:01.000Z,1.8K,,1.8K,4,8,/ru/hubs/open_source/
D:\untitled3\.\hubs\laravel,develop,774304,sashadzen,2023-11-16T09:56:48.000Z,2.8K,,2.8K,15,22,/ru/companies/pyrobyte/articles/
D:\untitled3\.\hubs\laravel,develop,772104,Cutcode,2023-11-12T11:52:38.000Z,5.2K,,5.2K,5,0,/ru/hubs/webdev/
D:\untitled3\.\hubs\laravel,develop,772552,danila_agima,2023-11-08T09:54:06.000Z,1.6K,,1.6K,16,6,/ru/companies/agima/articles/
D:\untitled3\.\hubs\laravel,develop,770732,ValerianMemsk,2023-10-30T11:03:55.000Z,2.5K,,2.5K,18,5,/ru/hubs/php/
D:\untitled3\.\hubs\laravel,develop,768136,2medic,2023-10-18T14:25:46.000Z,2.6K,,2.6K,23,4,/ru/hubs/php/
D:\untitled3\.\hubs\laravel,develop,764392,2medic,2023-10-16T14:06:26.000Z,1.3K,,1.3K,15,5,/ru/hubs/php/
D:\untitled3\.\hubs\laravel,develop,767112,xman12,2023-10-12T17:25:49.000Z,2.9K,,2.9K,8,8,/ru/hubs/php/
D:\untitled3\.\hubs\laravel,develop,765982,Cutcode,2023-10-09T06:11:01.000Z,4.7K,,4.7K,13,1,/ru/hubs/webdev/
D:\untitled3\.\hubs\laravel,develop,765524,Helldar,2023-10-05T09:53:52.000Z,2.2K,,2.2K,11,3,/ru/hubs/php/
D:\untitled3\.\hubs\laravel,develop,761740,Cutcode,2023-10-01T09:41:40.000Z,12K,,12K,46,53,/ru/hubs/webdev/
D:\untitled3\.\hubs\laravel,develop,763924,CoderSafeDev,2023-09-27T16:11:06.000Z,893,,893,5,3,/ru/hubs/php/
D:\untitled3\.\hubs\laravel,develop,763828,2medic,2023-09-27T11:15:12.000Z,1.7K,,1.7K,20,8,/ru/hubs/php/
D:\untitled3\.\hubs\laravel,develop,763742,CoderSafeDev,2023-09-27T07:54:04.000Z,594,,594,10,8,/ru/hubs/laravel/
D:\untitled3\.\hubs\laravel,develop,762690,Helldar,2023-09-22T08:30:01.000Z,2.5K,,2.5K,20,0,/ru/hubs/laravel/
D:\untitled3\.\hubs\laravel,develop,762598,Helldar,2023-09-22T07:30:01.000Z,5.3K,,5.3K,32,7,/ru/hubs/php/
D:\untitled3\.\hubs\laravel,develop,760582,Cutcode,2023-09-12T16:26:55.000Z,3.5K,,3.5K,19,13,/ru/hubs/open_source/
D:\untitled3\.\hubs\laravel,develop,760458,Cutcode,2023-09-12T10:32:01.000Z,4.2K,,4.2K,10,0,/ru/hubs/webdev/
D:\untitled3\.\hubs\laravel,develop,760022,shmoulevsky,2023-09-10T08:10:36.000Z,14K,,14K,79,28,/ru/hubs/webdev/
