hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\learning_languages,null,776394,snakers4,2023-11-25T19:05:50.000Z,9.1K,,9.1K,68,33,/ru/hubs/edu/
D:\untitled3\.\hubs\learning_languages,null,775102,makushevkm,2023-11-20T11:05:01.000Z,3.5K,,3.5K,51,5,/ru/companies/documentat/articles/
D:\untitled3\.\hubs\learning_languages,null,774704,MegaplanCEO,2023-11-17T14:02:24.000Z,4.6K,,4.6K,14,3,/ru/hubs/learning_languages/
D:\untitled3\.\hubs\learning_languages,null,773086,mary_maple,2023-11-10T08:36:56.000Z,1.1K,,1.1K,4,2,/ru/companies/pvs-studio/articles/
D:\untitled3\.\hubs\learning_languages,null,772776,MaksimEng,2023-11-09T07:58:20.000Z,20K,,20K,74,6,/ru/hubs/learning_languages/
D:\untitled3\.\hubs\learning_languages,null,772450,hotplate,2023-11-07T21:47:49.000Z,6.6K,,6.6K,23,44,/ru/hubs/localization/
D:\untitled3\.\hubs\learning_languages,null,767180,English_IT,2023-10-13T07:35:44.000Z,7K,,7K,62,2,/ru/hubs/it_immigration/
D:\untitled3\.\hubs\learning_languages,null,766266,IIHUNTERII1,2023-10-09T12:08:42.000Z,4.9K,,4.9K,19,19,/ru/hubs/learning_languages/
D:\untitled3\.\hubs\learning_languages,null,766040,sheloumovaevgeniia,2023-10-08T10:30:58.000Z,3K,,3K,12,4,/ru/hubs/learning_languages/
D:\untitled3\.\hubs\learning_languages,null,764650,Lustraaz,2023-10-01T09:30:40.000Z,2.7K,,2.7K,25,14,/ru/hubs/css/
D:\untitled3\.\hubs\learning_languages,null,764550,IIHUNTERII1,2023-09-30T09:45:58.000Z,78K,,78K,115,689,/ru/hubs/study/
D:\untitled3\.\hubs\learning_languages,null,761054,MaksimEng,2023-09-14T10:29:34.000Z,49K,,49K,108,7,/ru/hubs/learning_languages/
D:\untitled3\.\hubs\learning_languages,null,760886,LeonidFirstov,2023-09-13T17:20:07.000Z,27K,,27K,58,55,/ru/hubs/community_management/
D:\untitled3\.\hubs\learning_languages,null,760056,SLY_G,2023-09-10T12:57:42.000Z,3.6K,,3.6K,26,8,/ru/hubs/popular_science/
D:\untitled3\.\hubs\learning_languages,null,759636,un1t,2023-09-08T08:12:09.000Z,106K,,106K,451,142,/ru/hubs/learning_languages/
D:\untitled3\.\hubs\learning_languages,null,758660,LeonidFirstov,2023-09-03T18:05:32.000Z,18K,,18K,18,53,/ru/hubs/read/
D:\untitled3\.\hubs\learning_languages,null,758406,Odin_Himself,2023-09-01T12:51:40.000Z,23K,,23K,64,87,/ru/hubs/contentmarketing/
D:\untitled3\.\hubs\learning_languages,null,758260,Latyshenko,2023-08-31T20:04:14.000Z,8.8K,,8.8K,74,18,/ru/hubs/brain/
D:\untitled3\.\hubs\learning_languages,null,757994,LeonidFirstov,2023-08-30T18:07:43.000Z,5K,,5K,23,11,/ru/hubs/read/
D:\untitled3\.\hubs\learning_languages,null,755648,MaksimEng,2023-08-19T15:46:14.000Z,15K,,15K,58,5,/ru/hubs/learning_languages/
D:\untitled3\.\hubs\learning_languages,null,755640,SergeiRivlin,2023-08-19T13:23:53.000Z,34K,,34K,146,38,/ru/hubs/study/
D:\untitled3\.\hubs\learning_languages,null,754414,mr-pickles,2023-08-14T09:45:11.000Z,3.9K,,3.9K,22,0,/ru/companies/wunderfund/articles/
D:\untitled3\.\hubs\learning_languages,null,754124,raqeta,2023-08-11T16:30:00.000Z,26K,,26K,163,75,/ru/hubs/mobile_dev/
D:\untitled3\.\hubs\learning_languages,null,753106,Edemit,2023-08-07T15:32:30.000Z,74K,,74K,290,238,/ru/hubs/learning_languages/
