hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\lib,null,775314,olgamazur,2023-11-24T07:00:01.000Z,4.5K,,4.5K,63,3,/ru/companies/yandex_praktikum/articles/
D:\untitled3\.\hubs\lib,null,775744,YarIkGU,2023-11-22T16:24:28.000Z,11K,,11K,61,11,/ru/hubs/maths/
D:\untitled3\.\hubs\lib,null,775718,lws0954,2023-11-22T15:28:45.000Z,11K,,11K,103,85,/ru/hubs/lib/
D:\untitled3\.\hubs\lib,null,775332,Andrey2008,2023-11-21T09:33:46.000Z,1.8K,,1.8K,7,12,/ru/companies/pvs-studio/articles/
D:\untitled3\.\hubs\lib,null,775100,ph_piter,2023-11-20T11:57:54.000Z,10K,,10K,26,7,/ru/companies/piter/articles/
D:\untitled3\.\hubs\lib,null,773442,MADTeacher,2023-11-16T05:46:33.000Z,3.8K,,3.8K,41,10,/ru/hubs/dart/
D:\untitled3\.\hubs\lib,null,774198,Exilon,2023-11-15T22:30:25.000Z,4.6K,,4.6K,48,31,/ru/hubs/sw/
D:\untitled3\.\hubs\lib,null,772808,ph_piter,2023-11-14T15:19:19.000Z,1.2K,,1.2K,12,1,/ru/companies/piter/articles/
D:\untitled3\.\hubs\lib,null,773570,ph_piter,2023-11-13T17:59:10.000Z,3.5K,,3.5K,44,6,/ru/companies/piter/articles/
D:\untitled3\.\hubs\lib,null,772646,m_a_d,2023-11-10T07:02:01.000Z,5.1K,,5.1K,16,4,/ru/companies/jugru/articles/
D:\untitled3\.\hubs\lib,null,772344,ph_piter,2023-11-07T12:58:35.000Z,4.3K,,4.3K,17,3,/ru/companies/piter/articles/
D:\untitled3\.\hubs\lib,null,771564,ira-k,2023-11-03T07:05:02.000Z,10K,,10K,42,7,/ru/companies/yandex_praktikum/articles/
D:\untitled3\.\hubs\lib,null,771628,hard_sign,2023-11-02T21:16:48.000Z,22K,,22K,41,334,/ru/hubs/terminator/
D:\untitled3\.\hubs\lib,null,770788,dluciv,2023-11-01T09:48:13.000Z,15K,,15K,102,14,/ru/companies/yadro/articles/
D:\untitled3\.\hubs\lib,null,771066,Khrenova,2023-11-01T05:00:02.000Z,4.5K,,4.5K,31,5,/ru/companies/teamly/articles/
D:\untitled3\.\hubs\lib,null,770888,AzamatKomaev,2023-11-01T04:38:02.000Z,4.1K,,4.1K,38,3,/ru/hubs/infosecurity/
D:\untitled3\.\hubs\lib,null,770536,arturdumchev,2023-10-29T07:09:24.000Z,32K,,32K,36,565,/ru/hubs/terminator/
D:\untitled3\.\hubs\lib,null,769626,ph_piter,2023-10-24T13:21:24.000Z,4.2K,,4.2K,29,1,/ru/companies/piter/articles/
D:\untitled3\.\hubs\lib,null,768622,ph_piter,2023-10-19T13:41:26.000Z,24K,,24K,144,9,/ru/companies/piter/articles/
D:\untitled3\.\hubs\lib,null,768080,gmtd,2023-10-17T13:39:36.000Z,6.4K,,6.4K,80,2,/ru/hubs/webdev/
D:\untitled3\.\hubs\lib,null,768044,ph_piter,2023-10-17T12:35:53.000Z,2.1K,,2.1K,19,1,/ru/companies/piter/articles/
D:\untitled3\.\hubs\lib,null,767446,Helboy11,2023-10-14T08:30:28.000Z,2.6K,,2.6K,23,7,/ru/hubs/network_technologies/
D:\untitled3\.\hubs\lib,null,767286,Oksana_Nedvigina,2023-10-13T12:29:24.000Z,910,,910,18,1,/ru/companies/onlinepatent/articles/
D:\untitled3\.\hubs\lib,null,767068,ph_piter,2023-10-12T13:35:31.000Z,5.4K,,5.4K,55,13,/ru/companies/piter/articles/
D:\untitled3\.\hubs\lib,null,766530,shpringer,2023-10-12T10:17:17.000Z,6.4K,,6.4K,46,0,/ru/companies/vk/articles/
D:\untitled3\.\hubs\lib,null,766710,ph_piter,2023-10-11T13:04:42.000Z,1.3K,,1.3K,17,1,/ru/companies/piter/articles/
D:\untitled3\.\hubs\lib,null,764210,ph_piter,2023-10-10T12:04:44.000Z,19K,,19K,86,13,/ru/companies/piter/articles/
D:\untitled3\.\hubs\lib,null,766092,SiaShults,2023-10-08T17:14:47.000Z,981,,981,2,14,/ru/hubs/lib/
D:\untitled3\.\hubs\lib,null,765814,sokolovps,2023-10-06T11:56:32.000Z,6.9K,,6.9K,54,7,/ru/companies/onlinepatent/articles/
D:\untitled3\.\hubs\lib,null,765308,divolko3,2023-10-04T12:57:00.000Z,15K,,15K,195,3,/ru/companies/ru_mts/articles/
D:\untitled3\.\hubs\lib,null,764730,mvideo,2023-10-02T06:48:06.000Z,3.4K,,3.4K,40,13,/ru/companies/mvideo/articles/
D:\untitled3\.\hubs\lib,null,763036,MADTeacher,2023-09-29T19:55:54.000Z,2.7K,,2.7K,27,9,/ru/hubs/dart/
D:\untitled3\.\hubs\lib,null,763912,randall,2023-09-27T15:29:49.000Z,1.8K,,1.8K,29,1,/ru/companies/cloud_mts/articles/
D:\untitled3\.\hubs\lib,null,763874,ph_piter,2023-09-27T13:14:42.000Z,5.6K,,5.6K,44,11,/ru/companies/piter/articles/
D:\untitled3\.\hubs\lib,null,763808,AlexanderByndyu,2023-09-27T09:56:19.000Z,2.5K,,2.5K,37,1,/ru/hubs/lib/
D:\untitled3\.\hubs\lib,null,762102,randall,2023-09-20T08:34:33.000Z,7K,,7K,73,0,/ru/companies/cloud_mts/articles/
D:\untitled3\.\hubs\lib,null,761752,divolko3,2023-09-18T13:02:53.000Z,4.4K,,4.4K,89,4,/ru/companies/ru_mts/articles/
D:\untitled3\.\hubs\lib,null,761396,AKlimenkov,2023-09-15T18:16:13.000Z,15K,,15K,111,26,/ru/hubs/programming/
D:\untitled3\.\hubs\lib,null,761096,ph_piter,2023-09-14T14:08:40.000Z,9.1K,,9.1K,64,10,/ru/companies/piter/articles/
D:\untitled3\.\hubs\lib,null,760734,pand,2023-09-13T09:26:41.000Z,7.5K,,7.5K,87,9,/ru/companies/xakep/articles/
D:\untitled3\.\hubs\lib,null,758126,ph_piter,2023-09-12T13:38:55.000Z,6.5K,,6.5K,43,2,/ru/companies/piter/articles/
D:\untitled3\.\hubs\lib,null,760068,AndrewYaremko,2023-09-10T15:34:58.000Z,2K,,2K,20,11,/ru/hubs/lib/
D:\untitled3\.\hubs\lib,null,759668,divolko3,2023-09-08T06:45:41.000Z,16K,,16K,149,3,/ru/companies/ru_mts/articles/
D:\untitled3\.\hubs\lib,null,757616,ph_piter,2023-09-07T12:24:04.000Z,8.2K,,8.2K,68,3,/ru/companies/piter/articles/
D:\untitled3\.\hubs\lib,null,759512,Number571,2023-09-07T10:39:30.000Z,3.1K,,3.1K,25,8,/ru/hubs/infosecurity/
D:\untitled3\.\hubs\lib,null,759266,madrugado,2023-09-06T13:00:01.000Z,9K,,9K,86,6,/ru/companies/ru_mts/articles/
D:\untitled3\.\hubs\lib,null,757946,ph_piter,2023-09-05T12:26:41.000Z,2.5K,,2.5K,21,1,/ru/companies/piter/articles/
D:\untitled3\.\hubs\lib,null,757962,divolko3,2023-08-30T14:58:05.000Z,11K,,11K,94,12,/ru/companies/ru_mts/articles/
D:\untitled3\.\hubs\lib,null,757636,ph_piter,2023-08-29T13:34:21.000Z,9.9K,,9.9K,83,0,/ru/companies/piter/articles/
D:\untitled3\.\hubs\lib,null,757204,Melanchall,2023-08-27T16:06:06.000Z,33K,,33K,66,183,/ru/hubs/programming/
D:\untitled3\.\hubs\lib,null,756720,ph_piter,2023-08-24T13:58:28.000Z,10K,,10K,75,30,/ru/companies/piter/articles/
D:\untitled3\.\hubs\lib,null,756446,divolko3,2023-08-23T11:34:30.000Z,19K,,19K,86,39,/ru/companies/ru_mts/articles/
D:\untitled3\.\hubs\lib,null,755274,ph_piter,2023-08-21T11:55:46.000Z,10K,,10K,112,6,/ru/companies/piter/articles/
D:\untitled3\.\hubs\lib,null,754318,xpendence,2023-08-17T06:23:47.000Z,10K,,10K,32,32,/ru/hubs/complete_code/
D:\untitled3\.\hubs\lib,null,755044,ph_piter,2023-08-16T14:25:56.000Z,5K,,5K,14,2,/ru/companies/piter/articles/
D:\untitled3\.\hubs\lib,null,750048,Turkindv,2023-08-16T08:00:01.000Z,47K,,47K,409,11,/ru/companies/yandex_praktikum/articles/
D:\untitled3\.\hubs\lib,null,754760,ph_piter,2023-08-15T13:35:40.000Z,15K,,15K,113,2,/ru/companies/piter/articles/
D:\untitled3\.\hubs\lib,null,753820,ph_piter,2023-08-10T12:56:54.000Z,6K,,6K,61,3,/ru/companies/piter/articles/
D:\untitled3\.\hubs\lib,null,753326,ph_piter,2023-08-08T14:52:52.000Z,13K,,13K,92,4,/ru/companies/piter/articles/
D:\untitled3\.\hubs\lib,null,752488,divolko3,2023-08-04T10:07:58.000Z,15K,,15K,234,13,/ru/companies/ru_mts/articles/
D:\untitled3\.\hubs\lib,null,752258,ph_piter,2023-08-03T13:08:12.000Z,4.9K,,4.9K,49,0,/ru/companies/piter/articles/
D:\untitled3\.\hubs\lib,null,747102,Ostrie_Brevna,2023-08-03T08:00:01.000Z,8.6K,,8.6K,103,3,/ru/companies/avito/articles/
D:\untitled3\.\hubs\lib,null,751748,ph_piter,2023-08-01T11:59:54.000Z,2.8K,,2.8K,34,0,/ru/companies/piter/articles/
D:\untitled3\.\hubs\lib,null,751184,divolko3,2023-07-29T08:30:01.000Z,7.3K,,7.3K,44,4,/ru/companies/ru_mts/articles/
D:\untitled3\.\hubs\lib,null,751112,habrahuser,2023-07-28T13:52:10.000Z,11K,,11K,122,2,/ru/companies/skillbox/articles/
D:\untitled3\.\hubs\lib,null,750560,randall,2023-07-27T11:51:11.000Z,11K,,11K,108,3,/ru/companies/cloud_mts/articles/
D:\untitled3\.\hubs\lib,null,750522,ph_piter,2023-07-26T13:48:17.000Z,11K,,11K,78,3,/ru/companies/piter/articles/
D:\untitled3\.\hubs\lib,null,748094,ph_piter,2023-07-21T12:50:57.000Z,16K,,16K,154,2,/ru/companies/piter/articles/
D:\untitled3\.\hubs\lib,null,748780,ph_piter,2023-07-18T12:23:38.000Z,5.5K,,5.5K,10,0,/ru/companies/piter/articles/
D:\untitled3\.\hubs\lib,null,747078,randall,2023-07-13T13:50:09.000Z,5.3K,,5.3K,97,3,/ru/companies/cloud_mts/articles/
D:\untitled3\.\hubs\lib,null,747802,divolko3,2023-07-13T11:31:50.000Z,7.9K,,7.9K,80,3,/ru/companies/ru_mts/articles/
D:\untitled3\.\hubs\lib,null,747578,ph_piter,2023-07-12T14:25:35.000Z,6K,,6K,25,4,/ru/companies/piter/articles/
D:\untitled3\.\hubs\lib,null,747342,ph_piter,2023-07-11T14:09:48.000Z,8.7K,,8.7K,68,9,/ru/companies/piter/articles/
D:\untitled3\.\hubs\lib,null,747020,ph_piter,2023-07-10T12:23:18.000Z,3.8K,,3.8K,13,8,/ru/companies/piter/articles/
D:\untitled3\.\hubs\lib,null,747040,divolko3,2023-07-10T10:50:05.000Z,8.1K,,8.1K,98,3,/ru/companies/ru_mts/articles/
D:\untitled3\.\hubs\lib,null,746376,ph_piter,2023-07-06T13:43:49.000Z,19K,,19K,138,0,/ru/companies/piter/articles/
