hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\lifehacks,null,776062,Butaforsky,2023-11-23T22:48:58.000Z,27K,,27K,109,54,without_company
D:\untitled3\.\hubs\lifehacks,null,775322,beeline_cloud,2023-11-21T09:12:04.000Z,703,,703,4,2,without_company
D:\untitled3\.\hubs\lifehacks,null,774992,pamparumba,2023-11-20T05:52:32.000Z,6.1K,,6.1K,31,18,without_company
D:\untitled3\.\hubs\lifehacks,null,774964,Skill_Vortex,2023-11-19T19:19:25.000Z,57K,,57K,302,112,without_company
D:\untitled3\.\hubs\lifehacks,null,773000,zakirovdamir,2023-11-09T19:24:11.000Z,17K,,17K,102,111,without_company
D:\untitled3\.\hubs\lifehacks,null,772026,CodeShaman,2023-11-09T08:00:02.000Z,5K,,5K,30,3,without_company
D:\untitled3\.\hubs\lifehacks,null,772404,yagodkinvs,2023-11-07T17:08:14.000Z,60K,,60K,150,39,without_company
D:\untitled3\.\hubs\lifehacks,null,772044,Endrey_cot,2023-11-05T19:15:45.000Z,17K,,17K,127,12,without_company
D:\untitled3\.\hubs\lifehacks,null,771792,IrinaSaribekova,2023-11-03T14:27:15.000Z,6.4K,,6.4K,59,15,without_company
D:\untitled3\.\hubs\lifehacks,null,770822,Skill_Vortex,2023-10-30T15:19:11.000Z,3.3K,,3.3K,12,11,without_company
D:\untitled3\.\hubs\lifehacks,null,765600,pomazkovjs,2023-10-30T13:59:59.000Z,6.1K,,6.1K,76,3,without_company
D:\untitled3\.\hubs\lifehacks,null,770030,katerina_chernykh,2023-10-26T07:01:53.000Z,5.4K,,5.4K,53,12,without_company
D:\untitled3\.\hubs\lifehacks,null,769800,novikovalegal,2023-10-25T09:11:22.000Z,77K,,77K,105,156,without_company
D:\untitled3\.\hubs\lifehacks,null,769772,Skill_Vortex,2023-10-25T08:02:37.000Z,7.7K,,7.7K,52,8,without_company
D:\untitled3\.\hubs\lifehacks,null,768848,yanorm,2023-10-21T09:00:02.000Z,3.3K,,3.3K,51,6,without_company
D:\untitled3\.\hubs\lifehacks,null,768332,krumpans,2023-10-21T08:07:05.000Z,8.5K,,8.5K,38,20,without_company
D:\untitled3\.\hubs\lifehacks,null,768574,korvint,2023-10-19T15:40:03.000Z,15K,,15K,78,31,without_company
D:\untitled3\.\hubs\lifehacks,null,766520,vgaidadei,2023-10-10T20:00:02.000Z,39K,,39K,109,145,without_company
D:\untitled3\.\hubs\lifehacks,null,765046,ris58h,2023-10-04T16:29:28.000Z,13K,,13K,23,23,without_company
D:\untitled3\.\hubs\lifehacks,null,764438,NickSenin,2023-09-29T13:13:33.000Z,44K,,44K,165,13,without_company
D:\untitled3\.\hubs\lifehacks,null,762842,yanorm,2023-09-23T09:00:02.000Z,2.4K,,2.4K,14,1,without_company
D:\untitled3\.\hubs\lifehacks,null,762336,YarIkGU,2023-09-20T13:06:54.000Z,10K,,10K,116,4,without_company
D:\untitled3\.\hubs\lifehacks,null,761078,ValeriiaKoriakovtseva,2023-09-20T08:17:47.000Z,5.1K,,5.1K,48,1,without_company
D:\untitled3\.\hubs\lifehacks,null,761242,yanorm,2023-09-16T09:00:02.000Z,6.5K,,6.5K,38,1,without_company
D:\untitled3\.\hubs\lifehacks,null,760662,YarIkGU,2023-09-13T06:29:31.000Z,12K,,12K,99,1,without_company
D:\untitled3\.\hubs\lifehacks,null,760360,krumpans,2023-09-12T14:28:17.000Z,3.6K,,3.6K,10,11,without_company
D:\untitled3\.\hubs\lifehacks,null,760526,mr-pickles,2023-09-12T12:50:29.000Z,2.1K,,2.1K,19,3,without_company
D:\untitled3\.\hubs\lifehacks,null,760422,yanorm,2023-09-12T09:05:01.000Z,3K,,3K,17,4,without_company
D:\untitled3\.\hubs\lifehacks,null,759796,SergioPrieto,2023-09-08T12:50:05.000Z,3.4K,,3.4K,27,1,without_company
D:\untitled3\.\hubs\lifehacks,null,757920,Cruniac,2023-08-30T12:27:36.000Z,36K,,36K,237,32,without_company
D:\untitled3\.\hubs\lifehacks,null,757656,SergioPrieto,2023-08-29T12:27:59.000Z,3.3K,,3.3K,24,5,without_company
D:\untitled3\.\hubs\lifehacks,null,757402,SergioPrieto,2023-08-28T12:48:29.000Z,7.9K,,7.9K,48,57,without_company
D:\untitled3\.\hubs\lifehacks,null,755102,spiritus_sancti,2023-08-28T09:00:01.000Z,9.9K,,9.9K,44,16,without_company
D:\untitled3\.\hubs\lifehacks,null,756714,Arnak,2023-08-24T13:16:15.000Z,6.4K,,6.4K,90,12,without_company
D:\untitled3\.\hubs\lifehacks,null,756340,Ingirov,2023-08-23T05:40:08.000Z,2.8K,,2.8K,12,1,without_company
D:\untitled3\.\hubs\lifehacks,null,756248,Maxilect,2023-08-22T15:03:32.000Z,14K,,14K,79,7,without_company
D:\untitled3\.\hubs\lifehacks,null,755982,pavel-nesterchuk,2023-08-21T16:31:11.000Z,7.8K,,7.8K,68,14,without_company
D:\untitled3\.\hubs\lifehacks,null,755450,Kirkickiy,2023-08-18T09:04:19.000Z,4.5K,,4.5K,14,41,without_company
D:\untitled3\.\hubs\lifehacks,null,755054,Kopcheniy,2023-08-16T15:34:26.000Z,7K,,7K,26,21,without_company
D:\untitled3\.\hubs\lifehacks,null,753692,remaikee,2023-08-10T06:31:19.000Z,1.9K,,1.9K,7,8,without_company
D:\untitled3\.\hubs\lifehacks,null,753592,Rembo123,2023-08-09T14:56:55.000Z,3.5K,,3.5K,10,30,without_company
D:\untitled3\.\hubs\lifehacks,null,753334,Kirkickiy,2023-08-08T14:13:44.000Z,1.5K,,1.5K,18,3,without_company
