hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\localization,null,775234,savecons,2023-11-21T08:15:01.000Z,1.2K,,1.2K,10,0,/ru/hubs/localization/
D:\untitled3\.\hubs\localization,null,774386,smlab_dev,2023-11-16T12:27:58.000Z,649,,649,15,1,/ru/companies/sportmaster_lab/articles/
D:\untitled3\.\hubs\localization,null,772450,hotplate,2023-11-07T21:47:49.000Z,6.6K,,6.6K,23,44,/ru/hubs/localization/
D:\untitled3\.\hubs\localization,null,766106,savecons,2023-10-09T08:50:02.000Z,312,,312,1,0,/ru/hubs/localization/
D:\untitled3\.\hubs\localization,null,765884,Editor_Translator,2023-10-06T17:23:02.000Z,934,,934,13,3,/ru/companies/bercut/articles/
D:\untitled3\.\hubs\localization,null,763314,savecons,2023-09-25T13:00:35.000Z,3K,,3K,24,3,/ru/hubs/localization/
D:\untitled3\.\hubs\localization,null,761046,alex_expert_borisov,2023-09-14T11:52:07.000Z,1.1K,,1.1K,10,0,/ru/companies/cleverpumpkin/articles/
D:\untitled3\.\hubs\localization,null,754072,AffiToday,2023-08-11T13:16:02.000Z,771,,771,4,0,/ru/hubs/localization/
D:\untitled3\.\hubs\localization,null,751366,Dragonek,2023-07-31T09:11:20.000Z,5K,,5K,54,8,/ru/hubs/webdev/
D:\untitled3\.\hubs\localization,null,751272,Rembo123,2023-07-30T02:56:16.000Z,1.4K,,1.4K,10,17,/ru/hubs/programming/
D:\untitled3\.\hubs\localization,null,747226,ligofff,2023-07-11T07:36:23.000Z,6.9K,,6.9K,82,6,/ru/hubs/gamedev/
D:\untitled3\.\hubs\localization,null,736530,gmtd,2023-05-22T02:22:55.000Z,5.1K,,5.1K,36,11,/ru/hubs/webdev/
D:\untitled3\.\hubs\localization,null,734214,SofBix,2023-05-18T07:13:33.000Z,2.1K,,2.1K,10,2,/ru/companies/ozontech/articles/
D:\untitled3\.\hubs\localization,null,732390,rtsisyk,2023-04-29T18:34:22.000Z,8.3K,,8.3K,49,0,/ru/hubs/webdev/
D:\untitled3\.\hubs\localization,null,730830,Stefa-m,2023-04-21T17:15:36.000Z,2.3K,,2.3K,18,17,/ru/hubs/localization/
D:\untitled3\.\hubs\localization,null,729542,john_samilin,2023-04-18T07:00:02.000Z,735,,735,10,2,/ru/hubs/webdev/
D:\untitled3\.\hubs\localization,null,727780,Dudarion,2023-04-09T16:10:24.000Z,5.5K,,5.5K,35,15,/ru/hubs/localization/
D:\untitled3\.\hubs\localization,null,727130,dmitriizolotov,2023-04-05T11:59:03.000Z,1.4K,,1.4K,12,0,/ru/companies/otus/articles/
D:\untitled3\.\hubs\localization,null,724662,KseniaMoroz,2023-03-24T18:19:17.000Z,2.4K,,2.4K,15,8,/ru/hubs/localization/
D:\untitled3\.\hubs\localization,null,724590,Pontych,2023-03-24T15:37:05.000Z,1.5K,,1.5K,6,6,/ru/companies/flowwow/articles/
D:\untitled3\.\hubs\localization,null,724378,hotplate,2023-03-23T15:35:05.000Z,1K,,1K,11,0,/ru/hubs/localization/
D:\untitled3\.\hubs\localization,null,722172,MarkParker5,2023-03-13T23:12:52.000Z,2.7K,,2.7K,14,9,/ru/hubs/ios_dev/
D:\untitled3\.\hubs\localization,null,720632,Kiribaz,2023-03-07T06:43:48.000Z,9K,,9K,47,18,/ru/companies/dododev/articles/
D:\untitled3\.\hubs\localization,null,718310,PackRuble,2023-02-25T18:01:01.000Z,2.6K,,2.6K,24,5,/ru/hubs/programming/
D:\untitled3\.\hubs\localization,null,717694,bartov-e,2023-02-17T14:49:24.000Z,7.6K,,7.6K,85,32,/ru/hubs/localization/
D:\untitled3\.\hubs\localization,null,716442,smthelse,2023-02-13T06:31:13.000Z,2.8K,,2.8K,12,14,/ru/hubs/ui/
D:\untitled3\.\hubs\localization,null,709254,aragont,2023-01-06T09:45:18.000Z,7.9K,,7.9K,29,51,/ru/hubs/programming/
D:\untitled3\.\hubs\localization,null,705086,IronMesh,2022-12-13T01:45:48.000Z,5.8K,,5.8K,27,10,/ru/hubs/python/
D:\untitled3\.\hubs\localization,null,701872,R_Syroeshkin,2022-11-27T17:11:06.000Z,1.2K,,1.2K,9,1,/ru/hubs/localization/
D:\untitled3\.\hubs\localization,null,699852,vileven,2022-11-18T13:53:18.000Z,3.8K,,3.8K,31,5,/ru/companies/vk/articles/
D:\untitled3\.\hubs\localization,null,699702,Diusha,2022-11-18T07:57:16.000Z,3.7K,,3.7K,20,9,/ru/companies/inDrive/articles/
D:\untitled3\.\hubs\localization,null,698310,code-switcher,2022-11-09T10:07:17.000Z,2.4K,,2.4K,27,0,/ru/hubs/localization/
D:\untitled3\.\hubs\localization,null,695960,anastapenko,2022-10-27T19:32:28.000Z,19K,,19K,46,20,/ru/companies/axenix/articles/
D:\untitled3\.\hubs\localization,null,694304,Shyhartskoi,2022-10-21T12:17:50.000Z,4K,,4K,48,5,/ru/companies/timeweb/articles/
D:\untitled3\.\hubs\localization,null,694662,inyrtsov,2022-10-21T07:48:36.000Z,4K,,4K,34,4,/ru/hubs/gamedev/
D:\untitled3\.\hubs\localization,null,690140,klounader,2022-09-26T10:32:10.000Z,8.6K,,8.6K,27,96,/ru/hubs/infosecurity/
D:\untitled3\.\hubs\localization,null,674368,anvos,2022-07-04T05:32:48.000Z,43K,,43K,99,359,/ru/hubs/reverse-engineering/
D:\untitled3\.\hubs\localization,null,674248,TilekSamiev,2022-07-01T12:52:52.000Z,6.7K,,6.7K,22,25,/ru/companies/timeweb/articles/
D:\untitled3\.\hubs\localization,null,672398,Dmitry_V_Litvinov,2022-06-20T11:52:17.000Z,1.7K,,1.7K,8,2,/ru/hubs/saas/
D:\untitled3\.\hubs\localization,null,662387,besska,2022-04-22T07:28:54.000Z,2.9K,,2.9K,13,2,/ru/hubs/gamedev/
D:\untitled3\.\hubs\localization,null,660421,Adventory,2022-04-21T06:59:53.000Z,13K,,13K,18,57,/ru/hubs/localization/
D:\untitled3\.\hubs\localization,null,658713,petrov_engineer,2022-04-01T19:35:16.000Z,14K,,14K,53,23,/ru/hubs/webdev/
D:\untitled3\.\hubs\localization,null,656145,Ioanlarionov,2022-03-17T10:09:26.000Z,9.4K,,9.4K,33,55,/ru/hubs/localization/
D:\untitled3\.\hubs\localization,null,655685,valbraun,2022-03-15T07:53:03.000Z,14K,,14K,43,46,/ru/hubs/linux/
