hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\lua,develop,771922,guhbap,2023-11-04T14:42:32.000Z,1.9K,,1.9K,34,3,/ru/hubs/crypto/
D:\untitled3\.\hubs\lua,develop,753898,SkU4,2023-10-12T12:31:12.000Z,1.9K,,1.9K,15,0,/ru/companies/vk/articles/
D:\untitled3\.\hubs\lua,develop,765404,Sertik13,2023-10-04T19:36:21.000Z,8.1K,,8.1K,39,26,/ru/hubs/lua/
D:\untitled3\.\hubs\lua,develop,765010,Rengabim,2023-10-04T08:20:01.000Z,1.5K,,1.5K,4,4,/ru/companies/ascon/articles/
D:\untitled3\.\hubs\lua,develop,759564,Sertik13,2023-09-07T13:38:08.000Z,10K,,10K,51,28,/ru/hubs/lua/
D:\untitled3\.\hubs\lua,develop,746658,pvvv,2023-08-16T10:56:14.000Z,2.6K,,2.6K,25,6,/ru/hubs/programming/
D:\untitled3\.\hubs\lua,develop,740562,Firemoon,2023-06-28T10:48:42.000Z,5.8K,,5.8K,32,10,/ru/companies/selectel/articles/
D:\untitled3\.\hubs\lua,develop,742122,olegbunin,2023-06-16T08:00:18.000Z,1.5K,,1.5K,15,0,/ru/companies/oleg-bunin/articles/
D:\untitled3\.\hubs\lua,develop,741744,starfair,2023-06-14T13:24:48.000Z,1.1K,,1.1K,6,35,/ru/hubs/programming/
D:\untitled3\.\hubs\lua,develop,739576,webrobot,2023-06-02T17:17:33.000Z,4.7K,,4.7K,29,31,/ru/hubs/php/
D:\untitled3\.\hubs\lua,develop,739516,webrobot,2023-06-02T13:19:49.000Z,2.1K,,2.1K,15,0,/ru/hubs/php/
D:\untitled3\.\hubs\lua,develop,739508,starfair,2023-06-02T12:48:45.000Z,1.2K,,1.2K,10,0,/ru/hubs/programming/
D:\untitled3\.\hubs\lua,develop,738478,starfair,2023-05-30T08:05:51.000Z,838,,838,9,4,/ru/hubs/programming/
D:\untitled3\.\hubs\lua,develop,738414,novusnota,2023-05-29T19:27:18.000Z,32K,,32K,151,70,/ru/hubs/programming/
D:\untitled3\.\hubs\lua,develop,738182,starfair,2023-05-29T07:12:07.000Z,2.7K,,2.7K,22,23,/ru/hubs/programming/
D:\untitled3\.\hubs\lua,develop,730970,Rembo123,2023-04-23T03:27:22.000Z,8.3K,,8.3K,50,7,/ru/hubs/vim/
D:\untitled3\.\hubs\lua,develop,729860,SergBedin66,2023-04-18T12:50:34.000Z,2.7K,,2.7K,16,10,/ru/hubs/programming/
D:\untitled3\.\hubs\lua,develop,728188,Chetverovod,2023-04-10T20:35:51.000Z,813,,813,4,2,/ru/hubs/programming/
D:\untitled3\.\hubs\lua,develop,726400,Wansmer,2023-04-02T07:58:00.000Z,4.9K,,4.9K,50,4,/ru/hubs/vim/
D:\untitled3\.\hubs\lua,develop,711114,Sertik13,2023-01-17T11:23:48.000Z,6K,,6K,39,0,/ru/hubs/programming/
D:\untitled3\.\hubs\lua,develop,708794,dimka_relax,2022-12-31T17:51:19.000Z,15K,,15K,47,47,/ru/hubs/lua/
D:\untitled3\.\hubs\lua,develop,707672,ph_piter,2022-12-26T10:53:51.000Z,4.2K,,4.2K,29,4,/ru/companies/piter/articles/
D:\untitled3\.\hubs\lua,develop,705806,webrobot,2022-12-15T15:28:55.000Z,4.1K,,4.1K,24,14,/ru/hubs/php/
D:\untitled3\.\hubs\lua,develop,704262,Sertik13,2022-12-08T11:57:29.000Z,1.7K,,1.7K,10,3,/ru/hubs/programming/
D:\untitled3\.\hubs\lua,develop,702756,BasicSloth,2022-12-01T06:12:46.000Z,1.9K,,1.9K,22,2,/ru/hubs/programming/
D:\untitled3\.\hubs\lua,develop,699150,BasicSloth,2022-11-14T07:54:30.000Z,2.2K,,2.2K,21,0,/ru/hubs/programming/
D:\untitled3\.\hubs\lua,develop,688196,Valery_Bak,2022-09-14T14:00:01.000Z,4.5K,,4.5K,22,10,/ru/hubs/open_source/
D:\untitled3\.\hubs\lua,develop,681400,quasilyte,2022-08-23T15:28:49.000Z,4.6K,,4.6K,21,11,/ru/companies/vk/articles/
D:\untitled3\.\hubs\lua,develop,682962,antgubarev,2022-08-19T12:00:02.000Z,37K,,37K,130,41,/ru/companies/avito/articles/
D:\untitled3\.\hubs\lua,develop,680972,BasicSloth,2022-08-05T07:34:42.000Z,2.4K,,2.4K,20,3,/ru/hubs/programming/
D:\untitled3\.\hubs\lua,develop,678298,ysomad,2022-07-22T08:03:17.000Z,19K,,19K,61,13,/ru/hubs/vim/
D:\untitled3\.\hubs\lua,develop,674580,LuchS-lynx,2022-07-12T07:05:19.000Z,16K,,16K,37,56,/ru/hubs/linux/
D:\untitled3\.\hubs\lua,develop,665156,droidroot,2022-05-12T13:06:28.000Z,3.7K,,3.7K,20,10,/ru/companies/vk/articles/
D:\untitled3\.\hubs\lua,develop,663496,HeadphoneActor,2022-04-28T13:41:00.000Z,2.3K,,2.3K,5,1,/ru/companies/vk/articles/
D:\untitled3\.\hubs\lua,develop,662185,BasicSloth,2022-04-21T08:02:02.000Z,1.5K,,1.5K,19,0,/ru/hubs/programming/
D:\untitled3\.\hubs\lua,develop,659809,Sertik13,2022-04-08T09:09:49.000Z,9.1K,,9.1K,51,5,/ru/hubs/programming/
D:\untitled3\.\hubs\lua,develop,649973,ru_vds,2022-02-21T13:00:02.000Z,8.3K,,8.3K,60,11,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\lua,develop,650563,Sertik13,2022-02-09T10:18:35.000Z,18K,,18K,54,6,/ru/hubs/programming/
D:\untitled3\.\hubs\lua,develop,646897,1div0,2022-01-21T03:38:56.000Z,1.4K,,1.4K,9,7,/ru/hubs/infosecurity/
D:\untitled3\.\hubs\lua,develop,646663,Sertik13,2022-01-20T10:04:28.000Z,17K,,17K,101,0,/ru/hubs/programming/
D:\untitled3\.\hubs\lua,develop,598087,BasicSloth,2021-12-27T09:36:02.000Z,1.8K,,1.8K,24,1,/ru/hubs/programming/
D:\untitled3\.\hubs\lua,develop,591729,BasicSloth,2021-11-26T07:44:45.000Z,944,,944,13,0,/ru/hubs/programming/
D:\untitled3\.\hubs\lua,develop,586808,Rilkener,2021-11-03T11:06:29.000Z,28K,,28K,81,38,/ru/hubs/vim/
D:\untitled3\.\hubs\lua,develop,580920,BasicSloth,2021-09-30T12:04:54.000Z,2.5K,,2.5K,35,0,/ru/hubs/programming/
D:\untitled3\.\hubs\lua,develop,580660,Mojsha,2021-09-29T18:55:50.000Z,2.6K,,2.6K,17,0,/ru/companies/skillfactory/articles/
D:\untitled3\.\hubs\lua,develop,580520,Promwad,2021-09-28T14:46:39.000Z,4.1K,,4.1K,22,3,/ru/hubs/open_source/
D:\untitled3\.\hubs\lua,develop,579990,Cepera_C_A,2021-09-25T19:49:08.000Z,4.2K,,4.2K,15,6,/ru/hubs/lua/
D:\untitled3\.\hubs\lua,develop,575336,myoffice_ru,2021-09-15T12:16:41.000Z,13K,,13K,20,7,/ru/companies/ncloudtech/articles/
D:\untitled3\.\hubs\lua,develop,575140,BasicSloth,2021-08-29T08:07:07.000Z,5.6K,,5.6K,55,0,/ru/hubs/gamedev/
D:\untitled3\.\hubs\lua,develop,571936,mrrvz,2021-08-11T11:03:43.000Z,4.3K,,4.3K,21,10,/ru/companies/vk/articles/
D:\untitled3\.\hubs\lua,develop,571338,zmc,2021-08-05T04:33:04.000Z,6.4K,,6.4K,16,13,/ru/hubs/api/
D:\untitled3\.\hubs\lua,develop,571182,girvel,2021-08-04T08:29:21.000Z,3.2K,,3.2K,17,5,/ru/hubs/programming/
D:\untitled3\.\hubs\lua,develop,569926,droidroot,2021-07-28T11:00:02.000Z,6.8K,,6.8K,41,6,/ru/companies/vk/articles/
D:\untitled3\.\hubs\lua,develop,569450,Tereshkov,2021-07-25T09:56:05.000Z,3.9K,,3.9K,15,51,/ru/hubs/programming/
D:\untitled3\.\hubs\lua,develop,566880,IgorKKK,2021-07-09T08:15:13.000Z,4K,,4K,17,4,/ru/hubs/lua/
D:\untitled3\.\hubs\lua,develop,566756,IgorKKK,2021-07-08T11:48:30.000Z,18K,,18K,70,12,/ru/hubs/lua/
D:\untitled3\.\hubs\lua,develop,562474,dj--alex,2021-06-12T12:43:54.000Z,4.1K,,4.1K,11,11,/ru/hubs/crazydev/
D:\untitled3\.\hubs\lua,develop,557266,olegrok,2021-05-21T10:58:07.000Z,4.1K,,4.1K,28,0,/ru/companies/vk/articles/
D:\untitled3\.\hubs\lua,develop,556488,apapacy,2021-05-09T18:37:55.000Z,9.8K,,9.8K,72,1,/ru/hubs/nginx/
D:\untitled3\.\hubs\lua,develop,555154,sergey_mokrushin,2021-04-30T08:19:28.000Z,2.3K,,2.3K,12,0,/ru/hubs/php/
D:\untitled3\.\hubs\lua,develop,552016,bit_10,2021-04-14T08:01:26.000Z,6.8K,,6.8K,44,17,/ru/companies/vk/articles/
D:\untitled3\.\hubs\lua,develop,551688,Valery_Bak,2021-04-10T18:10:01.000Z,4K,,4K,15,3,/ru/hubs/open_source/
D:\untitled3\.\hubs\lua,develop,548110,Evengard,2021-03-21T07:00:01.000Z,234K,,234K,775,187,/ru/hubs/linux/
D:\untitled3\.\hubs\lua,develop,547120,KD637,2021-03-18T16:11:56.000Z,7.5K,,7.5K,32,1,/ru/companies/skillfactory/articles/
D:\untitled3\.\hubs\lua,develop,545498,Valery_Bak,2021-03-05T10:38:02.000Z,3.9K,,3.9K,29,11,/ru/hubs/open_source/
D:\untitled3\.\hubs\lua,develop,543592,stranger777,2021-02-22T07:45:12.000Z,16K,,16K,50,41,/ru/hubs/programming/
D:\untitled3\.\hubs\lua,develop,542960,thinkabout4x,2021-02-17T15:17:36.000Z,7K,,7K,46,7,/ru/hubs/python/
D:\untitled3\.\hubs\lua,develop,540446,gerold103,2021-02-02T16:55:02.000Z,6.3K,,6.3K,49,3,/ru/companies/vk/articles/
D:\untitled3\.\hubs\lua,develop,534826,HeadphoneActor,2020-12-28T13:29:18.000Z,8.8K,,8.8K,44,0,/ru/companies/vk/articles/
D:\untitled3\.\hubs\lua,develop,534722,Valery_Bak,2020-12-24T17:30:01.000Z,3K,,3K,25,5,/ru/hubs/open_source/
D:\untitled3\.\hubs\lua,develop,534164,Sertik13,2020-12-21T10:17:48.000Z,12K,,12K,62,11,/ru/hubs/lua/
D:\untitled3\.\hubs\lua,develop,532018,Tereshkov,2020-12-09T09:39:47.000Z,8K,,8K,16,4,/ru/hubs/geo_systems/
D:\untitled3\.\hubs\lua,develop,530078,Valery_Bak,2020-11-26T12:17:52.000Z,6.3K,,6.3K,44,38,/ru/hubs/open_source/
D:\untitled3\.\hubs\lua,develop,529456,yngvar_antonsson,2020-11-24T12:46:15.000Z,10K,,10K,46,9,/ru/companies/vk/articles/
D:\untitled3\.\hubs\lua,develop,526058,Greenolor,2020-11-02T07:54:27.000Z,20K,,20K,37,38,/ru/hubs/gamedev/
D:\untitled3\.\hubs\lua,develop,524476,michael-filonenko,2020-10-21T12:55:25.000Z,3.4K,,3.4K,18,32,/ru/companies/vk/articles/
D:\untitled3\.\hubs\lua,develop,524072,Greenolor,2020-10-19T10:43:27.000Z,62K,,62K,115,108,/ru/hubs/gamedev/
D:\untitled3\.\hubs\lua,develop,522690,phillennium,2020-10-12T08:50:45.000Z,11K,,11K,14,1,/ru/companies/jugru/articles/
D:\untitled3\.\hubs\lua,develop,522278,upgradeQ,2020-10-06T12:11:12.000Z,6.1K,,6.1K,26,0,/ru/hubs/video/
D:\untitled3\.\hubs\lua,develop,520684,upgradeQ,2020-09-25T13:41:31.000Z,11K,,11K,39,11,/ru/hubs/video/
D:\untitled3\.\hubs\lua,develop,519406,Sertik13,2020-09-16T13:25:13.000Z,3.5K,,3.5K,24,9,/ru/hubs/programming/
D:\untitled3\.\hubs\lua,develop,518534,Sertik13,2020-09-10T06:34:35.000Z,9.2K,,9.2K,75,15,/ru/hubs/programming/
D:\untitled3\.\hubs\lua,develop,518218,ph_piter,2020-09-08T07:35:02.000Z,20K,,20K,56,6,/ru/companies/piter/articles/
D:\untitled3\.\hubs\lua,develop,517488,jesmart,2020-09-02T09:28:23.000Z,5.6K,,5.6K,32,0,/ru/hubs/hi/
D:\untitled3\.\hubs\lua,develop,514360,paveltishkin,2020-08-17T06:21:19.000Z,2.9K,,2.9K,21,0,/ru/companies/zerotech/articles/
D:\untitled3\.\hubs\lua,develop,515254,RalfHacker,2020-08-15T14:57:48.000Z,7.7K,,7.7K,32,1,/ru/hubs/infosecurity/
D:\untitled3\.\hubs\lua,develop,513572,zmc,2020-08-03T10:40:13.000Z,8.7K,,8.7K,37,31,/ru/hubs/api/
D:\untitled3\.\hubs\lua,develop,510440,codesign,2020-07-10T15:10:48.000Z,13K,,13K,72,8,/ru/companies/vk/articles/
D:\untitled3\.\hubs\lua,develop,509130,paveltishkin,2020-07-03T06:43:18.000Z,1.1K,,1.1K,7,0,/ru/companies/zerotech/articles/
D:\untitled3\.\hubs\lua,develop,508420,belzoya,2020-06-30T08:04:22.000Z,5.7K,,5.7K,27,7,/ru/companies/plesk/articles/
D:\untitled3\.\hubs\lua,develop,507510,Tereshkov,2020-06-21T10:18:15.000Z,3.6K,,3.6K,22,9,/ru/hubs/programming/
D:\untitled3\.\hubs\lua,develop,505880,olegrok,2020-06-08T14:48:46.000Z,4K,,4K,32,10,/ru/companies/vk/articles/
D:\untitled3\.\hubs\lua,develop,501002,Tereshkov,2020-05-09T09:11:25.000Z,15K,,15K,47,99,/ru/hubs/programming/
D:\untitled3\.\hubs\lua,develop,496146,alexkalmuk,2020-04-07T13:13:37.000Z,6.1K,,6.1K,42,0,/ru/companies/embox/articles/
D:\untitled3\.\hubs\lua,develop,493642,Rosik,2020-03-26T11:04:45.000Z,11K,,11K,48,19,/ru/companies/vk/articles/
D:\untitled3\.\hubs\lua,develop,489544,onmotion,2020-02-22T19:11:36.000Z,6.2K,,6.2K,75,21,/ru/hubs/webdev/
D:\untitled3\.\hubs\lua,develop,478928,veledzimovich,2019-12-05T20:16:31.000Z,4.5K,,4.5K,27,14,/ru/hubs/python/
D:\untitled3\.\hubs\lua,develop,476134,mischmasch,2019-11-18T04:15:05.000Z,11K,,11K,26,7,/ru/companies/galssoftware/articles/
D:\untitled3\.\hubs\lua,develop,474826,kozlyuk,2019-11-07T04:27:31.000Z,26K,,26K,39,6,/ru/hubs/lua/
D:\untitled3\.\hubs\lua,develop,473952,JAlHund,2019-10-31T09:09:20.000Z,6.9K,,6.9K,55,20,/ru/hubs/lua/
D:\untitled3\.\hubs\lua,develop,473636,ivan386,2019-10-29T14:39:44.000Z,11K,,11K,40,44,/ru/hubs/p2p/
D:\untitled3\.\hubs\lua,develop,464181,BloodyPoSTaL,2019-10-03T10:21:11.000Z,9.6K,,9.6K,26,0,/ru/hubs/python/
D:\untitled3\.\hubs\lua,develop,469049,zeuswept,2019-09-26T15:07:40.000Z,14K,,14K,62,20,/ru/companies/iponweb/articles/
D:\untitled3\.\hubs\lua,develop,466155,mt144,2019-09-04T11:35:29.000Z,7.3K,,7.3K,38,8,/ru/companies/vk/articles/
D:\untitled3\.\hubs\lua,develop,465503,Rosik,2019-08-30T08:01:21.000Z,11K,,11K,57,6,/ru/companies/vk/articles/
D:\untitled3\.\hubs\lua,develop,465441,igelhaus,2019-08-29T09:59:33.000Z,7.5K,,7.5K,35,10,/ru/companies/iponweb/articles/
D:\untitled3\.\hubs\lua,develop,459602,Vadimatorikda,2019-07-16T10:42:12.000Z,15K,,15K,118,44,/ru/hubs/debug/
D:\untitled3\.\hubs\lua,develop,459464,lenkis,2019-07-16T09:36:23.000Z,5.8K,,5.8K,20,7,/ru/companies/vk/articles/
D:\untitled3\.\hubs\lua,develop,455146,msiomkin,2019-06-07T09:31:22.000Z,5.6K,,5.6K,41,6,/ru/companies/vk/articles/
D:\untitled3\.\hubs\lua,develop,449390,zugzug,2019-04-26T07:46:12.000Z,2.6K,,2.6K,25,6,/ru/hubs/java/
D:\untitled3\.\hubs\lua,develop,442722,ivan386,2019-03-05T19:29:12.000Z,15K,,15K,41,90,/ru/hubs/p2p/
D:\untitled3\.\hubs\lua,develop,442588,lenkis,2019-03-05T07:30:03.000Z,5.8K,,5.8K,17,42,/ru/companies/vk/articles/
D:\untitled3\.\hubs\lua,develop,441364,lenkis,2019-02-26T07:25:54.000Z,2.4K,,2.4K,6,8,/ru/companies/vk/articles/
D:\untitled3\.\hubs\lua,develop,437492,lenkis,2019-01-28T09:26:23.000Z,3.6K,,3.6K,10,4,/ru/companies/vk/articles/
D:\untitled3\.\hubs\lua,develop,436916,gerold103,2019-01-21T11:40:15.000Z,8K,,8K,64,5,/ru/companies/vk/articles/
D:\untitled3\.\hubs\lua,develop,433342,pvvv,2018-12-16T21:55:42.000Z,12K,,12K,83,14,/ru/hubs/lua/
D:\untitled3\.\hubs\lua,develop,431786,GermanAizek,2018-12-02T11:37:22.000Z,10K,,10K,26,9,/ru/hubs/hi/
D:\untitled3\.\hubs\lua,develop,430998,okeld,2018-11-25T16:09:01.000Z,7.1K,,7.1K,25,10,/ru/hubs/p2p/
D:\untitled3\.\hubs\lua,develop,428253,besteto,2018-10-31T12:30:06.000Z,36K,,36K,92,75,/ru/companies/socialquantum/articles/
D:\untitled3\.\hubs\lua,develop,428087,thatsme,2018-10-29T08:48:40.000Z,6.5K,,6.5K,40,42,/ru/hubs/hi/
D:\untitled3\.\hubs\lua,develop,427957,ivan386,2018-10-27T16:37:29.000Z,20K,,20K,92,21,/ru/hubs/sys_admin/
D:\untitled3\.\hubs\lua,develop,427135,eliasdaler,2018-10-20T12:30:16.000Z,13K,,13K,108,6,/ru/hubs/programming/
