hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\maths,null,767386,aabzel,2023-11-26T00:37:42.000Z,3.5K,,3.5K,22,21,/ru/hubs/maths/
D:\untitled3\.\hubs\maths,null,761426,samsergey,2023-11-25T00:35:05.000Z,3.6K,,3.6K,30,12,/ru/hubs/maths/
D:\untitled3\.\hubs\maths,null,775744,YarIkGU,2023-11-22T16:24:28.000Z,11K,,11K,61,11,/ru/hubs/maths/
D:\untitled3\.\hubs\maths,null,775736,DrArgentum,2023-11-22T16:11:45.000Z,5K,,5K,33,18,/ru/hubs/algorithms/
D:\untitled3\.\hubs\maths,null,775032,DavidKharazian,2023-11-20T08:05:22.000Z,2.7K,,2.7K,39,4,/ru/hubs/python/
D:\untitled3\.\hubs\maths,null,774820,SmartEngines,2023-11-20T08:00:02.000Z,848,,848,10,2,/ru/companies/smartengines/articles/
D:\untitled3\.\hubs\maths,null,774886,ArduinoMiniProjects,2023-11-19T07:14:52.000Z,2.1K,,2.1K,15,1,/ru/hubs/maths/
D:\untitled3\.\hubs\maths,null,772534,Ilya12c,2023-11-16T10:04:02.000Z,2.4K,,2.4K,40,0,/ru/companies/magnus-tech/articles/
D:\untitled3\.\hubs\maths,null,774198,Exilon,2023-11-15T22:30:25.000Z,4.6K,,4.6K,48,31,/ru/hubs/sw/
D:\untitled3\.\hubs\maths,null,774018,Lenald,2023-11-15T08:04:27.000Z,14K,,14K,36,61,/ru/hubs/maths/
D:\untitled3\.\hubs\maths,null,771818,MarkWatney,2023-11-14T09:00:02.000Z,1.8K,,1.8K,27,8,/ru/hubs/algorithms/
D:\untitled3\.\hubs\maths,null,773780,mark_ablov,2023-11-14T08:28:42.000Z,41K,,41K,136,41,/ru/hubs/crazydev/
D:\untitled3\.\hubs\maths,null,772984,KirillBelovTest,2023-11-13T19:25:56.000Z,15K,,15K,58,94,/ru/hubs/crazydev/
