hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\medgadgets,null,773764,Dmytro_Kikot,2023-11-15T08:00:04.000Z,532,,532,13,1,without_company
D:\untitled3\.\hubs\medgadgets,null,767508,SmartEngines,2023-10-16T08:35:27.000Z,771,,771,7,2,without_company
D:\untitled3\.\hubs\medgadgets,null,763472,fedorborovitsky,2023-09-26T07:59:44.000Z,3.3K,,3.3K,12,22,without_company
D:\untitled3\.\hubs\medgadgets,null,755534,SmartEngines,2023-08-24T09:32:13.000Z,2.3K,,2.3K,13,4,without_company
D:\untitled3\.\hubs\medgadgets,null,755204,Konfidencia,2023-08-17T09:10:33.000Z,1.1K,,1.1K,4,4,without_company
D:\untitled3\.\hubs\medgadgets,null,750866,nikolz,2023-07-27T14:15:51.000Z,3.4K,,3.4K,31,68,without_company
D:\untitled3\.\hubs\medgadgets,null,732812,mavil,2023-05-03T11:22:24.000Z,976,,976,7,0,without_company
D:\untitled3\.\hubs\medgadgets,null,725512,Legion18z,2023-04-04T11:01:32.000Z,780,,780,5,1,without_company
D:\untitled3\.\hubs\medgadgets,null,711538,crazyfrogspb1,2023-01-19T09:03:27.000Z,2.8K,,2.8K,17,1,without_company
D:\untitled3\.\hubs\medgadgets,null,707580,SvetBolgova,2022-12-27T08:02:02.000Z,6.5K,,6.5K,30,9,without_company
D:\untitled3\.\hubs\medgadgets,null,702254,virtual_explorer,2022-11-30T11:37:29.000Z,5.9K,,5.9K,31,45,without_company
D:\untitled3\.\hubs\medgadgets,null,694700,ibm,2022-10-21T10:26:41.000Z,1.5K,,1.5K,6,0,without_company
D:\untitled3\.\hubs\medgadgets,null,689150,Arnak,2022-09-20T06:42:19.000Z,38K,,38K,32,364,without_company
D:\untitled3\.\hubs\medgadgets,null,671988,ibm,2022-06-17T11:59:57.000Z,2.9K,,2.9K,11,3,without_company
D:\untitled3\.\hubs\medgadgets,null,670412,Russian_rehab_industry,2022-06-08T15:14:47.000Z,1.1K,,1.1K,10,6,without_company
D:\untitled3\.\hubs\medgadgets,null,670020,itmo,2022-06-07T09:15:01.000Z,1.7K,,1.7K,6,2,without_company
D:\untitled3\.\hubs\medgadgets,null,663702,in_no,2022-05-02T09:00:03.000Z,4.6K,,4.6K,19,8,without_company
D:\untitled3\.\hubs\medgadgets,null,653903,Russian_rehab_industry,2022-03-01T08:14:30.000Z,2.9K,,2.9K,17,7,without_company
D:\untitled3\.\hubs\medgadgets,null,652893,Dmytro_Kikot,2022-02-23T08:00:14.000Z,12K,,12K,48,3,without_company
D:\untitled3\.\hubs\medgadgets,null,650079,Artezio_team,2022-02-15T07:01:14.000Z,3K,,3K,33,20,without_company
D:\untitled3\.\hubs\medgadgets,null,650331,Dmytro_Kikot,2022-02-09T08:00:12.000Z,3.1K,,3.1K,25,2,without_company
D:\untitled3\.\hubs\medgadgets,null,649531,yuradorogoy,2022-02-03T11:17:39.000Z,4.7K,,4.7K,24,18,without_company
D:\untitled3\.\hubs\medgadgets,null,598205,ivansychev,2021-12-28T06:41:44.000Z,4.9K,,4.9K,11,14,without_company
D:\untitled3\.\hubs\medgadgets,null,595249,ivansychev,2021-12-15T10:37:22.000Z,3.7K,,3.7K,17,4,without_company
D:\untitled3\.\hubs\medgadgets,null,593927,Miesha,2021-12-07T12:28:11.000Z,12K,,12K,49,40,without_company
D:\untitled3\.\hubs\medgadgets,null,591581,Unmasked,2021-11-29T08:40:12.000Z,4.5K,,4.5K,14,6,without_company
D:\untitled3\.\hubs\medgadgets,null,585240,neuroonet,2021-10-25T00:04:33.000Z,2.2K,,2.2K,7,1,without_company
D:\untitled3\.\hubs\medgadgets,null,579474,giffok,2021-09-23T08:55:01.000Z,21K,,21K,52,155,without_company
D:\untitled3\.\hubs\medgadgets,null,578896,worthlesscholar,2021-09-20T07:57:20.000Z,8K,,8K,24,11,without_company
D:\untitled3\.\hubs\medgadgets,null,576510,Yelin,2021-09-07T12:58:21.000Z,4.1K,,4.1K,10,19,without_company
D:\untitled3\.\hubs\medgadgets,null,568950,kompas_3d,2021-09-01T08:15:01.000Z,4.3K,,4.3K,20,9,without_company
D:\untitled3\.\hubs\medgadgets,null,574544,SantrY,2021-09-01T06:50:10.000Z,24K,,24K,64,25,without_company
D:\untitled3\.\hubs\medgadgets,null,572146,BlackIIIFOX,2021-08-10T10:59:05.000Z,35K,,35K,65,40,without_company
D:\untitled3\.\hubs\medgadgets,null,564946,EgorKotkin,2021-07-11T10:02:02.000Z,88K,,88K,203,152,without_company
D:\untitled3\.\hubs\medgadgets,null,562180,EgorKotkin,2021-07-04T10:01:02.000Z,20K,,20K,72,122,without_company
D:\untitled3\.\hubs\medgadgets,null,565540,2035university,2021-06-30T17:08:23.000Z,12K,,12K,27,7,without_company
D:\untitled3\.\hubs\medgadgets,null,565240,Yelin,2021-06-30T10:01:51.000Z,1.8K,,1.8K,4,4,without_company
D:\untitled3\.\hubs\medgadgets,null,564588,26091981,2021-06-26T09:00:02.000Z,9K,,9K,42,10,without_company
D:\untitled3\.\hubs\medgadgets,null,555732,EgorKotkin,2021-06-15T16:04:01.000Z,26K,,26K,79,877,without_company
D:\untitled3\.\hubs\medgadgets,null,553862,EgorKotkin,2021-04-23T08:52:13.000Z,30K,,30K,178,165,without_company
