hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\mongodb,develop,773680,BinCat,2023-11-14T09:59:01.000Z,7.6K,,7.6K,48,28,/ru/hubs/hi/
D:\untitled3\.\hubs\mongodb,develop,769432,vsile,2023-10-23T21:23:44.000Z,3.9K,,3.9K,31,5,/ru/hubs/mongodb/
D:\untitled3\.\hubs\mongodb,develop,768730,AlexMeshock,2023-10-20T07:21:32.000Z,3.6K,,3.6K,46,35,/ru/hubs/mobile_dev/
D:\untitled3\.\hubs\mongodb,develop,768342,MaxRokatansky,2023-10-18T14:03:28.000Z,3.3K,,3.3K,59,3,/ru/companies/otus/articles/
D:\untitled3\.\hubs\mongodb,develop,762514,Igoryas,2023-09-22T06:20:36.000Z,4.3K,,4.3K,56,1,/ru/companies/domclick/articles/
D:\untitled3\.\hubs\mongodb,develop,757534,kirillkosolapov,2023-08-29T05:29:44.000Z,11K,,11K,60,22,/ru/companies/amvera/articles/
D:\untitled3\.\hubs\mongodb,develop,756170,SamZaic,2023-08-22T11:34:23.000Z,421,,421,2,0,/ru/hubs/mongodb/
D:\untitled3\.\hubs\mongodb,develop,753268,billing,2023-08-08T11:59:29.000Z,7.2K,,7.2K,67,10,/ru/companies/billing/articles/
D:\untitled3\.\hubs\mongodb,develop,742716,lamanoff,2023-06-19T19:21:30.000Z,1.7K,,1.7K,11,1,/ru/hubs/mongodb/
D:\untitled3\.\hubs\mongodb,develop,735512,Txanxs,2023-06-06T05:48:54.000Z,1.9K,,1.9K,21,3,/ru/companies/stc_spb/articles/
D:\untitled3\.\hubs\mongodb,develop,726914,MaxRokatansky,2023-04-04T13:51:41.000Z,1.7K,,1.7K,22,3,/ru/companies/otus/articles/
D:\untitled3\.\hubs\mongodb,develop,721066,dan_sw,2023-03-07T19:15:43.000Z,7.7K,,7.7K,71,2,/ru/hubs/net/
D:\untitled3\.\hubs\mongodb,develop,719860,dmitriizolotov,2023-03-02T12:03:02.000Z,1.2K,,1.2K,14,0,/ru/companies/otus/articles/
D:\untitled3\.\hubs\mongodb,develop,718774,iseekyouu,2023-02-23T15:38:55.000Z,8.9K,,8.9K,91,4,/ru/hubs/nodejs/
D:\untitled3\.\hubs\mongodb,develop,706964,Igoryas,2022-12-22T08:42:48.000Z,3.7K,,3.7K,36,0,/ru/companies/domclick/articles/
D:\untitled3\.\hubs\mongodb,develop,692736,blozheupasi,2022-10-11T22:20:29.000Z,36K,,36K,120,132,/ru/hubs/python/
D:\untitled3\.\hubs\mongodb,develop,691410,akomiagin,2022-10-04T09:19:36.000Z,4.5K,,4.5K,33,11,/ru/companies/stm_labs/articles/
D:\untitled3\.\hubs\mongodb,develop,690924,GolovinDS,2022-09-30T09:56:41.000Z,6.1K,,6.1K,27,4,/ru/companies/otus/articles/
D:\untitled3\.\hubs\mongodb,develop,690054,Georgii_Galechyan,2022-09-25T20:27:34.000Z,5.9K,,5.9K,22,0,/ru/hubs/hi/
D:\untitled3\.\hubs\mongodb,develop,688602,fallenstorm,2022-09-19T13:14:02.000Z,4.9K,,4.9K,21,8,/ru/companies/avito/articles/
D:\untitled3\.\hubs\mongodb,develop,687106,Igoryas,2022-09-13T08:43:11.000Z,6.8K,,6.8K,63,4,/ru/companies/domclick/articles/
D:\untitled3\.\hubs\mongodb,develop,678018,Zheleznov,2022-07-20T20:05:43.000Z,17K,,17K,46,15,/ru/hubs/webdev/
D:\untitled3\.\hubs\mongodb,develop,672546,Igoryas,2022-06-21T08:12:56.000Z,15K,,15K,107,2,/ru/companies/domclick/articles/
D:\untitled3\.\hubs\mongodb,develop,670832,rafinirovannoe,2022-06-10T13:53:03.000Z,4.2K,,4.2K,37,0,/ru/companies/joom/articles/
D:\untitled3\.\hubs\mongodb,develop,668598,rafinirovannoe,2022-05-30T12:55:43.000Z,1.6K,,1.6K,15,3,/ru/companies/joom/articles/
D:\untitled3\.\hubs\mongodb,develop,666856,olegbunin,2022-05-20T10:58:54.000Z,5K,,5K,74,0,/ru/companies/oleg-bunin/articles/
D:\untitled3\.\hubs\mongodb,develop,666188,rikki_tikki,2022-05-17T12:31:02.000Z,5.8K,,5.8K,28,4,/ru/companies/otus/articles/
D:\untitled3\.\hubs\mongodb,develop,662970,rikki_tikki,2022-04-26T08:26:49.000Z,1.1K,,1.1K,10,1,/ru/companies/otus/articles/
D:\untitled3\.\hubs\mongodb,develop,654201,akomiagin,2022-03-03T08:54:08.000Z,8.3K,,8.3K,79,6,/ru/companies/stm_labs/articles/
D:\untitled3\.\hubs\mongodb,develop,653981,ZAYMAX_LIVE,2022-03-01T15:24:36.000Z,19K,,19K,33,8,/ru/hubs/javascript/
D:\untitled3\.\hubs\mongodb,develop,651761,kmoseenk,2022-02-15T16:06:25.000Z,2.1K,,2.1K,14,0,/ru/companies/otus/articles/
D:\untitled3\.\hubs\mongodb,develop,650483,rikki_tikki,2022-02-08T16:51:00.000Z,2K,,2K,14,0,/ru/companies/otus/articles/
D:\untitled3\.\hubs\mongodb,develop,650327,akomiagin,2022-02-08T08:26:08.000Z,6.4K,,6.4K,41,2,/ru/companies/stm_labs/articles/
D:\untitled3\.\hubs\mongodb,develop,648635,zdmit,2022-01-30T15:24:04.000Z,7.7K,,7.7K,9,7,/ru/hubs/ruby/
D:\untitled3\.\hubs\mongodb,develop,648223,rikki_tikki,2022-01-27T17:19:51.000Z,3.4K,,3.4K,12,3,/ru/companies/otus/articles/
D:\untitled3\.\hubs\mongodb,develop,595739,akomiagin,2021-12-15T11:26:26.000Z,12K,,12K,63,45,/ru/companies/stm_labs/articles/
D:\untitled3\.\hubs\mongodb,develop,593461,Letychiy,2021-12-05T06:23:01.000Z,3.8K,,3.8K,19,0,/ru/hubs/mongodb/
D:\untitled3\.\hubs\mongodb,develop,593139,chestny_znak,2021-12-03T07:46:59.000Z,3.6K,,3.6K,15,4,/ru/companies/chestnyznak/articles/
D:\untitled3\.\hubs\mongodb,develop,592517,Stormglass,2021-11-30T11:03:00.000Z,657,,657,3,0,/ru/companies/qiwi/articles/
D:\untitled3\.\hubs\mongodb,develop,588562,baitarakhov,2021-11-11T14:36:58.000Z,16K,,16K,36,20,/ru/hubs/webdev/
D:\untitled3\.\hubs\mongodb,develop,587858,MaxRokatansky,2021-11-08T11:59:37.000Z,11K,,11K,49,1,/ru/companies/otus/articles/
D:\untitled3\.\hubs\mongodb,develop,585568,MaxRokatansky,2021-10-26T11:00:14.000Z,4.3K,,4.3K,14,0,/ru/companies/otus/articles/
D:\untitled3\.\hubs\mongodb,develop,583772,dikkini,2021-10-18T08:26:02.000Z,6.1K,,6.1K,44,2,/ru/hubs/mongodb/
D:\untitled3\.\hubs\mongodb,develop,580760,daniil-dev,2021-09-29T16:42:50.000Z,33K,,33K,146,4,/ru/hubs/javascript/
D:\untitled3\.\hubs\mongodb,develop,579622,kmoseenk,2021-09-23T13:40:35.000Z,40K,,40K,77,3,/ru/companies/otus/articles/
D:\untitled3\.\hubs\mongodb,develop,579036,Alexander-Kiryushin,2021-09-20T22:30:24.000Z,3.8K,,3.8K,28,4,/ru/hubs/javascript/
D:\untitled3\.\hubs\mongodb,develop,577616,X5Tech,2021-09-13T11:14:16.000Z,5K,,5K,16,16,/ru/companies/X5Tech/articles/
D:\untitled3\.\hubs\mongodb,develop,577078,MaxRokatansky,2021-09-10T08:34:01.000Z,6.2K,,6.2K,7,0,/ru/companies/otus/articles/
D:\untitled3\.\hubs\mongodb,develop,571762,ostapkazak,2021-08-08T11:41:58.000Z,13K,,13K,65,15,/ru/hubs/java/
D:\untitled3\.\hubs\mongodb,develop,571286,kzzzr,2021-08-04T15:14:11.000Z,3.4K,,3.4K,19,0,/ru/companies/otus/articles/
D:\untitled3\.\hubs\mongodb,develop,571138,arkhiiipov,2021-08-04T06:31:02.000Z,12K,,12K,54,11,/ru/hubs/sys_admin/
D:\untitled3\.\hubs\mongodb,develop,568856,not_bad,2021-07-21T10:20:15.000Z,9.8K,,9.8K,59,13,/ru/hubs/nosql/
D:\untitled3\.\hubs\mongodb,develop,567558,MaxRokatansky,2021-07-13T17:53:28.000Z,6.5K,,6.5K,22,2,/ru/companies/otus/articles/
D:\untitled3\.\hubs\mongodb,develop,565700,kmoseenk,2021-07-01T13:27:24.000Z,22K,,22K,55,83,/ru/companies/otus/articles/
D:\untitled3\.\hubs\mongodb,develop,564924,MaximML,2021-06-27T12:49:55.000Z,12K,,12K,89,9,/ru/hubs/python/
D:\untitled3\.\hubs\mongodb,develop,559686,X5Tech,2021-05-27T17:08:52.000Z,11K,,11K,17,4,/ru/companies/X5Tech/articles/
D:\untitled3\.\hubs\mongodb,develop,557990,MaxRokatansky,2021-05-18T13:49:36.000Z,7.2K,,7.2K,11,1,/ru/companies/otus/articles/
D:\untitled3\.\hubs\mongodb,develop,553606,exmachine,2021-05-13T06:18:01.000Z,2.9K,,2.9K,28,2,/ru/hubs/nosql/
D:\untitled3\.\hubs\mongodb,develop,557016,MaxRokatansky,2021-05-12T16:54:03.000Z,2.7K,,2.7K,12,0,/ru/companies/otus/articles/
D:\untitled3\.\hubs\mongodb,develop,555118,MaxRokatansky,2021-04-29T14:01:36.000Z,3.7K,,3.7K,16,0,/ru/companies/otus/articles/
D:\untitled3\.\hubs\mongodb,develop,553556,exmachine,2021-04-22T07:12:55.000Z,19K,,19K,59,0,/ru/hubs/nosql/
D:\untitled3\.\hubs\mongodb,develop,550294,BorisPlus,2021-04-01T23:57:15.000Z,3.4K,,3.4K,27,0,/ru/hubs/python/
D:\untitled3\.\hubs\mongodb,develop,549040,Joyjey,2021-03-26T06:18:54.000Z,12K,,12K,54,2,/ru/companies/flant/articles/
D:\untitled3\.\hubs\mongodb,develop,548318,Tollik,2021-03-22T11:44:27.000Z,2K,,2K,15,4,/ru/hubs/javascript/
D:\untitled3\.\hubs\mongodb,develop,539212,fsou11,2021-01-25T19:41:43.000Z,4.7K,,4.7K,27,5,/ru/hubs/javascript/
D:\untitled3\.\hubs\mongodb,develop,535158,Andchir,2020-12-27T16:12:46.000Z,2.3K,,2.3K,12,0,/ru/hubs/php/
D:\untitled3\.\hubs\mongodb,develop,523182,BorisPlus,2020-10-12T20:41:50.000Z,22K,,22K,45,0,/ru/hubs/mongodb/
D:\untitled3\.\hubs\mongodb,develop,521302,MaxRokatansky,2020-09-30T10:30:35.000Z,12K,,12K,35,8,/ru/companies/otus/articles/
D:\untitled3\.\hubs\mongodb,develop,520412,MaxRokatansky,2020-09-23T16:58:21.000Z,31K,,31K,146,13,/ru/companies/otus/articles/
D:\untitled3\.\hubs\mongodb,develop,513702,PeterZaitsev,2020-08-10T15:00:01.000Z,4K,,4K,40,3,/ru/companies/vk/articles/
D:\untitled3\.\hubs\mongodb,develop,512272,PeterZaitsev,2020-07-23T20:50:42.000Z,14K,,14K,15,25,/ru/hubs/open_source/
D:\untitled3\.\hubs\mongodb,develop,511522,NovokhatskyiOleksii,2020-07-18T09:47:57.000Z,6.1K,,6.1K,35,6,/ru/hubs/hi/
D:\untitled3\.\hubs\mongodb,develop,492974,Rpsl,2020-06-01T07:58:35.000Z,7.6K,,7.6K,60,14,/ru/hubs/python/
D:\untitled3\.\hubs\mongodb,develop,498206,noorsoftprod,2020-04-21T07:18:45.000Z,8.1K,,8.1K,44,3,/ru/hubs/programming/
D:\untitled3\.\hubs\mongodb,develop,491710,ru_vds,2020-03-12T09:30:01.000Z,50K,,50K,123,17,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\mongodb,develop,488418,MaxRokatansky,2020-02-14T14:56:38.000Z,42K,,42K,76,4,/ru/companies/otus/articles/
D:\untitled3\.\hubs\mongodb,develop,487638,ua-hosting,2020-02-09T14:23:57.000Z,6.4K,,6.4K,34,8,/ru/companies/ua-hosting/articles/
D:\untitled3\.\hubs\mongodb,develop,478014,moscas,2019-12-03T16:27:27.000Z,11K,,11K,22,28,/ru/companies/JetBrains/articles/
D:\untitled3\.\hubs\mongodb,develop,477860,dev1ant,2019-12-02T07:20:53.000Z,15K,,15K,82,22,/ru/companies/yandex/articles/
D:\untitled3\.\hubs\mongodb,develop,473706,xtremespb,2019-10-31T18:05:15.000Z,10K,,10K,42,22,/ru/hubs/cms/
D:\untitled3\.\hubs\mongodb,develop,474054,MaxRokatansky,2019-10-31T15:46:22.000Z,7.3K,,7.3K,67,6,/ru/companies/otus/articles/
D:\untitled3\.\hubs\mongodb,develop,471474,asommer,2019-10-15T20:07:02.000Z,12K,,12K,109,23,/ru/hubs/net/
D:\untitled3\.\hubs\mongodb,develop,462887,chudinov,2019-08-08T08:52:18.000Z,3.2K,,3.2K,37,4,/ru/hubs/crazydev/
D:\untitled3\.\hubs\mongodb,develop,461149,mastanggt,2019-08-08T07:44:45.000Z,9.5K,,9.5K,60,3,/ru/companies/flant/articles/
D:\untitled3\.\hubs\mongodb,develop,461417,vtch,2019-07-26T06:44:23.000Z,3K,,3K,9,2,/ru/hubs/java/
D:\untitled3\.\hubs\mongodb,develop,454748,olegbunin,2019-06-04T13:34:59.000Z,32K,,32K,188,9,/ru/companies/oleg-bunin/articles/
D:\untitled3\.\hubs\mongodb,develop,451798,kuligin_stepan,2019-05-14T12:52:15.000Z,8.6K,,8.6K,20,2,/ru/hubs/java/
