hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\mssql,null,775468,mssqlhelp,2023-11-21T15:37:57.000Z,981,,981,4,1,/ru/hubs/mssql/
D:\untitled3\.\hubs\mssql,null,774486,ptr128,2023-11-16T19:03:37.000Z,7.6K,,7.6K,51,16,/ru/hubs/postgresql/
D:\untitled3\.\hubs\mssql,null,773972,ptr128,2023-11-14T23:31:29.000Z,13K,,13K,52,29,/ru/hubs/postgresql/
D:\untitled3\.\hubs\mssql,null,773564,mssqlhelp,2023-11-13T11:27:01.000Z,1K,,1K,5,0,/ru/hubs/mssql/
D:\untitled3\.\hubs\mssql,null,773516,koloskovv,2023-11-13T09:55:56.000Z,4.3K,,4.3K,23,0,/ru/companies/softpoint/articles/
D:\untitled3\.\hubs\mssql,null,772892,ALexKud,2023-11-09T11:56:55.000Z,2.5K,,2.5K,13,4,/ru/hubs/analysis_design/
D:\untitled3\.\hubs\mssql,null,767098,mssqlhelp,2023-10-12T15:36:55.000Z,690,,690,3,0,/ru/hubs/mssql/
D:\untitled3\.\hubs\mssql,null,766046,Stenlav,2023-10-08T11:31:02.000Z,8.5K,,8.5K,105,7,/ru/companies/otus/articles/
D:\untitled3\.\hubs\mssql,null,765774,koloskovv,2023-10-06T10:07:01.000Z,2.4K,,2.4K,12,0,/ru/companies/softpoint/articles/
D:\untitled3\.\hubs\mssql,null,765642,mssqlhelp,2023-10-05T15:36:28.000Z,1.7K,,1.7K,9,1,/ru/hubs/mssql/
D:\untitled3\.\hubs\mssql,null,763614,mssqlhelp,2023-09-26T15:42:05.000Z,1.6K,,1.6K,9,0,/ru/hubs/mssql/
D:\untitled3\.\hubs\mssql,null,763574,EFSOL_OBLAKO,2023-09-26T12:22:19.000Z,8K,,8K,23,28,/ru/hubs/it_testing/
D:\untitled3\.\hubs\mssql,null,762674,ptr128,2023-09-21T18:01:36.000Z,3K,,3K,12,5,/ru/hubs/mssql/
D:\untitled3\.\hubs\mssql,null,761386,mssqlhelp,2023-09-15T15:42:03.000Z,2K,,2K,10,1,/ru/hubs/mssql/
D:\untitled3\.\hubs\mssql,null,760574,mssqlhelp,2023-09-12T15:50:54.000Z,2.3K,,2.3K,10,4,/ru/hubs/mssql/
D:\untitled3\.\hubs\mssql,null,760232,Tzimie,2023-09-11T12:41:17.000Z,2.1K,,2.1K,18,0,/ru/hubs/sql/
D:\untitled3\.\hubs\mssql,null,759960,MsDoos,2023-09-09T14:46:27.000Z,2.6K,,2.6K,11,4,/ru/hubs/mssql/
D:\untitled3\.\hubs\mssql,null,759286,koloskovv,2023-09-06T12:43:58.000Z,4.2K,,4.2K,33,0,/ru/companies/softpoint/articles/
D:\untitled3\.\hubs\mssql,null,759096,DVLev,2023-09-05T17:01:29.000Z,1.3K,,1.3K,14,1,/ru/hubs/mysql/
D:\untitled3\.\hubs\mssql,null,758456,mssqlhelp,2023-09-01T16:31:53.000Z,2K,,2K,13,2,/ru/hubs/mssql/
D:\untitled3\.\hubs\mssql,null,758182,yooteam,2023-09-01T08:33:41.000Z,1.5K,,1.5K,11,3,/ru/companies/yoomoney/articles/
D:\untitled3\.\hubs\mssql,null,756932,mssqlhelp,2023-08-25T10:47:40.000Z,1.3K,,1.3K,3,3,/ru/hubs/mssql/
D:\untitled3\.\hubs\mssql,null,756582,andrey_stepanov1,2023-08-24T10:27:01.000Z,459,,459,6,0,/ru/hubs/cms/
D:\untitled3\.\hubs\mssql,null,756110,mssqlhelp,2023-08-22T09:01:16.000Z,796,,796,1,0,/ru/hubs/mssql/
D:\untitled3\.\hubs\mssql,null,755208,mssqlhelp,2023-08-17T09:46:33.000Z,1.4K,,1.4K,2,1,/ru/hubs/mssql/
D:\untitled3\.\hubs\mssql,null,753848,koloskovv,2023-08-10T15:04:42.000Z,3.3K,,3.3K,18,11,/ru/companies/softpoint/articles/
D:\untitled3\.\hubs\mssql,null,751238,ptr128,2023-07-29T12:35:26.000Z,2.9K,,2.9K,26,43,/ru/hubs/sql/
D:\untitled3\.\hubs\mssql,null,748598,yooteam,2023-07-20T11:39:37.000Z,5.1K,,5.1K,31,1,/ru/companies/yoomoney/articles/
D:\untitled3\.\hubs\mssql,null,748348,Tzimie,2023-07-17T16:18:35.000Z,2.7K,,2.7K,22,1,/ru/hubs/sql/
D:\untitled3\.\hubs\mssql,null,747808,shmelfrol,2023-07-13T11:50:02.000Z,5.7K,,5.7K,28,24,/ru/hubs/postgresql/
D:\untitled3\.\hubs\mssql,null,747428,solontsev,2023-07-12T07:05:40.000Z,1.6K,,1.6K,11,8,/ru/hubs/mysql/
D:\untitled3\.\hubs\mssql,null,747322,koloskovv,2023-07-11T12:39:53.000Z,7.9K,,7.9K,62,14,/ru/companies/softpoint/articles/
D:\untitled3\.\hubs\mssql,null,741212,Tzimie,2023-06-12T08:29:42.000Z,4.4K,,4.4K,36,5,/ru/hubs/sql/
D:\untitled3\.\hubs\mssql,null,740732,Jedi-Knight,2023-06-08T17:42:54.000Z,3.9K,,3.9K,27,12,/ru/hubs/linux/
D:\untitled3\.\hubs\mssql,null,739112,koloskovv,2023-06-02T06:18:33.000Z,6.5K,,6.5K,23,37,/ru/companies/softpoint/articles/
D:\untitled3\.\hubs\mssql,null,738314,mssqlhelp,2023-05-29T12:26:19.000Z,802,,802,0,0,/ru/hubs/mssql/
D:\untitled3\.\hubs\mssql,null,738118,Demir_Uzun,2023-05-28T16:33:36.000Z,10K,,10K,18,25,/ru/hubs/sql/
D:\untitled3\.\hubs\mssql,null,737056,mssqlhelp,2023-05-23T14:37:39.000Z,1.2K,,1.2K,14,2,/ru/hubs/mssql/
D:\untitled3\.\hubs\mssql,null,736108,mssqlhelp,2023-05-18T14:55:54.000Z,1.2K,,1.2K,7,2,/ru/hubs/mssql/
D:\untitled3\.\hubs\mssql,null,735424,ph_piter,2023-05-16T14:20:00.000Z,7.3K,,7.3K,48,4,/ru/companies/piter/articles/
D:\untitled3\.\hubs\mssql,null,734534,koloskovv,2023-05-12T07:14:01.000Z,5.9K,,5.9K,30,21,/ru/companies/softpoint/articles/
D:\untitled3\.\hubs\mssql,null,734030,hardpoint,2023-05-09T15:24:02.000Z,3.3K,,3.3K,17,18,/ru/hubs/java/
D:\untitled3\.\hubs\mssql,null,733950,Notte,2023-05-08T18:43:21.000Z,7.2K,,7.2K,41,16,/ru/hubs/mssql/
D:\untitled3\.\hubs\mssql,null,731772,mssqlhelp,2023-04-26T12:31:38.000Z,2.6K,,2.6K,15,0,/ru/hubs/mssql/
D:\untitled3\.\hubs\mssql,null,729720,koloskovv,2023-04-18T07:35:33.000Z,2.2K,,2.2K,22,21,/ru/companies/softpoint/articles/
D:\untitled3\.\hubs\mssql,null,729320,Tzimie,2023-04-16T15:25:49.000Z,8.8K,,8.8K,93,12,/ru/hubs/mysql/
D:\untitled3\.\hubs\mssql,null,728382,mssqlhelp,2023-04-11T12:50:01.000Z,2.7K,,2.7K,15,0,/ru/hubs/mssql/
D:\untitled3\.\hubs\mssql,null,727596,MaxRokatansky,2023-04-07T13:24:01.000Z,1.8K,,1.8K,12,0,/ru/companies/otus/articles/
D:\untitled3\.\hubs\mssql,null,725590,MaxRokatansky,2023-03-29T10:51:01.000Z,1.2K,,1.2K,2,1,/ru/companies/otus/articles/
D:\untitled3\.\hubs\mssql,null,724702,Tzimie,2023-03-26T16:45:45.000Z,6.5K,,6.5K,45,33,/ru/hubs/hi/
D:\untitled3\.\hubs\mssql,null,724062,mssqlhelp,2023-03-22T12:29:27.000Z,3.6K,,3.6K,36,2,/ru/hubs/mssql/
