hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\multicopters,popsci,776324,ivansychev,2023-11-25T07:02:55.000Z,3.4K,,3.4K,16,13,without_company
D:\untitled3\.\hubs\multicopters,popsci,748858,klimensky,2023-07-25T12:15:02.000Z,8.4K,,8.4K,33,7,without_company
D:\untitled3\.\hubs\multicopters,popsci,738210,mumamum,2023-05-29T08:28:40.000Z,31K,,31K,147,75,without_company
D:\untitled3\.\hubs\multicopters,popsci,718078,Ayasmarsa,2023-02-20T11:54:11.000Z,9.7K,,9.7K,35,118,without_company
D:\untitled3\.\hubs\multicopters,popsci,710834,AlexanderSmorodinov,2023-01-16T09:57:12.000Z,12K,,12K,69,24,without_company
D:\untitled3\.\hubs\multicopters,popsci,705836,MagicHappens,2023-01-03T08:00:02.000Z,33K,,33K,56,12,without_company
D:\untitled3\.\hubs\multicopters,popsci,707546,katletmedown,2023-01-01T07:47:02.000Z,6K,,6K,24,4,without_company
D:\untitled3\.\hubs\multicopters,popsci,695628,in_no,2022-10-27T12:04:18.000Z,5.3K,,5.3K,26,4,without_company
D:\untitled3\.\hubs\multicopters,popsci,693000,Sergiv,2022-10-14T06:48:23.000Z,6.1K,,6.1K,18,25,without_company
D:\untitled3\.\hubs\multicopters,popsci,692828,Notespeak,2022-10-12T11:13:38.000Z,4.8K,,4.8K,23,1,without_company
D:\untitled3\.\hubs\multicopters,popsci,689884,SvetBolgova,2022-09-28T08:09:49.000Z,36K,,36K,74,86,without_company
D:\untitled3\.\hubs\multicopters,popsci,681034,Notespeak,2022-08-05T11:56:35.000Z,9.4K,,9.4K,58,12,without_company
D:\untitled3\.\hubs\multicopters,popsci,677092,MagicHappens,2022-07-21T08:02:02.000Z,24K,,24K,61,38,without_company
D:\untitled3\.\hubs\multicopters,popsci,670968,Sergiv,2022-07-04T05:52:02.000Z,10K,,10K,29,73,without_company
D:\untitled3\.\hubs\multicopters,popsci,665808,malyazin_2010,2022-05-16T07:21:02.000Z,5.6K,,5.6K,31,76,without_company
D:\untitled3\.\hubs\multicopters,popsci,665100,DJIMSK,2022-05-11T08:53:24.000Z,14K,,14K,14,10,without_company
D:\untitled3\.\hubs\multicopters,popsci,657997,Barov,2022-03-29T13:38:20.000Z,74K,,74K,34,15,without_company
D:\untitled3\.\hubs\multicopters,popsci,657183,Dmytro_Kikot,2022-03-25T08:00:31.000Z,3.3K,,3.3K,17,4,without_company
D:\untitled3\.\hubs\multicopters,popsci,656965,ipolfirst,2022-03-24T19:14:40.000Z,8.8K,,8.8K,5,101,without_company
D:\untitled3\.\hubs\multicopters,popsci,657229,DJIMSK,2022-03-24T10:26:29.000Z,5.1K,,5.1K,9,0,without_company
D:\untitled3\.\hubs\multicopters,popsci,654843,DJIMSK,2022-03-09T13:48:43.000Z,25K,,25K,33,7,without_company
D:\untitled3\.\hubs\multicopters,popsci,649565,victory404,2022-02-04T11:55:39.000Z,16K,,16K,40,54,without_company
D:\untitled3\.\hubs\multicopters,popsci,649547,DJIMSK,2022-02-03T11:59:56.000Z,3.9K,,3.9K,6,0,without_company
D:\untitled3\.\hubs\multicopters,popsci,648217,Dmytro_Kikot,2022-01-28T08:00:06.000Z,3.7K,,3.7K,18,2,without_company
D:\untitled3\.\hubs\multicopters,popsci,647747,cyber_estet,2022-01-26T11:48:09.000Z,8.8K,,8.8K,43,22,without_company
D:\untitled3\.\hubs\multicopters,popsci,646777,DJIMSK,2022-01-20T13:33:32.000Z,6.3K,,6.3K,10,6,without_company
D:\untitled3\.\hubs\multicopters,popsci,599399,bak,2022-01-05T12:12:53.000Z,115K,,115K,161,51,without_company
D:\untitled3\.\hubs\multicopters,popsci,598819,katletmedown,2022-01-01T07:47:20.000Z,26K,,26K,78,65,without_company
D:\untitled3\.\hubs\multicopters,popsci,594215,DJIMSK,2021-12-08T13:03:42.000Z,12K,,12K,8,1,without_company
D:\untitled3\.\hubs\multicopters,popsci,589941,Dmytro_Kikot,2021-11-19T08:00:16.000Z,2.3K,,2.3K,13,0,without_company
D:\untitled3\.\hubs\multicopters,popsci,589147,Barov,2021-11-15T08:04:39.000Z,3.8K,,3.8K,13,7,without_company
D:\untitled3\.\hubs\multicopters,popsci,587444,DJIMSK,2021-11-05T02:05:05.000Z,11K,,11K,19,13,without_company
D:\untitled3\.\hubs\multicopters,popsci,585098,DAN_SEA,2021-11-04T09:00:02.000Z,22K,,22K,52,48,without_company
