hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\nano,null,772244,VAE,2023-11-14T13:13:21.000Z,8.5K,,8.5K,60,35,/ru/hubs/popular_science/
D:\untitled3\.\hubs\nano,null,770556,alizar,2023-11-13T09:00:01.000Z,4.4K,,4.4K,36,1,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\nano,null,772896,Oksana_Nedvigina,2023-11-09T12:26:07.000Z,2.9K,,2.9K,22,3,/ru/companies/onlinepatent/articles/
D:\untitled3\.\hubs\nano,null,771154,OlegSivchenko,2023-10-31T20:38:10.000Z,8.9K,,8.9K,23,28,/ru/hubs/popular_science/
D:\untitled3\.\hubs\nano,null,769466,Dmytro_Kikot,2023-10-25T07:00:56.000Z,2.1K,,2.1K,15,0,/ru/companies/ua-hosting/articles/
D:\untitled3\.\hubs\nano,null,765992,MatasovAV,2023-10-07T20:19:57.000Z,9.7K,,9.7K,56,28,/ru/hubs/popular_science/
D:\untitled3\.\hubs\nano,null,765496,Dmytro_Kikot,2023-10-06T07:00:09.000Z,4.2K,,4.2K,14,5,/ru/companies/ua-hosting/articles/
D:\untitled3\.\hubs\nano,null,765282,garrymur312,2023-10-04T11:37:24.000Z,7K,,7K,20,27,/ru/hubs/gadgets/
D:\untitled3\.\hubs\nano,null,745432,InScieDer,2023-07-03T06:44:34.000Z,1.9K,,1.9K,5,4,/ru/hubs/popular_science/
D:\untitled3\.\hubs\nano,null,740584,anastasiy_y,2023-06-08T06:20:58.000Z,3.4K,,3.4K,35,2,/ru/companies/rshb/articles/
D:\untitled3\.\hubs\nano,null,738464,Dmytro_Kikot,2023-05-31T07:00:50.000Z,1.4K,,1.4K,14,0,/ru/companies/ua-hosting/articles/
D:\untitled3\.\hubs\nano,null,737762,itmo,2023-05-26T07:57:38.000Z,2.4K,,2.4K,12,3,/ru/companies/spbifmo/articles/
D:\untitled3\.\hubs\nano,null,732516,OlegSivchenko,2023-04-30T12:19:05.000Z,6.7K,,6.7K,23,4,/ru/hubs/popular_science/
D:\untitled3\.\hubs\nano,null,726276,aleaksah,2023-04-01T04:17:01.000Z,4.5K,,4.5K,19,44,/ru/hubs/assembler/
D:\untitled3\.\hubs\nano,null,723172,OlegSivchenko,2023-03-17T13:41:29.000Z,3.5K,,3.5K,23,3,/ru/hubs/robo_dev/
D:\untitled3\.\hubs\nano,null,715738,nE0,2023-02-08T23:44:07.000Z,14K,,14K,37,77,/ru/hubs/career/
D:\untitled3\.\hubs\nano,null,714254,ko_ya,2023-02-01T16:00:01.000Z,3.6K,,3.6K,27,5,/ru/companies/onlinepatent/articles/
D:\untitled3\.\hubs\nano,null,713868,OlegSivchenko,2023-01-31T09:34:05.000Z,4.5K,,4.5K,30,14,/ru/hubs/popular_science/
D:\untitled3\.\hubs\nano,null,712886,OlegSivchenko,2023-01-25T22:31:35.000Z,5.4K,,5.4K,39,10,/ru/hubs/popular_science/
