hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\natural_language_processing,null,776160,FlexiTech,2023-11-24T10:29:02.000Z,457,,457,19,2,without_company
D:\untitled3\.\hubs\natural_language_processing,null,775870,slivka_83,2023-11-24T06:00:58.000Z,2.8K,,2.8K,37,16,without_company
D:\untitled3\.\hubs\natural_language_processing,null,775336,alenusch,2023-11-22T11:30:06.000Z,1.9K,,1.9K,16,4,without_company
D:\untitled3\.\hubs\natural_language_processing,null,775554,kuznetsoff87,2023-11-22T09:00:06.000Z,6.7K,,6.7K,29,5,without_company
D:\untitled3\.\hubs\natural_language_processing,null,775590,ddimitrov,2023-11-22T08:54:17.000Z,19K,,19K,50,59,without_company
D:\untitled3\.\hubs\natural_language_processing,null,775450,Sber,2023-11-21T14:52:30.000Z,3.1K,,3.1K,14,8,without_company
D:\untitled3\.\hubs\natural_language_processing,null,774236,Ilya_Ryabov,2023-11-16T07:43:38.000Z,2K,,2K,14,6,without_company
D:\untitled3\.\hubs\natural_language_processing,null,773734,DenisBerezutskiy,2023-11-14T00:37:37.000Z,1.3K,,1.3K,25,10,without_company
D:\untitled3\.\hubs\natural_language_processing,null,772416,akimovpro,2023-11-13T10:51:11.000Z,17K,,17K,57,25,without_company
D:\untitled3\.\hubs\natural_language_processing,null,773312,murat_apishev,2023-11-13T07:56:07.000Z,4.4K,,4.4K,52,3,without_company
D:\untitled3\.\hubs\natural_language_processing,null,773180,prohor33,2023-11-10T14:24:11.000Z,4.6K,,4.6K,27,17,without_company
D:\untitled3\.\hubs\natural_language_processing,null,772364,koch,2023-11-07T13:01:42.000Z,1.3K,,1.3K,15,0,without_company
D:\untitled3\.\hubs\natural_language_processing,null,772166,Jlyu,2023-11-07T06:00:02.000Z,3.4K,,3.4K,12,4,without_company
D:\untitled3\.\hubs\natural_language_processing,null,772130,Zachar_5,2023-11-06T16:17:21.000Z,3.7K,,3.7K,29,9,without_company
D:\untitled3\.\hubs\natural_language_processing,null,770202,randall,2023-10-27T09:36:50.000Z,14K,,14K,87,2,without_company
D:\untitled3\.\hubs\natural_language_processing,null,769706,MR_VF,2023-10-26T21:06:29.000Z,5.5K,,5.5K,14,12,without_company
D:\untitled3\.\hubs\natural_language_processing,null,769124,akocherovskiy,2023-10-23T07:05:15.000Z,4.8K,,4.8K,41,9,without_company
