hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\net,null,774818,willdiealone,2023-11-18T11:48:54.000Z,11K,,11K,72,25,without_company
D:\untitled3\.\hubs\net,null,774054,Kiel,2023-11-15T09:22:49.000Z,7K,,7K,20,44,without_company
D:\untitled3\.\hubs\net,null,773896,rip_m,2023-11-14T14:15:34.000Z,21K,,21K,48,32,without_company
D:\untitled3\.\hubs\net,null,773500,Ruslan123,2023-11-13T08:37:04.000Z,5.3K,,5.3K,33,7,without_company
D:\untitled3\.\hubs\net,null,773444,Sivchenko_translate,2023-11-12T22:30:46.000Z,8.5K,,8.5K,40,5,without_company
D:\untitled3\.\hubs\net,null,772646,m_a_d,2023-11-10T07:02:01.000Z,5.1K,,5.1K,16,4,without_company
D:\untitled3\.\hubs\net,null,772722,dprotopopov,2023-11-08T23:21:20.000Z,1.4K,,1.4K,13,1,without_company
D:\untitled3\.\hubs\net,null,772628,willdiealone,2023-11-08T12:46:20.000Z,2.9K,,2.9K,45,27,without_company
D:\untitled3\.\hubs\net,null,772604,mushegovdima,2023-11-08T11:45:15.000Z,17K,,17K,35,33,without_company
D:\untitled3\.\hubs\net,null,772172,dprotopopov,2023-11-07T03:11:15.000Z,3.1K,,3.1K,27,23,without_company
D:\untitled3\.\hubs\net,null,771670,iakimov,2023-11-03T07:19:02.000Z,3.9K,,3.9K,34,7,without_company
D:\untitled3\.\hubs\net,null,771162,AntoineLarine,2023-11-02T16:09:37.000Z,7.5K,,7.5K,41,8,without_company
D:\untitled3\.\hubs\net,null,771530,HotMilkTicTac,2023-11-02T12:54:41.000Z,6.5K,,6.5K,21,41,without_company
D:\untitled3\.\hubs\net,null,771466,andrey_stepanov1,2023-11-02T09:18:26.000Z,3K,,3K,10,10,without_company
D:\untitled3\.\hubs\net,null,771454,rip_m,2023-11-02T08:31:50.000Z,8.3K,,8.3K,31,14,without_company
D:\untitled3\.\hubs\net,null,771432,ZaurVelibekov,2023-11-02T07:23:28.000Z,1.5K,,1.5K,27,0,without_company
D:\untitled3\.\hubs\net,null,771156,ShadowGreg,2023-10-31T20:43:06.000Z,3.1K,,3.1K,24,16,without_company
D:\untitled3\.\hubs\net,null,770058,nbelyh,2023-10-26T08:11:17.000Z,5.8K,,5.8K,46,12,without_company
