hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\netdev,null,771652,dmitriyrudnev,2023-11-21T09:00:02.000Z,4.3K,,4.3K,31,8,without_company
D:\untitled3\.\hubs\netdev,null,774810,555www555,2023-11-18T10:09:15.000Z,4.8K,,4.8K,9,30,without_company
D:\untitled3\.\hubs\netdev,null,769872,dmitriyrudnev,2023-11-14T09:00:04.000Z,6.9K,,6.9K,51,22,without_company
D:\untitled3\.\hubs\netdev,null,767534,MaFrance351,2023-11-07T08:01:01.000Z,8.7K,,8.7K,53,55,without_company
D:\untitled3\.\hubs\netdev,null,771790,VASExperts,2023-11-06T10:25:54.000Z,11K,,11K,14,6,without_company
D:\untitled3\.\hubs\netdev,null,763102,MaFrance351,2023-10-31T08:01:02.000Z,8K,,8K,51,32,without_company
D:\untitled3\.\hubs\netdev,null,769032,AlexSmithPsy,2023-10-21T17:30:51.000Z,3.5K,,3.5K,50,9,without_company
D:\untitled3\.\hubs\netdev,null,768990,VASExperts,2023-10-21T14:16:36.000Z,1.9K,,1.9K,8,4,without_company
D:\untitled3\.\hubs\netdev,null,768496,Zyxel_CIS,2023-10-19T08:44:07.000Z,7.5K,,7.5K,6,6,without_company
D:\untitled3\.\hubs\netdev,null,766050,CoolerLab1,2023-10-08T11:56:34.000Z,1.7K,,1.7K,22,11,without_company
D:\untitled3\.\hubs\netdev,null,765322,Atakum,2023-10-04T13:40:34.000Z,5K,,5K,32,3,without_company
D:\untitled3\.\hubs\netdev,null,764930,CoolerLab1,2023-10-02T22:02:55.000Z,3.6K,,3.6K,29,25,without_company
D:\untitled3\.\hubs\netdev,null,763644,MaFrance351,2023-10-02T08:01:02.000Z,19K,,19K,82,115,without_company
D:\untitled3\.\hubs\netdev,null,752856,Leka_engineer,2023-08-26T13:15:02.000Z,2.6K,,2.6K,16,8,without_company
D:\untitled3\.\hubs\netdev,null,752816,sergeyvass,2023-08-19T14:00:01.000Z,8.7K,,8.7K,82,14,without_company
D:\untitled3\.\hubs\netdev,null,751830,Leonman,2023-08-08T11:17:02.000Z,3.4K,,3.4K,21,10,without_company
D:\untitled3\.\hubs\netdev,null,752292,aabzel,2023-08-04T21:54:10.000Z,6.8K,,6.8K,55,44,without_company
D:\untitled3\.\hubs\netdev,null,752122,ksupipr,2023-08-03T06:48:04.000Z,4K,,4K,24,15,without_company
D:\untitled3\.\hubs\netdev,null,751444,des00,2023-07-31T08:40:31.000Z,5.5K,,5.5K,13,38,without_company
D:\untitled3\.\hubs\netdev,null,750758,klimensky,2023-07-27T08:40:19.000Z,4.5K,,4.5K,21,4,without_company
D:\untitled3\.\hubs\netdev,null,750392,Waik,2023-07-26T10:32:23.000Z,14K,,14K,79,29,without_company
D:\untitled3\.\hubs\netdev,null,750110,dmitriyzabirov,2023-07-24T22:10:49.000Z,2.5K,,2.5K,5,51,without_company
D:\untitled3\.\hubs\netdev,null,749192,Bright_Translate,2023-07-21T13:00:01.000Z,7.7K,,7.7K,38,10,without_company
D:\untitled3\.\hubs\netdev,null,749250,Albert_Wesker,2023-07-20T08:01:01.000Z,18K,,18K,31,56,without_company
D:\untitled3\.\hubs\netdev,null,748626,CodeDroidX,2023-07-19T09:42:57.000Z,1.6K,,1.6K,20,11,without_company
D:\untitled3\.\hubs\netdev,null,747312,ru_vds,2023-07-13T13:30:02.000Z,26K,,26K,82,57,without_company
D:\untitled3\.\hubs\netdev,null,746122,artyomsoft,2023-07-10T09:00:01.000Z,16K,,16K,110,40,without_company
D:\untitled3\.\hubs\netdev,null,744810,RyabovA,2023-07-06T10:25:51.000Z,11K,,11K,80,68,without_company
D:\untitled3\.\hubs\netdev,null,744648,Bright_Translate,2023-07-02T10:00:02.000Z,12K,,12K,50,54,without_company
D:\untitled3\.\hubs\netdev,null,744606,Darka,2023-06-28T16:24:49.000Z,41K,,41K,69,128,without_company
D:\untitled3\.\hubs\netdev,null,739496,sergbe,2023-06-19T11:31:18.000Z,11K,,11K,16,80,without_company
D:\untitled3\.\hubs\netdev,null,742428,Pisikak,2023-06-18T16:51:11.000Z,8.9K,,8.9K,43,16,without_company
D:\untitled3\.\hubs\netdev,null,742366,Evgeny_E,2023-06-17T20:04:12.000Z,12K,,12K,71,37,without_company
D:\untitled3\.\hubs\netdev,null,740072,Doctor_IT,2023-06-06T09:28:41.000Z,8.8K,,8.8K,73,18,without_company
D:\untitled3\.\hubs\netdev,null,737186,yadro_team,2023-05-25T08:17:11.000Z,6.1K,,6.1K,27,10,without_company
D:\untitled3\.\hubs\netdev,null,734720,AnastasiaIvanova8,2023-05-12T12:00:01.000Z,2.1K,,2.1K,20,6,without_company
D:\untitled3\.\hubs\netdev,null,733822,GeorgKDeft,2023-05-07T11:50:59.000Z,1.2K,,1.2K,3,12,without_company
D:\untitled3\.\hubs\netdev,null,730828,mianoki,2023-04-21T17:13:17.000Z,8.9K,,8.9K,13,27,without_company
D:\untitled3\.\hubs\netdev,null,729730,Dmytro_Kikot,2023-04-19T07:02:23.000Z,2.3K,,2.3K,12,0,without_company
D:\untitled3\.\hubs\netdev,null,721616,dmitriyrudnev,2023-04-18T09:00:01.000Z,5.6K,,5.6K,33,17,without_company
D:\untitled3\.\hubs\netdev,null,726608,GeorgKDeft,2023-04-03T12:20:30.000Z,2.6K,,2.6K,14,10,without_company
D:\untitled3\.\hubs\netdev,null,724880,snezhko,2023-03-26T22:13:26.000Z,785,,785,4,0,without_company
D:\untitled3\.\hubs\netdev,null,724482,AlexxIT,2023-03-24T07:25:07.000Z,9.5K,,9.5K,55,11,without_company
D:\untitled3\.\hubs\netdev,null,721696,VASExperts,2023-03-11T10:46:40.000Z,8.4K,,8.4K,32,11,without_company
D:\untitled3\.\hubs\netdev,null,721558,Doctor_IT,2023-03-10T12:30:03.000Z,31K,,31K,128,21,without_company
D:\untitled3\.\hubs\netdev,null,720906,bzzz86,2023-03-07T07:27:08.000Z,3.3K,,3.3K,24,7,without_company
D:\untitled3\.\hubs\netdev,null,712844,olegtsss,2023-02-28T09:00:01.000Z,3.8K,,3.8K,42,3,without_company
D:\untitled3\.\hubs\netdev,null,719022,snezhko,2023-02-26T15:06:36.000Z,598,,598,1,0,without_company
D:\untitled3\.\hubs\netdev,null,717824,AnastasiaIvanova8,2023-02-20T06:00:02.000Z,2.5K,,2.5K,15,1,without_company
D:\untitled3\.\hubs\netdev,null,717806,VASExperts,2023-02-19T08:28:30.000Z,2.3K,,2.3K,11,1,without_company
D:\untitled3\.\hubs\netdev,null,713148,followmyutopia,2023-02-14T09:29:57.000Z,1.2K,,1.2K,20,4,without_company
