hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\network_hardware,null,775680,Vadim_Shepelev,2023-11-23T11:29:18.000Z,1.5K,,1.5K,15,1,without_company
D:\untitled3\.\hubs\network_hardware,null,763600,CodeDroidX,2023-11-22T09:00:01.000Z,55K,,55K,472,89,without_company
D:\untitled3\.\hubs\network_hardware,null,775240,TVExpert,2023-11-21T05:45:26.000Z,18K,,18K,73,79,without_company
D:\untitled3\.\hubs\network_hardware,null,775110,itdog,2023-11-20T11:14:50.000Z,14K,,14K,134,27,without_company
D:\untitled3\.\hubs\network_hardware,null,774720,Pas,2023-11-17T14:59:27.000Z,9.1K,,9.1K,50,16,without_company
D:\untitled3\.\hubs\network_hardware,null,773324,Loiqig,2023-11-14T10:47:02.000Z,10K,,10K,21,23,without_company
D:\untitled3\.\hubs\network_hardware,null,772426,Solar_MSS,2023-11-08T10:14:01.000Z,1.8K,,1.8K,2,10,without_company
D:\untitled3\.\hubs\network_hardware,null,771796,dataline,2023-11-07T11:33:56.000Z,2.1K,,2.1K,5,4,without_company
D:\untitled3\.\hubs\network_hardware,null,770548,badcasedaily1,2023-11-07T09:58:50.000Z,8.1K,,8.1K,61,6,without_company
D:\untitled3\.\hubs\network_hardware,null,770274,it_union,2023-10-30T06:00:01.000Z,4.1K,,4.1K,5,8,without_company
D:\untitled3\.\hubs\network_hardware,null,770054,itglobalcom,2023-10-26T09:00:04.000Z,2.4K,,2.4K,6,5,without_company
D:\untitled3\.\hubs\network_hardware,null,769426,Zyxel_Tech,2023-10-24T09:00:05.000Z,9.2K,,9.2K,38,0,without_company
D:\untitled3\.\hubs\network_hardware,null,767058,Zyxel_South,2023-10-23T09:00:04.000Z,5.4K,,5.4K,31,7,without_company
D:\untitled3\.\hubs\network_hardware,null,768694,karen07,2023-10-20T15:58:29.000Z,35K,,35K,148,275,without_company
D:\untitled3\.\hubs\network_hardware,null,768778,thetka4enko,2023-10-20T09:25:53.000Z,49K,,49K,74,132,without_company
D:\untitled3\.\hubs\network_hardware,null,765526,MechNIX,2023-10-11T09:41:10.000Z,9.6K,,9.6K,12,53,without_company
D:\untitled3\.\hubs\network_hardware,null,765664,lomovtsevdn,2023-10-05T18:20:03.000Z,9.6K,,9.6K,22,32,without_company
D:\untitled3\.\hubs\network_hardware,null,765148,Zyxel_Tech,2023-10-05T09:00:03.000Z,10K,,10K,52,25,without_company
D:\untitled3\.\hubs\network_hardware,null,764802,Daritergha,2023-10-02T11:01:15.000Z,3K,,3K,10,2,without_company
D:\untitled3\.\hubs\network_hardware,null,760086,braonle,2023-10-02T10:11:02.000Z,811,,811,5,2,without_company
D:\untitled3\.\hubs\network_hardware,null,761188,CodeDroidX,2023-10-02T09:00:01.000Z,10K,,10K,149,25,without_company
D:\untitled3\.\hubs\network_hardware,null,764600,lomovtsevdn,2023-09-30T18:00:38.000Z,50K,,50K,153,53,without_company
D:\untitled3\.\hubs\network_hardware,null,764374,Mixail_Sviridov,2023-09-29T14:00:01.000Z,2.7K,,2.7K,6,3,without_company
D:\untitled3\.\hubs\network_hardware,null,763164,Tuy4ik,2023-09-25T06:01:03.000Z,20K,,20K,144,10,without_company
D:\untitled3\.\hubs\network_hardware,null,762408,JetHabr,2023-09-22T09:16:49.000Z,3.3K,,3.3K,22,4,without_company
D:\untitled3\.\hubs\network_hardware,null,761840,Civil,2023-09-20T15:00:01.000Z,42K,,42K,145,263,without_company
D:\untitled3\.\hubs\network_hardware,null,758652,virusaga,2023-09-14T08:01:01.000Z,1.1K,,1.1K,6,0,without_company
D:\untitled3\.\hubs\network_hardware,null,760688,Catherine_Romanova,2023-09-13T07:34:45.000Z,1.4K,,1.4K,11,0,without_company
D:\untitled3\.\hubs\network_hardware,null,749074,Zyxel_South,2023-09-12T06:00:02.000Z,2.6K,,2.6K,13,20,without_company
D:\untitled3\.\hubs\network_hardware,null,760052,Skride,2023-09-10T12:30:55.000Z,23K,,23K,178,31,without_company
D:\untitled3\.\hubs\network_hardware,null,760026,beeline_cloud,2023-09-10T09:07:02.000Z,3.4K,,3.4K,8,2,without_company
D:\untitled3\.\hubs\network_hardware,null,759564,Sertik13,2023-09-07T13:38:08.000Z,10K,,10K,51,28,without_company
D:\untitled3\.\hubs\network_hardware,null,756342,virusaga,2023-08-28T08:05:05.000Z,3.2K,,3.2K,18,0,without_company
D:\untitled3\.\hubs\network_hardware,null,756516,Kuro_KuroKy,2023-08-24T07:30:01.000Z,3.1K,,3.1K,8,5,without_company
D:\untitled3\.\hubs\network_hardware,null,756058,kail0,2023-08-22T07:00:06.000Z,6.9K,,6.9K,89,14,without_company
D:\untitled3\.\hubs\network_hardware,null,754962,k0ska,2023-08-16T10:31:37.000Z,1.2K,,1.2K,5,0,without_company
D:\untitled3\.\hubs\network_hardware,null,753838,Zyxel_diesel,2023-08-11T09:00:04.000Z,1K,,1K,9,1,without_company
