hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\network_technologies,null,776402,Stanner,2023-11-25T20:35:18.000Z,3.1K,,3.1K,45,10,without_company
D:\untitled3\.\hubs\network_technologies,null,776256,MiraclePtr,2023-11-24T17:24:25.000Z,71K,,71K,719,144,without_company
D:\untitled3\.\hubs\network_technologies,null,775940,CyberPaul,2023-11-24T11:35:09.000Z,770,,770,18,0,without_company
D:\untitled3\.\hubs\network_technologies,null,775680,Vadim_Shepelev,2023-11-23T11:29:18.000Z,1.5K,,1.5K,15,1,without_company
D:\untitled3\.\hubs\network_technologies,null,763600,CodeDroidX,2023-11-22T09:00:01.000Z,55K,,55K,472,89,without_company
D:\untitled3\.\hubs\network_technologies,null,775110,itdog,2023-11-20T11:14:50.000Z,14K,,14K,134,27,without_company
D:\untitled3\.\hubs\network_technologies,null,774462,eucariot,2023-11-20T07:02:05.000Z,22K,,22K,198,59,without_company
D:\untitled3\.\hubs\network_technologies,null,774870,Ryder95,2023-11-19T06:19:00.000Z,11K,,11K,64,30,without_company
D:\untitled3\.\hubs\network_technologies,null,774838,MiraclePtr,2023-11-18T18:07:10.000Z,18K,,18K,206,44,without_company
D:\untitled3\.\hubs\network_technologies,null,773692,it_union,2023-11-17T06:00:02.000Z,109K,,109K,178,237,without_company
D:\untitled3\.\hubs\network_technologies,null,773324,Loiqig,2023-11-14T10:47:02.000Z,10K,,10K,21,23,without_company
D:\untitled3\.\hubs\network_technologies,null,761848,braonle,2023-11-14T09:54:17.000Z,3K,,3K,18,1,without_company
D:\untitled3\.\hubs\network_technologies,null,773708,FSA,2023-11-13T19:06:35.000Z,15K,,15K,129,57,without_company
D:\untitled3\.\hubs\network_technologies,null,773696,Andrevich,2023-11-13T18:01:16.000Z,11K,,11K,113,7,without_company
D:\untitled3\.\hubs\network_technologies,null,773274,lioncub,2023-11-11T11:31:06.000Z,2K,,2K,11,2,without_company
D:\untitled3\.\hubs\network_technologies,null,772660,AnastasiaIvanova8,2023-11-08T14:28:04.000Z,5K,,5K,32,20,without_company
D:\untitled3\.\hubs\network_technologies,null,772436,Dreddsa,2023-11-07T19:52:56.000Z,4.3K,,4.3K,34,13,without_company
D:\untitled3\.\hubs\network_technologies,null,772404,yagodkinvs,2023-11-07T17:08:14.000Z,60K,,60K,150,39,without_company
D:\untitled3\.\hubs\network_technologies,null,770548,badcasedaily1,2023-11-07T09:58:50.000Z,8.1K,,8.1K,61,6,without_company
D:\untitled3\.\hubs\network_technologies,null,771892,Andrevich,2023-11-04T10:01:44.000Z,8.6K,,8.6K,66,24,without_company
D:\untitled3\.\hubs\network_technologies,null,770802,CloudMTS,2023-11-01T13:22:30.000Z,1.8K,,1.8K,18,0,without_company
D:\untitled3\.\hubs\network_technologies,null,749066,sea-team,2023-11-01T08:28:27.000Z,1.4K,,1.4K,18,4,without_company
D:\untitled3\.\hubs\network_technologies,null,771094,avbykov,2023-11-01T06:41:07.000Z,2.5K,,2.5K,37,0,without_company
D:\untitled3\.\hubs\network_technologies,null,770400,MiraclePtr,2023-10-29T09:12:01.000Z,34K,,34K,322,152,without_company
D:\untitled3\.\hubs\network_technologies,null,770546,DenSyo,2023-10-29T08:30:10.000Z,12K,,12K,43,5,without_company
D:\untitled3\.\hubs\network_technologies,null,770386,Sivchenko_translate,2023-10-27T13:40:31.000Z,10K,,10K,57,9,without_company
D:\untitled3\.\hubs\network_technologies,null,770164,bums,2023-10-27T08:00:01.000Z,5.2K,,5.2K,20,6,without_company
D:\untitled3\.\hubs\network_technologies,null,769992,AmneziaAdept,2023-10-26T17:09:37.000Z,97K,,97K,719,121,without_company
D:\untitled3\.\hubs\network_technologies,null,769986,Sukhachev_KIR,2023-10-25T21:04:07.000Z,3K,,3K,25,18,without_company
D:\untitled3\.\hubs\network_technologies,null,769426,Zyxel_Tech,2023-10-24T09:00:05.000Z,9.2K,,9.2K,38,0,without_company
D:\untitled3\.\hubs\network_technologies,null,769346,Revertis,2023-10-23T13:23:10.000Z,4.4K,,4.4K,15,2,without_company
D:\untitled3\.\hubs\network_technologies,null,767058,Zyxel_South,2023-10-23T09:00:04.000Z,5.4K,,5.4K,31,7,without_company
D:\untitled3\.\hubs\network_technologies,null,768694,karen07,2023-10-20T15:58:29.000Z,35K,,35K,148,275,without_company
D:\untitled3\.\hubs\network_technologies,null,768778,thetka4enko,2023-10-20T09:25:53.000Z,49K,,49K,74,132,without_company
D:\untitled3\.\hubs\network_technologies,null,768622,ph_piter,2023-10-19T13:41:26.000Z,24K,,24K,144,9,without_company
D:\untitled3\.\hubs\network_technologies,null,761140,olegtsss,2023-10-17T09:00:01.000Z,3.2K,,3.2K,55,3,without_company
D:\untitled3\.\hubs\network_technologies,null,766744,samsonlte,2023-10-17T07:03:07.000Z,8.5K,,8.5K,40,30,without_company
D:\untitled3\.\hubs\network_technologies,null,767464,itdog,2023-10-14T11:39:52.000Z,21K,,21K,185,24,without_company
D:\untitled3\.\hubs\network_technologies,null,767458,itdog,2023-10-14T11:39:09.000Z,15K,,15K,149,7,without_company
D:\untitled3\.\hubs\network_technologies,null,767446,Helboy11,2023-10-14T08:30:28.000Z,2.6K,,2.6K,23,7,without_company
D:\untitled3\.\hubs\network_technologies,null,767214,SDancer,2023-10-13T09:17:42.000Z,3.8K,,3.8K,23,5,without_company
D:\untitled3\.\hubs\network_technologies,null,767164,GoDevSeoTaxi,2023-10-13T06:29:38.000Z,42K,,42K,126,184,without_company
D:\untitled3\.\hubs\network_technologies,null,766954,NavL,2023-10-12T08:55:35.000Z,2.2K,,2.2K,10,5,without_company
D:\untitled3\.\hubs\network_technologies,null,766622,mafet,2023-10-12T05:30:01.000Z,5K,,5K,26,17,without_company
