hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\nginx,admin,769394,GreyTomcat,2023-11-16T11:23:02.000Z,16K,,16K,91,33,without_company
D:\untitled3\.\hubs\nginx,admin,765536,ToomIm,2023-10-05T10:27:13.000Z,4.1K,,4.1K,38,14,without_company
D:\untitled3\.\hubs\nginx,admin,764472,assdestr0yer,2023-09-29T15:19:43.000Z,24K,,24K,164,19,without_company
D:\untitled3\.\hubs\nginx,admin,763626,OS_Killer,2023-09-27T08:37:54.000Z,4.2K,,4.2K,26,4,without_company
D:\untitled3\.\hubs\nginx,admin,762676,nikshav,2023-09-21T18:17:17.000Z,8.5K,,8.5K,116,11,without_company
D:\untitled3\.\hubs\nginx,admin,761798,MiraclePtr,2023-09-18T18:33:44.000Z,33K,,33K,329,147,without_company
D:\untitled3\.\hubs\nginx,admin,757332,vnosov,2023-08-28T09:15:10.000Z,7.2K,,7.2K,55,3,without_company
D:\untitled3\.\hubs\nginx,admin,755526,selenzorn,2023-08-18T13:29:52.000Z,7K,,7K,63,12,without_company
D:\untitled3\.\hubs\nginx,admin,745718,robertd,2023-07-04T07:22:22.000Z,2.6K,,2.6K,18,1,without_company
D:\untitled3\.\hubs\nginx,admin,740992,pavlusha311245,2023-06-09T13:55:24.000Z,7.2K,,7.2K,49,5,without_company
D:\untitled3\.\hubs\nginx,admin,732636,ahmpro,2023-05-02T10:01:01.000Z,5.3K,,5.3K,32,15,without_company
D:\untitled3\.\hubs\nginx,admin,721070,Basov2023,2023-03-07T19:50:54.000Z,8.9K,,8.9K,26,106,without_company
D:\untitled3\.\hubs\nginx,admin,719882,Unixspv,2023-03-01T19:59:14.000Z,4.8K,,4.8K,48,17,without_company
D:\untitled3\.\hubs\nginx,admin,718898,tarmalonchik,2023-02-25T09:21:29.000Z,39K,,39K,202,40,without_company
D:\untitled3\.\hubs\nginx,admin,718608,websitedev,2023-02-22T12:50:41.000Z,3.1K,,3.1K,16,20,without_company
D:\untitled3\.\hubs\nginx,admin,716910,Zvava,2023-02-14T13:48:47.000Z,5.4K,,5.4K,23,4,without_company
D:\untitled3\.\hubs\nginx,admin,716002,vlad_gatsenko,2023-02-13T10:02:01.000Z,25K,,25K,96,25,without_company
