hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\nix,null,776494,DrArgentum,2023-11-26T15:42:41.000Z,1.1K,,1.1K,4,0,/ru/hubs/history/
D:\untitled3\.\hubs\nix,null,776072,Seleditor,2023-11-24T01:48:09.000Z,15K,,15K,15,56,/ru/companies/selectel/articles/
D:\untitled3\.\hubs\nix,null,775488,rcl,2023-11-21T19:03:15.000Z,12K,,12K,43,29,/ru/hubs/linux/
D:\untitled3\.\hubs\nix,null,774248,rcl,2023-11-16T11:37:07.000Z,3.2K,,3.2K,18,2,/ru/hubs/nix/
D:\untitled3\.\hubs\nix,null,772784,Sergey2677,2023-11-09T08:11:30.000Z,2K,,2K,20,0,/ru/hubs/python/
D:\untitled3\.\hubs\nix,null,771722,MaxRokatansky,2023-11-03T10:00:51.000Z,4.6K,,4.6K,29,5,/ru/companies/otus/articles/
D:\untitled3\.\hubs\nix,null,771576,MaxRokatansky,2023-11-02T18:18:02.000Z,2.8K,,2.8K,20,0,/ru/companies/otus/articles/
D:\untitled3\.\hubs\nix,null,770516,bodyawm,2023-11-01T08:01:07.000Z,32K,,32K,30,56,/ru/companies/timeweb/articles/
D:\untitled3\.\hubs\nix,null,771168,Seleditor,2023-11-01T01:11:02.000Z,13K,,13K,23,0,/ru/companies/selectel/articles/
D:\untitled3\.\hubs\nix,null,769892,gentoocat,2023-10-25T13:18:20.000Z,61K,,61K,111,416,/ru/hubs/open_source/
D:\untitled3\.\hubs\nix,null,768328,unxed,2023-10-18T13:29:40.000Z,16K,,16K,55,61,/ru/hubs/nix/
D:\untitled3\.\hubs\nix,null,767304,Sagidullin,2023-10-17T22:43:17.000Z,7.8K,,7.8K,10,9,/ru/companies/selectel/articles/
D:\untitled3\.\hubs\nix,null,767960,JetHabr,2023-10-17T09:10:55.000Z,3.8K,,3.8K,22,6,/ru/companies/jetinfosystems/articles/
D:\untitled3\.\hubs\nix,null,767668,winsetuper,2023-10-16T08:07:38.000Z,5.7K,,5.7K,14,7,/ru/hubs/code_wtf/
D:\untitled3\.\hubs\nix,null,767528,kaneki_li,2023-10-15T08:43:04.000Z,2.7K,,2.7K,9,16,/ru/hubs/system_programming/
D:\untitled3\.\hubs\nix,null,766190,Stenlav,2023-10-09T11:29:58.000Z,17K,,17K,27,91,/ru/companies/otus/articles/
D:\untitled3\.\hubs\nix,null,765280,SergeyNovak,2023-10-06T15:32:34.000Z,20K,,20K,119,33,/ru/hubs/linux/
D:\untitled3\.\hubs\nix,null,764278,DRoman0v,2023-09-29T00:06:33.000Z,8K,,8K,10,10,/ru/companies/selectel/articles/
D:\untitled3\.\hubs\nix,null,764064,tomenkoes,2023-09-28T08:11:09.000Z,1.5K,,1.5K,6,6,/ru/companies/basealtspo/articles/
D:\untitled3\.\hubs\nix,null,763996,deema35,2023-09-28T01:40:28.000Z,5K,,5K,64,17,/ru/hubs/linux/
D:\untitled3\.\hubs\nix,null,763766,BiktorSergeev,2023-09-27T08:25:05.000Z,7K,,7K,12,16,/ru/companies/ru_mts/articles/
D:\untitled3\.\hubs\nix,null,761408,pfemidi,2023-09-15T19:32:41.000Z,28K,,28K,162,60,/ru/hubs/ios_dev/
D:\untitled3\.\hubs\nix,null,760720,AlexChroot,2023-09-13T08:48:59.000Z,1.2K,,1.2K,9,0,/ru/hubs/linux/
D:\untitled3\.\hubs\nix,null,758956,piratarusso,2023-09-05T08:20:17.000Z,2.8K,,2.8K,11,20,/ru/hubs/vim/
D:\untitled3\.\hubs\nix,null,758668,svanichkin,2023-09-03T19:12:10.000Z,18K,,18K,38,110,/ru/hubs/nix/
D:\untitled3\.\hubs\nix,null,758642,Sivchenko_translate,2023-09-03T15:47:38.000Z,3.1K,,3.1K,18,6,/ru/hubs/open_source/
D:\untitled3\.\hubs\nix,null,758418,AlexChroot,2023-09-01T16:00:01.000Z,1.2K,,1.2K,5,0,/ru/hubs/open_source/
D:\untitled3\.\hubs\nix,null,752356,Sagidullin,2023-08-29T02:17:21.000Z,16K,,16K,14,17,/ru/companies/selectel/articles/
D:\untitled3\.\hubs\nix,null,756596,bodyawm,2023-08-25T08:01:07.000Z,12K,,12K,22,44,/ru/companies/timeweb/articles/
D:\untitled3\.\hubs\nix,null,756720,ph_piter,2023-08-24T13:58:28.000Z,10K,,10K,75,30,/ru/companies/piter/articles/
D:\untitled3\.\hubs\nix,null,756224,mykaroka,2023-08-22T13:43:35.000Z,4K,,4K,29,14,/ru/hubs/infosecurity/
D:\untitled3\.\hubs\nix,null,755866,fedorborovitsky,2023-08-21T09:43:14.000Z,38K,,38K,35,178,/ru/companies/mvideo/articles/
D:\untitled3\.\hubs\nix,null,754642,Bright_Translate,2023-08-20T10:00:02.000Z,2.9K,,2.9K,19,2,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\nix,null,752134,ZakharovAV,2023-08-18T14:05:47.000Z,1.8K,,1.8K,13,1,/ru/hubs/linux/
D:\untitled3\.\hubs\nix,null,754212,bodyawm,2023-08-18T08:01:05.000Z,59K,,59K,280,137,/ru/companies/timeweb/articles/
D:\untitled3\.\hubs\nix,null,755036,Yu-Leo,2023-08-16T13:47:11.000Z,14K,,14K,48,15,/ru/hubs/infosecurity/
D:\untitled3\.\hubs\nix,null,754926,DennoN,2023-08-16T08:40:52.000Z,25K,,25K,136,17,/ru/hubs/nix/
D:\untitled3\.\hubs\nix,null,752564,OlegSL,2023-08-15T11:49:17.000Z,9.1K,,9.1K,70,20,/ru/companies/vk/articles/
D:\untitled3\.\hubs\nix,null,753062,bodyawm,2023-08-14T08:01:08.000Z,13K,,13K,199,36,/ru/companies/timeweb/articles/
D:\untitled3\.\hubs\nix,null,754246,lgyanf,2023-08-14T08:00:01.000Z,13K,,13K,15,3,/ru/hubs/nix/
D:\untitled3\.\hubs\nix,null,754322,PatientZero,2023-08-14T06:00:47.000Z,30K,,30K,162,18,/ru/hubs/open_source/
D:\untitled3\.\hubs\nix,null,753676,unitReady,2023-08-12T15:49:00.000Z,9.2K,,9.2K,67,18,/ru/hubs/nix/
