hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\nosql,develop,765694,RukInDaHouse,2023-11-02T11:56:40.000Z,22K,,22K,305,5,/ru/companies/nixys/articles/
D:\untitled3\.\hubs\nosql,develop,766674,IrlkKvch,2023-10-11T08:30:24.000Z,6.7K,,6.7K,60,14,/ru/hubs/java/
D:\untitled3\.\hubs\nosql,develop,766062,LyuMih,2023-10-08T12:57:45.000Z,825,,825,7,1,/ru/hubs/nosql/
D:\untitled3\.\hubs\nosql,develop,763956,gtkek,2023-09-28T12:48:22.000Z,2.9K,,2.9K,55,1,/ru/companies/sportmaster_lab/articles/
D:\untitled3\.\hubs\nosql,develop,761514,arusakov,2023-09-17T16:05:13.000Z,2.2K,,2.2K,15,0,/ru/hubs/open_source/
D:\untitled3\.\hubs\nosql,develop,760272,mrananyan,2023-09-11T12:58:51.000Z,20K,,20K,81,90,/ru/hubs/webdev/
D:\untitled3\.\hubs\nosql,develop,760226,MaxRokatansky,2023-09-11T11:12:41.000Z,2.9K,,2.9K,40,1,/ru/companies/otus/articles/
D:\untitled3\.\hubs\nosql,develop,758868,sahsAGU,2023-09-04T16:19:03.000Z,10K,,10K,71,2,/ru/hubs/sql/
D:\untitled3\.\hubs\nosql,develop,756270,gtkek,2023-08-31T11:20:58.000Z,7.7K,,7.7K,98,0,/ru/companies/sportmaster_lab/articles/
D:\untitled3\.\hubs\nosql,develop,756004,gtkek,2023-08-24T11:32:47.000Z,10K,,10K,145,1,/ru/companies/sportmaster_lab/articles/
D:\untitled3\.\hubs\nosql,develop,751544,qiwi_k,2023-08-01T07:00:08.000Z,1.9K,,1.9K,19,0,/ru/companies/ozontech/articles/
D:\untitled3\.\hubs\nosql,develop,750592,randall,2023-07-28T09:40:59.000Z,2.1K,,2.1K,32,0,/ru/companies/cloud_mts/articles/
D:\untitled3\.\hubs\nosql,develop,747760,trublast,2023-07-21T08:24:51.000Z,7.8K,,7.8K,52,21,/ru/companies/flant/articles/
D:\untitled3\.\hubs\nosql,develop,743784,ebogdanov,2023-06-29T08:08:01.000Z,6.9K,,6.9K,21,12,/ru/hubs/hi/
D:\untitled3\.\hubs\nosql,develop,738908,Digital_League,2023-05-31T12:15:28.000Z,1.6K,,1.6K,11,1,/ru/companies/digitalleague/articles/
D:\untitled3\.\hubs\nosql,develop,738304,softError,2023-05-30T08:54:37.000Z,4.8K,,4.8K,19,2,/ru/hubs/nosql/
D:\untitled3\.\hubs\nosql,develop,733730,GalsSoftware,2023-05-20T03:19:28.000Z,1.5K,,1.5K,8,0,/ru/hubs/search_technologies/
D:\untitled3\.\hubs\nosql,develop,732578,artfultom,2023-05-01T06:06:50.000Z,3.4K,,3.4K,17,0,/ru/hubs/nosql/
D:\untitled3\.\hubs\nosql,develop,727474,badcasedaily1,2023-04-20T14:00:02.000Z,27K,,27K,162,30,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\nosql,develop,730424,Digital_League,2023-04-20T11:45:32.000Z,1.5K,,1.5K,12,1,/ru/companies/digitalleague/articles/
D:\untitled3\.\hubs\nosql,develop,723734,yrepear,2023-03-24T08:37:12.000Z,8.5K,,8.5K,40,2,/ru/companies/vk/articles/
D:\untitled3\.\hubs\nosql,develop,723078,DumchevEvgeniy,2023-03-17T09:47:16.000Z,13K,,13K,60,12,/ru/hubs/pay_system/
D:\untitled3\.\hubs\nosql,develop,722296,MaxRokatansky,2023-03-14T12:02:54.000Z,427,,427,4,0,/ru/companies/otus/articles/
D:\untitled3\.\hubs\nosql,develop,719860,dmitriizolotov,2023-03-02T12:03:02.000Z,1.2K,,1.2K,14,0,/ru/companies/otus/articles/
D:\untitled3\.\hubs\nosql,develop,714322,Bright_Translate,2023-02-03T13:00:01.000Z,12K,,12K,89,21,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\nosql,develop,713736,dim-ev,2023-01-30T15:07:06.000Z,7.9K,,7.9K,43,13,/ru/hubs/postgresql/
D:\untitled3\.\hubs\nosql,develop,711646,lena_pot,2023-01-19T14:05:52.000Z,11K,,11K,41,17,/ru/hubs/nosql/
D:\untitled3\.\hubs\nosql,develop,707800,temabeloglinskiy,2022-12-26T16:19:38.000Z,1.8K,,1.8K,16,0,/ru/hubs/nosql/
D:\untitled3\.\hubs\nosql,develop,706074,kuza2000,2022-12-18T00:01:47.000Z,6.6K,,6.6K,46,40,/ru/hubs/python/
D:\untitled3\.\hubs\nosql,develop,706020,bdrgn,2022-12-16T14:34:59.000Z,5.8K,,5.8K,74,2,/ru/hubs/python/
D:\untitled3\.\hubs\nosql,develop,699104,mayo889,2022-11-13T21:00:23.000Z,5.1K,,5.1K,37,0,/ru/hubs/nosql/
D:\untitled3\.\hubs\nosql,develop,692800,MaxRokatansky,2022-10-12T10:04:46.000Z,2.4K,,2.4K,18,0,/ru/companies/otus/articles/
D:\untitled3\.\hubs\nosql,develop,691178,mr-pickles,2022-10-03T09:52:27.000Z,27K,,27K,89,22,/ru/companies/wunderfund/articles/
D:\untitled3\.\hubs\nosql,develop,690924,GolovinDS,2022-09-30T09:56:41.000Z,6.1K,,6.1K,27,4,/ru/companies/otus/articles/
D:\untitled3\.\hubs\nosql,develop,688216,shianmala,2022-09-14T11:01:18.000Z,7.5K,,7.5K,53,15,/ru/companies/sbermegamarket/articles/
D:\untitled3\.\hubs\nosql,develop,683912,selenzorn,2022-08-22T10:14:58.000Z,9.5K,,9.5K,51,9,/ru/companies/selectel/articles/
D:\untitled3\.\hubs\nosql,develop,679994,ualeks,2022-07-30T12:36:05.000Z,6.4K,,6.4K,54,2,/ru/hubs/nosql/
D:\untitled3\.\hubs\nosql,develop,675626,chestny_znak,2022-07-07T09:53:39.000Z,3.5K,,3.5K,24,7,/ru/companies/chestnyznak/articles/
D:\untitled3\.\hubs\nosql,develop,668524,dmitriizolotov,2022-05-30T16:20:24.000Z,3.4K,,3.4K,20,2,/ru/companies/otus/articles/
D:\untitled3\.\hubs\nosql,develop,665230,skywarer,2022-05-11T15:24:21.000Z,2.5K,,2.5K,13,5,/ru/companies/bimeister/articles/
D:\untitled3\.\hubs\nosql,develop,663988,IQ_Dev,2022-05-02T11:16:57.000Z,30K,,30K,38,40,/ru/hubs/php/
D:\untitled3\.\hubs\nosql,develop,663496,HeadphoneActor,2022-04-28T13:41:00.000Z,2.3K,,2.3K,5,1,/ru/companies/vk/articles/
D:\untitled3\.\hubs\nosql,develop,658093,mrlolthe1st,2022-03-30T03:30:34.000Z,5.2K,,5.2K,28,27,/ru/hubs/programming/
D:\untitled3\.\hubs\nosql,develop,650327,akomiagin,2022-02-08T08:26:08.000Z,6.4K,,6.4K,41,2,/ru/companies/stm_labs/articles/
D:\untitled3\.\hubs\nosql,develop,650007,Spinifex,2022-02-06T18:02:44.000Z,10K,,10K,103,22,/ru/hubs/postgresql/
D:\untitled3\.\hubs\nosql,develop,646441,akomiagin,2022-01-19T08:59:25.000Z,7.2K,,7.2K,41,3,/ru/companies/stm_labs/articles/
D:\untitled3\.\hubs\nosql,develop,599653,akakunin,2022-01-08T09:12:16.000Z,2.8K,,2.8K,7,2,/ru/hubs/nosql/
D:\untitled3\.\hubs\nosql,develop,596969,podkolzzzin,2021-12-21T12:49:59.000Z,8.3K,,8.3K,28,44,/ru/hubs/mysql/
D:\untitled3\.\hubs\nosql,develop,593139,chestny_znak,2021-12-03T07:46:59.000Z,3.6K,,3.6K,15,4,/ru/companies/chestnyznak/articles/
D:\untitled3\.\hubs\nosql,develop,588046,yngvar_antonsson,2021-11-09T12:52:13.000Z,9.5K,,9.5K,59,2,/ru/companies/vk/articles/
D:\untitled3\.\hubs\nosql,develop,582916,ArtemWolynski,2021-10-12T06:12:00.000Z,12K,,12K,45,5,/ru/hubs/postgresql/
D:\untitled3\.\hubs\nosql,develop,581492,YevSam,2021-10-04T15:13:32.000Z,10K,,10K,89,15,/ru/hubs/oracle/
D:\untitled3\.\hubs\nosql,develop,578842,devozerov,2021-10-04T05:30:01.000Z,4.8K,,4.8K,31,0,/ru/companies/cedrusdata/articles/
D:\untitled3\.\hubs\nosql,develop,579622,kmoseenk,2021-09-23T13:40:35.000Z,40K,,40K,77,3,/ru/companies/otus/articles/
D:\untitled3\.\hubs\nosql,develop,579248,YevSam,2021-09-21T18:28:06.000Z,72K,,72K,281,39,/ru/hubs/oracle/
D:\untitled3\.\hubs\nosql,develop,577078,MaxRokatansky,2021-09-10T08:34:01.000Z,6.2K,,6.2K,7,0,/ru/companies/otus/articles/
D:\untitled3\.\hubs\nosql,develop,574542,michael-filonenko,2021-08-30T07:38:51.000Z,9.9K,,9.9K,54,9,/ru/companies/vk/articles/
D:\untitled3\.\hubs\nosql,develop,573908,popov-as,2021-08-24T08:11:01.000Z,5.1K,,5.1K,33,33,/ru/companies/fgts/articles/
D:\untitled3\.\hubs\nosql,develop,571846,rawoak,2021-08-12T07:00:02.000Z,34K,,34K,129,14,/ru/hubs/python/
D:\untitled3\.\hubs\nosql,develop,571286,kzzzr,2021-08-04T15:14:11.000Z,3.4K,,3.4K,19,0,/ru/companies/otus/articles/
D:\untitled3\.\hubs\nosql,develop,568856,not_bad,2021-07-21T10:20:15.000Z,9.8K,,9.8K,59,13,/ru/hubs/nosql/
