hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\objectivec,develop,749554,voro_byov,2023-07-21T10:29:17.000Z,2.5K,,2.5K,14,0,without_company
D:\untitled3\.\hubs\objectivec,develop,736516,Dinozavr2005,2023-05-22T06:47:41.000Z,1.2K,,1.2K,4,4,without_company
D:\untitled3\.\hubs\objectivec,develop,736106,movpushmov,2023-05-18T14:49:23.000Z,1.8K,,1.8K,10,5,without_company
D:\untitled3\.\hubs\objectivec,develop,723672,nsurl-dev,2023-03-21T09:44:52.000Z,1.8K,,1.8K,19,0,without_company
D:\untitled3\.\hubs\objectivec,develop,722172,MarkParker5,2023-03-13T23:12:52.000Z,2.7K,,2.7K,14,9,without_company
D:\untitled3\.\hubs\objectivec,develop,706274,ivanvorobei,2022-12-19T07:01:34.000Z,2.8K,,2.8K,5,14,without_company
D:\untitled3\.\hubs\objectivec,develop,704436,Dimalovanyy,2022-12-09T04:58:35.000Z,3.2K,,3.2K,14,37,without_company
D:\untitled3\.\hubs\objectivec,develop,702248,jazzdiluffy,2022-11-29T10:03:52.000Z,4.1K,,4.1K,24,9,without_company
D:\untitled3\.\hubs\objectivec,develop,701462,albrom,2022-11-24T17:47:10.000Z,2.1K,,2.1K,11,9,without_company
D:\untitled3\.\hubs\objectivec,develop,701332,ivanvorobei,2022-11-24T11:42:37.000Z,3K,,3K,19,0,without_company
D:\untitled3\.\hubs\objectivec,develop,698790,Viktorianec,2022-11-11T09:23:08.000Z,5.9K,,5.9K,17,8,without_company
D:\untitled3\.\hubs\objectivec,develop,689390,iwtp,2022-09-21T07:00:46.000Z,8.8K,,8.8K,20,19,without_company
D:\untitled3\.\hubs\objectivec,develop,682688,artemvkepke,2022-08-16T07:48:24.000Z,1.8K,,1.8K,7,1,without_company
D:\untitled3\.\hubs\objectivec,develop,674406,WillianLike,2022-06-30T16:29:35.000Z,3.5K,,3.5K,15,5,without_company
D:\untitled3\.\hubs\objectivec,develop,673400,LyskinDan,2022-06-25T12:54:38.000Z,12K,,12K,26,0,without_company
D:\untitled3\.\hubs\objectivec,develop,662708,Viktorianec,2022-04-25T06:27:59.000Z,3K,,3K,16,3,without_company
