hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\oop,null,774172,KirillBelovTest,2023-11-16T08:18:49.000Z,2.3K,,2.3K,20,12,/ru/hubs/crazydev/
D:\untitled3\.\hubs\oop,null,773388,anzmax,2023-11-12T13:22:57.000Z,9.7K,,9.7K,28,8,/ru/hubs/complete_code/
D:\untitled3\.\hubs\oop,null,770116,rukhi7,2023-10-29T22:08:01.000Z,6.3K,,6.3K,32,29,/ru/hubs/programming/
D:\untitled3\.\hubs\oop,null,766552,pzrnqt1vrss,2023-10-17T13:00:02.000Z,9.4K,,9.4K,102,26,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\oop,null,767228,ph_piter,2023-10-13T12:13:17.000Z,2.1K,,2.1K,33,3,/ru/companies/piter/articles/
D:\untitled3\.\hubs\oop,null,767068,ph_piter,2023-10-12T13:35:31.000Z,5.4K,,5.4K,55,13,/ru/companies/piter/articles/
D:\untitled3\.\hubs\oop,null,765468,zmiik,2023-10-05T07:00:04.000Z,4.7K,,4.7K,26,12,/ru/hubs/oop/
D:\untitled3\.\hubs\oop,null,764898,rukhi7,2023-10-05T05:27:33.000Z,16K,,16K,36,55,/ru/hubs/programming/
D:\untitled3\.\hubs\oop,null,764266,Lexo,2023-09-29T11:43:52.000Z,38K,,38K,199,26,/ru/companies/otus/articles/
D:\untitled3\.\hubs\oop,null,763952,zyablin_av,2023-09-28T11:01:50.000Z,4.9K,,4.9K,36,7,/ru/companies/magnit/articles/
D:\untitled3\.\hubs\oop,null,763874,ph_piter,2023-09-27T13:14:42.000Z,5.6K,,5.6K,44,11,/ru/companies/piter/articles/
D:\untitled3\.\hubs\oop,null,763004,AntiLogik,2023-09-24T13:21:02.000Z,1.6K,,1.6K,27,4,/ru/hubs/sw/
D:\untitled3\.\hubs\oop,null,762956,Sivchenko_translate,2023-09-23T07:49:04.000Z,16K,,16K,59,12,/ru/hubs/programming/
D:\untitled3\.\hubs\oop,null,761330,m1llark,2023-09-15T12:48:56.000Z,2.8K,,2.8K,22,7,/ru/hubs/programming/
D:\untitled3\.\hubs\oop,null,759102,LordNoName,2023-09-05T17:42:28.000Z,11K,,11K,68,17,/ru/hubs/it_testing/
D:\untitled3\.\hubs\oop,null,758286,SofiaSazonova,2023-09-01T06:50:55.000Z,7.8K,,7.8K,67,0,/ru/hubs/javascript/
D:\untitled3\.\hubs\oop,null,753272,PatientZero,2023-08-10T05:46:23.000Z,5.3K,,5.3K,49,29,/ru/hubs/programming/
D:\untitled3\.\hubs\oop,null,753282,BobrDobr32rus,2023-08-08T11:55:53.000Z,8.7K,,8.7K,69,38,/ru/hubs/programming/
D:\untitled3\.\hubs\oop,null,752478,rukhi7,2023-08-04T09:36:29.000Z,7.8K,,7.8K,34,14,/ru/hubs/programming/
D:\untitled3\.\hubs\oop,null,749764,benvito,2023-07-23T06:05:41.000Z,6.8K,,6.8K,38,7,/ru/hubs/python/
