hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\open_source,null,775734,dmitrykabanov,2023-11-26T13:37:53.000Z,1K,,1K,11,4,without_company
D:\untitled3\.\hubs\open_source,null,775194,anastapenko,2023-11-26T13:30:38.000Z,960,,960,7,2,without_company
D:\untitled3\.\hubs\open_source,null,776144,PatientZero,2023-11-24T09:37:38.000Z,3.7K,,3.7K,15,9,without_company
D:\untitled3\.\hubs\open_source,null,776068,it_union,2023-11-24T06:01:59.000Z,8.7K,,8.7K,17,33,without_company
D:\untitled3\.\hubs\open_source,null,776072,Seleditor,2023-11-24T01:48:09.000Z,15K,,15K,15,56,without_company
D:\untitled3\.\hubs\open_source,null,774832,Cutcode,2023-11-22T06:30:01.000Z,1.8K,,1.8K,4,8,without_company
D:\untitled3\.\hubs\open_source,null,775076,RustLangRu,2023-11-20T10:01:54.000Z,1.7K,,1.7K,3,4,without_company
D:\untitled3\.\hubs\open_source,null,774998,Rombneromb,2023-11-20T08:58:02.000Z,1.6K,,1.6K,18,0,without_company
D:\untitled3\.\hubs\open_source,null,774754,rebuilder,2023-11-19T13:17:35.000Z,3.4K,,3.4K,34,38,without_company
D:\untitled3\.\hubs\open_source,null,774870,Ryder95,2023-11-19T06:19:00.000Z,11K,,11K,64,30,without_company
D:\untitled3\.\hubs\open_source,null,773914,ArsenyFedorov,2023-11-17T11:00:19.000Z,3.4K,,3.4K,40,0,without_company
D:\untitled3\.\hubs\open_source,null,769394,GreyTomcat,2023-11-16T11:23:02.000Z,16K,,16K,90,33,without_company
D:\untitled3\.\hubs\open_source,null,774310,divolko3,2023-11-16T09:49:46.000Z,6.8K,,6.8K,12,26,without_company
D:\untitled3\.\hubs\open_source,null,774178,maisvendoo,2023-11-15T22:54:26.000Z,2.5K,,2.5K,18,7,without_company
D:\untitled3\.\hubs\open_source,null,774146,Wladradchenko,2023-11-15T15:27:24.000Z,3.1K,,3.1K,59,10,without_company
D:\untitled3\.\hubs\open_source,null,774006,Bozaro,2023-11-15T09:12:08.000Z,2.9K,,2.9K,25,15,without_company
D:\untitled3\.\hubs\open_source,null,773870,AlexeyW100,2023-11-15T07:01:08.000Z,22K,,22K,160,20,without_company
D:\untitled3\.\hubs\open_source,null,773620,empenoso,2023-11-14T10:02:13.000Z,3.2K,,3.2K,46,15,without_company
D:\untitled3\.\hubs\open_source,null,773608,eao197,2023-11-13T13:01:29.000Z,1.1K,,1.1K,8,2,without_company
D:\untitled3\.\hubs\open_source,null,773584,Rombneromb,2023-11-13T12:32:09.000Z,6.8K,,6.8K,23,2,without_company
D:\untitled3\.\hubs\open_source,null,773550,etherblade,2023-11-13T11:00:12.000Z,985,,985,10,0,without_company
D:\untitled3\.\hubs\open_source,null,773448,therb1,2023-11-12T23:11:41.000Z,2.1K,,2.1K,46,0,without_company
D:\untitled3\.\hubs\open_source,null,773302,maximthomas,2023-11-11T14:30:22.000Z,773,,773,8,0,without_company
