hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\opendata,develop,769928,vladischuk,2023-10-26T13:50:02.000Z,3.1K,,3.1K,35,7,without_company
D:\untitled3\.\hubs\opendata,develop,769540,Marfa-Marfa,2023-10-24T10:15:13.000Z,1.2K,,1.2K,15,5,without_company
D:\untitled3\.\hubs\opendata,develop,768710,snakers4,2023-10-20T05:55:37.000Z,22K,,22K,50,70,without_company
D:\untitled3\.\hubs\opendata,develop,766138,TilekSamiev,2023-10-17T08:01:02.000Z,8.3K,,8.3K,38,19,without_company
D:\untitled3\.\hubs\opendata,develop,765946,galimov_a,2023-10-07T09:46:16.000Z,22K,,22K,77,59,without_company
D:\untitled3\.\hubs\opendata,develop,765046,ris58h,2023-10-04T16:29:28.000Z,13K,,13K,23,23,without_company
D:\untitled3\.\hubs\opendata,develop,763832,kmeans,2023-09-29T07:00:14.000Z,8.4K,,8.4K,54,14,without_company
D:\untitled3\.\hubs\opendata,develop,764276,Canopus77,2023-09-28T23:16:21.000Z,3.4K,,3.4K,5,20,without_company
D:\untitled3\.\hubs\opendata,develop,762850,CurasaoRG,2023-09-26T15:14:01.000Z,2K,,2K,17,2,without_company
D:\untitled3\.\hubs\opendata,develop,761466,PatientZero,2023-09-16T10:16:18.000Z,30K,,30K,142,27,without_company
D:\untitled3\.\hubs\opendata,develop,759650,Canopus77,2023-09-07T22:49:05.000Z,4.4K,,4.4K,10,7,without_company
D:\untitled3\.\hubs\opendata,develop,759362,Canopus77,2023-09-06T18:15:51.000Z,7.7K,,7.7K,13,35,without_company
D:\untitled3\.\hubs\opendata,develop,755904,dustalov,2023-08-21T13:06:01.000Z,2.6K,,2.6K,15,2,without_company
D:\untitled3\.\hubs\opendata,develop,754674,Doctor_IT,2023-08-15T10:29:58.000Z,24K,,24K,136,15,without_company
D:\untitled3\.\hubs\opendata,develop,745636,valentinak,2023-07-07T12:04:34.000Z,7.6K,,7.6K,12,33,without_company
D:\untitled3\.\hubs\opendata,develop,745404,egor_why,2023-07-02T22:17:16.000Z,4.8K,,4.8K,55,14,without_company
D:\untitled3\.\hubs\opendata,develop,743876,withannad2023,2023-06-26T09:21:50.000Z,3K,,3K,5,1,without_company
D:\untitled3\.\hubs\opendata,develop,736016,uranusq,2023-05-18T10:31:37.000Z,5.1K,,5.1K,35,5,without_company
D:\untitled3\.\hubs\opendata,develop,735320,adurnetsov,2023-05-16T04:29:59.000Z,2.5K,,2.5K,7,0,without_company
D:\untitled3\.\hubs\opendata,develop,733676,Nester,2023-05-05T18:02:51.000Z,20K,,20K,71,59,without_company
D:\untitled3\.\hubs\opendata,develop,733462,JWMash,2023-05-04T21:51:23.000Z,4.5K,,4.5K,45,7,without_company
D:\untitled3\.\hubs\opendata,develop,733276,QuantumCross,2023-05-04T08:55:36.000Z,4K,,4K,43,2,without_company
D:\untitled3\.\hubs\opendata,develop,732976,NewTechAudit,2023-05-03T07:46:17.000Z,3.4K,,3.4K,25,0,without_company
D:\untitled3\.\hubs\opendata,develop,732756,itmo,2023-05-02T09:10:01.000Z,2K,,2K,15,0,without_company
D:\untitled3\.\hubs\opendata,develop,732340,GlobalSign_admin,2023-04-28T17:14:28.000Z,6.2K,,6.2K,23,5,without_company
D:\untitled3\.\hubs\opendata,develop,731158,AndrewShmig,2023-04-24T09:28:09.000Z,9.6K,,9.6K,80,9,without_company
D:\untitled3\.\hubs\opendata,develop,729922,VASExperts,2023-04-22T09:59:37.000Z,1.3K,,1.3K,11,7,without_company
D:\untitled3\.\hubs\opendata,develop,730858,AndrewShmig,2023-04-22T04:13:15.000Z,1.1K,,1.1K,7,2,without_company
D:\untitled3\.\hubs\opendata,develop,729798,took_the_lead,2023-04-21T14:01:05.000Z,14K,,14K,61,7,without_company
D:\untitled3\.\hubs\opendata,develop,730638,AndrewShmig,2023-04-21T07:21:48.000Z,1.2K,,1.2K,10,15,without_company
D:\untitled3\.\hubs\opendata,develop,730434,AndrewShmig,2023-04-20T12:03:17.000Z,1.5K,,1.5K,24,0,without_company
D:\untitled3\.\hubs\opendata,develop,729364,took_the_lead,2023-04-16T10:40:21.000Z,19K,,19K,135,9,without_company
D:\untitled3\.\hubs\opendata,develop,717760,Protos,2023-04-07T02:44:52.000Z,6K,,6K,10,7,without_company
D:\untitled3\.\hubs\opendata,develop,726584,0x22almostEvil,2023-04-03T11:13:40.000Z,12K,,12K,74,29,without_company
D:\untitled3\.\hubs\opendata,develop,722850,klimensky,2023-03-17T11:27:10.000Z,2.3K,,2.3K,17,4,without_company
D:\untitled3\.\hubs\opendata,develop,718972,PYXRU,2023-02-25T23:46:02.000Z,2.7K,,2.7K,14,9,without_company
D:\untitled3\.\hubs\opendata,develop,716092,igor_suhorukov,2023-02-10T12:14:20.000Z,2.1K,,2.1K,20,20,without_company
D:\untitled3\.\hubs\opendata,develop,714708,SmartEngines,2023-02-08T06:42:29.000Z,1.6K,,1.6K,4,0,without_company
D:\untitled3\.\hubs\opendata,develop,714492,DigitalTatarstan,2023-02-02T14:00:48.000Z,1.7K,,1.7K,11,2,without_company
D:\untitled3\.\hubs\opendata,develop,704650,avshkol,2023-01-22T22:07:17.000Z,5.5K,,5.5K,48,27,without_company
D:\untitled3\.\hubs\opendata,develop,711456,GlobalSign_admin,2023-01-18T15:51:30.000Z,21K,,21K,47,77,without_company
D:\untitled3\.\hubs\opendata,develop,709510,meisoff,2023-01-08T14:09:44.000Z,9.3K,,9.3K,78,9,without_company
D:\untitled3\.\hubs\opendata,develop,708728,ruASG,2022-12-30T20:18:33.000Z,3.8K,,3.8K,18,32,without_company
D:\untitled3\.\hubs\opendata,develop,703952,N-Cube,2022-12-07T04:54:11.000Z,3K,,3K,19,13,without_company
D:\untitled3\.\hubs\opendata,develop,699490,nktnlx,2022-11-18T09:59:11.000Z,3.4K,,3.4K,31,2,without_company
D:\untitled3\.\hubs\opendata,develop,699606,Razoomnick,2022-11-16T01:38:44.000Z,6.7K,,6.7K,36,8,without_company
D:\untitled3\.\hubs\opendata,develop,698012,geointellect,2022-11-08T08:25:24.000Z,813,,813,7,2,without_company
D:\untitled3\.\hubs\opendata,develop,693790,NewTechAudit,2022-10-17T11:08:24.000Z,2.5K,,2.5K,19,13,without_company
D:\untitled3\.\hubs\opendata,develop,693742,Kot777Bayun,2022-10-17T09:33:54.000Z,3.9K,,3.9K,14,4,without_company
D:\untitled3\.\hubs\opendata,develop,692334,N-Cube,2022-10-10T08:41:15.000Z,1.7K,,1.7K,13,2,without_company
D:\untitled3\.\hubs\opendata,develop,689990,lfwsmrp,2022-09-25T21:24:58.000Z,12K,,12K,54,11,without_company
D:\untitled3\.\hubs\opendata,develop,689592,spiralis,2022-09-23T07:45:21.000Z,4.9K,,4.9K,30,14,without_company
D:\untitled3\.\hubs\opendata,develop,682694,VZ1,2022-08-17T20:26:21.000Z,9.5K,,9.5K,91,8,without_company
D:\untitled3\.\hubs\opendata,develop,683094,dmitriizolotov,2022-08-17T14:48:16.000Z,3.7K,,3.7K,33,0,without_company
D:\untitled3\.\hubs\opendata,develop,682500,dmitriizolotov,2022-08-15T12:18:08.000Z,5.3K,,5.3K,41,1,without_company
D:\untitled3\.\hubs\opendata,develop,681686,dmitriizolotov,2022-08-09T15:23:51.000Z,3.6K,,3.6K,35,0,without_company
D:\untitled3\.\hubs\opendata,develop,678614,AshBlade,2022-07-24T06:27:45.000Z,26K,,26K,54,48,without_company
D:\untitled3\.\hubs\opendata,develop,676128,Sergio97,2022-07-10T15:06:55.000Z,7.5K,,7.5K,38,56,without_company
D:\untitled3\.\hubs\opendata,develop,674476,VZ1,2022-06-30T20:13:34.000Z,4.5K,,4.5K,41,20,without_company
D:\untitled3\.\hubs\opendata,develop,672348,SLAB_Express,2022-06-20T09:03:11.000Z,5.9K,,5.9K,13,13,without_company
D:\untitled3\.\hubs\opendata,develop,671860,dbf,2022-06-16T19:07:32.000Z,14K,,14K,54,68,without_company
D:\untitled3\.\hubs\opendata,develop,671780,EUSP,2022-06-16T13:32:25.000Z,2.8K,,2.8K,7,2,without_company
D:\untitled3\.\hubs\opendata,develop,671760,EUSP,2022-06-16T12:19:36.000Z,1.7K,,1.7K,6,3,without_company
D:\untitled3\.\hubs\opendata,develop,671120,vladischuk,2022-06-16T11:00:02.000Z,3.3K,,3.3K,20,12,without_company
D:\untitled3\.\hubs\opendata,develop,668672,yevkad,2022-05-30T16:20:13.000Z,3.6K,,3.6K,25,2,without_company
D:\untitled3\.\hubs\opendata,develop,663414,tatvch,2022-04-28T10:14:22.000Z,58K,,58K,60,10,without_company
