hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\openstreetmap,develop,775544,igor_suhorukov,2023-11-22T05:00:29.000Z,2.9K,,2.9K,20,2,/ru/hubs/programming/
D:\untitled3\.\hubs\openstreetmap,develop,775176,vasyaivanovpv,2023-11-20T17:47:01.000Z,1.7K,,1.7K,5,10,/ru/hubs/openstreetmap/
D:\untitled3\.\hubs\openstreetmap,develop,774516,igor_suhorukov,2023-11-17T06:07:21.000Z,2.3K,,2.3K,26,16,/ru/hubs/search_technologies/
D:\untitled3\.\hubs\openstreetmap,develop,772736,igor_suhorukov,2023-11-15T06:03:51.000Z,3.6K,,3.6K,45,4,/ru/hubs/javascript/
D:\untitled3\.\hubs\openstreetmap,develop,773424,igor_suhorukov,2023-11-13T05:46:24.000Z,7K,,7K,69,18,/ru/hubs/programming/
D:\untitled3\.\hubs\openstreetmap,develop,771926,roman_deev,2023-11-04T16:30:02.000Z,1.2K,,1.2K,3,1,/ru/hubs/openstreetmap/
D:\untitled3\.\hubs\openstreetmap,develop,771184,igor_suhorukov,2023-11-01T05:12:54.000Z,6.1K,,6.1K,21,32,/ru/hubs/postgresql/
D:\untitled3\.\hubs\openstreetmap,develop,770044,igor_suhorukov,2023-10-26T18:14:51.000Z,8.6K,,8.6K,59,43,/ru/hubs/postgresql/
D:\untitled3\.\hubs\openstreetmap,develop,770216,Dreamlone,2023-10-26T17:57:51.000Z,4.5K,,4.5K,77,0,/ru/hubs/open_source/
D:\untitled3\.\hubs\openstreetmap,develop,764984,igor_suhorukov,2023-10-03T06:47:55.000Z,4.9K,,4.9K,25,55,/ru/hubs/postgresql/
D:\untitled3\.\hubs\openstreetmap,develop,764686,Dreamlone,2023-10-02T06:00:01.000Z,1.7K,,1.7K,30,6,/ru/hubs/open_source/
D:\untitled3\.\hubs\openstreetmap,develop,764698,roman_deev,2023-10-01T20:40:45.000Z,4.2K,,4.2K,18,11,/ru/hubs/openstreetmap/
D:\untitled3\.\hubs\openstreetmap,develop,763682,igor_suhorukov,2023-09-27T05:55:02.000Z,12K,,12K,20,27,/ru/hubs/postgresql/
D:\untitled3\.\hubs\openstreetmap,develop,761600,igor_suhorukov,2023-09-21T05:00:22.000Z,27K,,27K,80,209,/ru/hubs/postgresql/
D:\untitled3\.\hubs\openstreetmap,develop,762400,ne555,2023-09-20T17:22:28.000Z,31K,,31K,115,153,/ru/hubs/open_source/
D:\untitled3\.\hubs\openstreetmap,develop,761818,igor_suhorukov,2023-09-19T05:56:14.000Z,29K,,29K,83,78,/ru/hubs/openstreetmap/
D:\untitled3\.\hubs\openstreetmap,develop,761482,igor_suhorukov,2023-09-18T05:44:40.000Z,8.8K,,8.8K,22,46,/ru/hubs/openstreetmap/
D:\untitled3\.\hubs\openstreetmap,develop,760562,igor_suhorukov,2023-09-13T17:19:05.000Z,19K,,19K,88,72,/ru/hubs/postgresql/
D:\untitled3\.\hubs\openstreetmap,develop,718590,Stormglass,2023-02-22T11:42:00.000Z,11K,,11K,90,23,/ru/companies/qiwi/articles/
D:\untitled3\.\hubs\openstreetmap,develop,717126,igor_suhorukov,2023-02-16T05:40:32.000Z,3.1K,,3.1K,28,2,/ru/hubs/hi/
