hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\oracle,develop,772296,torus1st,2023-11-07T10:41:20.000Z,2.7K,,2.7K,29,3,/ru/hubs/oracle/
D:\untitled3\.\hubs\oracle,develop,771676,torus1st,2023-11-03T07:29:56.000Z,5.5K,,5.5K,43,24,/ru/hubs/oracle/
D:\untitled3\.\hubs\oracle,develop,770174,Beeline_tech,2023-10-26T14:57:57.000Z,12K,,12K,64,8,/ru/companies/beeline_tech/articles/
D:\untitled3\.\hubs\oracle,develop,762960,zmiik,2023-09-23T08:00:10.000Z,5.5K,,5.5K,34,4,/ru/hubs/oracle/
D:\untitled3\.\hubs\oracle,develop,760892,drema201,2023-09-13T17:32:59.000Z,1.5K,,1.5K,5,4,/ru/companies/gnivc/articles/
D:\untitled3\.\hubs\oracle,develop,759754,LyubavinSergey,2023-09-08T11:49:58.000Z,7.9K,,7.9K,35,18,/ru/hubs/hi/
D:\untitled3\.\hubs\oracle,develop,757406,Digital_Academy,2023-08-29T14:53:15.000Z,8.5K,,8.5K,22,7,/ru/companies/T1Holding/articles/
D:\untitled3\.\hubs\oracle,develop,755284,Mi_Potapov,2023-08-21T08:30:34.000Z,2.1K,,2.1K,10,3,/ru/hubs/oracle/
D:\untitled3\.\hubs\oracle,develop,754074,Mi_Potapov,2023-08-14T07:04:28.000Z,14K,,14K,64,23,/ru/companies/rostelecom/articles/
D:\untitled3\.\hubs\oracle,develop,748422,NDarya,2023-07-17T08:01:26.000Z,1.2K,,1.2K,6,6,/ru/hubs/oracle/
D:\untitled3\.\hubs\oracle,develop,747766,ksolodovnik,2023-07-13T09:43:29.000Z,1.5K,,1.5K,25,0,/ru/companies/axenix/articles/
D:\untitled3\.\hubs\oracle,develop,744388,neoflex,2023-06-29T08:30:25.000Z,1.4K,,1.4K,6,0,/ru/companies/neoflex/articles/
D:\untitled3\.\hubs\oracle,develop,744162,Magnit_tech,2023-06-27T09:30:18.000Z,6.6K,,6.6K,25,16,/ru/companies/magnit/articles/
D:\untitled3\.\hubs\oracle,develop,743832,neoflex,2023-06-26T11:49:24.000Z,1.2K,,1.2K,6,3,/ru/companies/neoflex/articles/
D:\untitled3\.\hubs\oracle,develop,741828,smlab_dev,2023-06-15T11:05:15.000Z,3.5K,,3.5K,20,7,/ru/companies/sportmaster_lab/articles/
D:\untitled3\.\hubs\oracle,develop,740136,pashovpa,2023-06-06T10:26:43.000Z,1.8K,,1.8K,6,2,/ru/hubs/hi/
D:\untitled3\.\hubs\oracle,develop,735000,shaddyk,2023-05-17T07:35:01.000Z,7.3K,,7.3K,37,7,/ru/companies/hflabs/articles/
D:\untitled3\.\hubs\oracle,develop,734118,billing,2023-05-10T08:10:58.000Z,2.2K,,2.2K,6,4,/ru/companies/billing/articles/
D:\untitled3\.\hubs\oracle,develop,726204,IgorM23,2023-04-12T12:09:39.000Z,5.4K,,5.4K,16,7,/ru/companies/postgrespro/articles/
D:\untitled3\.\hubs\oracle,develop,727286,itoracle,2023-04-05T21:04:47.000Z,1.4K,,1.4K,9,0,/ru/hubs/linux/
D:\untitled3\.\hubs\oracle,develop,720326,ora19dba,2023-03-03T15:28:38.000Z,3.2K,,3.2K,15,1,/ru/hubs/oracle/
