hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\parallel_programming,null,776438,Alexander554,2023-11-26T08:31:12.000Z,4.3K,,4.3K,23,18,without_company
D:\untitled3\.\hubs\parallel_programming,null,774672,pomponchik,2023-11-21T07:30:01.000Z,6.4K,,6.4K,72,9,without_company
D:\untitled3\.\hubs\parallel_programming,null,774278,vadimr,2023-11-16T11:34:11.000Z,1.3K,,1.3K,12,0,without_company
D:\untitled3\.\hubs\parallel_programming,null,770912,devalio,2023-11-15T08:01:01.000Z,7.8K,,7.8K,89,20,without_company
D:\untitled3\.\hubs\parallel_programming,null,773376,lebron32rus,2023-11-12T14:04:18.000Z,17K,,17K,159,7,without_company
D:\untitled3\.\hubs\parallel_programming,null,765676,lws0954,2023-10-05T20:37:12.000Z,11K,,11K,23,42,without_company
D:\untitled3\.\hubs\parallel_programming,null,764420,lebron32rus,2023-09-29T12:16:28.000Z,22K,,22K,166,16,without_company
D:\untitled3\.\hubs\parallel_programming,null,761424,rukhi7,2023-09-19T06:17:01.000Z,12K,,12K,100,19,without_company
D:\untitled3\.\hubs\parallel_programming,null,760434,m1llark,2023-09-12T09:23:51.000Z,5.4K,,5.4K,32,7,without_company
D:\untitled3\.\hubs\parallel_programming,null,755704,igumnov,2023-08-20T09:24:32.000Z,2.3K,,2.3K,13,18,without_company
D:\untitled3\.\hubs\parallel_programming,null,755072,perfectgentlemande,2023-08-17T12:45:38.000Z,9K,,9K,67,22,without_company
D:\untitled3\.\hubs\parallel_programming,null,754636,AshBlade,2023-08-15T07:42:37.000Z,2.3K,,2.3K,21,11,without_company
D:\untitled3\.\hubs\parallel_programming,null,753558,ph_piter,2023-08-09T13:13:01.000Z,4.5K,,4.5K,47,0,without_company
D:\untitled3\.\hubs\parallel_programming,null,751358,lws0954,2023-07-30T19:19:08.000Z,667,,667,1,0,without_company
D:\untitled3\.\hubs\parallel_programming,null,750244,lws0954,2023-07-25T12:08:09.000Z,3.4K,,3.4K,8,7,without_company
D:\untitled3\.\hubs\parallel_programming,null,744038,iskorotkov,2023-07-19T09:54:45.000Z,5.8K,,5.8K,78,7,without_company
D:\untitled3\.\hubs\parallel_programming,null,748684,rukhi7,2023-07-18T08:00:35.000Z,6.2K,,6.2K,59,5,without_company
D:\untitled3\.\hubs\parallel_programming,null,748086,lws0954,2023-07-14T12:16:24.000Z,612,,612,5,2,without_company
D:\untitled3\.\hubs\parallel_programming,null,747948,Aprsta,2023-07-14T11:18:01.000Z,6.2K,,6.2K,43,9,without_company
D:\untitled3\.\hubs\parallel_programming,null,746780,MaksSun,2023-07-08T16:10:19.000Z,6K,,6K,41,19,without_company
D:\untitled3\.\hubs\parallel_programming,null,746674,lws0954,2023-07-07T15:59:14.000Z,5.6K,,5.6K,15,27,without_company
D:\untitled3\.\hubs\parallel_programming,null,745910,Dred222,2023-07-04T15:43:06.000Z,10K,,10K,76,11,without_company
D:\untitled3\.\hubs\parallel_programming,null,742686,webrobot,2023-06-19T16:00:04.000Z,4K,,4K,29,37,without_company
D:\untitled3\.\hubs\parallel_programming,null,725490,webrobot,2023-06-13T07:10:02.000Z,2.9K,,2.9K,23,8,without_company
D:\untitled3\.\hubs\parallel_programming,null,729324,Sophistik99,2023-04-15T18:37:56.000Z,6.1K,,6.1K,47,10,without_company
D:\untitled3\.\hubs\parallel_programming,null,729004,devozerov,2023-04-13T17:38:06.000Z,2.1K,,2.1K,6,1,without_company
D:\untitled3\.\hubs\parallel_programming,null,726904,vadimr,2023-04-04T13:08:17.000Z,2.6K,,2.6K,21,38,without_company
D:\untitled3\.\hubs\parallel_programming,null,726654,vadimr,2023-04-03T14:43:19.000Z,6.4K,,6.4K,25,87,without_company
D:\untitled3\.\hubs\parallel_programming,null,725144,Sivchenko_translate,2023-03-27T20:06:31.000Z,13K,,13K,82,6,without_company
D:\untitled3\.\hubs\parallel_programming,null,724442,YuriPanchul,2023-03-24T07:08:58.000Z,36K,,36K,52,47,without_company
D:\untitled3\.\hubs\parallel_programming,null,722880,MaxRokatansky,2023-03-16T14:15:02.000Z,13K,,13K,142,6,without_company
D:\untitled3\.\hubs\parallel_programming,null,719592,lws0954,2023-02-28T16:21:39.000Z,4.2K,,4.2K,19,81,without_company
D:\untitled3\.\hubs\parallel_programming,null,715744,Number571,2023-02-09T00:57:38.000Z,4.4K,,4.4K,20,20,without_company
D:\untitled3\.\hubs\parallel_programming,null,714988,nulovkin,2023-02-06T07:00:04.000Z,49K,,49K,459,26,without_company
D:\untitled3\.\hubs\parallel_programming,null,713122,YuriPanchul,2023-01-27T06:11:42.000Z,8.7K,,8.7K,50,39,without_company
D:\untitled3\.\hubs\parallel_programming,null,709358,lws0954,2023-01-07T09:18:04.000Z,2.1K,,2.1K,7,11,without_company
D:\untitled3\.\hubs\parallel_programming,null,707462,AshBlade,2022-12-24T08:45:02.000Z,4.8K,,4.8K,19,31,without_company
D:\untitled3\.\hubs\parallel_programming,null,706192,lws0954,2022-12-18T11:15:16.000Z,2K,,2K,5,6,without_company
D:\untitled3\.\hubs\parallel_programming,null,703244,lws0954,2022-12-02T20:18:48.000Z,3.1K,,3.1K,11,88,without_company
D:\untitled3\.\hubs\parallel_programming,null,702628,sergeykopylov,2022-11-30T13:56:49.000Z,6.5K,,6.5K,34,15,without_company
D:\untitled3\.\hubs\parallel_programming,null,701020,SSul,2022-11-23T07:50:57.000Z,47K,,47K,210,16,without_company
D:\untitled3\.\hubs\parallel_programming,null,695966,Ertanic,2022-10-28T13:17:45.000Z,5.5K,,5.5K,22,6,without_company
D:\untitled3\.\hubs\parallel_programming,null,695830,lws0954,2022-10-27T11:01:16.000Z,2.8K,,2.8K,7,8,without_company
D:\untitled3\.\hubs\parallel_programming,null,694078,lws0954,2022-10-18T11:38:49.000Z,1.9K,,1.9K,14,4,without_company
D:\untitled3\.\hubs\parallel_programming,null,690690,lws0954,2022-09-29T06:21:30.000Z,5.2K,,5.2K,19,76,without_company
D:\untitled3\.\hubs\parallel_programming,null,688480,lws0954,2022-09-15T13:52:13.000Z,2.3K,,2.3K,11,31,without_company
D:\untitled3\.\hubs\parallel_programming,null,688196,Valery_Bak,2022-09-14T14:00:01.000Z,4.5K,,4.5K,22,10,without_company
D:\untitled3\.\hubs\parallel_programming,null,687320,lws0954,2022-09-09T07:37:57.000Z,3.8K,,3.8K,19,13,without_company
D:\untitled3\.\hubs\parallel_programming,null,685098,lws0954,2022-08-28T19:48:44.000Z,7K,,7K,24,87,without_company
D:\untitled3\.\hubs\parallel_programming,null,682618,rockstardavid,2022-08-15T13:36:13.000Z,17K,,17K,142,5,without_company
D:\untitled3\.\hubs\parallel_programming,null,682422,lws0954,2022-08-14T15:08:34.000Z,8.3K,,8.3K,36,41,without_company
D:\untitled3\.\hubs\parallel_programming,null,680324,perfectgentlemande,2022-08-02T11:00:02.000Z,22K,,22K,138,6,without_company
