hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\patents,null,775682,gregyku,2023-11-22T13:12:11.000Z,1.6K,,1.6K,16,6,without_company
D:\untitled3\.\hubs\patents,null,775144,gregyku,2023-11-20T12:59:38.000Z,7.3K,,7.3K,28,18,without_company
D:\untitled3\.\hubs\patents,null,773600,ko_ya,2023-11-13T12:41:07.000Z,3.8K,,3.8K,19,5,without_company
D:\untitled3\.\hubs\patents,null,772638,gregyku,2023-11-08T13:13:40.000Z,2K,,2K,19,0,without_company
D:\untitled3\.\hubs\patents,null,772102,gregyku,2023-11-06T11:31:28.000Z,6.1K,,6.1K,38,3,without_company
D:\untitled3\.\hubs\patents,null,771704,ko_ya,2023-11-03T09:16:02.000Z,1.7K,,1.7K,13,1,without_company
D:\untitled3\.\hubs\patents,null,771434,ko_ya,2023-11-02T07:39:27.000Z,11K,,11K,27,14,without_company
D:\untitled3\.\hubs\patents,null,770812,gregyku,2023-10-30T14:45:20.000Z,3.4K,,3.4K,8,7,without_company
D:\untitled3\.\hubs\patents,null,767544,galua,2023-10-26T06:01:39.000Z,1.5K,,1.5K,10,15,without_company
D:\untitled3\.\hubs\patents,null,769910,Oksana_Nedvigina,2023-10-25T13:58:39.000Z,2.1K,,2.1K,16,5,without_company
D:\untitled3\.\hubs\patents,null,769518,DubokAleksandr,2023-10-24T09:26:09.000Z,2.9K,,2.9K,24,5,without_company
D:\untitled3\.\hubs\patents,null,768612,Oksana_Nedvigina,2023-10-19T13:11:11.000Z,2.4K,,2.4K,24,1,without_company
D:\untitled3\.\hubs\patents,null,768354,ko_ya,2023-10-18T16:00:01.000Z,904,,904,9,3,without_company
D:\untitled3\.\hubs\patents,null,767800,sokolovps,2023-10-16T16:00:01.000Z,8.5K,,8.5K,25,15,without_company
D:\untitled3\.\hubs\patents,null,767280,SolaireOfAstora,2023-10-13T11:56:39.000Z,32K,,32K,40,135,without_company
D:\untitled3\.\hubs\patents,null,767092,Oksana_Nedvigina,2023-10-12T16:00:01.000Z,1.6K,,1.6K,10,1,without_company
D:\untitled3\.\hubs\patents,null,766308,gregyku,2023-10-09T16:00:02.000Z,3.5K,,3.5K,21,0,without_company
D:\untitled3\.\hubs\patents,null,765634,ko_ya,2023-10-05T16:00:02.000Z,1.8K,,1.8K,13,6,without_company
D:\untitled3\.\hubs\patents,null,765348,gregyku,2023-10-04T16:00:02.000Z,2.9K,,2.9K,23,2,without_company
D:\untitled3\.\hubs\patents,null,764886,gregyku,2023-10-02T16:00:01.000Z,4.5K,,4.5K,26,14,without_company
D:\untitled3\.\hubs\patents,null,763588,SolaireOfAstora,2023-09-26T13:25:16.000Z,44K,,44K,83,160,without_company
D:\untitled3\.\hubs\patents,null,761354,ko_ya,2023-09-15T16:00:02.000Z,4.1K,,4.1K,18,5,without_company
