hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\perl,develop,774980,darviarush,2023-11-21T10:57:30.000Z,1.9K,,1.9K,5,8,/ru/hubs/perl/
D:\untitled3\.\hubs\perl,develop,746558,m_arduanov,2023-07-10T12:17:41.000Z,1.7K,,1.7K,10,7,/ru/companies/vk/articles/
D:\untitled3\.\hubs\perl,develop,744380,krpsh,2023-06-29T11:20:57.000Z,3.9K,,3.9K,17,35,/ru/hubs/perl/
D:\untitled3\.\hubs\perl,develop,731696,1shaman,2023-04-27T08:00:01.000Z,5.9K,,5.9K,41,1,/ru/companies/first/articles/
D:\untitled3\.\hubs\perl,develop,700460,Vladimir_Chursin,2022-11-20T18:32:14.000Z,3.6K,,3.6K,14,12,/ru/hubs/perl/
D:\untitled3\.\hubs\perl,develop,674714,darviarush,2022-07-03T13:18:14.000Z,4.8K,,4.8K,13,32,/ru/hubs/perl/
D:\untitled3\.\hubs\perl,develop,664308,darviarush,2022-05-04T14:49:42.000Z,1K,,1K,1,2,/ru/hubs/perl/
D:\untitled3\.\hubs\perl,develop,662213,darviarush,2022-04-21T09:26:06.000Z,1.3K,,1.3K,4,2,/ru/hubs/perl/
D:\untitled3\.\hubs\perl,develop,593197,ophil,2021-12-03T11:29:02.000Z,2.6K,,2.6K,18,2,/ru/hubs/perl/
D:\untitled3\.\hubs\perl,develop,585038,darviarush,2021-10-22T15:16:11.000Z,1.2K,,1.2K,4,2,/ru/hubs/perl/
D:\untitled3\.\hubs\perl,develop,583952,darviarush,2021-10-17T16:54:20.000Z,3.6K,,3.6K,14,18,/ru/hubs/perl/
D:\untitled3\.\hubs\perl,develop,583710,darviarush,2021-10-15T12:46:02.000Z,1.7K,,1.7K,8,20,/ru/hubs/perl/
D:\untitled3\.\hubs\perl,develop,579668,alex_p007,2021-09-23T16:48:15.000Z,1.5K,,1.5K,10,0,/ru/hubs/perl/
D:\untitled3\.\hubs\perl,develop,578874,Di-Ger,2021-09-20T04:48:56.000Z,5.1K,,5.1K,36,16,/ru/hubs/perl/
D:\untitled3\.\hubs\perl,develop,573372,alex_p007,2021-08-17T12:32:20.000Z,2.1K,,2.1K,10,9,/ru/hubs/perl/
D:\untitled3\.\hubs\perl,develop,571824,dima_sheihin,2021-08-09T04:37:39.000Z,3.1K,,3.1K,6,0,/ru/hubs/perl/
D:\untitled3\.\hubs\perl,develop,571586,alex_p007,2021-08-06T12:08:09.000Z,4K,,4K,17,23,/ru/hubs/perl/
D:\untitled3\.\hubs\perl,develop,560454,Di-Ger,2021-06-01T11:34:31.000Z,8.7K,,8.7K,19,3,/ru/hubs/perl/
D:\untitled3\.\hubs\perl,develop,560192,Di-Ger,2021-05-31T11:44:59.000Z,4.6K,,4.6K,22,2,/ru/hubs/perl/
D:\untitled3\.\hubs\perl,develop,559580,Di-Ger,2021-05-27T09:58:27.000Z,2.9K,,2.9K,12,3,/ru/hubs/perl/
D:\untitled3\.\hubs\perl,develop,558880,PerlPower,2021-05-23T21:14:06.000Z,6.2K,,6.2K,4,53,/ru/hubs/perl/
D:\untitled3\.\hubs\perl,develop,545640,shurup,2021-03-05T07:05:42.000Z,18K,,18K,17,36,/ru/companies/flant/articles/
D:\untitled3\.\hubs\perl,develop,539062,KD637,2021-01-28T11:06:43.000Z,6.4K,,6.4K,25,3,/ru/companies/skillfactory/articles/
D:\untitled3\.\hubs\perl,develop,536992,kornerz,2021-01-12T12:27:40.000Z,15K,,15K,93,22,/ru/hubs/perl/
D:\untitled3\.\hubs\perl,develop,520428,ru_vds,2020-09-25T13:16:01.000Z,96K,,96K,39,273,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\perl,develop,511366,m1rko,2020-07-17T04:43:30.000Z,7.1K,,7.1K,37,0,/ru/hubs/perl/
D:\untitled3\.\hubs\perl,develop,477514,mospf,2019-11-26T08:53:50.000Z,4.4K,,4.4K,19,17,/ru/hubs/perl/
D:\untitled3\.\hubs\perl,develop,475590,Ar20L80,2019-11-12T21:20:59.000Z,51K,,51K,99,52,/ru/hubs/perl/
