hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\photo,null,775802,TVExpert,2023-11-22T23:56:11.000Z,4.5K,,4.5K,8,11,/ru/hubs/hosting/
D:\untitled3\.\hubs\photo,null,772534,Ilya12c,2023-11-16T10:04:02.000Z,2.4K,,2.4K,40,0,/ru/companies/magnus-tech/articles/
D:\untitled3\.\hubs\photo,null,772380,GeorgeTudosi,2023-11-08T13:02:31.000Z,2.6K,,2.6K,34,7,/ru/hubs/image_processing/
D:\untitled3\.\hubs\photo,null,768408,Guren302,2023-11-07T13:00:01.000Z,17K,,17K,57,157,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\photo,null,771880,GeorgeTudosi,2023-11-04T08:17:07.000Z,5.6K,,5.6K,52,64,/ru/hubs/image_processing/
D:\untitled3\.\hubs\photo,null,770930,Ilya12c,2023-11-02T09:22:02.000Z,4.4K,,4.4K,59,6,/ru/companies/magnus-tech/articles/
D:\untitled3\.\hubs\photo,null,768384,gfx_pro,2023-10-18T17:21:40.000Z,3.7K,,3.7K,25,45,/ru/hubs/image_processing/
D:\untitled3\.\hubs\photo,null,766056,gfx_pro,2023-10-08T12:49:28.000Z,6.1K,,6.1K,18,23,/ru/hubs/image_processing/
D:\untitled3\.\hubs\photo,null,765902,YuriParfenov,2023-10-07T07:00:01.000Z,3.6K,,3.6K,13,23,/ru/hubs/smartphones/
D:\untitled3\.\hubs\photo,null,761190,Bright_Translate,2023-09-17T10:00:02.000Z,6.5K,,6.5K,60,5,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\photo,null,760476,suprunchuk,2023-09-12T10:51:32.000Z,2.8K,,2.8K,2,2,/ru/hubs/photo/
D:\untitled3\.\hubs\photo,null,758508,0serg,2023-09-02T07:33:58.000Z,19K,,19K,208,38,/ru/hubs/3d_graphics/
D:\untitled3\.\hubs\photo,null,753894,guryanov,2023-08-11T05:00:01.000Z,3.9K,,3.9K,24,14,/ru/hubs/arduino/
D:\untitled3\.\hubs\photo,null,753296,JohurN,2023-08-10T08:03:34.000Z,13K,,13K,71,103,/ru/companies/timeweb/articles/
D:\untitled3\.\hubs\photo,null,742690,engine9,2023-06-20T09:00:01.000Z,15K,,15K,71,158,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\photo,null,741154,bodyawm,2023-06-12T08:01:08.000Z,14K,,14K,30,112,/ru/companies/timeweb/articles/
D:\untitled3\.\hubs\photo,null,738092,Lev3250,2023-06-10T12:36:10.000Z,4.5K,,4.5K,9,24,/ru/hubs/history/
D:\untitled3\.\hubs\photo,null,733930,Physics-for-Humanities,2023-05-08T12:30:52.000Z,12K,,12K,70,64,/ru/hubs/popular_science/
D:\untitled3\.\hubs\photo,null,727740,WitFed,2023-04-07T21:42:29.000Z,5.3K,,5.3K,17,17,/ru/hubs/hi/
D:\untitled3\.\hubs\photo,null,727430,Physics-for-Humanities,2023-04-06T13:08:50.000Z,11K,,11K,33,64,/ru/hubs/popular_science/
D:\untitled3\.\hubs\photo,null,722666,MaximMnyakin1,2023-03-15T19:01:15.000Z,3.7K,,3.7K,15,13,/ru/hubs/startuprise/
D:\untitled3\.\hubs\photo,null,709634,gfx_pro,2023-01-09T11:04:59.000Z,2.1K,,2.1K,13,4,/ru/hubs/photo/
D:\untitled3\.\hubs\photo,null,709378,Cthutq66a,2023-01-08T08:25:00.000Z,9.4K,,9.4K,59,19,/ru/hubs/algorithms/
D:\untitled3\.\hubs\photo,null,700740,antonsosnitzkij,2022-11-22T04:55:01.000Z,9.3K,,9.3K,61,41,/ru/hubs/photo/
D:\untitled3\.\hubs\photo,null,700296,fedorborovitsky,2022-11-18T15:10:39.000Z,33K,,33K,24,115,/ru/companies/mvideo/articles/
D:\untitled3\.\hubs\photo,null,699470,Marik1001,2022-11-15T11:07:46.000Z,6.9K,,6.9K,21,31,/ru/hubs/photo/
D:\untitled3\.\hubs\photo,null,694544,f15,2022-10-20T13:25:29.000Z,16K,,16K,19,49,/ru/companies/kaspersky/articles/
D:\untitled3\.\hubs\photo,null,693240,lefthand90,2022-10-13T20:33:44.000Z,5.1K,,5.1K,12,15,/ru/hubs/popular_science/
D:\untitled3\.\hubs\photo,null,692828,Notespeak,2022-10-12T11:13:38.000Z,4.8K,,4.8K,23,1,/ru/hubs/open_source/
D:\untitled3\.\hubs\photo,null,690558,Dmytro_Kikot,2022-09-30T07:00:01.000Z,2.9K,,2.9K,21,0,/ru/companies/ua-hosting/articles/
D:\untitled3\.\hubs\photo,null,690246,the_bat,2022-09-26T16:02:29.000Z,4.5K,,4.5K,26,5,/ru/hubs/electronics/
