hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\php,develop,774832,Cutcode,2023-11-22T06:30:01.000Z,1.8K,,1.8K,4,8,/ru/hubs/open_source/
D:\untitled3\.\hubs\php,develop,775398,isa3v,2023-11-21T12:11:05.000Z,1.6K,,1.6K,6,9,/ru/hubs/cms/
D:\untitled3\.\hubs\php,develop,775056,vodevel,2023-11-20T09:12:22.000Z,6K,,6K,30,9,/ru/hubs/php/
D:\untitled3\.\hubs\php,develop,774842,maxkain,2023-11-18T14:43:25.000Z,7.7K,,7.7K,15,24,/ru/hubs/php/
D:\untitled3\.\hubs\php,develop,774584,nikitaGlobal,2023-11-17T09:26:28.000Z,6.8K,,6.8K,33,7,/ru/hubs/wordpress/
D:\untitled3\.\hubs\php,develop,774304,sashadzen,2023-11-16T09:56:48.000Z,2.8K,,2.8K,15,22,/ru/companies/pyrobyte/articles/
D:\untitled3\.\hubs\php,develop,771438,bquadro,2023-11-16T06:41:32.000Z,2.6K,,2.6K,17,30,/ru/hubs/webdev/
D:\untitled3\.\hubs\php,develop,773898,oneNevan,2023-11-14T14:39:08.000Z,2.9K,,2.9K,29,0,/ru/companies/sravni/articles/
D:\untitled3\.\hubs\php,develop,773636,Foxion,2023-11-13T14:08:41.000Z,12K,,12K,145,7,/ru/hubs/php/
D:\untitled3\.\hubs\php,develop,772104,Cutcode,2023-11-12T11:52:38.000Z,5.2K,,5.2K,5,0,/ru/hubs/webdev/
D:\untitled3\.\hubs\php,develop,772994,shasoftX,2023-11-10T04:46:07.000Z,2.2K,,2.2K,14,15,/ru/hubs/webdev/
D:\untitled3\.\hubs\php,develop,772552,danila_agima,2023-11-08T09:54:06.000Z,1.6K,,1.6K,16,6,/ru/companies/agima/articles/
D:\untitled3\.\hubs\php,develop,770434,AlexeyP0708,2023-11-04T22:19:02.000Z,2.2K,,2.2K,7,25,/ru/hubs/php/
D:\untitled3\.\hubs\php,develop,771804,condor-bird,2023-11-04T09:49:45.000Z,4.1K,,4.1K,32,0,/ru/hubs/php/
D:\untitled3\.\hubs\php,develop,771338,Albert_Wesker,2023-11-02T08:01:02.000Z,13K,,13K,91,44,/ru/companies/timeweb/articles/
D:\untitled3\.\hubs\php,develop,770732,ValerianMemsk,2023-10-30T11:03:55.000Z,2.5K,,2.5K,18,5,/ru/hubs/php/
D:\untitled3\.\hubs\php,develop,768878,beeline_cloud,2023-10-20T14:25:42.000Z,13K,,13K,42,27,/ru/companies/beeline_cloud/articles/
D:\untitled3\.\hubs\php,develop,768136,2medic,2023-10-18T14:25:46.000Z,2.6K,,2.6K,23,4,/ru/hubs/php/
D:\untitled3\.\hubs\php,develop,768038,shmoulevsky,2023-10-17T11:27:15.000Z,5.6K,,5.6K,32,13,/ru/hubs/php/
D:\untitled3\.\hubs\php,develop,764392,2medic,2023-10-16T14:06:26.000Z,1.3K,,1.3K,15,5,/ru/hubs/php/
D:\untitled3\.\hubs\php,develop,767112,xman12,2023-10-12T17:25:49.000Z,2.9K,,2.9K,8,8,/ru/hubs/php/
D:\untitled3\.\hubs\php,develop,760850,sergeytolkachyov,2023-10-09T06:32:50.000Z,3.2K,,3.2K,18,12,/ru/hubs/cms/
D:\untitled3\.\hubs\php,develop,765982,Cutcode,2023-10-09T06:11:01.000Z,4.7K,,4.7K,13,1,/ru/hubs/webdev/
D:\untitled3\.\hubs\php,develop,765524,Helldar,2023-10-05T09:53:52.000Z,2.2K,,2.2K,11,3,/ru/hubs/php/
D:\untitled3\.\hubs\php,develop,765340,GolovinDS,2023-10-04T14:58:14.000Z,4K,,4K,19,20,/ru/companies/otus/articles/
D:\untitled3\.\hubs\php,develop,765302,LeadsTeam,2023-10-04T12:40:29.000Z,3.9K,,3.9K,43,0,/ru/hubs/sys_admin/
D:\untitled3\.\hubs\php,develop,761740,Cutcode,2023-10-01T09:41:40.000Z,12K,,12K,46,53,/ru/hubs/webdev/
D:\untitled3\.\hubs\php,develop,764472,assdestr0yer,2023-09-29T15:19:43.000Z,24K,,24K,164,19,/ru/hubs/wordpress/
D:\untitled3\.\hubs\php,develop,763084,Izenx,2023-09-29T07:24:55.000Z,1.8K,,1.8K,12,3,/ru/hubs/php/
D:\untitled3\.\hubs\php,develop,763924,CoderSafeDev,2023-09-27T16:11:06.000Z,893,,893,5,3,/ru/hubs/php/
D:\untitled3\.\hubs\php,develop,763850,sgaluzin,2023-09-27T12:21:02.000Z,13K,,13K,57,69,/ru/hubs/php/
D:\untitled3\.\hubs\php,develop,763828,2medic,2023-09-27T11:15:12.000Z,1.7K,,1.7K,20,8,/ru/hubs/php/
D:\untitled3\.\hubs\php,develop,762598,Helldar,2023-09-22T07:30:01.000Z,5.3K,,5.3K,32,7,/ru/hubs/php/
D:\untitled3\.\hubs\php,develop,761520,m5xim,2023-09-18T09:48:07.000Z,2.9K,,2.9K,27,1,/ru/hubs/wordpress/
D:\untitled3\.\hubs\php,develop,761506,m5xim,2023-09-18T06:03:02.000Z,654,,654,10,0,/ru/hubs/wordpress/
D:\untitled3\.\hubs\php,develop,760954,mlstart,2023-09-14T06:47:36.000Z,8.6K,,8.6K,41,21,/ru/hubs/wordpress/
D:\untitled3\.\hubs\php,develop,760606,alexrozen,2023-09-13T06:52:09.000Z,4.4K,,4.4K,29,20,/ru/hubs/php/
D:\untitled3\.\hubs\php,develop,760582,Cutcode,2023-09-12T16:26:55.000Z,3.5K,,3.5K,19,13,/ru/hubs/open_source/
D:\untitled3\.\hubs\php,develop,760458,Cutcode,2023-09-12T10:32:01.000Z,4.2K,,4.2K,10,0,/ru/hubs/webdev/
D:\untitled3\.\hubs\php,develop,760022,shmoulevsky,2023-09-10T08:10:36.000Z,14K,,14K,79,28,/ru/hubs/webdev/
D:\untitled3\.\hubs\php,develop,758338,swordgna,2023-09-01T09:52:09.000Z,4.9K,,4.9K,33,27,/ru/hubs/infosecurity/
D:\untitled3\.\hubs\php,develop,757884,BayurovM98,2023-08-30T11:02:17.000Z,1.5K,,1.5K,14,0,/ru/companies/agima/articles/
D:\untitled3\.\hubs\php,develop,757188,nProfessor,2023-08-30T07:57:28.000Z,1.7K,,1.7K,11,3,/ru/hubs/webdev/
D:\untitled3\.\hubs\php,develop,757278,vmg19571007,2023-08-28T07:00:00.000Z,2.5K,,2.5K,23,4,/ru/hubs/php/
D:\untitled3\.\hubs\php,develop,756844,rozhnev,2023-08-25T06:22:47.000Z,1.8K,,1.8K,20,12,/ru/hubs/php/
D:\untitled3\.\hubs\php,develop,756498,nProfessor,2023-08-24T07:01:02.000Z,21K,,21K,68,55,/ru/companies/yandex/articles/
D:\untitled3\.\hubs\php,develop,756468,AlexSheverev,2023-08-23T12:32:06.000Z,2.4K,,2.4K,30,3,/ru/hubs/php/
D:\untitled3\.\hubs\php,develop,754806,MaxRokatansky,2023-08-16T04:10:02.000Z,2.2K,,2.2K,10,2,/ru/companies/otus/articles/
D:\untitled3\.\hubs\php,develop,754134,otezvikentiy,2023-08-11T17:17:04.000Z,1.9K,,1.9K,4,11,/ru/hubs/php/
