hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\physics,popsci,776466,OlegSivchenko,2023-11-26T13:01:05.000Z,1.8K,,1.8K,12,2,without_company
D:\untitled3\.\hubs\physics,popsci,774904,DAN_SEA,2023-11-24T09:00:01.000Z,3.4K,,3.4K,21,41,without_company
D:\untitled3\.\hubs\physics,popsci,775988,iMonin,2023-11-23T14:28:17.000Z,7.5K,,7.5K,32,127,without_company
D:\untitled3\.\hubs\physics,popsci,775908,hse_spb,2023-11-23T11:04:32.000Z,1.2K,,1.2K,7,0,without_company
D:\untitled3\.\hubs\physics,popsci,775222,cosmic_sofi,2023-11-20T20:27:57.000Z,4.3K,,4.3K,18,1,without_company
D:\untitled3\.\hubs\physics,popsci,774820,SmartEngines,2023-11-20T08:00:02.000Z,848,,848,10,2,without_company
D:\untitled3\.\hubs\physics,popsci,774968,uzumeti,2023-11-19T19:46:48.000Z,47K,,47K,40,33,without_company
D:\untitled3\.\hubs\physics,popsci,774948,OlegSivchenko,2023-11-19T17:05:04.000Z,6.8K,,6.8K,19,60,without_company
D:\untitled3\.\hubs\physics,popsci,774930,arheo_pterix,2023-11-19T14:15:15.000Z,24K,,24K,47,54,without_company
D:\untitled3\.\hubs\physics,popsci,774620,Tzimie,2023-11-19T13:05:52.000Z,7K,,7K,34,107,without_company
D:\untitled3\.\hubs\physics,popsci,774452,vasilisa_b,2023-11-17T09:47:01.000Z,2.3K,,2.3K,11,6,without_company
D:\untitled3\.\hubs\physics,popsci,773306,DAN_SEA,2023-11-16T09:00:02.000Z,6K,,6K,41,10,without_company
D:\untitled3\.\hubs\physics,popsci,774064,dionisdimetor,2023-11-15T09:45:29.000Z,3.3K,,3.3K,21,23,without_company
D:\untitled3\.\hubs\physics,popsci,773826,Tzimie,2023-11-14T12:25:16.000Z,16K,,16K,47,253,without_company
D:\untitled3\.\hubs\physics,popsci,773628,hse_spb,2023-11-13T13:55:17.000Z,1.2K,,1.2K,7,2,without_company
D:\untitled3\.\hubs\physics,popsci,772774,Dmytro_Kikot,2023-11-10T08:00:05.000Z,2.4K,,2.4K,26,9,without_company
D:\untitled3\.\hubs\physics,popsci,772910,Shkaff,2023-11-09T13:03:04.000Z,12K,,12K,49,84,without_company
D:\untitled3\.\hubs\physics,popsci,772032,DAN_SEA,2023-11-09T09:00:02.000Z,24K,,24K,111,98,without_company
D:\untitled3\.\hubs\physics,popsci,772562,realuniverse,2023-11-08T09:38:02.000Z,3.1K,,3.1K,36,34,without_company
D:\untitled3\.\hubs\physics,popsci,772378,hse_spb,2023-11-07T13:59:33.000Z,6.1K,,6.1K,16,0,without_company
D:\untitled3\.\hubs\physics,popsci,772006,iMonin,2023-11-05T11:15:40.000Z,19K,,19K,96,109,without_company
D:\untitled3\.\hubs\physics,popsci,771906,Exlt8,2023-11-04T12:27:43.000Z,7.4K,,7.4K,24,47,without_company
D:\untitled3\.\hubs\physics,popsci,771460,Dmytro_Kikot,2023-11-03T08:00:09.000Z,2.1K,,2.1K,16,0,without_company
D:\untitled3\.\hubs\physics,popsci,771328,Tzimie,2023-11-02T12:33:08.000Z,46K,,46K,116,241,without_company
D:\untitled3\.\hubs\physics,popsci,771032,valisak,2023-11-02T09:00:02.000Z,19K,,19K,52,44,without_company
D:\untitled3\.\hubs\physics,popsci,771380,uzumeti,2023-11-01T16:46:41.000Z,39K,,39K,49,70,without_company
D:\untitled3\.\hubs\physics,popsci,770932,Dmytro_Kikot,2023-11-01T08:00:06.000Z,957,,957,10,1,without_company
D:\untitled3\.\hubs\physics,popsci,771154,OlegSivchenko,2023-10-31T20:38:10.000Z,8.9K,,8.9K,23,28,without_company
D:\untitled3\.\hubs\physics,popsci,771140,SLY_G,2023-10-31T19:55:45.000Z,1.7K,,1.7K,6,1,without_company
D:\untitled3\.\hubs\physics,popsci,769136,DAN_SEA,2023-10-31T09:00:01.000Z,6.7K,,6.7K,42,20,without_company
D:\untitled3\.\hubs\physics,popsci,770920,AleksandrTallinn,2023-10-31T07:16:22.000Z,8.8K,,8.8K,22,93,without_company
D:\untitled3\.\hubs\physics,popsci,770846,SLY_G,2023-10-30T17:03:06.000Z,35K,,35K,74,211,without_company
D:\untitled3\.\hubs\physics,popsci,770816,virtual_explorer,2023-10-30T14:54:31.000Z,13K,,13K,28,18,without_company
D:\untitled3\.\hubs\physics,popsci,769962,valisak,2023-10-28T13:00:01.000Z,17K,,17K,44,51,without_company
D:\untitled3\.\hubs\physics,popsci,770464,iMonin,2023-10-28T08:43:26.000Z,37K,,37K,177,173,without_company
D:\untitled3\.\hubs\physics,popsci,769982,SLY_G,2023-10-26T09:21:01.000Z,26K,,26K,45,52,without_company
D:\untitled3\.\hubs\physics,popsci,769764,dionisdimetor,2023-10-25T07:48:20.000Z,6.1K,,6.1K,26,5,without_company
D:\untitled3\.\hubs\physics,popsci,769496,uzikoff,2023-10-24T08:24:27.000Z,1.5K,,1.5K,14,9,without_company
D:\untitled3\.\hubs\physics,popsci,769404,SLY_G,2023-10-23T17:55:04.000Z,4.5K,,4.5K,14,7,without_company
D:\untitled3\.\hubs\physics,popsci,769118,Tzimie,2023-10-22T15:53:55.000Z,26K,,26K,51,87,without_company
D:\untitled3\.\hubs\physics,popsci,767844,DAN_SEA,2023-10-22T14:00:02.000Z,12K,,12K,79,33,without_company
D:\untitled3\.\hubs\physics,popsci,769062,vkomen,2023-10-22T13:39:10.000Z,4.5K,,4.5K,12,22,without_company
D:\untitled3\.\hubs\physics,popsci,768916,iMonin,2023-10-20T16:09:08.000Z,8.3K,,8.3K,33,7,without_company
D:\untitled3\.\hubs\physics,popsci,768180,valisak,2023-10-19T13:00:02.000Z,9K,,9K,39,21,without_company
D:\untitled3\.\hubs\physics,popsci,768482,ITMan82,2023-10-19T08:12:56.000Z,17K,,17K,50,28,without_company
D:\untitled3\.\hubs\physics,popsci,768422,Physics-for-Humanities,2023-10-19T03:54:43.000Z,11K,,11K,9,2,without_company
D:\untitled3\.\hubs\physics,popsci,768000,KiRTank,2023-10-17T09:41:59.000Z,6.8K,,6.8K,12,7,without_company
D:\untitled3\.\hubs\physics,popsci,767896,Physics-for-Humanities,2023-10-17T01:21:27.000Z,17K,,17K,29,60,without_company
D:\untitled3\.\hubs\physics,popsci,767784,exwill,2023-10-16T15:13:03.000Z,5.3K,,5.3K,30,18,without_company
D:\untitled3\.\hubs\physics,popsci,767744,Cloud4Y,2023-10-16T11:56:58.000Z,1.3K,,1.3K,6,4,without_company
D:\untitled3\.\hubs\physics,popsci,766974,alizar,2023-10-16T09:00:01.000Z,28K,,28K,58,130,without_company
D:\untitled3\.\hubs\physics,popsci,767546,virtual_explorer,2023-10-15T11:26:36.000Z,18K,,18K,52,39,without_company
D:\untitled3\.\hubs\physics,popsci,766616,valisak,2023-10-14T14:00:01.000Z,16K,,16K,65,27,without_company
D:\untitled3\.\hubs\physics,popsci,766908,Dmytro_Kikot,2023-10-13T07:00:05.000Z,8.5K,,8.5K,31,5,without_company
D:\untitled3\.\hubs\physics,popsci,766066,DAN_SEA,2023-10-12T13:00:01.000Z,15K,,15K,140,21,without_company
D:\untitled3\.\hubs\physics,popsci,766414,Dmytro_Kikot,2023-10-11T07:00:23.000Z,1.9K,,1.9K,7,2,without_company
D:\untitled3\.\hubs\physics,popsci,766502,dionisdimetor,2023-10-10T11:33:18.000Z,2K,,2K,18,6,without_company
D:\untitled3\.\hubs\physics,popsci,765992,MatasovAV,2023-10-07T20:19:57.000Z,9.7K,,9.7K,56,28,without_company
D:\untitled3\.\hubs\physics,popsci,765496,Dmytro_Kikot,2023-10-06T07:00:09.000Z,4.2K,,4.2K,14,5,without_company
D:\untitled3\.\hubs\physics,popsci,765656,johnfound,2023-10-05T17:34:53.000Z,8.6K,,8.6K,14,84,without_company
D:\untitled3\.\hubs\physics,popsci,765534,virtual_explorer,2023-10-05T10:12:11.000Z,31K,,31K,58,55,without_company
D:\untitled3\.\hubs\physics,popsci,765480,AleksandrTallinn,2023-10-05T07:31:52.000Z,23K,,23K,32,91,without_company
D:\untitled3\.\hubs\physics,popsci,765000,Dmytro_Kikot,2023-10-04T07:00:34.000Z,2.4K,,2.4K,5,1,without_company
D:\untitled3\.\hubs\physics,popsci,764018,dionisdimetor,2023-09-28T06:14:04.000Z,9.8K,,9.8K,36,10,without_company
D:\untitled3\.\hubs\physics,popsci,763700,klimensky,2023-09-27T08:11:01.000Z,3.1K,,3.1K,26,4,without_company
D:\untitled3\.\hubs\physics,popsci,763132,OlegSivchenko,2023-09-24T22:15:15.000Z,5.4K,,5.4K,18,34,without_company
D:\untitled3\.\hubs\physics,popsci,763048,iMonin,2023-09-24T08:06:43.000Z,16K,,16K,52,50,without_company
D:\untitled3\.\hubs\physics,popsci,763000,SLY_G,2023-09-23T12:27:26.000Z,9.7K,,9.7K,45,54,without_company
D:\untitled3\.\hubs\physics,popsci,762942,AleksandrTallinn,2023-09-23T05:26:14.000Z,7.6K,,7.6K,20,120,without_company
D:\untitled3\.\hubs\physics,popsci,761540,valisak,2023-09-21T13:00:01.000Z,14K,,14K,54,46,without_company
D:\untitled3\.\hubs\physics,popsci,761720,ITMan82,2023-09-18T11:11:04.000Z,26K,,26K,40,30,without_company
D:\untitled3\.\hubs\physics,popsci,761434,SergioShpadi,2023-09-18T07:43:04.000Z,4K,,4K,25,17,without_company
D:\untitled3\.\hubs\physics,popsci,761440,dionisdimetor,2023-09-16T08:07:59.000Z,18K,,18K,47,18,without_company
D:\untitled3\.\hubs\physics,popsci,761300,Exlt8,2023-09-15T10:58:23.000Z,6.4K,,6.4K,41,26,without_company
D:\untitled3\.\hubs\physics,popsci,760096,DAN_SEA,2023-09-15T09:00:02.000Z,7.5K,,7.5K,47,8,without_company
D:\untitled3\.\hubs\physics,popsci,761178,SLY_G,2023-09-15T08:09:01.000Z,3.9K,,3.9K,21,26,without_company
D:\untitled3\.\hubs\physics,popsci,760942,Dmytro_Kikot,2023-09-15T07:00:08.000Z,1.2K,,1.2K,17,0,without_company
D:\untitled3\.\hubs\physics,popsci,759380,alexgoodok,2023-09-15T07:00:03.000Z,3.8K,,3.8K,29,18,without_company
D:\untitled3\.\hubs\physics,popsci,760402,Dmytro_Kikot,2023-09-13T07:00:20.000Z,1.1K,,1.1K,12,1,without_company
D:\untitled3\.\hubs\physics,popsci,760462,klimensky,2023-09-12T10:38:05.000Z,3.2K,,3.2K,25,4,without_company
D:\untitled3\.\hubs\physics,popsci,760290,anikengur,2023-09-11T13:59:04.000Z,1.3K,,1.3K,15,5,without_company
D:\untitled3\.\hubs\physics,popsci,759902,divolko3,2023-09-11T08:00:01.000Z,4.5K,,4.5K,21,2,without_company
D:\untitled3\.\hubs\physics,popsci,760082,SergeyAstanin,2023-09-10T17:16:09.000Z,12K,,12K,92,17,without_company
D:\untitled3\.\hubs\physics,popsci,759864,d_bratskikh,2023-09-10T09:00:01.000Z,89K,,89K,105,186,without_company
D:\untitled3\.\hubs\physics,popsci,759786,klimensky,2023-09-08T12:32:16.000Z,16K,,16K,35,41,without_company
D:\untitled3\.\hubs\physics,popsci,759722,klimensky,2023-09-08T09:46:59.000Z,38K,,38K,76,56,without_company
D:\untitled3\.\hubs\physics,popsci,759634,OlegSivchenko,2023-09-07T21:02:42.000Z,11K,,11K,63,119,without_company
D:\untitled3\.\hubs\physics,popsci,758952,Dmytro_Kikot,2023-09-06T07:00:14.000Z,2.5K,,2.5K,15,0,without_company
