hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\pm,null,776430,Maks_Poklonskiy,2023-11-26T07:55:52.000Z,192,,192,3,0,without_company
D:\untitled3\.\hubs\pm,null,776326,dzot_dev,2023-11-25T07:00:21.000Z,8.8K,,8.8K,92,1,without_company
D:\untitled3\.\hubs\pm,null,776120,Maks_Poklonskiy,2023-11-24T08:22:46.000Z,456,,456,5,0,without_company
D:\untitled3\.\hubs\pm,null,776004,Ontonet,2023-11-23T15:00:30.000Z,702,,702,10,1,without_company
D:\untitled3\.\hubs\pm,null,775902,andry,2023-11-23T10:44:53.000Z,1.9K,,1.9K,39,4,without_company
D:\untitled3\.\hubs\pm,null,775646,v3tr0v,2023-11-23T07:20:45.000Z,2.3K,,2.3K,19,0,without_company
D:\untitled3\.\hubs\pm,null,775822,Maks_Poklonskiy,2023-11-23T06:30:46.000Z,1K,,1K,4,0,without_company
D:\untitled3\.\hubs\pm,null,775654,EvaTeam,2023-11-22T11:26:28.000Z,5K,,5K,17,4,without_company
D:\untitled3\.\hubs\pm,null,775612,SofiyaFitil,2023-11-22T09:26:32.000Z,2K,,2K,9,15,without_company
D:\untitled3\.\hubs\pm,null,775568,crazyfrogspb1,2023-11-22T07:25:42.000Z,2.7K,,2.7K,23,0,without_company
D:\untitled3\.\hubs\pm,null,775420,Clickru,2023-11-21T12:59:00.000Z,3.5K,,3.5K,36,1,without_company
D:\untitled3\.\hubs\pm,null,775360,ArtemPaderin,2023-11-21T10:38:22.000Z,1.1K,,1.1K,6,1,without_company
D:\untitled3\.\hubs\pm,null,774972,dalerank,2023-11-19T20:49:11.000Z,55K,,55K,220,209,without_company
D:\untitled3\.\hubs\pm,null,774808,Testograf,2023-11-18T10:06:36.000Z,1.3K,,1.3K,14,1,without_company
D:\untitled3\.\hubs\pm,null,774732,meieraa,2023-11-17T15:25:57.000Z,5K,,5K,30,1,without_company
D:\untitled3\.\hubs\pm,null,774632,kikhuz,2023-11-17T11:07:56.000Z,731,,731,8,2,without_company
D:\untitled3\.\hubs\pm,null,774342,dblmokk,2023-11-16T11:19:37.000Z,2.4K,,2.4K,39,2,without_company
D:\untitled3\.\hubs\pm,null,774238,ilya_kho,2023-11-16T10:48:18.000Z,4.2K,,4.2K,36,6,without_company
D:\untitled3\.\hubs\pm,null,774206,dbalabolin,2023-11-16T09:30:01.000Z,1.1K,,1.1K,10,7,without_company
D:\untitled3\.\hubs\pm,null,773868,dmitriyabr,2023-11-16T07:00:39.000Z,5.2K,,5.2K,31,5,without_company
