hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\popular_science,null,776498,yudeek,2023-11-26T16:11:32.000Z,238,,238,0,0,/ru/hubs/popular_science/
D:\untitled3\.\hubs\popular_science,null,776476,Terentew,2023-11-26T14:04:59.000Z,1.3K,,1.3K,7,2,/ru/hubs/read/
D:\untitled3\.\hubs\popular_science,null,776466,OlegSivchenko,2023-11-26T13:01:05.000Z,1.8K,,1.8K,12,2,/ru/hubs/popular_science/
D:\untitled3\.\hubs\popular_science,null,776324,ivansychev,2023-11-25T07:02:55.000Z,3.4K,,3.4K,16,13,/ru/companies/inferit/articles/
D:\untitled3\.\hubs\popular_science,null,776312,kalupin,2023-11-25T00:17:47.000Z,1.9K,,1.9K,8,2,/ru/hubs/popular_science/
D:\untitled3\.\hubs\popular_science,null,776274,Sci-Cortex,2023-11-24T18:39:44.000Z,4.3K,,4.3K,14,14,/ru/hubs/popular_science/
D:\untitled3\.\hubs\popular_science,null,776266,uzumeti,2023-11-24T16:20:34.000Z,8.8K,,8.8K,30,9,/ru/hubs/popular_science/
D:\untitled3\.\hubs\popular_science,null,776262,DrArgentum,2023-11-24T16:04:48.000Z,4.3K,,4.3K,22,8,/ru/hubs/python/
D:\untitled3\.\hubs\popular_science,null,775564,VAE,2023-11-24T09:24:09.000Z,1.1K,,1.1K,19,0,/ru/hubs/popular_science/
D:\untitled3\.\hubs\popular_science,null,774904,DAN_SEA,2023-11-24T09:00:01.000Z,3.4K,,3.4K,21,41,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\popular_science,null,776060,SLY_G,2023-11-24T07:35:08.000Z,3.9K,,3.9K,6,0,/ru/hubs/popular_science/
D:\untitled3\.\hubs\popular_science,null,771938,lawrence_flaming,2023-11-24T06:00:01.000Z,2.1K,,2.1K,20,7,/ru/companies/first/articles/
D:\untitled3\.\hubs\popular_science,null,776080,arheo_pterix,2023-11-24T04:54:06.000Z,1.1K,,1.1K,5,8,/ru/hubs/popular_science/
D:\untitled3\.\hubs\popular_science,null,776030,SLY_G,2023-11-23T17:33:33.000Z,2.8K,,2.8K,13,2,/ru/hubs/popular_science/
D:\untitled3\.\hubs\popular_science,null,775988,iMonin,2023-11-23T14:28:17.000Z,7.5K,,7.5K,32,127,/ru/hubs/zadachki/
D:\untitled3\.\hubs\popular_science,null,775960,anastasiy_y,2023-11-23T13:03:33.000Z,2.6K,,2.6K,27,3,/ru/companies/rshb/articles/
D:\untitled3\.\hubs\popular_science,null,775908,hse_spb,2023-11-23T11:04:32.000Z,1.2K,,1.2K,7,0,/ru/companies/hsespb/articles/
D:\untitled3\.\hubs\popular_science,null,775794,SLY_G,2023-11-22T22:13:13.000Z,5.5K,,5.5K,28,37,/ru/hubs/popular_science/
D:\untitled3\.\hubs\popular_science,null,775736,DrArgentum,2023-11-22T16:11:45.000Z,5K,,5K,33,18,/ru/hubs/algorithms/
D:\untitled3\.\hubs\popular_science,null,775380,Catx2,2023-11-22T13:16:01.000Z,7.4K,,7.4K,21,12,/ru/hubs/popular_science/
D:\untitled3\.\hubs\popular_science,null,775660,klimensky,2023-11-22T11:44:04.000Z,3.5K,,3.5K,25,7,/ru/companies/first/articles/
D:\untitled3\.\hubs\popular_science,null,775436,SLY_G,2023-11-21T14:03:07.000Z,3.2K,,3.2K,9,9,/ru/hubs/popular_science/
D:\untitled3\.\hubs\popular_science,null,775410,InBioReactor,2023-11-21T12:29:32.000Z,5.8K,,5.8K,45,29,/ru/hubs/popular_science/
D:\untitled3\.\hubs\popular_science,null,775320,divolko3,2023-11-21T09:11:02.000Z,2.8K,,2.8K,17,4,/ru/companies/ru_mts/articles/
D:\untitled3\.\hubs\popular_science,null,775236,fantast8,2023-11-21T01:01:31.000Z,14K,,14K,72,56,/ru/hubs/geo/
D:\untitled3\.\hubs\popular_science,null,775222,cosmic_sofi,2023-11-20T20:27:57.000Z,4.3K,,4.3K,18,1,/ru/hubs/popular_science/
D:\untitled3\.\hubs\popular_science,null,775122,InBioReactor,2023-11-20T11:49:44.000Z,5.6K,,5.6K,30,28,/ru/hubs/popular_science/
D:\untitled3\.\hubs\popular_science,null,774968,uzumeti,2023-11-19T19:46:48.000Z,47K,,47K,40,33,/ru/hubs/popular_science/
D:\untitled3\.\hubs\popular_science,null,774948,OlegSivchenko,2023-11-19T17:05:04.000Z,6.8K,,6.8K,19,60,/ru/hubs/popular_science/
D:\untitled3\.\hubs\popular_science,null,774936,saipr,2023-11-19T14:43:14.000Z,5.4K,,5.4K,33,11,/ru/hubs/infosecurity/
D:\untitled3\.\hubs\popular_science,null,774620,Tzimie,2023-11-19T13:05:52.000Z,7K,,7K,34,107,/ru/hubs/popular_science/
D:\untitled3\.\hubs\popular_science,null,774852,d_bratskikh,2023-11-19T09:00:03.000Z,1.9K,,1.9K,13,0,/ru/hubs/popular_science/
D:\untitled3\.\hubs\popular_science,null,774750,Petr0v1,2023-11-19T09:00:01.000Z,4.7K,,4.7K,5,0,/ru/companies/ru_mts/articles/
D:\untitled3\.\hubs\popular_science,null,774828,SLY_G,2023-11-18T13:07:40.000Z,9.9K,,9.9K,22,53,/ru/hubs/popular_science/
D:\untitled3\.\hubs\popular_science,null,774780,oleg_rico,2023-11-18T02:02:47.000Z,9.6K,,9.6K,41,148,/ru/hubs/read/
D:\untitled3\.\hubs\popular_science,null,774634,klimensky,2023-11-17T11:14:02.000Z,6.6K,,6.6K,40,32,/ru/companies/first/articles/
D:\untitled3\.\hubs\popular_science,null,774612,Petr0v1,2023-11-17T10:12:34.000Z,2.9K,,2.9K,8,0,/ru/companies/ru_mts/articles/
D:\untitled3\.\hubs\popular_science,null,774452,vasilisa_b,2023-11-17T09:47:01.000Z,2.3K,,2.3K,11,6,/ru/companies/gazprombank/articles/
D:\untitled3\.\hubs\popular_science,null,774330,Dmytro_Kikot,2023-11-17T08:00:05.000Z,1.2K,,1.2K,15,0,/ru/companies/ua-hosting/articles/
