hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\postgresql,develop,775922,gle4er,2023-11-24T09:55:28.000Z,7.2K,,7.2K,87,12,/ru/companies/avito/articles/
D:\untitled3\.\hubs\postgresql,develop,774736,Loxmatiymamont,2023-11-21T08:04:48.000Z,1.5K,,1.5K,8,3,/ru/companies/postgrespro/articles/
D:\untitled3\.\hubs\postgresql,develop,771712,splarv,2023-11-21T08:00:02.000Z,5.9K,,5.9K,72,7,/ru/companies/domclick/articles/
D:\untitled3\.\hubs\postgresql,develop,774486,ptr128,2023-11-16T19:03:37.000Z,7.6K,,7.6K,51,16,/ru/hubs/postgresql/
D:\untitled3\.\hubs\postgresql,develop,774324,Analytique,2023-11-16T10:07:16.000Z,5.7K,,5.7K,54,4,/ru/hubs/postgresql/
D:\untitled3\.\hubs\postgresql,develop,773972,ptr128,2023-11-14T23:31:29.000Z,13K,,13K,52,29,/ru/hubs/postgresql/
D:\untitled3\.\hubs\postgresql,develop,765690,Igor_Le,2023-11-13T20:29:06.000Z,4.6K,,4.6K,9,8,/ru/companies/postgrespro/articles/
D:\untitled3\.\hubs\postgresql,develop,773296,kracko23,2023-11-11T13:30:16.000Z,2.5K,,2.5K,31,3,/ru/hubs/postgresql/
D:\untitled3\.\hubs\postgresql,develop,772954,dmserebr,2023-11-09T15:41:15.000Z,52K,,52K,252,136,/ru/hubs/postgresql/
D:\untitled3\.\hubs\postgresql,develop,772784,Sergey2677,2023-11-09T08:11:30.000Z,2K,,2K,20,0,/ru/hubs/python/
D:\untitled3\.\hubs\postgresql,develop,771732,drema201,2023-11-03T10:10:57.000Z,192,,192,2,0,/ru/companies/gnivc/articles/
D:\untitled3\.\hubs\postgresql,develop,771676,torus1st,2023-11-03T07:29:56.000Z,5.5K,,5.5K,43,24,/ru/hubs/oracle/
D:\untitled3\.\hubs\postgresql,develop,771372,kpy3no,2023-11-02T08:32:19.000Z,2.9K,,2.9K,34,17,/ru/companies/cdek_blog/articles/
D:\untitled3\.\hubs\postgresql,develop,771406,Kilor,2023-11-02T06:45:32.000Z,13K,,13K,92,13,/ru/companies/tensor/articles/
D:\untitled3\.\hubs\postgresql,develop,771184,igor_suhorukov,2023-11-01T05:12:54.000Z,6.1K,,6.1K,21,32,/ru/hubs/postgresql/
D:\untitled3\.\hubs\postgresql,develop,770938,Rombneromb,2023-10-31T09:39:38.000Z,4.4K,,4.4K,19,7,/ru/companies/oleg-bunin/articles/
D:\untitled3\.\hubs\postgresql,develop,770674,badcasedaily1,2023-10-30T14:02:16.000Z,6K,,6K,112,12,/ru/companies/otus/articles/
D:\untitled3\.\hubs\postgresql,develop,770408,yooteam,2023-10-30T11:15:57.000Z,1.2K,,1.2K,15,1,/ru/companies/yoomoney/articles/
D:\untitled3\.\hubs\postgresql,develop,770044,igor_suhorukov,2023-10-26T18:14:51.000Z,8.6K,,8.6K,59,43,/ru/hubs/postgresql/
D:\untitled3\.\hubs\postgresql,develop,769598,pluzanov,2023-10-24T12:24:23.000Z,4.1K,,4.1K,13,1,/ru/companies/postgrespro/articles/
D:\untitled3\.\hubs\postgresql,develop,769356,drema201,2023-10-23T14:04:03.000Z,608,,608,11,2,/ru/companies/gnivc/articles/
D:\untitled3\.\hubs\postgresql,develop,768136,2medic,2023-10-18T14:25:46.000Z,2.6K,,2.6K,23,4,/ru/hubs/php/
D:\untitled3\.\hubs\postgresql,develop,764392,2medic,2023-10-16T14:06:26.000Z,1.3K,,1.3K,15,5,/ru/hubs/php/
D:\untitled3\.\hubs\postgresql,develop,767442,apostoldevel,2023-10-14T07:59:25.000Z,14K,,14K,117,57,/ru/hubs/postgresql/
D:\untitled3\.\hubs\postgresql,develop,766998,plumqqz,2023-10-13T09:46:18.000Z,3.8K,,3.8K,35,7,/ru/companies/postgrespro/articles/
D:\untitled3\.\hubs\postgresql,develop,701012,splarv,2023-10-10T08:33:53.000Z,2.6K,,2.6K,29,10,/ru/companies/domclick/articles/
D:\untitled3\.\hubs\postgresql,develop,764790,raqeta,2023-10-07T23:52:20.000Z,7.1K,,7.1K,64,3,/ru/hubs/postgresql/
D:\untitled3\.\hubs\postgresql,develop,760380,Igor_Le,2023-10-06T20:56:41.000Z,3.4K,,3.4K,18,2,/ru/companies/postgrespro/articles/
