hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\powershell,admin,761750,shmelfrol,2023-09-18T12:33:52.000Z,2.1K,,2.1K,24,12,without_company
D:\untitled3\.\hubs\powershell,admin,760232,Tzimie,2023-09-11T12:41:17.000Z,2.1K,,2.1K,18,0,without_company
D:\untitled3\.\hubs\powershell,admin,759218,mogwai87,2023-09-06T09:00:08.000Z,8.5K,,8.5K,56,6,without_company
D:\untitled3\.\hubs\powershell,admin,755034,ap_security,2023-08-16T13:30:51.000Z,2K,,2K,18,2,without_company
D:\untitled3\.\hubs\powershell,admin,751858,AngaraSecurity,2023-08-01T17:32:26.000Z,4.2K,,4.2K,35,2,without_company
D:\untitled3\.\hubs\powershell,admin,748348,Tzimie,2023-07-17T16:18:35.000Z,2.7K,,2.7K,22,1,without_company
D:\untitled3\.\hubs\powershell,admin,747808,shmelfrol,2023-07-13T11:50:02.000Z,5.7K,,5.7K,28,24,without_company
D:\untitled3\.\hubs\powershell,admin,745312,ilyachalov,2023-07-01T21:15:22.000Z,5.8K,,5.8K,14,55,without_company
D:\untitled3\.\hubs\powershell,admin,742626,walrus911,2023-06-19T13:22:11.000Z,1.9K,,1.9K,6,3,without_company
D:\untitled3\.\hubs\powershell,admin,741212,Tzimie,2023-06-12T08:29:42.000Z,4.4K,,4.4K,36,5,without_company
D:\untitled3\.\hubs\powershell,admin,737642,bgelov,2023-05-31T06:45:11.000Z,4.7K,,4.7K,59,0,without_company
D:\untitled3\.\hubs\powershell,admin,725768,Bright_Translate,2023-04-02T10:00:01.000Z,12K,,12K,59,27,without_company
D:\untitled3\.\hubs\powershell,admin,724412,ilyachalov,2023-03-23T17:41:25.000Z,1.8K,,1.8K,18,10,without_company
D:\untitled3\.\hubs\powershell,admin,723730,Tzimie,2023-03-21T09:30:28.000Z,9.2K,,9.2K,47,52,without_company
D:\untitled3\.\hubs\powershell,admin,717914,ilyachalov,2023-02-19T23:54:25.000Z,1.6K,,1.6K,13,0,without_company
