hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\prototyping,design,772556,Ngeras,2023-11-08T09:27:09.000Z,1K,,1K,8,0,/ru/companies/sberbank/articles/
D:\untitled3\.\hubs\prototyping,design,767782,hikrylov,2023-10-17T12:16:12.000Z,5.2K,,5.2K,45,2,/ru/companies/ozontech/articles/
D:\untitled3\.\hubs\prototyping,design,767890,Ekamelev,2023-10-16T23:34:43.000Z,11K,,11K,44,12,/ru/hubs/web_design/
D:\untitled3\.\hubs\prototyping,design,765950,AZazeJIb,2023-10-07T11:40:25.000Z,1.7K,,1.7K,25,13,/ru/hubs/robo_dev/
D:\untitled3\.\hubs\prototyping,design,761330,m1llark,2023-09-15T12:48:56.000Z,2.8K,,2.8K,22,7,/ru/hubs/programming/
D:\untitled3\.\hubs\prototyping,design,750226,RyabovA,2023-09-07T13:09:46.000Z,3.7K,,3.7K,51,7,/ru/hubs/python/
D:\untitled3\.\hubs\prototyping,design,758582,Leka_engineer,2023-09-04T12:15:01.000Z,8K,,8K,24,13,/ru/hubs/prototyping/
D:\untitled3\.\hubs\prototyping,design,756096,dr_bob_davidov,2023-08-22T08:33:37.000Z,1.1K,,1.1K,7,3,/ru/hubs/debug/
D:\untitled3\.\hubs\prototyping,design,755586,coloboque,2023-08-18T19:48:56.000Z,15K,,15K,85,112,/ru/hubs/prototyping/
D:\untitled3\.\hubs\prototyping,design,754290,podluzny,2023-08-14T09:00:03.000Z,1.4K,,1.4K,35,1,/ru/hubs/analysis_design/
D:\untitled3\.\hubs\prototyping,design,751204,MR_VF,2023-08-11T20:18:15.000Z,6.4K,,6.4K,34,12,/ru/hubs/it_testing/
D:\untitled3\.\hubs\prototyping,design,744434,mvideo,2023-07-24T07:52:45.000Z,5.6K,,5.6K,51,0,/ru/companies/mvideo/articles/
D:\untitled3\.\hubs\prototyping,design,749472,injirtech,2023-07-21T05:00:01.000Z,3K,,3K,16,27,/ru/companies/samsung/articles/
D:\untitled3\.\hubs\prototyping,design,748346,Pisikak,2023-07-16T19:58:22.000Z,16K,,16K,45,87,/ru/hubs/prototyping/
D:\untitled3\.\hubs\prototyping,design,746230,georgy_zenker,2023-07-15T08:01:02.000Z,5.6K,,5.6K,28,11,/ru/companies/timeweb/articles/
D:\untitled3\.\hubs\prototyping,design,747484,george_gDev,2023-07-12T09:26:12.000Z,5.9K,,5.9K,51,17,/ru/hubs/infosecurity/
D:\untitled3\.\hubs\prototyping,design,746866,Bredun,2023-07-11T15:38:40.000Z,2.7K,,2.7K,12,7,/ru/companies/anatoysis/articles/
